endpoint_id,endpoint_type,canonical_label,registry_or_provisional_id,linked_actor_or_endpoint,person_name_raw,role_or_relation_type,observed_start,observed_end,time_semantics,source_receipt_ids,exact_locator,identity_status,bridge_eligibility,w2_d_use,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback,notes
W2B2-DE011,organization_or_institution,Navy-Marine Corps Relief Society Okinawa,X009,American Red Cross Okinawa (X008),,program_and_fund_source_for_after_hours_handoff,,2026-08-22,current_page_snapshot,W2B2-SR022;W2B2-SR023;W2B2-SR024,"Okinawa office, FAQ and financial statement policy",registered_actor,service_interface_endpoint,Typed service and money-provenance endpoint,NMCRS owns the assistance program/funds used through the Red Cross after-hours interface.,Do not convert the handoff into a Red Cross grant or organizational affiliation.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE012,organization_or_institution,Okinawa Nurses Association,,USO Foster / U.S. Naval Hospital Okinawa,,event_participant_institution,2025,2025,selected_episode_only,W2B2-SR010,Foster National Nurses Week paragraph,event_only_institutional_endpoint,event_only_endpoint,Recipient/participant-side follow-up lead,The name appears as participants in one USO-controlled event story.,"Do not add it as a registry actor, alliance, recipient institution or LEG2 response without independent confirmation.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE013,person_actor_time_candidate,Scott P. Maskery,,USO Indo-Pacific,Scott P. Maskery,Regional Vice President,2021-06,2026-08-21,role_start_and_current_biography_snapshot,W2B2-SR004,Biography first paragraph,identity_specific_official_bio,person_role_candidate,Regional hierarchy/person–actor–time tracer,The source observes Scott P. Maskery in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE014,person_actor_time_candidate,J. Phil VanEtten / Phil VanEtten,,USO Okinawa (X001),J. Phil VanEtten / Phil VanEtten,Area Director,2018-02-09,2025-03-12,multiple_observed_role_dates_not_full_term,W2B2-SR009;W2B2-SR014;W2B2-SR015;W2B2-SR017;W2B2-SR018;W2B2-SR019,Named recipient/quoted role across official stories,alias_and_role_span_need_human_check,person_role_candidate,High-value repeated sponsor–USO person tracer,The source observes J. Phil VanEtten / Phil VanEtten in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE015,person_actor_time_candidate,Henry Hughes,,USO Okinawa (X001),Henry Hughes,Area Director,2025-11-17,2026-02-24,multiple_observed_role_dates_not_full_term,W2B2-SR013;W2B2-SR016,Named recipient/quoted role,identity_specific_official_story,person_role_candidate,Current-period sponsor–USO person tracer,The source observes Henry Hughes in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE016,person_actor_time_candidate,Kenneth Exsterstein,,American Engineering Corporation (X003),Kenneth Exsterstein,CEO,2024-10-16,2025-11-17,multiple_observed_role_dates_not_full_term,W2B2-SR013;W2B2-SR014,Donation paragraphs,identity_specific_official_story,person_role_candidate,AEC–USO person-event tracer,The source observes Kenneth Exsterstein in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE017,person_actor_time_candidate,Scot Garner,,American Engineering Corporation (X003),Scot Garner,General Manager of Construction,2018-03-01,2024-10-16,multiple_observed_role_dates_not_full_term,W2B2-SR014;W2B2-SR018,Donation story and later quoted role,identity_specific_official_story,person_role_candidate,AEC role-continuity tracer,The source observes Scot Garner in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE018,person_actor_time_candidate,Keith A. Kirkman,,Mediatti Broadband Communications Okinawa,Keith A. Kirkman,President and Chief Executive Officer,2018-02-09,2026-02-24,multiple_observed_role_dates_not_full_term,W2B2-SR016;W2B2-SR017,Story metadata/body,identity_specific_official_story,person_role_candidate,Long-duration sponsor-role tracer,The source observes Keith A. Kirkman in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE019,person_actor_time_candidate,Eugene Bourderault,,AK Kogyo,Eugene Bourderault,Owner and President,2025-03-12,2025-03-12,single_observed_role_date,W2B2-SR015,Donation paragraph,identity_specific_official_story,person_role_candidate,Local donor person tracer,The source observes Eugene Bourderault in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE020,person_actor_time_candidate,Hawari Habrawi,,AK Kogyo,Hawari Habrawi,General Manager,2025-03-12,2025-03-12,single_observed_role_date,W2B2-SR015,Donation paragraph,identity_specific_official_story,person_role_candidate,Local donor person tracer,The source observes Hawari Habrawi in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE021,person_actor_time_candidate,Naoki Satoh,,CHUBB Insurance Japan,Naoki Satoh,"Military Segment Manager, Auto Department",2018-03-15,2018-03-15,single_observed_role_date,W2B2-SR019,Donation paragraph,identity_specific_official_story,person_role_candidate,Local donor person tracer,The source observes Naoki Satoh in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE022,person_actor_time_candidate,Kayla Sprinkel,,Okinawa Enlisted Spouses' Club (X007),Kayla Sprinkel,President,2025-12-02,2025-12-02,single_observed_role_date,W2B2-SR032,Paragraph naming OESC president,identity_specific_secondary_story,person_role_candidate,Spouse-club-to-USO person tracer,The source observes Kayla Sprinkel in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE023,person_actor_time_candidate,E.J. Schulz / Shultz,,American Welfare & Works Association (X004),E.J. Schulz / Shultz,President,2020-08-28,2020-08-28,single_event_with_internal_spelling_conflict,W2B2-SR033,Paragraph uses Schulz then Shultz,name_spelling_unresolved,person_role_candidate,AWWA-to-USO person tracer requiring spelling decision,The source observes E.J. Schulz / Shultz in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE024,person_actor_time_candidate,Kayla Stamey,,USO Kinser / USO Okinawa (X001),Kayla Stamey,Center Manager,2020-08-28,2020-08-28,single_observed_role_date,W2B2-SR033,Grant presentation paragraph,identity_specific_official_story,person_role_candidate,USO receiving-side person tracer,The source observes Kayla Stamey in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE025,person_actor_time_candidate,Christi Brent,,USO Foster / USO Okinawa (X001),Christi Brent,Center Operations Manager,2025,2025,story_year_observation,W2B2-SR010,Foster paragraph,identity_specific_official_story,person_role_candidate,Center-level person tracer,The source observes Christi Brent in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE026,person_actor_time_candidate,Will Stanley,,USO Futenma / USO Okinawa (X001),Will Stanley,Center Operations Manager,2025,2025,story_year_observation,W2B2-SR010,Futenma paragraph,identity_specific_official_story,person_role_candidate,Center-level person tracer,The source observes Will Stanley in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE027,person_actor_time_candidate,Maria Paige,,USO Schwab / USO Okinawa (X001),Maria Paige,Center Manager,2022-09-30,2022-09-30,story_byline_observation,W2B2-SR012,Story byline,identity_specific_official_story,person_role_candidate,Historical center-level person tracer,The source observes Maria Paige in the stated role at the stated date(s).,"Do not extend the observed dates into a complete tenure, merge similar names, or infer a cross-ecology bridge without independent matching.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-DE028,service_intermediary_relation,NMCRS after-hours delegation to American Red Cross,,X009 Navy-Marine Corps Relief Society Okinawa -> X008 American Red Cross Okinawa,,directed_nmcrs_to_arc_after_hours_intake_disbursement_delegation_using_nmcrs_funds,,2026-08-22,current_page_snapshot,W2B2-SR022;W2B2-SR023;W2B2-SR024,NMCRS Okinawa and Get Help after-hours callouts,official_source_supported_candidate_pending_principal,service_interface_candidate_pending_principal,Typed directional service candidate for W2-D,NMCRS delegates after-hours intake/disbursement to ARC; ARC acts on NMCRS's behalf using NMCRS funds. Official sources support this candidate; principal review remains pending.,"Do not code co-location, general referral, common beneficiaries or functional overlap as additional organization bridges; do not code this relation as funding or alliance.",ai_seeded,research_only,not_frontend_ready,no,
