corpus_source_id,existing_source_id,place,title,url,source_type,speaker_or_owner,date_or_period,locator,excerpt_short,paraphrase_zh,frame_candidates,evidence_level,coding_status,human_review_note
R4S014,,Ishigaki,国民保护计划改正要请决议,https://www.city.ishigaki.okinawa.jp/material/files/group/33/iinkai2024-1.pdf,official_legislative_record,Ishigaki City Council,2024,决议第3-5项,市民の意思確認を進めること,市议会要求在撤离制度中确认市民意愿并说明补偿与协作机制,frontline_taiwan_evacuation;life_safety;local_autonomy_referendum;procedural_fairness,E4,ai_seeded_candidate,决议是政策要求不是已落实措施
R4S015,,Ishigaki,石垣市民避难意见交换会记录,https://www.city.ishigaki.okinawa.jp/material/files/group/3/ikenkoukankai_ibaruma.pdf,local_official,Ishigaki City and residents,2024,p.1起／意见交换内容,住民との意見交換,官方会议记录保留居民对撤离义务、兵役与可行性的疑问,frontline_taiwan_evacuation;life_safety;procedural_fairness,E4,ai_seeded_candidate,居民意见不代表全市民意
R4S016,,Ishigaki,石垣自卫队配备环境质询,https://www2.pref.okinawa.jp/oki/Gikairep1.nsf/bf76642d1ed57158492581ed00348311/6cc4b1801bbb16124925861e00087c7a?Click=&OpenDocument=,official_legislative_record,Okinawa Prefectural Assembly,2020,环境行政(2)答辩段,説明が不十分で納得できない,县议会记录把冠鹫营巢、施工重启与说明充分性并置,environment_deployment;procedural_fairness,E4,ai_seeded_candidate,需区分提问者陈述和环境部长回答
R4S017,S010,Yonaguni,与那国町住民投票结果报道,https://www.qab.co.jp/news/2015022363334.html,local_news,QAB,2015,标题及结果段,結果は「賛成」多数,2015年住民投票以赞成部署占多数呈现地方意见表达,local_autonomy_referendum;frontline_taiwan_evacuation,E3,ai_seeded_candidate,投票结果不能代表后续所有扩编项目的授权
R4S018,S013,Yonaguni,防卫白书解说：与那国と台湾,https://www.mod.go.jp/j/press/wp/wp2022/html/nc014000.html,official_defense,Ministry of Defense,2022,解说首段,国境の最前線,防卫省把与那国表述为邻近领海领空边界的最前线监视节点,frontline_taiwan_evacuation,E4,ai_seeded_candidate,这是防卫省制度框架；不能当居民共识
R4S019,S012,Yonaguni,与那国駐屯地,https://www.mod.go.jp/gsdf/station/wa/yonaguni/,official_defense,JGSDF,current,所在部队列表,与那国沿岸監視隊,官方页面确认驻屯地及沿岸监视队的组织存在,frontline_taiwan_evacuation;environment_deployment,E4,ai_seeded_candidate,只证实部署事实不证实社会反应
R4S020,,Yonaguni,与那国町国民保護計画,https://www.town.yonaguni.okinawa.jp/docs/2018041100144/hogokeikaku.html,local_official,Yonaguni Town,2017,页面计划内容说明,住民の避難、救援,町政府把居民撤离和救援列为武力攻击灾害时措施,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,法定计划与当前扩军争议需分开
R4S021,,Yonaguni,沖縄県国民保護共同図上訓練结果,https://www.pref.okinawa.lg.jp/bosaianzen/kokuminhogo/1023175/1026163/1032696/1032939.html,regional_official,Okinawa Prefecture,2025,重点课题段,要配慮者の避難,县级推演把运输能力与要照护者撤离列为先岛重点课题,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,覆盖先岛整体；不可全部归为与那国特有
R4S022,S052,Yonaguni,与那国島の明るい未来を願うイソバの会,https://isobanokai.ti-da.net/,organization_blog,A016,current,组织博客相关部署与生活条目,明るい未来を願う,组织以岛的未来、透明度和生命安全质疑部署与扩编,frontline_taiwan_evacuation;life_safety;procedural_fairness,E3,ai_seeded_candidate,需定位具体博文；首页名称不足以支持全部框架
R4S023,S068,Yonaguni,日米合同演習の中止要請,https://www.okinawatimes.co.jp/articles/-/1448767,local_news,A016,2024,标题及具名团体段,合同演習の中止要請,新闻确认Isoba会对日美联合训练提出停止要求,frontline_taiwan_evacuation;life_safety,E3,ai_seeded_candidate,需核付费正文和请求书原件
R4S024,,Yonaguni,中距離地対空誘導弾部隊住民説明会,https://www.mod.go.jp/j/press/news/2026/02/20c.html,official_defense,Ministry of Defense,2026,页面目的段,町民の皆様のご理解,防卫省以增进町民理解为由召开新导弹部队说明会,frontline_taiwan_evacuation;procedural_fairness,E4,ai_seeded_candidate,说明会存在不等于居民同意
R4S025,,Yonaguni,与那国町住民避难联合训练,https://www.kokuminhogo.go.jp/kunren/kyodo/post-103.html,national_official,Cabinet Secretariat and Saga Prefecture,2025,训练项目(3)-(5),与那国町の避難計画,国家与接收地政府把与那国撤离和安置作为联合推演对象,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,训练计划不是实际撤离能力验证
