candidate_id,candidate_name,gate,status,pass_rule,evidence_summary,source_proposal_refs,boundary
RV2C004,全日本港湾労働組合沖縄地方本部,direct_phase1_connection,pass,"At least one dated public role directly tied to a Phase-1 issue such as base/SDF, PFAS/health, groundwater, autonomy, legal procedure or military violence.","The headquarters held a 2015 anti-Henoko/security-law workplace action and in 2024 used a port strike around a U.S. destroyer call at Ishigaki, framing worker safety and civilian-port military use.",RV2SP019;RV2SP020;RV2SP021;RV2SP022;RV2SP023;RV2SP024,"Do not infer a stable alliance from common marches or statements. The 2024 strike's existence and stated rationale can be recorded; its legal status, public effects and political efficacy are not adjudicated here."
RV2C004,全日本港湾労働組合沖縄地方本部,module_repair_value,pass,"Adds a missing place, actor function, issue bridge, venue or action mechanism that can change a named module explanation; number-filling is insufficient.","Repairs the labor thin layer while adding a distinct R5/R7 mechanism: workplace/strike capacity shifts base and frontline disputes into port and occupational-safety venues, including Sakishima.",RV2SP019;RV2SP020;RV2SP021;RV2SP022;RV2SP023;RV2SP024,"Do not infer a stable alliance from common marches or statements. The 2024 strike's existence and stated rationale can be recorded; its legal status, public effects and political efficacy are not adjudicated here."
RV2C003,新日本婦人の会沖縄県本部,formal_identity,pass,"Exact organization name plus organizational form, named office/representative, rules, official record or equivalent organization-level evidence; an event label is insufficient.",The national association's official structure covers prefectural headquarters; official central statements and an Okinawa Prefecture administrative record explicitly name the Okinawa prefectural headquarters and its chair.,RV2SP014;RV2SP015;RV2SP016;RV2SP017;RV2SP018,"Human review must decide branch-level actor treatment. Do not transfer every national action to the Okinawa headquarters, and do not code party affiliation from coverage by a party newspaper."
RV2C003,新日本婦人の会沖縄県本部,continuity,pass,"At least two dated organization-level observations separated in time, or formal current status plus recent activity; one signature/event is insufficient.",Okinawa Prefecture records a branch request in 2008; official association records show Okinawa-headquarters action in 2014 and a jointly signed branch request in 2024.,RV2SP014;RV2SP015;RV2SP016;RV2SP017;RV2SP018,"Human review must decide branch-level actor treatment. Do not transfer every national action to the Okinawa headquarters, and do not code party affiliation from coverage by a party newspaper."
RV2C003,新日本婦人の会沖縄県本部,direct_phase1_connection,pass,"At least one dated public role directly tied to a Phase-1 issue such as base/SDF, PFAS/health, groundwater, autonomy, legal procedure or military violence.","Dated local actions include requests over U.S.-military sexual violence, anti-new-base activity and a 2018 Henoko referendum-signature campaign.",RV2SP014;RV2SP015;RV2SP016;RV2SP017;RV2SP018,"Human review must decide branch-level actor treatment. Do not transfer every national action to the Okinawa headquarters, and do not code party affiliation from coverage by a party newspaper."
RV2C003,新日本婦人の会沖縄県本部,module_repair_value,pass,"Adds a missing place, actor function, issue bridge, venue or action mechanism that can change a named module explanation; number-filling is insufficient.","Adds a sustained prefectural women-organizing channel linking military violence, human rights, peace and local referendum work; it is analytically distinct from A049, A107 and A111.",RV2SP014;RV2SP015;RV2SP016;RV2SP017;RV2SP018,"Human review must decide branch-level actor treatment. Do not transfer every national action to the Okinawa headquarters, and do not code party affiliation from coverage by a party newspaper."
RV2C005,八重山大地会,formal_identity,pass,"Exact organization name plus organizational form, named office/representative, rules, official record or equivalent organization-level evidence; an event label is insufficient.",Local coverage names the exact group and representative; independent event records name it as an organizer. A local chronology reports a 2015 formation.,RV2SP025;RV2SP026;RV2SP027;RV2SP028;RV2SP029,"Do not count as a current registry actor, merge it into A010, or treat coalition-component evidence as a stable alliance. A fresh organization-level source or an explicit historical-actor decision is needed before HR-027 routing."
RV2C005,八重山大地会,continuity,partial,"At least two dated organization-level observations separated in time, or formal current status plus recent activity; one signature/event is insufficient.","Publicly indexed organization-level evidence closes a 2015-2017 activity window, but no reliable 2018-2026 continuity, dissolution or successor record was found in this online pass.",RV2SP025;RV2SP026;RV2SP027;RV2SP028;RV2SP029,"Do not count as a current registry actor, merge it into A010, or treat coalition-component evidence as a stable alliance. A fresh organization-level source or an explicit historical-actor decision is needed before HR-027 routing."
RV2C005,八重山大地会,direct_phase1_connection,pass,"At least one dated public role directly tied to a Phase-1 issue such as base/SDF, PFAS/health, groundwater, autonomy, legal procedure or military violence.",The group organized or co-organized Ishigaki meetings opposing SDF missile-base deployment and publicly linked the issue to war experience and local life.,RV2SP025;RV2SP026;RV2SP027;RV2SP028;RV2SP029,"Do not count as a current registry actor, merge it into A010, or treat coalition-component evidence as a stable alliance. A fresh organization-level source or an explicit historical-actor decision is needed before HR-027 routing."
RV2C005,八重山大地会,module_repair_value,pass,"Adds a missing place, actor function, issue bridge, venue or action mechanism that can change a named module explanation; number-filling is insufficient.","Would add a culturally framed Ishigaki actor and a component-level view beneath A010, but only if organizational continuity or a bounded historical-actor policy is confirmed.",RV2SP025;RV2SP026;RV2SP027;RV2SP028;RV2SP029,"Do not count as a current registry actor, merge it into A010, or treat coalition-component evidence as a stable alliance. A fresh organization-level source or an explicit historical-actor decision is needed before HR-027 routing."
