bridge_id,entity_key,identity_scope,actor_id,identity_group_id,canonical_name,origin_type,actor_class,event_count,event_ids,action_types,roles,first_year,last_year,relation_strength,evidence_basis,interpretation_limit
R5BR11,ACTOR:A020,registry_actor,A020,,日本環境法律家連盟（JELF）,japan_domestic,lawyers_network,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR12,ACTOR:A028,registry_actor,A028,,沖縄のための日米市民ネットワーク（JUCON）,mixed_or_network,international_advocacy_actor,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR13,ACTOR:A029,registry_actor,A029,,沖縄・生物多様性市民ネットワーク,okinawa_local,citizen_network,2,EV2010_WWF_67;EV2015_NACSJ_31,joint_statement,listed_endorser;listed_joint_statement_signatory,2010,2015,repeated_public_participation_2_events,S003;S004,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR14,ACTOR:A056,registry_actor,A056,,沖縄環境ネットワーク,okinawa_local,citizen_network,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR15,ACTOR:A060,registry_actor,A060,,高江のヘリパッドいらない住民の会,okinawa_local,citizen_group,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR16,EVENT_ONLY:EO_R5_DUGONG_NO_SATO,human_reviewed_event_only,,EO_R5_DUGONG_NO_SATO,じゅごんの里,okinawa_local,organization_or_group_unspecified,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR17,EVENT_ONLY:EO_R5_YAPONESIA,human_reviewed_event_only,,EO_R5_YAPONESIA,みん宿ヤポネシア,okinawa_local,small_lodging_civic_venue,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR18,EVENT_ONLY:EO_R5_FUTAMI_TEN_DISTRICTS,human_reviewed_event_only,,EO_R5_FUTAMI_TEN_DISTRICTS,ヘリ基地いらない二見以北十区の会,okinawa_local,organization_or_group_unspecified,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR19,EVENT_ONLY:EO_R5_BASE_FREE_OKINAWA_OSAKA,human_reviewed_event_only,,EO_R5_BASE_FREE_OKINAWA_OSAKA,基地のない平和で豊かな沖縄をめざす会・大阪,japan_domestic,organization_or_group_unspecified,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR20,EVENT_ONLY:EO_R5_AMCO,human_reviewed_event_only,,EO_R5_AMCO,海の生き物を守る会,japan_domestic,organization_or_group_unspecified,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
R5BR21,EVENT_ONLY:EO_R5_PAN_SETO,human_reviewed_event_only,,EO_R5_PAN_SETO,環瀬戸内海会議,japan_domestic,organization_or_group_unspecified,2,EV2010_WWF_67;EV2020_OEJP_MMC_71,joint_statement;request_letter_and_civil_society_report,listed_endorser;undersigned_request_participant,2010,2020,repeated_public_participation_2_events,S003;S006,"Strict repeated identity across sampled public actions only; not proof of stable alliance, membership or continuous coordination."
