triple_id,actor_id,actor_name,place_edge_id,place_id,place_name,issue_edge_id,issue_id,issue_label,frame_id,frame_name,shared_source_id,document_year,document_title,event_ids,event_names,event_dates,place_review_status,issue_review_status,place_evidence_level,issue_evidence_level,triple_layer,interpretation_limit
SPI0032,A003,ジュゴンネットワーク沖縄,AP005,P001,Okinawa Prefecture,AI007,I005,biodiversity,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0033,A003,ジュゴンネットワーク沖縄,AP006,P002,Henoko,AI006,I004,dugong,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0034,A003,ジュゴンネットワーク沖縄,AP006,P002,Henoko,AI007,I005,biodiversity,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0035,A004,日本自然保護協会,AP007,P002,Henoko,AI008,I005,biodiversity,F2,生态／环境,S004,2015,辺野古の海を守れ NGO 31団体が緊急共同声明,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0036,A004,日本自然保護協会,AP007,P002,Henoko,AI009,I003,Henoko,F1,基地／反军事,S004,2015,辺野古の海を守れ NGO 31団体が緊急共同声明,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0037,A004,日本自然保護協会,AP008,P003,Oura Bay,AI008,I005,biodiversity,F2,生态／环境,S004,2015,辺野古の海を守れ NGO 31団体が緊急共同声明,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0038,A004,日本自然保護協会,AP008,P003,Oura Bay,AI009,I003,Henoko,F1,基地／反军事,S004,2015,辺野古の海を守れ NGO 31団体が緊急共同声明,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0039,A005,WWFジャパン,AP009,P002,Henoko,AI010,I004,dugong,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0040,A005,WWFジャパン,AP009,P002,Henoko,AI011,I005,biodiversity,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0041,A006,グリーンピース・ジャパン,AP010,P002,Henoko,AI012,I005,biodiversity,F2,生态／环境,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0042,A006,グリーンピース・ジャパン,AP010,P002,Henoko,AI013,I001,anti_base,F1,基地／反军事,S003,2010,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0043,A007,ピースボート,AP011,P002,Henoko,AI015,I001,anti_base,F1,基地／反军事,S005,2015,Peace Boat statement on Henoko emergency NGO declaration,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0044,A007,ピースボート,AP011,P002,Henoko,AI016,I012,international_advocacy,F6,国际路径,S005,2015,Peace Boat statement on Henoko emergency NGO declaration,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0045,A008,NGO非戦ネット,AP012,P001,Okinawa Prefecture,AI018,I001,anti_base,F1,基地／反军事,S064,2019,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,,,,human_revised,human_revised,E3,E3,human_reviewed_same_source,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0046,A009,Earthjustice,AP013,P002,Henoko,AI019,I011,legal,F5,法律／程序,S009,2014,Earthjustice dugong litigation explainer,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0047,A009,Earthjustice,AP013,P002,Henoko,AI020,I004,dugong,F2,生态／环境,S009,2014,Earthjustice dugong litigation explainer,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0048,A009,Earthjustice,AP013,P002,Henoko,AI021,I012,international_advocacy,F6,国际路径,S009,2014,Earthjustice dugong litigation explainer,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0049,A009,Earthjustice,AP014,P003,Oura Bay,AI019,I011,legal,F5,法律／程序,S009,2014,Earthjustice dugong litigation explainer,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0050,A009,Earthjustice,AP014,P003,Oura Bay,AI020,I004,dugong,F2,生态／环境,S009,2014,Earthjustice dugong litigation explainer,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0051,A009,Earthjustice,AP014,P003,Oura Bay,AI021,I012,international_advocacy,F6,国际路径,S009,2014,Earthjustice dugong litigation explainer,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0052,A010,石垣島に軍事基地をつくらせない市民連絡会,AP015,P012,Ishigaki,AI022,I002,anti_military,F1,基地／反军事,S016,2016,石垣自衛隊配備 初の市民討論会,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0053,A010,石垣島に軍事基地をつくらせない市民連絡会,AP015,P012,Ishigaki,AI022,I002,anti_military,F1,基地／反军事,S017,2020,石垣陸自配備 市民が工事中止要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0054,A010,石垣島に軍事基地をつくらせない市民連絡会,AP015,P012,Ishigaki,AI023,I006,groundwater,F2,生态／环境,S017,2020,石垣陸自配備 市民が工事中止要請,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0055,A010,石垣島に軍事基地をつくらせない市民連絡会,AP015,P012,Ishigaki,AI024,I009,local_autonomy,F4,自治／公投,S016,2016,石垣自衛隊配備 初の市民討論会,,,,ai_seeded,ai_seeded,E4,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0056,A011,石垣市住民投票を求める会,AP016,P012,Ishigaki,AI025,I010,referendum,F4,自治／公投,S018,2019,石垣市 住民投票条例案 市議会で否決,EV_ISHIGAKI_REFERENDUM,Ishigaki referendum drive (2018-2019),2019,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0057,A011,石垣市住民投票を求める会,AP016,P012,Ishigaki,AI025,I010,referendum,F4,自治／公投,S019,2018,石垣市住民投票 署名活動で法定数超え,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0058,A011,石垣市住民投票を求める会,AP016,P012,Ishigaki,AI026,I009,local_autonomy,F4,自治／公投,S018,2019,石垣市 住民投票条例案 市議会で否決,EV_ISHIGAKI_REFERENDUM,Ishigaki referendum drive (2018-2019),2019,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0059,A011,石垣市住民投票を求める会,AP016,P012,Ishigaki,AI026,I009,local_autonomy,F4,自治／公投,S019,2018,石垣市住民投票 署名活動で法定数超え,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0060,A011,石垣市住民投票を求める会,AP016,P012,Ishigaki,AI027,I002,anti_military,F1,基地／反军事,S018,2019,石垣市 住民投票条例案 市議会で否決,EV_ISHIGAKI_REFERENDUM,Ishigaki referendum drive (2018-2019),2019,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0061,A011,石垣市住民投票を求める会,AP016,P012,Ishigaki,AI027,I002,anti_military,F1,基地／反军事,S019,2018,石垣市住民投票 署名活動で法定数超え,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0062,A012,宮古島いのちの水を守ろう！,AP017,P013,Miyako,AI028,I006,groundwater,F2,生态／环境,S020,2016,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,,,,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0063,A012,宮古島いのちの水を守ろう！,AP017,P013,Miyako,AI029,I002,anti_military,F1,基地／反军事,S020,2016,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,,,,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0064,A012,宮古島いのちの水を守ろう！,AP017,P013,Miyako,AI030,I007,life_safety,F3,生命／健康,S020,2016,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,,,,needs_second_source,needs_second_source,E3,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0065,A013,ミサイル基地いらない宮古島住民連絡会,AP018,P013,Miyako,AI031,I002,anti_military,F1,基地／反军事,S021,2016,ミサイル基地いらない 宮古島住民連絡会 結成集会,,,,ai_seeded,ai_seeded,E4,E4,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0066,A013,ミサイル基地いらない宮古島住民連絡会,AP018,P013,Miyako,AI032,I006,groundwater,F2,生态／环境,S021,2016,ミサイル基地いらない 宮古島住民連絡会 結成集会,,,,ai_seeded,ai_seeded,E4,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0067,A013,ミサイル基地いらない宮古島住民連絡会,AP018,P013,Miyako,AI033,I007,life_safety,F3,生命／健康,S021,2016,ミサイル基地いらない 宮古島住民連絡会 結成集会,,,,ai_seeded,ai_seeded,E4,E3,e3plus_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0068,A014,住民投票を成功させるための実行委員会,AP019,P011,Yonaguni,AI034,I002,anti_military,F1,基地／反军事,S010,2015,与那国町住民投票 自衛隊配備 結果は賛成多数,,,,needs_local_retrieval,needs_local_retrieval,E2,E2,lower_evidence_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0069,A014,住民投票を成功させるための実行委員会,AP019,P011,Yonaguni,AI034,I002,anti_military,F1,基地／反军事,S069,2015,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,EV2015_YONAGUNI_REFERENDUM,2015 Yonaguni SDF-deployment referendum,2015,needs_local_retrieval,needs_local_retrieval,E2,E2,lower_evidence_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0070,A014,住民投票を成功させるための実行委員会,AP019,P011,Yonaguni,AI035,I009,local_autonomy,F4,自治／公投,S010,2015,与那国町住民投票 自衛隊配備 結果は賛成多数,,,,needs_local_retrieval,needs_local_retrieval,E2,E2,lower_evidence_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
SPI0071,A014,住民投票を成功させるための実行委員会,AP019,P011,Yonaguni,AI035,I009,local_autonomy,F4,自治／公投,S069,2015,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,EV2015_YONAGUNI_REFERENDUM,2015 Yonaguni SDF-deployment referendum,2015,needs_local_retrieval,needs_local_retrieval,E2,E2,lower_evidence_same_source_candidate,"Same-source coincidence supports a bounded actor-place-issue evidence triple; it does not by itself establish causality, duration, alliance, or substantive policy effect."
