review_task_id,edge_id,actor_id,issue_id,decision,central_source_ids,package_source_keys,review_status,claim_status,decision_source_report
HR010-B6-037,AI280,A099,I008,accept,S243;S116,EA-S034;EA-S033,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-038,AI281,A099,I007,accept,S116,EA-S033,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-039,AI282,A099,I020,accept,S116;S243,EA-S033;EA-S034,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-040,AI283,A100,I002,accept,S118;S119;S244,EA-S035;EA-S036;EA-S037,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-041,AI284,A100,I007,accept,S119;S244,EA-S036;EA-S037,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-042,AI285,A100,I017,accept,S119;S244,EA-S036;EA-S037,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-043,AI286,A100,I018,accept,S119,EA-S036,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-044,AI287,A100,I026,accept,S244;S119,EA-S037;EA-S036,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-045,AI288,A101,I002,accept,S245,EA-S038,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-046,AI289,A101,I017,accept,S245,EA-S038,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-047,AI290,A101,I018,accept,S245,EA-S038,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-048,AI291,A101,I025,accept,S245,EA-S038,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-049,AI292,A101,I023,accept,S245,EA-S038,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-050,AI293,A101,I012,accept,S245;S246,EA-S038;EA-S039,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
HR010-B6-051,AI294,A101,I020,accept,S247;S246,EA-S040;EA-S039,human_checked,supported_bounded,docs/human_review_return_remaining_online_145_v1.md
