task_family,object_id,decision,approved_formulation,scope_boundary,source_report,human_reviewer,review_date
HR016,HR016-010,revise,R4S008 按印刷 pp.139–140 冻结逐段 speaker 与 frame,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35B_v1.md,项目负责人,2026-07-20
HR016,HR016-011,revise,R4S015 按九个意见主题块和箭头后行政答复拆分，不把 23 人等同发言者,仅冻结该来源中的 speaker、frame 与 locator；不得把个人、匿名意见或行政答复升级为组织／地区总体立场。,docs/human_review_return_HR016_sakishima_batch35B_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9ST027,revise,日期改为 2021-04-26；明确三名自然人提起当事者诉讼,第二诉讼起诉；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9ST028,accept,保持 2021-03-23 和 E3；不补写未知的控诉起日或主文,第一诉讼控诉审终结；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9ST030,revise,加一审判决 locator；结果写三名原告之诉全部却下,第二诉讼地裁判决；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9ST031,revise,结果写三项控诉全部棄却；保持 E3,第二诉讼高裁判决；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9ST032,accept,保持中性“最高裁决定后败诉确定”；不冻结单一处分类型,第二诉讼最高裁终结；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9R001,revise,A068 正名后映射；限定 1997 直接请求与签名组织角色,名护推进协议会角色；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9R030,accept,保持程序性 collective；不映射 A011，不新建 actor,第二诉讼三名个人原告；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9R031,accept,只记录 counsel 功能；不新建个人或组织 actor,第二诉讼原告代理律师；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR017_ONLINE,R9R034,accept,以 E2 记录司法场域；保留无官方决定书／案号限制,最高裁司法场域；仅限在线可闭合的程序阶段／角色，不替代另9项当地资料任务。,docs/human_review_return_HR017_online_batch36_v1.md,项目负责人,2026-07-20
HR018_PREREQUISITE,HR-018-S01,prerequisite_satisfied,"R10S05 → S173；PDF pp.9–10 点名沖縄NGOセンター、KIP 运营、委託料 17,157千円",可送 HR-018-02 关系判断；来源前置本身不批准 commission edge,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S02,prerequisite_satisfied,"R10S06 → S174；PDF pp.9–10 点名沖縄NGOセンター、KIP 运营、委託料 16,970千円",可送 HR-018-03；不从归档成功自动批准金额流,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S03,prerequisite_satisfied,"R10S07 → S175；PDF pp.5–6 载总事业费 18,858 千円、ONC 委托料 16,662 千円及另列交付对象外 3 月运营费 2,196 千円",三个数的关系语义仍由 HR-018-04 决定；不得在前置层合并或推定同一 recipient,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S04,prerequisite_satisfied,R10S08 → S186；会议纪要参加者表把四名沖縄NGOセンター人员列在【事務局】,只支持会议的事务局参与；不单独证明合同、付款或完整职责,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S05,prerequisite_satisfied,R10S09 → S181；ONC 自有活动页明确写 KIP 運営（沖縄市委託），并分别介绍 NGO相談員功能,支持自报角色与功能；不支持具体金额，也不能替代公共机构方向证据,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S06,prerequisite_satisfied,R10S10 → S176；冲绳市设施页说明 KIP 地址、国际交流据点、语学讲座、多语言交流与活动范围,只支持设施／服务范围；页面没有单独承担 ONC recipient 或金额证明,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S07,prerequisite_satisfied,"R10S11 → S184；PDF p.1 点名新外交イニシアティブ、合同 12,842,500 円；p.2 点名沖縄平和協力センター两份独立合同 26,439,000 円与 8,479,000 円",可支持合同记录送 HR-018-08/09/10；仍须分别核 actor crosswalk 与项目边界,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_PREREQUISITE,HR-018-S08,prerequisite_satisfied,R10S12 → S183；PDF p.2 给出协作形态字典：委託、提案型公募による委託、指定管理、補助等,只支持机制代码解释；不能用汇总字典单独批准某一 actor 关系或金额,docs/human_review_return_HR018_preflight_HR025_AP123_batch02_v1.md,项目负责人,2026-07-19
HR018_RELATION,HR-018-01,accept,ONC 是该事业及报告书受托者,无公开合同金额；不写资金规模,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-02,accept,"官方资金流点名委托料 17,157,000 円",公共设施运营委托，不是 grant 或运动资金,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-03,accept,"官方资金流点名委托料 16,970,000 円",同上,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-04,accept,"16,662,000 円是点名 ONC 的交付对象部分委托流",18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-05,accept,县表确认 C1 委托关系；会议纪要确认事务局功能,5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-06,accept,ONC 法定年报确认外务省委托,2.894630m 仅为组织侧事业分类成本,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-07,accept,外务省确认 FY2026 指定角色与服务范围,名单不含金额，也不证明 recipient 网络,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-08,accept,"实际合同 12,842,500 円；C2 提案型公募委托",12.843m 是取整项目费；不是 grant、政治支持或运动资金,docs/human_review_return_HR018_relations_batch19_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-09,accept,"C2 委托；实际合同 26,439,000 円",25.547m 是事业费；与 HR-018-10 是两份独立合同,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-10,accept,"C2 委托；实际合同 8,479,000 円",6.496m 是事业费；与 HR-018-09 是两份独立合同,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-11,revise,"C2 委托；实际合同 27,199,000 円",21.799m 是事业费；JV 为项目复合主体；合同额不得拆给成员,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-12,accept,委托关系、对象、期间和 S002 C1 成立,10.329m 是事业费／提案上限，不是实际合同额；registry crosswalk 留给 HR-032,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-13,revise,"委托关系；实际合同 37,220,999 円",39.739m 是事业费；C1 是 S002 分类，proposal 是合同采购程序；不得拆额,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-14,accept,C2 委托关系、期间和教育功能成立,7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-15,accept,C2 委托关系、期间、JV 和成员构成成立,15.442m 只是事业费；JV 为项目复合主体；不得拆额,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-16,accept,C4 补助关系成立,17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount,docs/human_review_return_HR018_relations_batch20_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-17,accept,一条服务关系＋8 个 site/function observations,不生成资金、政治立场或八条组织关系,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-18,accept,MBC 是现行 Platinum Sponsor,无公开 relation amount；现金与实物支持不估值、不合并,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-19,revise,Matson 是 USO Indo-Pacific Mission Partner,不写成本地定向资助；USO Okinawa 页面只是公开展示入口,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-20,revise,ACGO 在 2012、2015 被列为 AWWA 成员,改成历史 membership；当前名单不含 ACGO；不推断精确退出日,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-23,revise,2015-12-02 捐赠一辆价值 2m 円的无障碍车辆,校正设施名和运营法人；2m 是实物价值，不是现金,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-24,revise,2012 年捐赠无障碍车辆,校正法人名；具体下属设施 unresolved；无金额,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-21,deferred_local_or_internal_record,"102,000 美元是 scholarships＋AWWA 混合口径；拆分需要 KOSC 年报／Form 990 或等价内部记录","不得把全额给 AWWA；本 overlay 不重复 HR033，合并时保留 HR033 已批准的 amount-empty KOSC→AWWA dyad 与独立 aggregate observation。",docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-22,deferred_local_or_internal_record,约 8 亿日元／40 年是跨年度、未逐一列 recipient 的累计报道；年度和 recipient 分解需要年报／Form 990 或当地记录,只可保留不可分配 aggregate history,docs/human_review_return_HR018_relations_batch21_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-25,revise,AWWA 曾帮助当时的 Boy Scouts of America Far East Council 获得皮划艇,事件日期不明；2012 只是报道时点；不补数量、金额、份额或冲绳专属配置,docs/human_review_return_HR018_relations_batch22_v1.md,项目负责人,2026-07-20
HR018_RELATION,HR-018-26,revise,NOSCO 是 2025-08-15 三台工业冷风机共同交付事件的四个贡献团体之一,recipient 正式名称未确认；不把三台设备或全部价值归给 NOSCO,docs/human_review_return_HR018_relations_batch22_v1.md,项目负责人,2026-07-20
HR019_RULE,HR019-CLASS-01,map_to_existing,A089、A090 actor_class 映射为 labor_union,教育属性留在 sector／issue／notes；不批准 issue edge。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-CLASS-02,approve_extension,将 labor_union 加入 actor_class 受控词并用于六个工会／联合体,组织类型不赋予和平、反基地或其他政治立场。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-CLASS-03,map_to_existing,A091、A092 actor_class 映射为 labor_union,联合体结构保留在 legal_status_guess／notes；不推定成员或联盟。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-CLASS-04,map_to_existing,A026 actor_class 映射为 citizen_group,newsletter／机关报只作行动方式；不自动批准长期议题或关系。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-CLASS-05,map_to_womens_organization,A111、A115 actor_class 统一为 womens_organization,社区、和平、人权属于议题／功能，不写入组织类型。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-CLASS-06,map_to_womens_organization,A105、A107 actor_class 统一为 womens_organization,全国／地域层级与法律身份另存；不转移动作。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-STATUS-X014,split_review_and_scope,review_status=human_checked；scope_status=watchlist_only；默认网络排除,公开资料未确认 NED—冲绳 recipient／project；AP048 退役；不是跨年度绝无关系。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-STATUS-X015,split_review_and_scope,review_status=human_checked；scope_status=in_scope_limited,仅限先岛社区防灾／居民避难规划接口；不编码军事立场、合同或实际部署。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_RULE,HR019-FAMILY-01,approve_with_revision,analysis_family_v1 从十层修订为九层；默认121 actor＋X014 watchlist,派生展示层不覆盖 actor_class、origin 或 issue；不生成政治、组织或资金关系。,docs/human_review_return_HR019_batch01_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A113,include_with_scope,PFAS 居民采样／健康请求→市议会请愿、公害调停等程序；是单一污染风险的多渠道转译，不是五个独立议题,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A114,include_with_scope,港湾劳动／罢工能力把基地、先岛军舰寄港与职业安全带入工作场所；多数政治议题边有事件时间,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A115,include_with_scope,县本部把女性／人权、军事性暴力、和平、边野古和公投动员连接；不得转移全国母体全部行动,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A047,include_with_scope,长期和平／反基地定位连接边野古与先岛反军事化；4 个标签有明显语义重叠,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A048,candidate_only,土地拒租／收用程序确有反基地—法律—和平连接，但当前 actor 与关东 block 来源发生单位混淆,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A052,include_with_scope,仅作为嘉手纳各轮噪音诉讼的案件／原告团桥梁：噪音与生活损害→法律程序,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A053,include_with_scope,仅作为普天间各轮噪音诉讼的案件／原告团桥梁：噪音与生活损害→法律程序,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A112,include_with_scope,地下水研究／风险表达→水源保护、监测条例与市政回应；不证明自卫队设施污染,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A001,include_with_scope,边野古—儒艮环境争议→美国海洋哺乳动物委员会；是国际制度翻译桥梁,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A007,include_with_scope,长期 Okinawa project 把和平／反基地、环境传播与对美国社会的倡议连接；不由 NGO 身份自动生成国际边,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch08_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A009,include_with_scope,严格限于冲绳儒艮案的代理律师／国际法律渠道；不是具名原告,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A010,include_with_scope,持续反军事部署定位连接地下水调查和地方参与／决策诉求；风险陈述按组织主张归属,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A011,include_with_scope,自卫队部署争议→住民投票条例请求、市议会与后续司法争议；是请求／运动主体，不是具名组织原告,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A012,candidate_only,现有材料更像单次活动执行委员会；精确组织身份与持续性仍无独立第二来源,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A013,include_with_scope,反军事部署定位连接地下水、危险物与交通／生活安全请求；不证明实际污染或伤害,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A017,include_with_scope,以对话活动连接台湾有事、冲绳前线化预防与和平；三个标签主要属于同一预防性框架,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A018,include_with_scope,持续反战定位连接台湾有事、冲绳／先岛前线化与和平动员；不得推出所有共同参与者关系,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A020,include_with_scope,严格区分案件角色：儒艮案具名原告；泡濑案仅为支持者／正式材料发布者,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A045,include_with_scope,冲绳儒艮案具名组织原告，把生物多样性争议带入美国司法／国际倡议渠道,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A049,include_with_scope,以女性人权与军事性暴力／生活安全框架连接反基地和反军事行动；不能压缩成一般反军事 actor,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch09_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A050,include_with_scope,以律师会决议／会长声明连接基地人权、地方自治和法律论证；不是单次事件 actor,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A051,include_with_scope,2018–2019 年严格程序桥梁：边野古填海争议→直接请求与县民投票；2019-03-26 已决议解散,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A059,include_with_scope,全县 umbrella 把《建白书》、边野古反对、地方组织和自治／自决表达连接；须补全正式名称并与市町村分会分开,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A065,include_with_scope,2016–2018 可证的先岛／琉球弧反军事化—前线化预防定位；当前持续性不外推,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A066,include_with_scope,通过政策研究、法律／自治论证和对美／外交传播连接冲绳基地替代方案；不代表冲绳整体,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A067,include_with_scope,土砂搬出地网络把边野古新基地、外来物种／生物多样性和跨县行动连接；正式名称需纠正,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A068,candidate_only,1997 公投机制成立，但 registry 名称未获史料支持；须改为正式推進協議会并处理其发展性解散／后继关系,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A069,include_with_scope,2003–2012 至少可证的项目型环境评估监督：边野古工程程序→儒艮／生物多样性意见与监测,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A070,include_with_scope,VFP Ryukyu/Okinawa 国际分会把美国退伍军人和平行动与冲绳反基地诉求连接；规范名称待统一,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_BRIDGE,A003,exclude_from_narrative,组织身份和持续性得到补强，但当前两边均属同一儒艮／生物多样性生态簇，不构成有解释价值的跨议题 bridge,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,docs/human_review_return_HR019_bridge_batch10_v1.md,项目负责人,2026-07-19
HR019_EDGE_SCOPE,AI016,organizational_positioning,由长期 Okinawa project 的对美／跨国传播支持；S005 单次声明不足，须补官网项目页,A007 ピースボート—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI021,institutional_or_case_role,严格限于冲绳儒艮案的美国法律渠道；Earthjustice 是律师，不是原告,A009 Earthjustice—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI025,institutional_or_case_role,住民投票直接请求及后续程序的核心角色，不是无限期组织定位,A011 石垣市住民投票を求める会—referendum；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI027,institutional_or_case_role,仅限该公投程序所针对的石垣陆自部署，不泛化为所有反军事议题,A011—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI040,organizational_positioning,台湾有事是其持续对话／前线化预防框架的一部分,A017 沖縄対話プロジェクト—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI042,organizational_positioning,和平／冲突预防是组织目的；不表示活动已产生和平政策效果,A017—peace；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI044,organizational_positioning,组织成立以来的持续框架；S024 错位，须改用 S023＋组织官网,A018 ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
HR019_EDGE_SCOPE,AI048,institutional_or_case_role,冲绳议题中的法律角色须逐案确定，不由律师组织身份无限外推,A020 JELF—legal；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,项目负责人,2026-07-20
