record_audit_id,input_batch,proposal_id,candidate_id,audit_row_id,source_id,integration_status,normalized_url,source_review_status,archive_status,relation_or_claim_approved,caveat
NW2FR024,NW2-C_registry_gate,RV2SP003,RV2C001,NW2FS024,S269,provisional_source_log_new,https://miyakojima-tikasui.com/crisis.html,ai_seeded,archived,no,"Supports the group's public position, not a finding that contamination or a health effect occurred."
NW2FR025,NW2-C_registry_gate,RV2SP004,RV2C001,NW2FS025,S270,provisional_source_log_new,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,ai_seeded,archived,no,Policy advocacy evidence; it does not independently verify the asserted environmental risk level.
NW2FR026,NW2-C_registry_gate,RV2SP005,RV2C001,NW2FS026,S271,provisional_source_log_new,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,ai_seeded,archived,no,"Supports identity and recipient-side procedure, not agreement with the group's scientific interpretation."
NW2FR027,NW2-C_registry_gate,RV2SP006,RV2C001,NW2FS027,S272,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-1254033.html,ai_seeded,archived,no,"An election questionnaire is a dated public intervention, not proof of later policy effect."
NW2FR028,NW2-C_registry_gate,RV2SP007,RV2C002,NW2FS028,S273,provisional_source_log_new,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,ai_seeded,archived,no,The testimony says work began with the 2016 PFOS disclosure; it does not give a precise legal formation date.
NW2FR029,NW2-C_registry_gate,RV2SP008,RV2C002,NW2FS029,S274,provisional_source_log_new,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,ai_seeded,archived,no,The resolution uses probability language for a base source; do not strengthen it to established causation.
NW2FR030,NW2-C_registry_gate,RV2SP009,RV2C002,NW2FS030,S275,provisional_source_log_new,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,ai_seeded,archived,no,Paywalled after the visible evidence; preserve the visible locator and do not infer beyond it.
NW2FR031,NW2-C_registry_gate,RV2SP010,RV2C002,NW2FS031,S276,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-1421139.html,ai_seeded,archived,no,A request does not establish that the requested blood testing was performed.
NW2FR032,NW2-C_registry_gate,RV2SP011,RV2C002,NW2FS032,S277,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-1730706.html,ai_seeded,archived,no,"Documents a request, not its acceptance or an institutional partnership."
NW2FR033,NW2-C_registry_gate,RV2SP012,RV2C002,NW2FS033,S278,provisional_source_log_new,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,ai_seeded,archived,no,The expert explicitly says the sample cannot be converted to foam volume or sewer concentration.
NW2FR034,NW2-C_registry_gate,RV2SP013,RV2C002,NW2FS034,S279,provisional_source_log_new,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,ai_seeded,failed,no,Use only for identity separation and attributed participation; co-participation is not an alliance.
NW2FR035,NW2-C_registry_gate,RV2SP014,RV2C003,NW2FS035,S280,provisional_source_log_new,https://www.shinfujin.gr.jp/about/organization,ai_seeded,archived,no,National identity alone does not transfer every national action to the Okinawa headquarters.
NW2FR036,NW2-C_registry_gate,RV2SP015,RV2C003,NW2FS007,S254,provisional_source_log_new,https://www.shinfujin.gr.jp/2943,ai_seeded,archived,no,Supports the branch's attributed activity; election commentary must not become a causal claim.
NW2FR037,NW2-C_registry_gate,RV2SP016,RV2C003,NW2FS036,S281,provisional_source_log_new,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,ai_seeded,archived,no,"Joint signature with the central body proves a bounded request, not all-purpose identity equivalence."
NW2FR038,NW2-C_registry_gate,RV2SP017,RV2C003,NW2FS037,S282,provisional_source_log_new,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,ai_seeded,archived,no,"An administrative diary entry confirms a request, not the full content or outcome."
NW2FR039,NW2-C_registry_gate,RV2SP018,RV2C003,NW2FS038,S283,provisional_source_log_new,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,ai_seeded,archived,no,Use for the dated public role only; do not code party affiliation or a stable alliance.
NW2FR040,NW2-C_registry_gate,RV2SP019,RV2C004,NW2FS039,S284,provisional_source_log_new,https://www.mhlw.go.jp/churoi/meirei_db/mei/pdf/m11367.pdf,ai_seeded,archived,no,Use for identity and legal procedure only; the merits are unrelated to Phase-1 issue coding.
NW2FR041,NW2-C_registry_gate,RV2SP020,RV2C004,NW2FS040,S285,provisional_source_log_new,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,ai_seeded,archived,no,"Generic strike notices establish continuity, not Phase-1 political positions."
NW2FR042,NW2-C_registry_gate,RV2SP021,RV2C004,NW2FS041,S286,provisional_source_log_new,https://ryukyushimpo.jp/news/prentry-249100.html,ai_seeded,archived,no,Participant count is organizer-reported; the event does not establish alliance ties.
NW2FR043,NW2-C_registry_gate,RV2SP022,RV2C004,NW2FS042,S287,provisional_source_log_new,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,ai_seeded,archived,no,The resolution recounts the plan; it is not a union membership record or legal judgment.
NW2FR044,NW2-C_registry_gate,RV2SP023,RV2C004,NW2FS043,S288,provisional_source_log_new,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,ai_seeded,archived,no,The record contains contested characterizations of legality; this gate records occurrence and attributed rationale only.
NW2FR045,NW2-C_registry_gate,RV2SP024,RV2C004,NW2FS044,S289,provisional_source_log_new,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,ai_seeded,archived,no,"A participant report supports a bounded activity observation, not the position of every union member."
NW2FR046,NW2-C_registry_gate,RV2SP025,RV2C005,NW2FS045,S290,provisional_source_log_new,https://yaimatime.com/schedule/archive/2302/12/23,ai_seeded,failed,no,Archive URL metadata is unusual; verify the original local-newspaper record before freezing the formation date.
NW2FR047,NW2-C_registry_gate,RV2SP026,RV2C005,NW2FS046,S291,provisional_source_log_new,https://ryukyushimpo.jp/news/entry-209354.html,ai_seeded,failed,no,The wider meeting had multiple organizers; do not infer a stable alliance.
NW2FR048,NW2-C_registry_gate,RV2SP027,RV2C005,NW2FS047,S292,provisional_source_log_new,https://www.kinyobi.co.jp/kinyobinews/2017/01/25/%E9%99%B8%E8%87%AA%E9%85%8D%E5%82%99%E3%81%A7%E3%80%8C%E5%8F%97%E3%81%91%E5%85%A5%E3%82%8C%E3%80%8D%E8%A1%A8%E6%98%8E%E2%80%95%E2%80%95%E4%BD%8F%E6%B0%91%E8%A3%8F%E5%88%87%E3%82%8A%E3%81%AE%E7%9F%B3,ai_seeded,archived,no,Attributed statement only; publisher has an advocacy position.
NW2FR049,NW2-C_registry_gate,RV2SP028,RV2C005,NW2FS048,S293,provisional_source_log_new,https://iwj.co.jp/wj/open/archives/374937,ai_seeded,archived,no,Co-organization is event-level and does not establish a permanent alliance.
NW2FR050,NW2-C_registry_gate,RV2SP029,RV2C005,NW2FS049,S294,provisional_source_log_new,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,ai_seeded,failed,no,"Analytical diagram, not an official membership roster; the component relation needs human or primary confirmation."
