origin_type,origin_key,subject_id,source_id,normalized_url,source_log_state,source_review_status,relation_or_claim_approved,evidence_boundary
registry_expansion_gate_v1,GSP015,C030,S217,https://www.npo-homepage.go.jp/npoportal/document/047024571/hokoku/2021700/2021%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,integrated_or_existing,ai_seeded,no,Negative action evidence; generic charter purpose alone is insufficient for this expansion round.
registry_expansion_gate_v1,GSP016,C031,S218,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047023569,integrated_or_existing,ai_seeded,no,No deployment-politics claim is supported.
registry_expansion_gate_v1,GSP017,C031,S219,https://miyako-island.net/activity/npo%E6%B3%95%E4%BA%BA%E5%AE%AE%E5%8F%A4%E5%B3%B6%E8%87%AA%E7%84%B6%E7%B7%91%E5%8C%96%E5%8D%94%E4%BC%9A,integrated_or_existing,ai_seeded,no,Supports general environment/community function only.
registry_expansion_gate_v1,GSP018,C032,S220,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2360005003935,integrated_or_existing,ai_seeded,no,Corporate identity alone does not approve issue edges.
registry_expansion_gate_v1,GSP019,C032,S221,https://www.kagisuma.jp/,integrated_or_existing,ai_seeded,no,Use 美ぎ島MIYAKO as an alias; no anti-deployment stance is shown.
registry_expansion_gate_v1,GSP020,C032,S222,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/633/sangohosaisoukatsu5.pdf,integrated_or_existing,ai_seeded,no,Human review must verify the row/year crosswalk before creating a groundwater edge; do not infer a payment amount from this gate packet.
registry_expansion_gate_v1,GSP021,C033,S223,https://www.npo-oec.com/aboutUs.html,integrated_or_existing,ai_seeded,no,"Project participation is a functional observation, not a political stance or funding inference."
registry_expansion_gate_v1,GSP022,C033,S224,https://www.jstage.jst.go.jp/article/pronatura/34/0/34_207/_pdf/-char/en,integrated_or_existing,ai_seeded,no,Supports environment/biodiversity programming; the grant must not be generalized beyond the stated project.
registry_expansion_gate_v1,GSP023,C034,S225,https://www.pref.okinawa.jp/kurashikankyo/kankyo/1004287/1004527.html,integrated_or_existing,ai_seeded,no,"Supports mixed cross-sector origin, not a purely grassroots classification."
registry_expansion_gate_v1,GSP024,C034,S226,https://ocrcc.sakura.ne.jp/about/keii.html,integrated_or_existing,ai_seeded,no,Formation by a prefectural project does not make the council identical to Okinawa Prefecture.
registry_expansion_gate_v1,GSP025,C034,S203,https://ocrcc.sakura.ne.jp/,integrated_or_existing,ai_seeded,no,Member presence is not an alliance edge.
registry_expansion_gate_v1,GSP026,C034,S227,https://ocrcc.sakura.ne.jp/doc/sango_week/sw_application2024.pdf,integrated_or_existing,ai_seeded,no,Program coordination is not evidence that every participating organization has a stable relation to the council.
edge_activation_post_HR013_v1,EA-S001,A076,S060,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,integrated_or_existing,ai_seeded,no,Plaintiff role is case-specific; it does not prove continuing organizational activity after the litigation.
edge_activation_post_HR013_v1,EA-S002,A076,S093,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_03-cv-04350/pdf/USCOURTS-cand-3_03-cv-04350-16.pdf,integrated_or_existing,ai_seeded,no,Use only for named-party/legal-role facts; scanned pagination should be pinpointed before quotation.
edge_activation_post_HR013_v1,EA-S003,A076,S063,https://ryukyushimpo.jp/okinawa-dic/prentry-41677.html,integrated_or_existing,ai_seeded,no,Secondary reference; legal status and continuity still need local or organizational records.
edge_activation_post_HR013_v1,EA-S004,A086,S228,https://seaturtles.org/wp-content/uploads/2025/01/TIRN-6.30.2024-Public-Disclosure-Copy-2.pdf,integrated_or_existing,ai_seeded,no,"Establishes organizational identity and general marine mission, not the Okinawa case by itself."
edge_activation_post_HR013_v1,EA-S005,A086,S060,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,integrated_or_existing,ai_seeded,no,Case participation is not a stable alliance and does not establish a continuing Okinawa program.
edge_activation_post_HR013_v1,EA-S006,A086,S229,https://seaturtles.org/wp-content/uploads/2019/01/19-01-02-OPENING-BRIEF.pdf,integrated_or_existing,ai_seeded,no,Use as litigation evidence only; do not infer broader political stance.
edge_activation_post_HR013_v1,EA-S007,A087,S103,https://www.npo-homepage.go.jp/npoportal/gyosei-print/047006834,integrated_or_existing,ai_seeded,no,"Statutory purpose supports positioning, not proof of every planned activity being implemented."
edge_activation_post_HR013_v1,EA-S008,A087,S230,https://www.ishiji.org/about,integrated_or_existing,ai_seeded,no,Organization-authored framing; distinguish aspiration from completed international participation.
edge_activation_post_HR013_v1,EA-S009,A088,S104,https://www.npo-homepage.go.jp/npoportal/list?fiscal_year_end_first=&fiscal_year_end_second=&fiscal_year_start_first=&fiscal_year_start_second=&goc%5B0%5D=000&order=desc&page=260&sort=gov_code,integrated_or_existing,ai_seeded,no,Identity only; use activity sources for actor–issue edges.
edge_activation_post_HR013_v1,EA-S010,A088,S231,https://www.jica.go.jp/domestic/okinawa/activities/kaihatsu/festival/2022/organization_02/08.html,integrated_or_existing,ai_seeded,no,Administrative/international-cooperation node; do not recode as anti-base or movement funding.
edge_activation_post_HR013_v1,EA-S011,A088,S232,https://www.jica.go.jp/domestic/okinawa/information/topics/2023/1525168_14644.html,integrated_or_existing,ai_seeded,no,"Confirms a project role, not a payment amount or movement relation."
edge_activation_post_HR013_v1,EA-S012,A089,S105,https://www.oki-tu.org/about_us,integrated_or_existing,ai_seeded,no,Mission/history supports peace and anti-war positioning; inter-organizational cooperation mentioned there is not an alliance edge.
edge_activation_post_HR013_v1,EA-S013,A089,S233,https://www.oki-tu.org/branch,integrated_or_existing,ai_seeded,no,A branch statement cannot automatically be generalized to every prefectural-union unit; HR-010 must decide attribution.
edge_activation_post_HR013_v1,EA-S014,A090,S106,https://www.oki-htu.or.jp/about.php,integrated_or_existing,ai_seeded,no,Annual march is a public repertoire; it does not itself establish alliances with other participants.
edge_activation_post_HR013_v1,EA-S015,A091,S107,https://www.rengo-okinawa.jp/about-us,integrated_or_existing,ai_seeded,no,Identity only.
edge_activation_post_HR013_v1,EA-S016,A091,S108,https://www.rengo-okinawa.jp/cat-news/post-2485,integrated_or_existing,ai_seeded,no,Event-specific request; do not treat it as the federation’s entire mission.
edge_activation_post_HR013_v1,EA-S017,A091,S234,https://www.rengo-okinawa.jp/cat-news/post-2174,integrated_or_existing,ai_seeded,no,Participation and hosting are not proof of stable alliance with every attendee.
edge_activation_post_HR013_v1,EA-S018,A091,S235,https://www.rengo-okinawa.jp/cat-news/post-2414,integrated_or_existing,ai_seeded,no,"A leadership statement is source-backed positioning for this period, not timeless consensus."
edge_activation_post_HR013_v1,EA-S019,A092,S109,https://okinawakenroren.org/kenrorenshokai.html,integrated_or_existing,ai_seeded,no,"Supports positioning, not a relation to other organizations."
edge_activation_post_HR013_v1,EA-S020,A093,S236,https://www.jichiro.okinawa/about.php,integrated_or_existing,ai_seeded,no,Identity only.
edge_activation_post_HR013_v1,EA-S021,A093,S110,https://www.jichiro.okinawa/,integrated_or_existing,ai_seeded,no,Index entries support visible actions; members-only detail may still require locator review.
edge_activation_post_HR013_v1,EA-S024,A095,S237,https://www.miyakomainichi.com/news/post-76312,integrated_or_existing,ai_seeded,no,Statements are reported at the founding meeting; claims about risk and water impacts remain attributed to the group/speakers.
edge_activation_post_HR013_v1,EA-S025,A095,S112,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/017/050/inkaihou.compressed.pdf,integrated_or_existing,ai_seeded,no,"Proves formal petitioning and issue connection, not acceptance of every substantive claim."
edge_activation_post_HR013_v1,EA-S026,A095,S238,https://www.miyakomainichi.com/news/post-81162,integrated_or_existing,ai_seeded,no,"Signature count is an event record, not membership size or alliance strength."
edge_activation_post_HR013_v1,EA-S027,A096,S239,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/h27.6.dai4kaikaigiroku.pdf,integrated_or_existing,ai_seeded,no,Proves a formal anti-deployment request; it does not prove all registry tags.
edge_activation_post_HR013_v1,EA-S028,A096,S240,https://www.miyakomainichi.com/2011/06/20401,integrated_or_existing,ai_seeded,no,Reported event and speaker claims; do not infer a stable coalition from attendance.
edge_activation_post_HR013_v1,EA-S029,A097,S114,https://www.npo-mec.net/,integrated_or_existing,ai_seeded,no,General environmental actor; no deployment stance is inferred.
edge_activation_post_HR013_v1,EA-S030,A097,S241,https://www.npo-mec.net/services,integrated_or_existing,ai_seeded,no,Groundwater conservation is confirmed; no automatic military-facility linkage.
edge_activation_post_HR013_v1,EA-S031,A098,S115,https://econet.jpn.org/,integrated_or_existing,ai_seeded,no,General marine/environment work; no anti-base stance inferred.
edge_activation_post_HR013_v1,EA-S032,A098,S242,https://econet.jpn.org/outline,integrated_or_existing,ai_seeded,no,Supports environment/biodiversity positioning only.
edge_activation_post_HR013_v1,EA-S033,A099,S116,https://darkwater.okinawa/about,integrated_or_existing,ai_seeded,no,Base-source and health-effect statements are the organization’s attributed claims; actor–issue coding does not certify causation.
edge_activation_post_HR013_v1,EA-S034,A099,S243,https://darkwater.okinawa/pfas%E8%A1%80%E4%B8%AD%E6%BF%83%E5%BA%A6%E8%AA%BF%E6%9F%BB%E3%81%B8%E3%80%80%E5%B8%82%E6%B0%91%E9%80%A3%E7%B5%A1%E4%BC%9A%E3%81%8C%E6%8B%A1%E5%A4%A7%E5%B9%B9%E4%BA%8B%E4%BC%9A%EF%BC%885%E6%9C%8825,integrated_or_existing,ai_seeded,no,Evidence of the group’s health-risk action; not independent validation of causal claims.
edge_activation_post_HR013_v1,EA-S035,A100,S118,https://www.city.uruma.lg.jp/documents/2778/163164165kaigiroku_2.pdf,integrated_or_existing,ai_seeded,no,"Government minutes confirm public existence/context, not every movement claim."
edge_activation_post_HR013_v1,EA-S036,A100,S119,https://ryukyushimpo.jp/news/entry-1623776.html,integrated_or_existing,ai_seeded,no,Reported statements remain attributed; fear of targeting is not coded as a proven future event.
edge_activation_post_HR013_v1,EA-S037,A100,S244,https://ryukyushimpo.jp/news/national/entry-2869997.html,integrated_or_existing,ai_seeded,no,Signature count and request are event-specific; no stable alliance inference.
edge_activation_post_HR013_v1,EA-S038,A101,S245,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF,integrated_or_existing,ai_seeded,no,Organization-authored positioning; does not establish the truth of projected contingency scenarios.
edge_activation_post_HR013_v1,EA-S039,A101,S246,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E7%AC%AC1%E5%9B%9E-2023-11-12,integrated_or_existing,ai_seeded,no,One event does not prove stable alliance among speakers or supporting groups.
edge_activation_post_HR013_v1,EA-S040,A101,S247,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E5%A3%B0%E6%98%8E-%E6%8F%90%E8%A8%80,integrated_or_existing,ai_seeded,no,Event-specific environmental/procedural advocacy; not a general anti-development position.
