source_cluster_key,normalized_url,proposal_refs,proposal_origins,titles,reference_count,existing_source_id,source_resolution,disposition,final_source_id,review_status_for_future_new_row,relation_or_claim_approved_for_future_new_row
USNSC-6CC920924CFB,https://www.mcipac.marines.mil/Media-Room/News/Article/3871746/neighborhood-pantry-expands-to-camp-kinser,SP027,service_proposal,Neighborhood Pantry expands to Camp Kinser,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-2A1B03969114,https://www.niosc.org/about-us,SP028,service_proposal,North Island Okinawa Spouses Club About Us,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-D86ABAAB01FA,https://www.nmcrs.org/locations/okinawa-japan,SP030;USN07-DIR-C021,directory_new_source_needed;service_proposal,NMCRS Okinawa location;Navy-Marine Corps Relief Society Okinawa,2,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-C4E6F0834C4C,https://www.okinawa.usmc-mccs.org/more/private-organizations,SP001,service_proposal,Private Organizations,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-41B343B88912,https://www.pacificenvironment.org/,USN07-DIR-C004,directory_new_source_needed,Pacific Environment,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-2BB51E5092DF,https://www.pronatura.ch/en,USN07-DIR-C006,directory_new_source_needed,Pro Natura,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-1D69F3778282,https://www.redcross.org/get-help/military-families/overseas-military-community-support.html,SP029,service_proposal,American Red Cross Overseas Military Community Support,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-95840B29401E,https://www.veteransforpeace.org/files/1415/8938/5791/20.05.13.ChapterContact.pdf,USAP004,accountability_proposal,Veterans For Peace,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-6A3DD04962E5,https://www.veteransforpeace.org/files/8616/8433/7175/VFPNews_2023.Spring-FULL_SMALL_FIN.pdf,USAP006,accountability_proposal,Veterans For Peace,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-8405ADA59F13,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting,USAP007,accountability_proposal,Veterans For Peace,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-D6D5C1D3E2A3,https://www.veteransforpeace.org/who-we-are/member-highlights/2021/02/08/okinawa-understanding-history-and-resistance-us-militarism,USAP005,accountability_proposal,Veterans For Peace,1,,candidate_new_non_propublica,project,,ai_seeded,no
USNSC-5D1EF451B5C5,https://www.ywca.or.jp/aboutus/japan,USN07-DIR-C011,directory_new_source_needed,沖縄YWCA,1,,candidate_new_non_propublica,project,,ai_seeded,no
