proposal_row_id,merge_status,current_main_match,cross_module_duplicate,proposed_new,normalized_url,original_urls,current_main_source_ids,declared_existing_source_ids,proposed_source_id,module_source_refs,support_modules,module_record_count,proposed_title,proposed_source_type,proposed_year_or_period,proposed_evidence_level,module_dispositions,what_it_supports,review_boundary,main_archive_status,archive_prerequisite,human_review_required,human_review_prerequisite,metadata_conflicts,recommended_action
SMC011,proposed_new,no,no,yes,https://www.city.ishigaki.okinawa.jp/material/files/group/9/r71zitikihon_siryou1-3.pdf,https://www.city.ishigaki.okinawa.jp/material/files/group/9/r71zitikihon_siryou1-3.pdf,,,S164,R9:R9S018,R9,1,石垣市自治基本条例 これまでの見直し・改正,local_official,2025,E4,R9:accepted,R9C_ISHIGAKI_2018_2024: 2021年删除第27/28条,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC012,proposed_new,no,no,yes,https://www.city.ishigaki.okinawa.jp/soshiki/1/kokuminhogokankei/10812.html,https://www.city.ishigaki.okinawa.jp/soshiki/1/kokuminhogokankei/10812.html,,,S165,R4:R4S013,R4,1,石垣市避難実施要領概要,local_official,2022,E4,R4:safe_merge,Ishigaki: 石垣市连续公开年度撤离实施要领概要 [frontline_taiwan_evacuation;life_safety],需下载各年度PDF比较变化 | 年度链接与页面更新时间 2026-02-27 可复核,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC013,proposed_new,no,no,yes,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1310.html,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1310.html,,,S166,R9:R9S023,R9,1,令和元年第1回石垣市議会臨時会提出議案と議決結果,official_legislative_record,2019,E4,R9:accepted,R9C_ISHIGAKI_2018_2024: 第一次条例案于2019-02-01否决,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC014,proposed_new,no,no,yes,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1314.html,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1314.html,,,S167,R9:R9S024,R9,1,令和元年第4回石垣市議会定例会提出議案と議決結果,official_legislative_record,2019,E4,R9:accepted,R9C_ISHIGAKI_2018_2024: 2019-06-17議員提出議案第2号及否决,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC015,proposed_new,no,no,yes,https://www.city.miyakojima.lg.jp/gyosei/kihonkeikaku/kensetsu/shisaku2.html,https://www.city.miyakojima.lg.jp/gyosei/kihonkeikaku/kensetsu/shisaku2.html,,,S168,R4:R4S001,R4,1,宮古島市新市施策：水源保护条例,local_official,undated,E4,R4:safe_with_correction,Miyako: 市政府把地下水源保护表述为岛民守护饮用水的共同意志 [groundwater_life_safety],这是一般水政策背景；不得自动归因于自卫队部署 | 一般地下水政策可作宫古背景；没有部署连接，删除 environment_deployment,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_year_or_period,,"after archive and review, add proposed source row"
SMC016,proposed_new,no,no,yes,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/2019-0613-1126-269.html,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/2019-0613-1126-269.html,,,S169,R4:R4S006,R4,1,宮古島市国民保護計画,local_official,2019,E4,R4:safe_merge,Miyako: 市政府以武力攻击和大规模恐怖事件为国民保护计划的法定情境 [frontline_taiwan_evacuation;life_safety],法定规划不等于冲突将发生 | 法定国民保护计划情境定位准确,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC017,proposed_new,no,no,yes,https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2026-0513-1044-269.html,https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2026-0513-1044-269.html,,,S170,R4:R4S009,R4,1,国民保護共同訓練住民意見と回答,local_official,2025,E4,R4:safe_with_correction,Miyako: 公开问答说明撤离推演以港口机场仍可使用为前提 [frontline_taiwan_evacuation;procedural_fairness],应人工编码居民疑问与政府回答的不同立场 | 原摘录“空港や港湾などのインフラ”在页面及两份附件中未找到；原“基础设施仍可用”释义也不受该问答支持,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC018,current_main_match,yes,no,no,https://www.city.nago.okinawa.jp/kurashi/2018071900226,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,S042,S042,,R9:R9S002,R9,1,名護市民投票 基地建設反対が多数,local_official,1997,E4,R9:accepted,R9C_NAGO_1997: 反对多数、投票后市长接受并辞职,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",archived,none_current_main_archive_available,no,none,,reuse current main source ID; do not add a duplicate
SMC019,proposed_new,no,no,yes,https://www.city.nago.okinawa.jp/kurashi/2018071901216,https://www.city.nago.okinawa.jp/kurashi/2018071901216/,,,S171,R9:R9S003,R9,1,その他の選挙（県民投票・市民投票）,local_official,2026,E4,R9:accepted,R9C_NAGO_1997: 1997投票日期与官方结果文件入口,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC020,proposed_new,no,no,yes,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,,,S172,R9:R9S022,R9,1,1997年12月21日名護市民投票結果,local_official,1997,E4,R9:accepted,R9C_NAGO_1997: 完整票数、选举人、投票者、有效无效票和投票率,核心总计一致；不引用有90票差异的当日投票小计。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC021,proposed_new,no,no,yes,https://www.city.okinawa.okinawa.jp/documents/1858/1kanryou.pdf,https://www.city.okinawa.okinawa.jp/documents/1858/1kanryou.pdf,,,S173,R10:R10S05,R10,1,冲绳市 FY2019 交付金事业检证表,local_official,2019,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: KIP PDF pp.9-10,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC022,proposed_new,no,no,yes,https://www.city.okinawa.okinawa.jp/documents/1858/2kannryou.pdf,https://www.city.okinawa.okinawa.jp/documents/1858/2kannryou.pdf,,,S174,R10:R10S06,R10,1,冲绳市 FY2020 交付金事业检证表,local_official,2020,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: KIP PDF pp.9-10,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC023,proposed_new,no,no,yes,https://www.city.okinawa.okinawa.jp/documents/1858/r0607okinawashi.pdf,https://www.city.okinawa.okinawa.jp/documents/1858/r0607okinawashi.pdf,,,S175,R10:R10S07,R10,1,冲绳市 FY2024 交付金事业检证表,local_official,2024,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: KIP PDF pp.5-6,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC024,proposed_new,no,no,yes,https://www.city.okinawa.okinawa.jp/k034/sportsbunka/bunkarekishi/bunkageijutsu/3938939394.html,https://www.city.okinawa.okinawa.jp/k034/sportsbunka/bunkarekishi/bunkageijutsu/3938939394.html,,,S176,R10:R10S10,R10,1,Koza International Plaza 设施页,national_official,undated,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: facility/service scope,function evidence only | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC025,current_main_match,yes,yes,no,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,S137,S137,,R9:R9S015;R4:R4S010,R4;R9,2,石垣市住民投票実施義務付け等請求事件判決,court_record,2020,E4,R4:safe_with_correction;R9:accepted,Ishigaki: 法院认定请求代表收集14263份有效签名并提出自卫队部署住民投票条例请求 [local_autonomy_referendum;procedural_fairness] | R9C_ISHIGAKI_2018_2024: 签名、请求、令和元年行ウ14/15及全部却下,判决驳回诉求；事实认定与法律结论须分开 | 判决日期为 2020-08-27；事实链和签名数成立，但判决不具名 A011；本行工作 URL 可用而 S137 source-log 旧 URL 为 404，合并前须统一回指 | 使用法院迁移后URL；主source log旧URL尚未在本脚本中修改。,failed,current_main_registered_but_archive_retry_or_check_needed,yes,resolve_metadata_or_URL_conflict,declared_existing_id_url_mismatch=S137,reuse current main source ID; do not add a duplicate
SMC026,proposed_new,no,no,yes,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/reiwa7.pdf,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/reiwa7.pdf,,,S177,R9:R9S026,R9,1,福岡高等裁判所特別保存事件一覧,court_record,2025,E4,R9:accepted,R9C_ISHIGAKI_2018_2024: 令和2年行コ3号与令和5年行コ6号案号,保存表确认案号，不能替代判决主文。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC027,proposed_new,no,no,yes,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,,,S178,R9:R9S016,R9,1,那覇地方裁判所特別保存事件一覧,court_record,2024,E4,R9:accepted,R9C_ISHIGAKI_2018_2024: 令和元年行ウ14/15及终局日,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC028,proposed_new,no,no,yes,https://www.ichikawa-fusae.or.jp/20210313-1,https://www.ichikawa-fusae.or.jp/20210313-1/,,,S179,R9:R9S021,R9,1,辺野古県民投票の民意とこれから・元山仁士郎講座記録,official_or_primary_web_record,2021,E3,R9:usable_with_limit,R9C_PREF_2019: 2018-04-16组织成立日期,后续讲座记录；组织与请求代表角色优先使用官方R9S030/R9S031。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,,"after archive and review, add proposed source row"
SMC029,current_main_match,yes,no,no,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,S015,S015,,R9:R9S034,R9,1,与那国に自衛隊いらない 配備反対の意見広告呼びかけ,party_news,2012,E2,R9:usable_with_limit,R9C_YONAGUNI_2015: A015意见广告动员、名称与共同代表线索,单一政党媒体；需八重山报纸、广告实物或组织材料。,archived,none_current_main_archive_available,yes,retain_usable_with_limit_boundary,,reuse current main source ID; do not add a duplicate
SMC030,proposed_new,no,no,yes,https://www.kokuminhogo.go.jp/kunren/kyodo/post-103.html,https://www.kokuminhogo.go.jp/kunren/kyodo/post-103.html,,,S180,R4:R4S025,R4,1,与那国町住民避难联合训练,national_official,2025,E4,R4:safe_merge,Yonaguni: 国家与接收地政府把与那国撤离和安置作为联合推演对象 [frontline_taiwan_evacuation;life_safety],训练计划不是实际撤离能力验证 | 与那国到佐贺的避难、接收与救护节点均可复核；训练不等于能力验证,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC031,current_main_match,yes,no,no,https://www.mod.go.jp/gsdf/station/wa/yonaguni,https://www.mod.go.jp/gsdf/station/wa/yonaguni/,S012,S012,,R4:R4S019,R4,1,与那国駐屯地 陸上自衛隊公式,official_defense,2026,E4,R4:safe_with_correction,Yonaguni: 官方页面确认驻屯地及沿岸监视队的组织存在 [frontline_taiwan_evacuation],只证实部署事实不证实社会反应 | 驻屯地页面只证实设施和部队存在；删除 environment_deployment,archived,none_current_main_archive_available,yes,confirm_year_or_period,,reuse current main source ID; do not add a duplicate
SMC032,current_main_match,yes,no,no,https://www.mod.go.jp/j/press/wp/wp2022/html/nc014000.html,https://www.mod.go.jp/j/press/wp/wp2022/html/nc014000.html,S013,S013,,R4:R4S018,R4,1,令和4年版防衛白書 与那国と台湾,official_defense,2022,E4,R4:safe_merge,Yonaguni: 防卫省把与那国表述为邻近领海领空边界的最前线监视节点 [frontline_taiwan_evacuation],这是防卫省制度框架；不能当居民共识 | 防卫省的前线／台湾邻近自我框架明确；不得外推居民共识,archived,none_current_main_archive_available,no,none,,reuse current main source ID; do not add a duplicate
SMC033,current_main_match,yes,no,no,https://www.npo-mec.net/,https://www.npo-mec.net/,S114,S114,,R4:R4S004,R4,1,宮古島環境クラブ,organization_site,2026,E4,R4:safe_with_correction,Miyako: 组织自述持续从事水边环境保护与环境教育 [environment_background_not_deployment],只能证明环境功能；不能推断反部署立场 | 官网只支持水边自然保护和环境教育；既非地下水证据也非部署争议证据,archived,none_current_main_archive_available,yes,confirm_year_or_period,,reuse current main source ID; do not add a duplicate
SMC034,proposed_new,no,no,yes,https://www.oki-ngo.org/project,https://www.oki-ngo.org/project,,,S181,R10:R10S09,R10,1,ONC 的活动,organization_site,undated,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: KIP/NGO consultant function,distinct subpage; do not collapse into S095 without a page-level policy | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC035,current_main_match,yes,no,no,https://www.okinawatimes.co.jp/articles/-/1448767,https://www.okinawatimes.co.jp/articles/-/1448767,S068,S068,,R4:R4S023,R4,1,沖縄タイムス 日米の合同演習 市民が中止要請 与那国イソバの会,local_news,2024,E3,R4:safe_with_correction,Yonaguni: 新闻确认Isoba会对日美联合训练提出停止要求 [frontline_taiwan_evacuation],需核付费正文和请求书原件 | 可确认 A016 提交停止训练请求；可见正文不支持 life_safety，删除该标签,archived,none_current_main_archive_available,no,none,,reuse current main source ID; do not add a duplicate
SMC036,proposed_new,no,no,yes,https://www.otv.co.jp/okitive/news/post/00012171/index.html,https://www.otv.co.jp/okitive/news/post/00012171/index.html,,,S182,R9:R9S019,R9,1,石垣市住民投票を求める会が解散,local_news,2024,E2,R9:usable_with_limit,R9C_ISHIGAKI_2018_2024: 最高裁后终局与组织解散报道,最高裁程序措辞与QAB冲突；组织沿革需历史材料。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,,"after archive and review, add proposed source row"
SMC037,proposed_new,no,no,yes,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/917/2r6kekka.pdf,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/917/2r6kekka.pdf,,,S183,R10:R10S12,R10,1,冲绳县 FY2024 NPO 协作调查结果汇总,prefectural_official,2024,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: PDF p.2 mechanism-code dictionary,code-definition source; archive and add before merge | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC038,proposed_new,no,no,yes,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/015/127/koushitsu1.pdf,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/015/127/koushitsu1.pdf,,,S184,R10:R10S11,R10,1,冲绳县 FY2024 第一季度随意合同实绩（知事公室）,prefectural_official,2024,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: PDF p.1 A066; p.2 A088,key official contract source; archive and add before merge | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC039,proposed_new,no,no,yes,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,,,S185,R9:R9S030,R9,1,沖縄県議会軍特委員会記録 県民投票条例請求代表者参考人,official_legislative_record,2018,E4,R9:accepted,R9C_PREF_2019: A051、元山、安里、中村的组织身份与请求代表角色,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC040,proposed_new,no,no,yes,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/034/046/3gaiyo.pdf,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/034/046/3gaiyo.pdf,,,S186,R10:R10S08,R10,1,FY2024 第3回多文化共生万国津梁会议纪要,prefectural_official,2024,E4,R10:module_candidate_not_in_main_log,R10 administrative-collaboration evidence: secretariat role,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,,"after archive and review, add proposed source row"
SMC041,proposed_new,no,no,yes,https://www.pref.okinawa.jp/heiwakichi/futenma/1017409/1017427.html,https://www.pref.okinawa.jp/heiwakichi/futenma/1017409/1017427.html,,,S187,R9:R9S012,R9,1,辺野古新基地建設問題の経緯,prefectural_official,2026,E4,R9:accepted,R9C_PREF_2019: 投票结果与结果通知,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC042,proposed_new,no,no,yes,https://www.pref.okinawa.jp/kenkouhou/H30/10gatsu/181031gogai43.pdf,https://www.pref.okinawa.jp/kenkouhou/H30/10gatsu/181031gogai43.pdf,,,S188,R9:R9S010,R9,1,沖縄県公報号外第43号・県民投票条例第62号,prefectural_official,2018,E4,R9:accepted,R9C_PREF_2019: 条例公布、目的、执行与通知制度,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC043,proposed_new,no,no,yes,https://www.pref.okinawa.jp/kenkouhou/H30/5gatsu/180523gogai17.pdf,https://www.pref.okinawa.jp/kenkouhou/H30/5gatsu/180523gogai17.pdf,,,S189,R9:R9S031,R9,1,沖縄県公報号外第17号 条例制定請求代表者証明書,prefectural_official,2018,E4,R9:accepted,R9C_PREF_2019: 33名条例制定请求代表者名单,名单不是组织成员名册。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC044,proposed_new,no,no,yes,https://www.pref.okinawa.jp/kenkouhou/H31/1gatsu/190131gogai2.pdf,https://www.pref.okinawa.jp/kenkouhou/H31/1gatsu/190131gogai2.pdf,,,S190,R9:R9S011,R9,1,沖縄県公報号外第2号・県民投票条例一部改正,prefectural_official,2019,E4,R9:accepted,R9C_PREF_2019: 加入第三选项,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC045,proposed_new,no,no,yes,https://www.pref.okinawa.jp/kensei/kencho/1001519/1001591/1018974/1018988.html,https://www.pref.okinawa.jp/kensei/kencho/1001519/1001591/1018974/1018988.html,,,S191,R9:R9S009,R9,1,平成30年第6回沖縄県議会臨時会 提案説明,official_legislative_record,2018,E4,R9:accepted,R9C_PREF_2019: 9月5日直接请求、签名与条例付议,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
