module,module_source_id,proposal_row_id,main_source_id,merge_status,normalized_url,source_review_status,archive_status,relation_or_claim_approved,review_boundary
R9,R9S010,SMC042,S188,proposed_new,https://www.pref.okinawa.jp/kenkouhou/H30/10gatsu/181031gogai43.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S011,SMC044,S190,proposed_new,https://www.pref.okinawa.jp/kenkouhou/H31/1gatsu/190131gogai2.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S012,SMC041,S187,proposed_new,https://www.pref.okinawa.jp/heiwakichi/futenma/1017409/1017427.html,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S013,SMC053,S197,proposed_new,https://www2.pref.okinawa.jp/oki/Gikairep1.nsf/GoZentai/20180703000000,ai_seeded,failed,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S014,SMC008,S138,current_main_match,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,preserve_existing_main_status,archived,no,"需核页面更新日期与具体表决时间 | 不能写 current；页面给出事件日期和更新日期 | Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S015,SMC025,S137,current_main_match,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,preserve_existing_main_status,failed,no,判决驳回诉求；事实认定与法律结论须分开 | 判决日期为 2020-08-27；事实链和签名数成立，但判决不具名 A011；本行工作 URL 可用而 S137 source-log 旧 URL 为 404，合并前须统一回指 | 使用法院迁移后URL；主source log旧URL尚未在本脚本中修改。
R9,R9S016,SMC027,S178,proposed_new,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S018,SMC011,S164,proposed_new,https://www.city.ishigaki.okinawa.jp/material/files/group/9/r71zitikihon_siryou1-3.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S019,SMC036,S182,proposed_new,https://www.otv.co.jp/okitive/news/post/00012171/index.html,ai_seeded,archived,no,最高裁程序措辞与QAB冲突；组织沿革需历史材料。
R9,R9S020,SMC052,S019,current_main_match,https://www.yaeyama-nippo.co.jp/archives/4232,preserve_existing_main_status,archived,no,地方新闻只支持公开活动，不闭合成员与诉讼当事人。
R9,R9S021,SMC028,S179,proposed_new,https://www.ichikawa-fusae.or.jp/20210313-1,ai_seeded,archived,no,后续讲座记录；组织与请求代表角色优先使用官方R9S030/R9S031。
R9,R9S022,SMC020,S172,proposed_new,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,ai_seeded,archived,no,核心总计一致；不引用有90票差异的当日投票小计。
R9,R9S023,SMC013,S166,proposed_new,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1310.html,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S024,SMC014,S167,proposed_new,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1314.html,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S025,SMC010,S163,proposed_new,https://www.city.ishigaki.okinawa.jp/material/files/group/33/r3-6-28gijinittei.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S026,SMC026,S177,proposed_new,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/reiwa7.pdf,ai_seeded,archived,no,保存表确认案号，不能替代判决主文。
R9,R9S027,SMC006,S160,proposed_new,https://www.call4.jp/file/pdf/202407/5f499d29696072751d0d60cc3a9077f5.pdf,ai_seeded,archived,no,CALL4托管而非法院官网；需官方裁判书。
R9,R9S028,SMC049,S194,proposed_new,https://www.qab.co.jp/news/20241007226830.html,ai_seeded,archived,no,不据此确定棄却或不受理。
R9,R9S029,SMC007,S161,proposed_new,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=action,ai_seeded,archived,no,组织侧材料不等于法院确认组织原告身份。
R9,R9S030,SMC039,S185,proposed_new,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,ai_seeded,archived,no,"Process/source fact only; do not infer organization continuity, alliance, or later authorization."
R9,R9S031,SMC043,S189,proposed_new,https://www.pref.okinawa.jp/kenkouhou/H30/5gatsu/180523gogai17.pdf,ai_seeded,archived,no,名单不是组织成员名册。
R9,R9S032,SMC048,S010,current_main_match,https://www.qab.co.jp/news/2015022363334.html,preserve_existing_main_status,archived,no,投票结果不能代表后续所有扩编项目的授权 | QAB 第35行明确具名 A014 及上地国生委员长；原“未独立确认委员会身份”提示错误 | 只支持事件期公开身份，不支持成立、法人性和持续性。
R9,R9S034,SMC029,S015,current_main_match,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,preserve_existing_main_status,archived,no,单一政党媒体；需八重山报纸、广告实物或组织材料。
