review_item_id,proposal_row_id,main_source_id,support_modules,module_source_refs,url,archive_status,current_title,current_source_type,current_year_or_period,current_evidence_level,metadata_conflicts,review_boundary,human_review_prerequisite,decision,revised_title,revised_source_type,revised_year_or_period,revised_evidence_level,revised_support_scope,reviewer,review_date,review_note,revised_year,revised_locator,archive_resolution,source_report
HR022-014,SMC016,S169,R4,R4:R4S006,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/2019-0613-1126-269.html,archived,宮古島市国民保護計画,local_official,2019,E4,,法定规划不等于冲突将发生 | 法定国民保护计划情境定位准确,approve_new_source_metadata_and_scope,accept_with_revision,宮古島市国民保護計画,local_official,2008-03制定；2019-02部分変更,E4,法定计划的成立、修订、结构和规范内容；不证明现实实施能力或撤离可行性。,项目负责人,2026-07-20,制定和修订日期并列。,,网页说明；本编PDF p.1；目录pp.5–8,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-015,SMC017,S170,R4,R4:R4S009,https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2026-0513-1044-269.html,archived,国民保護共同訓練住民意見と回答,local_official,2025,E4,,应人工编码居民疑问与政府回答的不同立场 | 原摘录“空港や港湾などのインフラ”在页面及两份附件中未找到；原“基础设施仍可用”释义也不受该问答支持,approve_new_source_metadata_and_scope,accept_with_revision,沖縄県国民保護共同訓練に係る住民意見交換会 ご意見と回答,local_official,2025-10–2026-02,E4,住民提出的不同问题、国家/县/市回答，以及训练明确采用的前提、估算和限制；两种话语位置分开。,项目负责人,2026-07-20,撤销“原文未找到”旧限制；训练估算不等于现实能力。,,网页实施日和回答时点；国回答；县回答Q&A；市回答Q&A,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-016,SMC019,S171,R9,R9:R9S003,https://www.city.nago.okinawa.jp/kurashi/2018071901216,archived,その他の選挙（県民投票・市民投票）,local_official,2026,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,その他の選挙（県民投票・市民投票）,local_official,n.d.；accessed 2026,E4,官方索引身份、三次投票题名、日期和附件链接；具体数字引用附件。,项目负责人,2026-07-20,2026是访问年。,,县民投票两项链接；市民投票一项链接,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-017,SMC020,S172,R9,R9:R9S022,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,archived,1997年12月21日名護市民投票結果,local_official,1997,E4,,核心总计一致；不引用有90票差异的当日投票小计。,approve_new_source_metadata_and_scope,accept_with_revision,名護市における米軍のヘリポート基地建設の是非を問う市民投票結果（1997年12月21日執行）,local_official,1997,E4,官方投票题目、执行日、总体投票数据和四个回答选项；总体数字以第一张表为准。,项目负责人,2026-07-20,排除90票不一致格，不擅自修正。,,"市民投票!C1:O15为题名/日期/核心总计/四选项；市民投票投票状況!A3:G24为投票区分布；排除第13区不一致格及23,934小计",archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-018,SMC021,S173,R10,R10:R10S05,https://www.city.okinawa.okinawa.jp/documents/1858/1kanryou.pdf,archived,冲绳市 FY2019 交付金事业检证表,local_official,2019,E4,,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,令和元年度沖縄振興特別推進交付金事業（市町村分）検証シート【公表用】（沖縄市）,official_project_report,FY2019；file created 2020-08,E4,文件明示的项目、实施方法、评价、资金流标签、点名recipient和金额；关系判断仍由HR-018控制。,项目负责人,2026-07-20,清除no archive performed；公共设施运营委托不是运动资金。,,PDF pp.9–10（国际交流事业/KIP）,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-019,SMC022,S174,R10,R10:R10S06,https://www.city.okinawa.okinawa.jp/documents/1858/2kannryou.pdf,archived,冲绳市 FY2020 交付金事业检证表,local_official,2020,E4,,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,令和２年度沖縄振興特別推進交付金事業（市町村分）検証シート【公表用】（沖縄市）,official_project_report,FY2020；file created 2022-01,E4,文件明示的项目、实施方法、评价、点名资金流和金额；不改写为grant或现金到账。,项目负责人,2026-07-20,清除no archive performed。,,PDF pp.9–10（国际交流事业/KIP）,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-020,SMC023,S175,R10,R10:R10S07,https://www.city.okinawa.okinawa.jp/documents/1858/r0607okinawashi.pdf,archived,冲绳市 FY2024 交付金事业检证表,local_official,2024,E4,,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,令和６年度沖縄振興特別推進交付金事業（市町村分）検証シート【公表用】（沖縄市）,official_project_report,FY2024；file version 2025-07-11,E4,项目、实施方法、服务功能、资金流结构及各金额口径；18.858m总事业费、16.662m点名ONC流、2.196m未再点名recipient支路、16.040m组织侧成本不得混合。,项目负责人,2026-07-20,四个金额不相加、不替代。,,PDF pp.5–6（国际交流事业/KIP）,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-021,SMC024,S176,R10,R10:R10S10,https://www.city.okinawa.okinawa.jp/k034/sportsbunka/bunkarekishi/bunkageijutsu/3938939394.html,archived,Koza International Plaza 设施页,national_official,undated,E4,,function evidence only | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,コザインターナショナルプラザ,local_official,updated 2024-08-08,E4,KIP官方设施身份、地址、开放时间和公开服务功能；不能单独推出ONC受托方、期间或金额。,项目负责人,2026-07-20,原national_official改local_official。,,更新日；コザインターナショナルプラザとは；語学講座；ゆんたく交流会；国際交流イベント；施設概要,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-022,SMC025,S137,R4;R9,R9:R9S015;R4:R4S010,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,failed,石垣市住民投票実施義務付け等請求事件判決,court_record,2020,E4,declared_existing_id_url_mismatch=S137,判决驳回诉求；事实认定与法律结论须分开 | 判决日期为 2020-08-27；事实链和签名数成立，但判决不具名 A011；本行工作 URL 可用而 S137 source-log 旧 URL 为 404，合并前须统一回指 | 使用法院迁移后URL；主source log旧URL尚未在本脚本中修改。,resolve_metadata_or_URL_conflict,accept_with_revision,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票実施義務付け等請求事件判決,court_record,2020,E4,法院认定的程序事实、匿名当事人类别、争点和裁判结论；判决匿名，不支持A011具名诉讼角色。,项目负责人,2026-07-20,URL换法院迁移地址并重试归档。,,"PDF p.1主文与请求；pp.1–4事案概要/条例/前提事实；p.4代表者、14,263签名及两次否决；S178案号与终局日",retry_with_revised_url,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-023,SMC026,S177,R9,R9:R9S026,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/reiwa7.pdf,archived,福岡高等裁判所特別保存事件一覧,court_record,2025,E4,,保存表确认案号，不能替代判决主文。,approve_new_source_metadata_and_scope,accept_with_revision,福岡高等裁判所 特別保存に付した事件（令和7年）,court_record,2025,E4,法院支部、案号、事件名、通称和特别保存身份；不能替代判决主文。,项目负责人,2026-07-20,精确定位两个那霸支部案号。,,PDF p.22那覇支部第1项令和5年（行コ）第6号；p.23第32项令和2年（行コ）第3号,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-024,SMC027,S178,R9,R9:R9S016,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,archived,那覇地方裁判所特別保存事件一覧,court_record,2024,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,那覇地方裁判所 特別保存に付した事件（令和３年度完結分）,court_record,FY2021 completed-case list；file created 2025-03-26,E4,表中案号、事件名、法院和终局日；不支持判决理由或组织角色。,项目负责人,2026-07-20,2024不作来源年份。,,PDF p.1第2项，令和1年（行ウ）14号/15号，终局日2020-08-27,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-025,SMC028,S179,R9,R9:R9S021,https://www.ichikawa-fusae.or.jp/20210313-1,archived,辺野古県民投票の民意とこれから・元山仁士郎講座記録,official_or_primary_web_record,2021,E3,,后续讲座记录；组织与请求代表角色优先使用官方R9S030/R9S031。,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,accept_with_revision,辺野古県民投票の民意とこれから－元山仁士郎さんに聞く,organization_event_report,2021,E3,基金会对讲座内容的公开记录及其中回顾的成立日、动员和程序叙述；正式角色优先引用官方记录。,项目负责人,2026-07-20,成立日仅作回顾性二手支持。,,2021-03-13；正文第1段；2018-04-16创设及签名活动段；事件详情与讲者简介,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-026,SMC029,S015,R9,R9:R9S034,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,archived,与那国に自衛隊いらない 配備反対の意見広告呼びかけ,party_news,2012,E2,,单一政党媒体；需八重山报纸、广告实物或组织材料。,retain_usable_with_limit_boundary,accept_with_revision,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,party_news,2012,E2,党媒报道的2012意见广告、实行委员会名称、共同代表和直接请求背景；仅作event/organization lead。,项目负责人,2026-07-20,不闭合A015独立身份或持续性。,,2012-08-31；实行委员会成立、三名共同代表、意见广告行动及住民投票背景各段,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-027,SMC030,S180,R4,R4:R4S025,https://www.kokuminhogo.go.jp/kunren/kyodo/post-103.html,archived,与那国町住民避难联合训练,national_official,2025,E4,,训练计划不是实际撤离能力验证 | 与那国到佐贺的避难、接收与救护节点均可复核；训练不等于能力验证,approve_new_source_metadata_and_scope,accept_with_revision,佐賀県（図上訓練、令和７年２月１２日）,national_official,2025,E4,政府训练设定、计划讨论、点名集合/港口/救护节点及参加机构；不证明现实能力。,项目负责人,2026-07-20,训练不等于能力验证。,,实施日時；训练实施場所；想定；避难计划检讨会；现场确认；参加机构等,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-028,SMC031,S012,R4,R4:R4S019,https://www.mod.go.jp/gsdf/station/wa/yonaguni,archived,与那国駐屯地 陸上自衛隊公式,official_defense,2026,E4,,只证实部署事实不证实社会反应 | 驻屯地页面只证实设施和部队存在；删除 environment_deployment,confirm_year_or_period,accept_with_revision,与那国駐屯地,official_defense,n.d.; accessed 2026,E4,访问时页面列明的驻屯地、地址和部队/机构；不支持环境影响或当地反应。,项目负责人,2026-07-20,删除environment_deployment连接。,,所在地；部隊・機関,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-029,SMC033,S114,R4,R4:R4S004,https://www.npo-mec.net/,archived,宮古島環境クラブ,organization_site,2026,E4,,只能证明环境功能；不能推断反部署立场 | 官网只支持水边自然保护和环境教育；既非地下水证据也非部署争议证据,confirm_year_or_period,accept_with_revision,宮古島環境クラブ,organization_site,n.d.; current content includes 2026-06-25–2026-07-04 event; accessed 2026-07-12,E4,任意团体自述、宫古岛市活动范围、水边自然保护恢复、环境教育、生态旅游、教材、信息和人才培养。,项目负责人,2026-07-20,删除地下水保全和部署争议连接。,,MECについて About us；新着情報,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-030,SMC034,S181,R10,R10:R10S09,https://www.oki-ngo.org/project,archived,ONC 的活动,organization_site,undated,E4,,distinct subpage; do not collapse into S095 without a page-level policy | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,ONCの活動,organization_site,n.d.; content current through 2025-04; accessed 2026,E4,ONC自述项目组合、KIP受冲绳市委托运营及服务功能；不支持具体金额或付款日。,项目负责人,2026-07-20,保持独立项目页，不与S095主页机械折叠。,,主な活動；多文化共生まちづくり；KIP運営（沖縄市委託）,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md
HR022-031,SMC036,S182,R9,R9:R9S019,https://www.otv.co.jp/okitive/news/post/00012171/index.html,archived,石垣市住民投票を求める会が解散,local_news,2024,E2,,最高裁程序措辞与QAB冲突；组织沿革需历史材料。,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,accept_with_revision,石垣市住民投票を求める会が解散　６年間の活動を支えてくれた市民に感謝,local_news,2024,E2,报道的2024-11-27解散、约六年活动、签名行动和代表公开说法；最高裁程序只支持一般败诉终结。,项目负责人,2026-07-20,删除与QAB“冲突”说，改为程序简写不完整。,,2024-11-28；正文第1–5段；解散日、签名、诉讼终结及代表发言,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-032,SMC037,S183,R10,R10:R10S12,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/917/2r6kekka.pdf,archived,冲绳县 FY2024 NPO 协作调查结果汇总,prefectural_official,2024,E4,,code-definition source; archive and add before merge | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,令和６年度　NPO等との協働実績調査結果,prefectural_official,FY2024; department names as of 2025-04; file created 2025-09-09,E4,"616条官方回答的代码定义、分组、数量和汇总；8,022,166千円仅为协作事业费汇总，不是actor付款。",项目负责人,2026-07-20,不批准display label为actor或relation。,,PDF p.1 616条与部门分布；p.2协作形态；p.4对象分类；p.6事业费汇总,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-033,SMC038,S184,R10,R10:R10S11,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/015/127/koushitsu1.pdf,archived,冲绳县 FY2024 第一季度随意合同实绩（知事公室）,prefectural_official,2024,E4,,key official contract source; archive and add before merge | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,知事公室における随意契約の実績（令和6年度1／四半期分）,official_contract_record,FY2024 Q1; file created 2024-12-20,E4,三项具名合同的名称、日期、契约金额、相手方和选择理由；两项OPAC合同保持分开。,项目负责人,2026-07-20,合同额不等于支付额、最终收款或运动资助。,,PDF p.1第2项；p.2第11/12项；契约名称、日期、金额、相手方和理由栏,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-034,SMC039,S185,R9,R9:R9S030,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,archived,沖縄県議会軍特委員会記録 県民投票条例請求代表者参考人,official_legislative_record,2018,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,米軍基地関係特別委員会記録＜第1号＞（平成30年第4回沖縄県議会定例会閉会中）,official_legislative_record,2018,E4,2018-10-02听证、乙第1号议案、三名请求代表者身份和会内职务；发言归属于发言者。,项目负责人,2026-07-20,共同出席不推出联盟。,,PDF pp.1–3会议日期、审查议案、参考人姓名及当次身份；后续页按发言者定位,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-035,SMC040,S186,R10,R10:R10S08,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/034/046/3gaiyo.pdf,archived,FY2024 第3回多文化共生万国津梁会议纪要,prefectural_official,2024,E4,,archive and add to source log before main-table merge | source metadata inferred from crosswalk; no archive performed,approve_new_source_metadata_and_scope;confirm_R10_inferred_type_year_and_support_scope,accept_with_revision,令和６年度第３回沖縄県多文化共生社会の構築に関する万国津梁会議 議事概要,official_meeting_minutes,meeting 2024-11-27; file created 2025-03-14,E4,本次会议、委员、ONC四名人员事务局列席及议事内容；列席不单独证明合同或长期伙伴关系。,项目负责人,2026-07-20,事务局功能限于本次会议。,,PDF p.1日期/会场/委员/事务局；pp.2–11议事概要,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-036,SMC041,S187,R9,R9:R9S012,https://www.pref.okinawa.jp/heiwakichi/futenma/1017409/1017427.html,archived,辺野古新基地建設問題の経緯,prefectural_official,2026,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,辺野古新基地建設問題の経緯,prefectural_official,updated 2025-09-08; chronology covers 1995–2025,E4,县政府时间线逐项明示的日期、行政行动、投票数字和县方说明；争议评价归属于县方。,项目负责人,2026-07-20,2026改为2025-09-08更新。,,页面更新日；按年份标题定位；2019年段落用于县民投票和通知,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-037,SMC042,S188,R9,R9:R9S010,https://www.pref.okinawa.jp/kenkouhou/H30/10gatsu/181031gogai43.pdf,archived,沖縄県公報号外第43号・県民投票条例第62号,prefectural_official,2018,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,沖縄県公報 号外第43号（平成30年10月31日）—沖縄県条例第62号「辺野古米軍基地建設のための埋立ての賛否を問う県民投票条例」,official_gazette,2018,E4,条例正式名称、编号、公布日、条文和施行事实；不支持后续结果或组织角色。,项目负责人,2026-07-20,改official_gazette。,,PDF pp.1–4公报表头、条例第62号正文、附则及公报内通知,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
HR022-038,SMC043,S189,R9,R9:R9S031,https://www.pref.okinawa.jp/kenkouhou/H30/5gatsu/180523gogai17.pdf,archived,沖縄県公報号外第17号 条例制定請求代表者証明書,prefectural_official,2018,E4,,名单不是组织成员名册。,approve_new_source_metadata_and_scope,accept_with_revision,沖縄県公報 号外第17号（平成30年5月23日）—条例制定請求代表者証明書の交付（沖縄県告示第246号）,official_gazette,2018,E4,2018-05-23获发证明书的法定请求代表者身份；不是组织成员或联盟名单。,项目负责人,2026-07-20,公开输出原则上不复制个人详细地址。,,PDF pp.1–2，沖縄県告示第246号及33名请求代表者名单,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md
