proposal_id,title,url,publisher,source_type,publication_or_record_date,locator,support_scope,suggested_evidence_level,source_log_state,relation_or_claim_approved,caveat
R9EC_S012,主体的な主権者教育を育むための一考察―#みんなごと実践記録,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,国際ボランティア学会 / 玉城直美,academic_participant_record,2019,"pp.4-5 activity table: 9/5 debate, 9/13 workshop, 9/19 publication; p.7 identifies an informal eight-student group","2018 nonpartisan civic-learning, public-meeting, policy-proposal and observation windows",E4,proposal_only,no,First-party academic record; candidates are kept as generic event nodes as the paper masks names.
R9EC_S013,声明：沖縄県知事選挙で歴史的勝利！新基地建設はただちに中止を,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,新日本婦人の会,organization_statement,2018-10-03,"Official statement, lines 13-16 self-report organization-wide activity for Tamaki",2018 post-result public interpretation and bounded self-report,E4,proposal_only,no,Does not independently prove participation scale or effect on votes.
R9EC_S014,令和4年沖縄県知事選挙 特設ページ,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,沖縄県選挙管理委員会,official_election_record,2022-09,"Official election administration, final records and 9/11 vote date",2022 election-window date and institutional context only,E4,proposal_only,no,Does not support any civic-actor role or causal effect.
R9EC_S015,沖縄県知事選、女性団体有志が玉城氏に出馬要請,https://ryukyushimpo.jp/news/entry-1499534.html,琉球新報,local_news,2022-04-10,Reports 4/9 gathering and first public request to incumbent Tamaki to stand,2022 women-led candidate-entry request,E3,proposal_only,no,Ad hoc body; membership and continuity are not inferred.
R9EC_S016,全国の連帯で平和な沖縄―沖縄県知事選集会ひらく,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,全日本民主医療機関連合会,organization_event_report,2022-08-16,"Reports 7/29 online support gathering, 436 access points, and explicit re-election call",2022 mainland/medical-network endorsement meeting,E4,proposal_only,no,Self-reported attendance/access; does not prove voter reach or effect.
R9EC_S017,7月30日オンライン配信『復帰50年！新たな基地負担を許さない県民大会』,https://all-okinawa.jp/2005/,辺野古新基地を造らせないオール沖縄会議,organization_event_record,2022-07-30,"Official event page, speakers and issue statements",2022 election-adjacent issue campaign,E4,proposal_only,no,Organizer framing is issue campaign; classification remains HR-026 because election framing was disputed.
R9EC_S018,『知事選を前にいい発信』与野党の受け止め,https://www.okinawatimes.co.jp/articles/-/1000372,沖縄タイムス,local_news,2022-07-31,Contrasting political interpretations of the 7/30 online event,Classification dispute for 2022 All Okinawa issue event,E3,proposal_only,no,"Quoted partisan interpretations are observations, not adjudicated event purpose."
R9EC_S019,沖縄県知事選挙―二度と戦場にしない平和で誇りある豊かな沖縄を,https://www.shinfujin.gr.jp/up/newspaper/12908/,新日本婦人の会,organization_campaign_statement,2022-08-01,Official page explicitly calls for Tamaki re-election and nationwide support,2022 organization endorsement/campaign call,E4,proposal_only,no,Endorsement is observable; audience reach and electoral effect are not.
R9EC_S020,候補者アンケートを基に沖縄知事選の争点考える,https://ryukyushimpo.jp/news/entry-1579341.html,琉球新報,local_news,2022-09-07,"Reports August 26-theme/74-question survey and 9/8, 9/10 public online talks",2022 multi-issue candidate observation and public deliberation,E3,proposal_only,no,Named individuals do not transfer roles to their organizations; original response sheet was not located.
R9EC_S021,優しい県政 デニーさんと／沖縄知事選必勝へ女性集会,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,しんぶん赤旗,party_media,2022-08-14,Reports 8/13 women gathering and explicit support call,2022 women public endorsement meeting,E2,proposal_only,no,Organizer identity is not named on the available page; no stable coalition inferred.
R9EC_S022,島ぐるみ会議が結成大会,https://www.qab.co.jp/news/2014072756461.html,琉球朝日放送,local_broadcast_news,2014-07-27,Same-day report confirming the founding assembly was held in Ginowan,R9EC001 occurrence/date and issue-campaign framing only,E3,module_proposal_only,no,"Module-local linkage only; source indexing does not approve election causality, endorsement, alliance, or a new actor."
