incidence_id,edge_id,actor_id,issue_id,issue_label,evidence_level,source_ref_token,source_id,source_resolution_status,stated_support_ref_count,removed_if_this_source_dropped_alone,research_status,display_tier,claim_status,review_status,interpretation_limit
H1ES0038,AI025,A011,I010,referendum,E4,S018,S018,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0039,AI025,A011,I010,referendum,E4,S019,S019,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0040,AI026,A011,I009,local_autonomy,E4,S018,S018,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0041,AI026,A011,I009,local_autonomy,E4,S019,S019,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0042,AI027,A011,I002,anti_military,E4,S018,S018,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0043,AI027,A011,I002,anti_military,E4,S019,S019,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0044,AI028,A012,I006,groundwater,E3,S020,S020,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0045,AI029,A012,I002,anti_military,E3,S020,S020,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0046,AI030,A012,I007,life_safety,E3,S020,S020,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0047,AI031,A013,I002,anti_military,E4,S021,S021,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0048,AI032,A013,I006,groundwater,E3,S021,S021,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0049,AI033,A013,I007,life_safety,E3,S021,S021,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0050,AI039,A016,I002,anti_military,E3,S052,S052,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0051,AI039,A016,I002,anti_military,E3,S068,S068,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0052,AI040,A017,I018,Taiwan_contingency,E4,S022,S022,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0053,AI041,A017,I017,frontline_prevention,E4,S022,S022,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0054,AI042,A017,I019,peace,E4,S022,S022,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0055,AI043,A018,I017,frontline_prevention,E4,S023,S023,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0056,AI043,A018,I017,frontline_prevention,E4,S024,S024,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0057,AI044,A018,I018,Taiwan_contingency,E4,S024,S024,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0058,AI045,A018,I019,peace,E4,S023,S023,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0059,AI046,A019,I001,anti_base,E4,S008,S008,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0060,AI046,A019,I001,anti_base,E4,S049,S049,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0061,AI047,A019,I003,Henoko,E4,S008,S008,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0062,AI047,A019,I003,Henoko,E4,S049,S049,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0063,AI047,A019,I003,Henoko,E4,S050,S050,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0064,AI048,A020,I011,legal,E4,S006,S006,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0065,AI048,A020,I011,legal,E4,S007,S007,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0066,AI049,A020,I005,biodiversity,E4,S006,S006,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0067,AI049,A020,I005,biodiversity,E4,S007,S007,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0068,AI050,A020,I004,dugong,E4,S006,S006,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0069,AI050,A020,I004,dugong,E4,S007,S007,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0070,AI051,X001,I014,military_family_service,E3,X001,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0071,AI052,X001,I016,base_community_welfare,E3,X001,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0072,AI053,X002,I016,base_community_welfare,E4,X002,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0073,AI054,X003,I016,base_community_welfare,E3,X003,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0074,AI055,X004,I014,military_family_service,E4,S041,S041,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0075,AI055,X004,I014,military_family_service,E4,S055,S055,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0076,AI055,X004,I014,military_family_service,E4,S072,S072,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0077,AI056,X004,I016,base_community_welfare,E3,S041,S041,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0078,AI056,X004,I016,base_community_welfare,E3,S055,S055,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0079,AI056,X004,I016,base_community_welfare,E3,S077,S077,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0080,AI056,X004,I016,base_community_welfare,E3,S078,S078,resolved_source_id,4,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0081,AI057,X005,I014,military_family_service,E4,S055,S055,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0082,AI058,X006,I014,military_family_service,E4,S075,S075,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0083,AI058,X006,I014,military_family_service,E4,S076,S076,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0084,AI059,X007,I014,military_family_service,E4,S053,S053,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0085,AI059,X007,I014,military_family_service,E4,S054,S054,resolved_source_id,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0086,AI060,X008,I014,military_family_service,E4,X008,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0087,AI061,X009,I014,military_family_service,E4,X009,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0088,AI062,X010,I015,international_cooperation,E4,X010,,non_source_reference_token,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0089,AI062,X010,I015,international_cooperation,E4,X011,,non_source_reference_token,2,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0090,AI064,X011,I015,international_cooperation,E4,X011,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0091,AI065,X012,I013,public_diplomacy,E4,X012,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0092,AI066,X013,I013,public_diplomacy,E3,X013,,non_source_reference_token,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0093,AI069,A021,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0094,AI070,A021,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0095,AI071,A022,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0096,AI072,A022,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0097,AI073,A023,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0098,AI074,A023,I005,biodiversity,E3,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0099,AI075,A024,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0100,AI076,A024,I003,Henoko,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0101,AI077,A025,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0102,AI078,A025,I003,Henoko,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0103,AI079,A026,I019,peace,E3,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0104,AI080,A027,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0105,AI081,A027,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0106,AI082,A028,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0107,AI083,A028,I001,anti_base,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0108,AI084,A029,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0109,AI085,A029,I003,Henoko,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0110,AI086,A030,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0111,AI087,A031,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0112,AI088,A032,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0113,AI089,A032,I019,peace,E3,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0114,AI090,A033,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0115,AI091,A033,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0116,AI092,A034,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0117,AI093,A034,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0118,AI094,A035,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0119,AI095,A036,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0120,AI096,A037,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0121,AI097,A038,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0122,AI098,A039,I011,legal,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0123,AI099,A039,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0124,AI100,A040,I012,international_advocacy,E4,S004,S004,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0125,AI100,A040,I012,international_advocacy,E4,S089,S089,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0126,AI100,A040,I012,international_advocacy,E4,S090,S090,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0127,AI101,A041,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0128,AI102,A042,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0129,AI103,A042,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0130,AI104,A043,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0131,AI105,A044,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0132,AI106,A045,I011,legal,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0133,AI107,A045,I005,biodiversity,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0134,AI108,A045,I012,international_advocacy,E4,S004,S004,resolved_source_id,1,yes,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0135,AI109,A046,I012,international_advocacy,E4,S004,S004,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0136,AI109,A046,I012,international_advocacy,E4,S091,S091,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
H1ES0137,AI109,A046,I012,international_advocacy,E4,S092,S092,resolved_source_id,3,no,research_only,research,candidate,ai_seeded,"This row records a stated actor-issue support token. It does not establish authorship, hosting, event coordination, or social influence."
