removal_id,scenario_id,dropped_source_ids,edge_id,actor_id,issue_id,issue_label,evidence_level,source_ref,stated_support_ref_count,removal_reason,research_status,display_tier,claim_status,review_status,interpretation_limit
H1RE0012,SOURCE_DROP_S004,S004,AI071,A022,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0013,SOURCE_DROP_S004,S004,AI072,A022,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0014,SOURCE_DROP_S004,S004,AI073,A023,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0015,SOURCE_DROP_S004,S004,AI074,A023,I005,biodiversity,E3,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0016,SOURCE_DROP_S004,S004,AI075,A024,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0017,SOURCE_DROP_S004,S004,AI076,A024,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0018,SOURCE_DROP_S004,S004,AI077,A025,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0019,SOURCE_DROP_S004,S004,AI078,A025,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0020,SOURCE_DROP_S004,S004,AI079,A026,I019,peace,E3,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0021,SOURCE_DROP_S004,S004,AI080,A027,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0022,SOURCE_DROP_S004,S004,AI081,A027,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0023,SOURCE_DROP_S004,S004,AI082,A028,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0024,SOURCE_DROP_S004,S004,AI083,A028,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0025,SOURCE_DROP_S004,S004,AI084,A029,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0026,SOURCE_DROP_S004,S004,AI085,A029,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0027,SOURCE_DROP_S004,S004,AI086,A030,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0028,SOURCE_DROP_S004,S004,AI087,A031,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0029,SOURCE_DROP_S004,S004,AI088,A032,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0030,SOURCE_DROP_S004,S004,AI089,A032,I019,peace,E3,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0031,SOURCE_DROP_S004,S004,AI090,A033,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0032,SOURCE_DROP_S004,S004,AI091,A033,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0033,SOURCE_DROP_S004,S004,AI092,A034,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0034,SOURCE_DROP_S004,S004,AI093,A034,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0035,SOURCE_DROP_S004,S004,AI094,A035,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0036,SOURCE_DROP_S004,S004,AI095,A036,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0037,SOURCE_DROP_S004,S004,AI096,A037,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0038,SOURCE_DROP_S004,S004,AI097,A038,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0039,SOURCE_DROP_S004,S004,AI098,A039,I011,legal,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0040,SOURCE_DROP_S004,S004,AI099,A039,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0041,SOURCE_DROP_S004,S004,AI101,A041,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0042,SOURCE_DROP_S004,S004,AI102,A042,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0043,SOURCE_DROP_S004,S004,AI103,A042,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0044,SOURCE_DROP_S004,S004,AI104,A043,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0045,SOURCE_DROP_S004,S004,AI105,A044,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0046,SOURCE_DROP_S004,S004,AI106,A045,I011,legal,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0047,SOURCE_DROP_S004,S004,AI107,A045,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0048,SOURCE_DROP_S004,S004,AI108,A045,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0049,SOURCE_DROP_BIG3,S003;S004;S006,AI006,A003,I004,dugong,E3,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0050,SOURCE_DROP_BIG3,S003;S004;S006,AI007,A003,I005,biodiversity,E3,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0051,SOURCE_DROP_BIG3,S003;S004;S006,AI008,A004,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0052,SOURCE_DROP_BIG3,S003;S004;S006,AI009,A004,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0053,SOURCE_DROP_BIG3,S003;S004;S006,AI010,A005,I004,dugong,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0054,SOURCE_DROP_BIG3,S003;S004;S006,AI011,A005,I005,biodiversity,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0055,SOURCE_DROP_BIG3,S003;S004;S006,AI012,A006,I005,biodiversity,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0056,SOURCE_DROP_BIG3,S003;S004;S006,AI013,A006,I001,anti_base,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0057,SOURCE_DROP_BIG3,S003;S004;S006,AI069,A021,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0058,SOURCE_DROP_BIG3,S003;S004;S006,AI070,A021,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0059,SOURCE_DROP_BIG3,S003;S004;S006,AI071,A022,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0060,SOURCE_DROP_BIG3,S003;S004;S006,AI072,A022,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0061,SOURCE_DROP_BIG3,S003;S004;S006,AI073,A023,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0062,SOURCE_DROP_BIG3,S003;S004;S006,AI074,A023,I005,biodiversity,E3,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0063,SOURCE_DROP_BIG3,S003;S004;S006,AI075,A024,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0064,SOURCE_DROP_BIG3,S003;S004;S006,AI076,A024,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0065,SOURCE_DROP_BIG3,S003;S004;S006,AI077,A025,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0066,SOURCE_DROP_BIG3,S003;S004;S006,AI078,A025,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0067,SOURCE_DROP_BIG3,S003;S004;S006,AI079,A026,I019,peace,E3,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0068,SOURCE_DROP_BIG3,S003;S004;S006,AI080,A027,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0069,SOURCE_DROP_BIG3,S003;S004;S006,AI081,A027,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0070,SOURCE_DROP_BIG3,S003;S004;S006,AI082,A028,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0071,SOURCE_DROP_BIG3,S003;S004;S006,AI083,A028,I001,anti_base,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0072,SOURCE_DROP_BIG3,S003;S004;S006,AI084,A029,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0073,SOURCE_DROP_BIG3,S003;S004;S006,AI085,A029,I003,Henoko,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0074,SOURCE_DROP_BIG3,S003;S004;S006,AI086,A030,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0075,SOURCE_DROP_BIG3,S003;S004;S006,AI087,A031,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0076,SOURCE_DROP_BIG3,S003;S004;S006,AI088,A032,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0077,SOURCE_DROP_BIG3,S003;S004;S006,AI089,A032,I019,peace,E3,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0078,SOURCE_DROP_BIG3,S003;S004;S006,AI090,A033,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0079,SOURCE_DROP_BIG3,S003;S004;S006,AI091,A033,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0080,SOURCE_DROP_BIG3,S003;S004;S006,AI092,A034,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0081,SOURCE_DROP_BIG3,S003;S004;S006,AI093,A034,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0082,SOURCE_DROP_BIG3,S003;S004;S006,AI094,A035,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0083,SOURCE_DROP_BIG3,S003;S004;S006,AI095,A036,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0084,SOURCE_DROP_BIG3,S003;S004;S006,AI096,A037,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0085,SOURCE_DROP_BIG3,S003;S004;S006,AI097,A038,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0086,SOURCE_DROP_BIG3,S003;S004;S006,AI098,A039,I011,legal,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0087,SOURCE_DROP_BIG3,S003;S004;S006,AI099,A039,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0088,SOURCE_DROP_BIG3,S003;S004;S006,AI101,A041,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0089,SOURCE_DROP_BIG3,S003;S004;S006,AI102,A042,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0090,SOURCE_DROP_BIG3,S003;S004;S006,AI103,A042,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0091,SOURCE_DROP_BIG3,S003;S004;S006,AI104,A043,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0092,SOURCE_DROP_BIG3,S003;S004;S006,AI105,A044,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0093,SOURCE_DROP_BIG3,S003;S004;S006,AI106,A045,I011,legal,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0094,SOURCE_DROP_BIG3,S003;S004;S006,AI107,A045,I005,biodiversity,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0095,SOURCE_DROP_BIG3,S003;S004;S006,AI108,A045,I012,international_advocacy,E4,S004,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0096,SOURCE_DROP_BIG3,S003;S004;S006,AI148,A061,I005,biodiversity,E4,S003;S004,2,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
H1RE0097,SOURCE_DROP_BIG3,S003;S004;S006,AI149,A062,I005,biodiversity,E4,S003,1,all_stated_support_exhausted,research_only,research,candidate,ai_seeded,"Removed from the documented E3/E4 layer only; this does not mean the actor, issue, or activity ceased to exist."
