source_id,source_title,source_type,source_year,used_by_e3plus_edge,declared_e3plus_edge_count,exclusively_supported_e3plus_edge_count,removed_edge_count,lost_observed_actor_count,remaining_edge_count,remaining_observed_actor_count,removed_edge_rank_desc,comparison_unit,research_status,display_tier,claim_status,review_status,interpretation_limit
S029,島ぐるみ会議 辺野古新基地反対で連帯,party_news,2015,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S030,第2次泡瀬干潟埋め立て訴訟 那覇地裁判決,local_news,2015,yes,2,2,2,1,232,100,26,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S031,沖縄平和運動センター 公式,organization_site,2026,yes,6,6,6,2,228,99,3,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S032,新外交イニシアティブ（ND）公式サイト,organization_site,2026,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S033,Tanji Miyume: Myth Protest and Struggle in Okinawa,academic_article,2006,yes,4,4,4,2,230,99,4,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S034,沖縄意見広告運動 全国紙に一面広告,organization_site,2010,yes,2,2,2,1,232,100,26,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S035,内閣府NPO法人ポータル,official_portal,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S036,南西諸島ピースネット 結成,local_news,2015,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S037,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,ngo_statement,2017,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S038,一坪反戦地主会 軍用地契約拒否運動,organization_site,1996,yes,4,4,4,2,230,99,4,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,academic_article,1995,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S040,辺野古土砂搬入反対全国連絡協議会 結成,magazine_news,2015,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S041,AWWA / OESC / NOSCO official sites and DVIDS reports,organization_site,2024,yes,3,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S042,名護市民投票 基地建設反対が多数,local_official,1997,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S043,沖縄県 米軍基地の概要,official_data,2024,yes,1,1,1,1,233,100,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S044,Inoue Masamichi: Okinawa and the U.S. Military,academic_article,2007,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S045,辺野古新基地 土砂投入開始,local_news,2018,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S046,NACSJ 辺野古・大浦湾の生物多様性報告,ngo_statement,2014,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S047,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,official_data,2012,yes,4,4,4,2,230,99,4,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S048,Veterans for Peace Ryukyu/Okinawa Chapter Kokusai,organization_site,2024,yes,3,3,3,1,231,100,10,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S049,ヘリ基地反対協議会 公式サイト,organization_site,2026,yes,2,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S050,ヘリ基地反対協議会 Wikipedia,encyclopedia,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S051,石垣市住民投票を求める会 公式サイト,organization_site,2024,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S052,与那国イソバの会 ブログ,organization_blog,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S053,OESC donates $3250 to USO Okinawa,news,2025,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S054,OESC ProPublica Nonprofit Explorer,nonprofit_record,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S055,NOSCO AWWA page,organization_site,2026,yes,4,1,1,1,233,100,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S056,U.S. Consulate Naha Okinawa Youth Council NOFO PDF,grant_document,2024,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S057,ジュゴン保護キャンペーンセンター公式サイト,organization_site,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S058,IUCN member page: Save the Dugong Campaign Center,ngo_directory,2026,yes,2,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S059,GEOC団体情報: ジュゴン保護キャンペーンセンター,ngo_directory,2019,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S060,Earthjustice 2003 Okinawa Dugong lawsuit press release,legal_international,2003,yes,7,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S061,JELF Okinawa Dugong NHPA lawsuit plaintiff material,legal_source,2018,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S062,Earthjustice Okinawa Dugong case page,legal_international,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S063,琉球新報 用語辞典 ジュゴン保護基金委員会,encyclopedia,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S064,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,ngo_statement,2019,yes,1,1,1,0,233,101,29,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S065,NGO非戦ネット 公式サイト,organization_site,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S066,アーユス NGO非戦ネット 2015 活動紹介,ngo_report,2015,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S067,JVC NGO非戦ネット OSA反対声明 2023,ngo_statement,2023,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S068,沖縄タイムス 日米の合同演習 市民が中止要請 与那国イソバの会,local_news,2024,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S069,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,magazine_news,2015,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S070,赤旗 与那国 住民投票へ 条例案可決,party_news,2014,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S071,与那国町住民投票条例（平成26年与那国町条例第25号／平成27年条例第1号改正、失効）,legal_database,2014–2015,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S072,DVIDS American Women's Welfare Association celebrates 40 years,military_news,2012,yes,2,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S073,AWWA official Facebook American Welfare & Works Association,organization_social,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S074,Cause IQ American Welfare and Works Association EIN 98-0227149,nonprofit_record,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S075,Kadena Officers' Spouses' Club charity page,organization_site,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S076,Kadena Officers Spouses Club ProPublica Nonprofit Explorer,nonprofit_record,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S077,USO Okinawa AWWA grant to USO Kinser,organization_story,2020,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S078,Ryukyu Shimpo English AWWA donated 800 million yen over 40 years,local_news_english,2012,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S079,MOSCO official site,organization_site,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S080,Marine Officers Spouses Club Okinawa ProPublica Nonprofit Explorer,nonprofit_record,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S081,Army on Okinawa Gift Shop Okinawa Hai,community_site,2009,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S082,Grants.gov Okinawa Youth Council Program opportunity,grant_document,2024,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S083,FederalGrants Okinawa Youth Council Program listing,grant_database,2024,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S084,GrantedAI Okinawa Youth Council Program expired listing,grant_database,2024,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S085,NED FY2024 Asia Grant Listing PDF,grant_listing,2025,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S086,NED 2024 Grant Listings entry page,grant_listing,2025,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S087,Peace Winds Japan USAID funding for West Japan Floods and Hokkaido Earthquake,organization_report,2018,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S088,Peace Winds America Peace Winds in Japan disaster relief overview,organization_site,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S089,Pro Public official site,organization_site,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S090,FoE International member page Nepal Pro Public,ngo_directory,2026,yes,1,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S091,IUCN member page Pro Natura / Friends of the Earth Switzerland,ngo_directory,2026,yes,2,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S092,FoE International member page Switzerland Pro Natura,ngo_directory,2026,yes,2,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S093,Okinawa Dugong v Rumsfeld docket USCOURTS-cand-3_03-cv-04350,court_record,2003,yes,3,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S094,AWWA donates wheelchair van to Yomitan Quegoen,military_news,2015,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S095,特定非営利活動法人 沖縄NGOセンター（ONC）公式サイト,organization_site,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S096,外務省 NGO相談員リスト 令和7年度,official_portal,2025,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S097,USO Okinawa Sponsors page,organization_site,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S098,AEC $16000 donation and center refresh to USO Okinawa,news,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S099,沖縄NGOセンター 2024年度事業報告書等,official_npo_report,2025,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S100,JICA 2019年度教師海外研修 九州沖縄 報告書,official_project_report,2020,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S101,外務省 NGO相談員リスト 令和8年度,official_portal,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S102,NOSCO joins donation of cooling fans to Heshikiya after-school childcare center,military_news,2025,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S103,NPO法人世界版「平和の礎」を提案する会 行政入力情報,official_portal,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S104,NPO法人信息检索结果：沖縄平和協力センター,official_portal,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S105,沖教組とは,organization_site,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S106,組合について：沖縄県高等学校障害児学校教職員組合,organization_site,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
S107,連合沖縄とは,organization_site,2026,no,0,0,0,0,234,101,38,one_source_id,research_only,research,candidate,ai_seeded,"One-source leave-out measures dependence of the coded evidence layer on a source ID. It does not measure the source's authorship, organizational capacity, or social centrality."
