incidence_id,actor_id,actor_name,source_ref_token,source_id,source_title,source_type,source_year,source_resolution_status,incidence_basis,proposed_host_role,host_mapping_status,producer_role_status,self_produced_or_external,source_language,research_status,display_tier,claim_status,review_status,interpretation_limit
H1AS0011,A006,グリーンピース・ジャパン,S003,S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,2010,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0012,A007,ピースボート,S005,S005,Peace Boat statement on Henoko emergency NGO declaration,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0013,A008,NGO非戦ネット,S064,S064,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,ngo_statement,2019,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0014,A008,NGO非戦ネット,S065,S065,NGO非戦ネット 公式サイト,organization_site,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0015,A008,NGO非戦ネット,S066,S066,アーユス NGO非戦ネット 2015 活動紹介,ngo_report,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0016,A008,NGO非戦ネット,S067,S067,JVC NGO非戦ネット OSA反対声明 2023,ngo_statement,2023,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0017,A009,Earthjustice,S009,S009,Earthjustice dugong litigation explainer,legal_international,2014,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0018,A010,石垣島に軍事基地をつくらせない市民連絡会,S016,S016,石垣自衛隊配備 初の市民討論会,local_news,2016,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0019,A010,石垣島に軍事基地をつくらせない市民連絡会,S017,S017,石垣陸自配備 市民が工事中止要請,local_news,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0020,A010,石垣島に軍事基地をつくらせない市民連絡会,S157,S157,島の未来は市民が決める―石垣島の自衛隊配備問題―,union_research_report,2018,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0021,A010,石垣島に軍事基地をつくらせない市民連絡会,S159,S159,週刊金曜日 石垣島に軍事基地をつくらせない市民連絡会 2023年行动报道,news_magazine,2023,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0022,A011,石垣市住民投票を求める会,S018,S018,石垣市 住民投票条例案 市議会で否決,local_news,2019,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0023,A011,石垣市住民投票を求める会,S019,S019,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,local_news,2018,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0024,A011,石垣市住民投票を求める会,S137,S137,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票実施義務付け等請求事件判決,court_record,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0025,A011,石垣市住民投票を求める会,S138,S138,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果について H31.2.4,local_official,2019（事件/正式文件）；page updated 2020-03-30,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0026,A012,宮古島いのちの水を守ろう！,S020,S020,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,local_news,2016,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0027,A013,ミサイル基地いらない宮古島住民連絡会,S021,S021,ミサイル基地いらない 宮古島住民連絡会 結成集会,party_news,2016,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0028,A014,住民投票を成功させるための実行委員会,S010,S010,与那国町住民投票 自衛隊配備 結果は「賛成」多数,local_news,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0029,A014,住民投票を成功させるための実行委員会,S069,S069,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,magazine_news,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0030,A014,住民投票を成功させるための実行委員会,S070,S070,赤旗 与那国 住民投票へ 条例案可決,party_news,2014,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0031,A014,住民投票を成功させるための実行委員会,S071,S071,与那国町住民投票条例（平成26年与那国町条例第25号／平成27年条例第1号改正、失効）,legal_database,2014–2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0032,A015,与那国自衛隊配備反対意見広告実行委員会,S015,S015,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,party_news,2012,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0033,A016,与那国島の明るい未来を願うイソバの会,S011,S011,与那国住民投票 陸自配備を容認　賛成632票、反対445票,local_news,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0034,A016,与那国島の明るい未来を願うイソバの会,S052,S052,与那国イソバの会 ブログ,organization_blog,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0035,A016,与那国島の明るい未来を願うイソバの会,S068,S068,沖縄タイムス 日米の合同演習 市民が中止要請 与那国イソバの会,local_news,2024,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0036,A017,沖縄対話プロジェクト,S022,S022,沖縄対話プロジェクト 公式ページ,organization_site,2023,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0037,A018,ノーモア沖縄戦 命どぅ宝の会,S023,S023,ノーモア沖縄戦 命どぅ宝の会 結成,local_news,2022,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0038,A018,ノーモア沖縄戦 命どぅ宝の会,S024,S024,台湾有事に備え 南西諸島の軍事化に懸念,organization_site,2023,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0039,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,S008,S008,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,local_news,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0040,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,S049,S049,ヘリ基地反対協議会 公式サイト,organization_site,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0041,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,S050,S050,ヘリ基地反対協議会 Wikipedia,encyclopedia,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0042,A020,日本環境法律家連盟（JELF）,S006,S006,OEJP 71 organizations MMC request,international_advocacy,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0043,A020,日本環境法律家連盟（JELF）,S007,S007,The Plight of the Okinawa Dugong,academic_article,2020,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0044,A021,国際環境NGO FoE Japan,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0045,A022,NPO法人 ラムサール・ネットワーク日本,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0046,A023,美ら海にもやんばるにも基地はいらない市民の会,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0047,A024,辺野古リレー,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0048,A025,辺野古への基地建設を許さない実行委員会,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0049,A026,ピース・ニュース,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0050,A027,公共事業改革市民会議,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0051,A028,沖縄のための日米市民ネットワーク（JUCON）,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0052,A029,沖縄・生物多様性市民ネットワーク,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0053,A030,市川三番瀬を守る会,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0054,A031,三番瀬のラムサール条約登録を実現する会,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0055,A032,Peace Philosophy Centre,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0056,A033,Friends of the Earth U.S.,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0057,A034,Korea Federation for Environmental Movements (KFEM),S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0058,A035,Russian Social Ecological Union,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0059,A036,Friends of the Siberian Forests,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0060,A037,Centre for Environmental Justice,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0061,A038,Sahabat Alam Malaysia,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0062,A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0063,A040,Forum for Protection of Public Interest (Pro Public),S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0064,A040,Forum for Protection of Public Interest (Pro Public),S089,S089,Pro Public official site,organization_site,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0065,A040,Forum for Protection of Public Interest (Pro Public),S090,S090,FoE International member page Nepal Pro Public,ngo_directory,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0066,A041,Friends of the Earth Brisbane,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0067,A042,Pacific Environment,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0068,A043,PENGON-FoE Palestine,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0069,A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0070,A045,Center for Biological Diversity,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0071,A046,Pro Natura,S004,S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,2015,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0072,A046,Pro Natura,S091,S091,IUCN member page Pro Natura / Friends of the Earth Switzerland,ngo_directory,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0073,A046,Pro Natura,S092,S092,FoE International member page Switzerland Pro Natura,ngo_directory,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0074,A047,沖縄平和運動センター,S031,S031,沖縄平和運動センター 公式,organization_site,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0075,A049,基地・軍隊を許さない行動する女たちの会,S039,S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,academic_article,1995,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0076,A050,沖縄弁護士会,S037,S037,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,ngo_statement,2017,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0077,A051,「辺野古」県民投票の会,S025,S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,official_referendum,2019,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0078,A052,嘉手納基地爆音差止訴訟原告団,S026,S026,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,local_news,2017,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0079,A052,嘉手納基地爆音差止訴訟原告団,S149,S149,嘉手納爆音、第4次訴訟を提起―原告3万5566人,local_news,2022,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0080,A052,嘉手納基地爆音差止訴訟原告団,S151,S151,嘉手納基地爆音差止訴訟原告団 公式サイト,organization_site,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
H1AS0081,A052,嘉手納基地爆音差止訴訟原告団,S155,S155,嘉手納基地爆音差止訴訟原告団 訴訟の歴史,organization_history,2026,resolved_source_id,actor_registry.source_refs,,unknown,unknown,unknown,unknown,research_only,research,candidate,ai_seeded,"Registry citation incidence only. It does not establish authorship, hosting, self-production, external mention, language capacity, activity level, or influence."
