actor_id,actor_name,actor_class,origin_type,actor_review_status,resolved_registry_source_ref_count,unresolved_registry_source_ref_count,active_issue_edge_count,active_e3plus_issue_edge_count,own_website_status,english_material_capacity,staff_capacity,legal_support_capacity,lifecycle_status_for_h1,research_status,display_tier,claim_status,review_status,interpretation_limit
A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A014,住民投票を成功させるための実行委員会,executive_committee,okinawa_local,needs_local_retrieval,4,0,2,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,okinawa_local,needs_local_retrieval,1,0,2,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A016,与那国島の明るい未来を願うイソバの会,citizen_group,okinawa_local,human_checked,3,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A017,沖縄対話プロジェクト,citizen_network,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,okinawa_local,ai_seeded,2,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,okinawa_local,human_checked,3,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A020,日本環境法律家連盟（JELF）,lawyers_network,japan_domestic,ai_seeded,2,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A021,国際環境NGO FoE Japan,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A022,NPO法人 ラムサール・ネットワーク日本,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A023,美ら海にもやんばるにも基地はいらない市民の会,local_civic_actor,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A024,辺野古リレー,citizen_network,okinawa_local,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A025,辺野古への基地建設を許さない実行委員会,executive_committee,okinawa_local,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A026,ピース・ニュース,citizen_group,japan_domestic,needs_second_source,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A027,公共事業改革市民会議,citizen_network,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A028,沖縄のための日米市民ネットワーク（JUCON）,international_advocacy_actor,mixed_or_network,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A029,沖縄・生物多様性市民ネットワーク,citizen_network,okinawa_local,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A030,市川三番瀬を守る会,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A031,三番瀬のラムサール条約登録を実現する会,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A032,Peace Philosophy Centre,international_advocacy_actor,international,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A033,Friends of the Earth U.S.,international_ngo,us_origin,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A034,Korea Federation for Environmental Movements (KFEM),international_ngo,international,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A035,Russian Social Ecological Union,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A036,Friends of the Siberian Forests,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A037,Centre for Environmental Justice,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A038,Sahabat Alam Malaysia,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,international_ngo,international,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A040,Forum for Protection of Public Interest (Pro Public),international_ngo,international,human_checked,3,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A041,Friends of the Earth Brisbane,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A042,Pacific Environment,international_ngo,us_origin,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A043,PENGON-FoE Palestine,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,international_ngo,international,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A045,Center for Biological Diversity,international_ngo,us_origin,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A046,Pro Natura,international_ngo,international,human_checked,3,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A047,沖縄平和運動センター,citizen_network,okinawa_local,ai_seeded,1,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A048,沖縄一坪反戦地主会,citizen_group,okinawa_local,ai_seeded,0,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A049,基地・軍隊を許さない行動する女たちの会,citizen_group,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A050,沖縄弁護士会,lawyers_network,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A051,「辺野古」県民投票の会,citizen_group,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A052,嘉手納基地爆音差止訴訟原告団,citizen_group,okinawa_local,human_checked,4,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A053,普天間基地爆音訴訟団,citizen_group,okinawa_local,human_checked,4,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A054,沖縄人権協会,local_civic_actor,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A055,泡瀬干潟を守る連絡会,citizen_network,okinawa_local,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A056,沖縄環境ネットワーク,citizen_network,okinawa_local,needs_second_source,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A057,沖縄意見広告運動,citizen_network,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A058,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,citizen_network,okinawa_local,needs_second_source,0,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,citizen_network,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A060,高江のヘリパッドいらない住民の会,citizen_group,okinawa_local,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A061,日本野鳥の会,domestic_japan_ngo,japan_domestic,ai_seeded,2,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A062,日本湿地ネットワーク（JAWAN）,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A063,一坪反戦地主会関東ブロック,citizen_group,japan_domestic,ai_seeded,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,international_advocacy_actor,international,needs_second_source,1,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A065,南西諸島ピースネット,citizen_network,okinawa_local,needs_second_source,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A066,新外交イニシアティブ（ND）,domestic_japan_ngo,japan_domestic,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A067,辺野古土砂搬出反対全国連絡協議会,citizen_network,japan_domestic,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,citizen_group,okinawa_local,ai_seeded,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A069,沖縄ジュゴン環境アセスメント監視団,citizen_group,okinawa_local,needs_second_source,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),international_advocacy_actor,us_origin,needs_second_source,1,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A071,沖縄から基地をなくし世界の平和を求める市民連絡会,citizen_network,okinawa_local,needs_second_source,0,0,2,2,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A073,琉球沖縄国際支援プログラム,local_international_cooperation_ngo,okinawa_local,needs_second_source,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A074,沖縄県知事公室基地対策課,public_institution_partner,public_institution,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A075,沖縄防衛局,public_institution_partner,public_institution,ai_seeded,1,0,1,1,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,local_civic_actor,okinawa_local,needs_second_source,4,0,3,3,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A086,Turtle Island Restoration Network,international_ngo,us_origin,ai_seeded,2,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A087,NPO法人世界版「平和の礎」を提案する会,local_npo,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A088,特定非営利活動法人沖縄平和協力センター,local_npo,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A089,沖縄県教職員組合,labor_union,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A090,沖縄県高等学校障害児学校教職員組合,labor_union,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,labor_union,okinawa_local,ai_seeded,2,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A092,沖縄県労働組合総連合,labor_union,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A093,全日本自治団体労働組合沖縄県本部,labor_union,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A095,止めよう「自衛隊配備」宮古郡民の会,citizen_group,okinawa_local,ai_seeded,2,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A096,宮古平和運動連絡協議会,citizen_network,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A097,宮古島環境クラブ,local_civic_actor,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A098,特定非営利活動法人宮古島海の環境ネットワーク,local_npo,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,citizen_network,okinawa_local,ai_seeded,2,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A100,ミサイル配備から命を守るうるま市民の会,citizen_group,okinawa_local,ai_seeded,2,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A101,沖縄・琉球弧の声を届ける会,citizen_network,okinawa_local,ai_seeded,1,0,0,0,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A102,全国公害弁護団連絡会議,lawyers_network,japan_domestic,human_checked,1,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A103,全国基地爆音訴訟原告団連絡会議,citizen_network,japan_domestic,human_checked,2,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A104,普天間基地爆音訴訟弁護団,lawyers_network,okinawa_local,human_checked,1,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A105,日本YWCA,womens_organization,japan_domestic,human_checked,1,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
A106,辺野古の海を土砂で埋めるな！首都圏連絡会,citizen_network,japan_domestic,human_checked,2,0,4,4,unknown,unknown,unknown,unknown,unknown_not_joined_in_this_package,research_only,research,candidate,ai_seeded,"Counts describe current registry citations and coded actor-issue edges. They do not measure organizational capacity, activity, influence, or lifespan."
