analysis_id,graph_object,subset,x_measure,y_measure,old_actor_count,current_actor_count,old_spearman_rho,current_spearman_rho,compatibility_status,impact,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
H1A011,event_hyperedge_incidence,all_current_actors,linked_source_count,human_checked_event_degree,121,121,0.057,0.013,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A012,reviewed_typed_dyadic,all_current_actors,linked_source_count,reviewed_typed_dyadic_degree,121,121,0.425,0.377,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A013,accepted_case_role_incidence,all_current_actors,linked_source_count,accepted_case_degree,121,121,0.466,0.445,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A014,actor_issue_bipartite,all_current_actors,organization_hosted_trace_binary,active_actor_issue_degree,121,121,0.046,0.039,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A015,actor_issue_bipartite,all_current_actors,english_title_trace_binary,active_actor_issue_degree,121,121,-0.079,-0.232,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A016,actor_issue_bipartite,resolved_reference_actors_only,registry_source_count,active_actor_issue_degree,112,112,0.257,0.287,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A017,actor_issue_bipartite,resolved_reference_actors_only,non_issue_linked_source_count,active_actor_issue_degree,112,112,-0.138,0.103,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A018,actor_issue_reviewed_bipartite,resolved_reference_actors_only,registry_source_count,reviewed_actor_issue_degree,112,112,0.525,0.445,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A019,actor_issue_reviewed_bipartite,resolved_reference_actors_only,non_issue_linked_source_count,reviewed_actor_issue_degree,112,112,0.282,0.364,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A020,actor_issue_candidate_bipartite,resolved_reference_actors_only,registry_source_count,candidate_actor_issue_degree,112,112,-0.169,-0.238,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A021,actor_issue_candidate_bipartite,resolved_reference_actors_only,non_issue_linked_source_count,candidate_actor_issue_degree,112,112,-0.33,-0.315,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A022,strict_same_source_triples,resolved_reference_actors_only,non_strict_triple_linked_source_count,strict_unique_place_issue_pair_count,112,112,-0.268,-0.294,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A023,event_hyperedge_incidence,resolved_reference_actors_only,non_event_linked_source_count,human_checked_event_degree,112,112,-0.406,-0.408,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A024,reviewed_typed_dyadic,resolved_reference_actors_only,non_typed_dyadic_linked_source_count,reviewed_typed_dyadic_degree,112,112,-0.177,-0.204,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A025,accepted_case_role_incidence,resolved_reference_actors_only,non_case_role_linked_source_count,accepted_case_degree,112,112,0.306,0.292,recompute_required,low,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A026,actor_issue_bipartite,resolved_reference_actors_only,linked_source_count,active_actor_issue_degree,112,112,0.313,0.37,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A027,actor_issue_bipartite,resolved_reference_actors_only,registry_source_count,active_actor_issue_betweenness,112,112,0.111,0.088,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
H1A028,actor_issue_bipartite,resolved_reference_actors_only,non_issue_linked_source_count,active_actor_issue_betweenness,112,112,-0.193,-0.015,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Descriptive association between observed traces and one encoded object. Shared source construction, venue-generated records, selection and coding rules preclude causal reading."
