asset,package_id,asset_kind,compatibility_status,impact,reason,required_action,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
outputs/research_wave_h1_documentation_visibility_v1/sensitivity_scenarios_v1.csv,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v1/validation_report.md,H1_v1,metric_or_analysis_asset,recompute_required,high,Depends on the 238-edge / 234-E3+ snapshot.,Use post-freeze overlay; do not overwrite v1.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/README.md,mechanical_marker_scan,text_asset,recompute_required,medium,High-confidence old snapshot marker found mechanically.,Review against the compatibility overlay before reuse.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/actor_documentation_visibility_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/association_estimates_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_sensitivity_v2.html,H1_v2,figure,recompute_required,high,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_sensitivity_v2.svg,H1_v2,figure,recompute_required,high,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_strata_v2.html,H1_v2,figure,recompute_required,high,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/fig_actor_issue_strata_v2.svg,H1_v2,figure,recompute_required,high,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/fig_graph_objects_v2.html,H1_v2,figure,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/fig_graph_objects_v2.svg,H1_v2,figure,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/graph_object_summary_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/matched_actor_pairs_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/matched_pair_summary_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/method_brief_v2.md,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,H1_v2,metric_or_analysis_asset,recompute_required,high,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/negative_case_audit_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/principal_checkpoint_v2.md,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/sensitivity_scenarios_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/source_dependency_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/source_feature_audit_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/stratified_associations_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/unresolved_reference_audit_v2.csv,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h1_documentation_visibility_v2/validation_report_v2.md,H1_v2,metric_or_analysis_asset,recompute_required,medium,Uses old actor-issue/review/triple counts or stale input hashes.,Regenerate only as a new H1 v3 package.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_recipient_permeability_v1/accountability_limited_co_mention_search_v2.csv,H2_recipient_permeability_v1,bounded_search_asset,not_comparable,medium,The bounded 18-anchor search is not symmetric or closed.,Do not relabel it as current-group coverage.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_service_universe_v1/accountability_reverse_interface_search_v1.csv,H2_service_universe_v1,bounded_search_asset,not_comparable,medium,Eighteen nonrandom searches are not a full current 77-actor denominator.,Retain rows; version any expanded search.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/H2_two_ecologies_brief_v1.md,H2_two_ecologies_v1,metric_or_documentation_asset,recompute_required,high,Still reports the 65/18/47 accountability comparison.,Generate H2 v2; retain v1 unchanged.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/README.md,H2_two_ecologies_v1,metric_or_documentation_asset,recompute_required,high,Still reports the 65/18/47 accountability comparison.,Generate H2 v2; retain v1 unchanged.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/accountability_comparison_actors_v1.csv,H2_two_ecologies_v1,analysis_table,recompute_required,high,Row-level output differs under the current anchor-selected group.,Emit a versioned H2 v2 table.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/dyadic_relation_ecology_audit_v1.csv,H2_two_ecologies_v1,analysis_table,recompute_required,medium,Row-level output differs under the current anchor-selected group.,Emit a versioned H2 v2 table.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/issue_ecology_profile_v1.csv,H2_two_ecologies_v1,analysis_table,recompute_required,high,Row-level output differs under the current anchor-selected group.,Emit a versioned H2 v2 table.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/manifest.json,H2_two_ecologies_v1,metric_or_documentation_asset,recompute_required,high,Still reports the 65/18/47 accountability comparison.,Generate H2 v2; retain v1 unchanged.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/metrics_v1.json,H2_two_ecologies_v1,metric_or_documentation_asset,recompute_required,high,Still reports the 65/18/47 accountability comparison.,Generate H2 v2; retain v1 unchanged.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/place_overlap_v1.csv,H2_two_ecologies_v1,analysis_table,recompute_required,medium,Row-level output differs under the current anchor-selected group.,Emit a versioned H2 v2 table.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/r10_interface_audit_v1.csv,H2_two_ecologies_v1,analysis_table,recompute_required,medium,Row-level output differs under the current anchor-selected group.,Emit a versioned H2 v2 table.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h2_two_ecologies_v1/source_overlap_v1.csv,H2_two_ecologies_v1,analysis_table,recompute_required,medium,Row-level output differs under the current anchor-selected group.,Emit a versioned H2 v2 table.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h3_frontline_memory_v1/brief_v1.md,H3_frontline_memory_v1,metric_or_documentation_asset,recompute_required,high,Reports the old 4/4/1 target-tag snapshot.,Use current H3 issue overlay; preserve v1 source rows.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h3_frontline_memory_v1/manifest.json,H3_frontline_memory_v1,metric_or_documentation_asset,recompute_required,high,Reports the old 4/4/1 target-tag snapshot.,Use current H3 issue overlay; preserve v1 source rows.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_h3_frontline_memory_v2/manifest.json,H3_frontline_memory_v2,manifest,recompute_required,low,Protected registry and source-log hashes no longer match current files.,Refresh hashes only in H3 v3; source-level rows remain historical.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_topic_selection_v1/frontend_research_modules_v1.json,research_wave_topic_selection_v1,module_index,recompute_required,high,Carries H1 234/185 and H2 65/18/47 snapshot metrics.,Do not expose; issue a versioned module index after interpretation gates.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
outputs/research_wave_topic_selection_v1/principal_checkpoint_v1.md,mechanical_marker_scan,text_asset,recompute_required,medium,High-confidence old snapshot marker found mechanically.,Review against the compatibility overlay before reuse.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
scripts/make_h1_documentation_visibility_v1.py,H1_v1,generator,recompute_required,high,Hard-coded validation expects 238 active edges.,Create H1 v3 with dynamic count labels and validators.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
scripts/make_h1_documentation_visibility_v2.py,H1_v2,generator,recompute_required,high,Hard-coded 238/65/173/312 labels and validation gates remain.,Version the generator; do not patch historical v2 outputs in place.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
scripts/make_h2_two_ecologies_v1.py,H2_two_ecologies_v1,generator,recompute_required,medium,"Analysis is dynamic, but rendered brief text hard-codes 65/18/47.",Move all rendered counts to current metrics in H2 v2.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
tests/test_make_h1_documentation_visibility_v1.py,H1_v1,test,recompute_required,high,Assertions encode the historical 238/234 scenario.,Keep as provenance or replace with versioned current tests.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
tests/test_make_h1_documentation_visibility_v2.py,H1_v2,test,recompute_required,high,Assertions and SVG text checks encode 238/65/173/234/312.,Add current-version tests rather than rewriting provenance tests.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
tests/test_make_h2_two_ecologies_v1.py,H2_two_ecologies_v1,test,recompute_required,high,Assertions and brief checks encode 65/18/47.,Keep provenance test or issue H2 v2 tests.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
tests/test_make_h3_frontline_memory_v1.py,H3_frontline_memory_v1,test,recompute_required,high,Assertions encode target-tag counts 4/4/1.,Create versioned current-snapshot tests.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,Inventory status concerns current-count compatibility only; historical provenance remains valid.
