occurrence_id,asset,marker_id,line_number,excerpt,mechanical_status,manual_context_rule,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
SM0015,outputs/research_wave_h1_documentation_visibility_v2/graph_object_summary_v2.csv,h1_old_split_phrase,2,"G1,actor_issue_bipartite,238,103,26,active_actor_issue_degree,0.331,construction_diagnostic,-0.138,""238 actor×issue evidence rows (65 reviewed + 173 candidate); degree counts coded issue categories, not organizational relationships"",no actor projection used,research_only,research,candidate,ai_seeded,not_frontend_ready,",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0016,outputs/research_wave_h1_documentation_visibility_v2/method_brief_v2.md,h1_old_split_phrase,13,审核状态同样改变结果。在来源 crosswalk 可用的 actor 中，reviewed-only 65 边的 registry／outcome-excluded 相关为 0.525/0.282，candidate-only 173 边则为 -0.169/-0.330。reviewed-only 不是“更真实”的随机样本，而是当前人审顺序的产物。图 2 因此把 238 active、65 reviewed 和 173 candidate 明确拆开。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0017,outputs/research_wave_h1_documentation_visibility_v2/method_brief_v2.md,h1_old_split_phrase,17,"- `actor_issue_bipartite`：238 条输入观察；103 个可见 registry actor；238 actor×issue evidence rows (65 reviewed + 173 candidate); degree counts coded issue categories, not organizational relationships；总来源相关=0.331（construction diagnostic），outcome-excluded=-0.138",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0018,outputs/research_wave_h1_documentation_visibility_v2/method_brief_v2.md,h1_old_e3plus_or_triple,33,S004 的证据支持若被移除，当前 234 条 E3/E4 编码边中有 41 条会失去全部已列支持，25 个 actor 会失去该层全部边；S003/S004/S006 合计对应 49 条边、30 个 actor。这个结果描述的是**当前编码层对几份名单的依赖**，不是现实网络在删网页后消失。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0019,outputs/research_wave_h1_documentation_visibility_v2/method_brief_v2.md,h1_old_split_phrase,50,5. **审核选择效应**：65 条 reviewed edge 集中于最近优先复核的 actor，不是从 238 条 active edge 随机抽样。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0020,outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,old_actor_registry_hash,6,"""data\\interim\\01_actor_registry_initial_v0.csv"": ""03653fe12665abc754ef09d9d30e76c6e53dd495eaceba0fef4bc5ce5540b0a3"",",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0021,outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,old_source_log_hash,7,"""data\\interim\\05_source_log_initial_v0.csv"": ""ea5c34a2785cfede7f8eedc0420c56968c17fdca112b38d168ec5df5a87ee3a4"",",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0022,outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,old_actor_issue_hash,8,"""data\\interim\\24_r01_r02_actor_issue_layered_v0.csv"": ""61302c3bfbd42df53a3679c1dc41fe4247376598d8ab7220839cc326e30b8cbe"",",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0023,outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,old_strict_triple_hash,9,"""outputs\\R03_strict_place_issue_v1\\same_source_actor_place_issue_triples_v1.csv"": ""a13bb162cd1f855c9a3db38f7875cb59081d4cbd989c9325d9d6592510d8c7ec"",",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0024,outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,h1_old_e3plus_or_triple,23,"""e3plus_actor_issue_edges"": 234,",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0025,outputs/research_wave_h1_documentation_visibility_v2/metrics_v2.json,h1_old_e3plus_or_triple,24,"""strict_triples"": 312,",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0026,outputs/research_wave_h1_documentation_visibility_v2/principal_checkpoint_v2.md,h1_old_e3plus_or_triple,44,- “移除 S004 的证据支持，会使当前 234 条 E3/E4 编码边中的 41 条失去全部已列支持”；,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0027,outputs/research_wave_h1_documentation_visibility_v2/README.md,h1_old_split_phrase,18,- `review_layer_sensitivity_v2.csv`：238 active、65 reviewed、173 candidate 的审核层敏感性。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0028,outputs/research_wave_h1_documentation_visibility_v2/README.md,h1_old_split_phrase,30,全包为 `research_only / candidate / ai_seeded / not_frontend_ready`。总 linked-source 相关只作 construction diagnostic；主要敏感性使用 registry-only／outcome-excluded proxy，并排除 9 个未解析 legacy-token actor。65 条 reviewed edge 与 173 条 candidate edge 不合并解释。organization-hosted trace 不等于 actor 自有官网；英文标题不等于组织英文能力；source-year span 不等于 lifespan；共同,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0029,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,2,"H1R001,all_current_actors,121,active_238,238,linked_source_count,active_actor_issue_degree,0.331,construction_diagnostic,65 reviewed + 173 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-laye",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0030,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_split_phrase,2,"H1R001,all_current_actors,121,active_238,238,linked_source_count,active_actor_issue_degree,0.331,construction_diagnostic,65 reviewed + 173 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-laye",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0031,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,3,"H1R002,all_current_actors,121,active_238,238,registry_source_count,active_actor_issue_degree,0.284,primary_registry_proxy,65 reviewed + 173 candidate edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-layer sensitivity ",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0032,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_split_phrase,3,"H1R002,all_current_actors,121,active_238,238,registry_source_count,active_actor_issue_degree,0.284,primary_registry_proxy,65 reviewed + 173 candidate edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-layer sensitivity ",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0033,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,4,"H1R003,all_current_actors,121,active_238,238,non_issue_linked_source_count,active_actor_issue_degree,-0.135,primary_outcome_excluded_proxy,65 reviewed + 173 candidate edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_fro",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0034,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_split_phrase,4,"H1R003,all_current_actors,121,active_238,238,non_issue_linked_source_count,active_actor_issue_degree,-0.135,primary_outcome_excluded_proxy,65 reviewed + 173 candidate edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_fro",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0035,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,5,"H1R004,all_current_actors,121,reviewed_65,65,linked_source_count,reviewed_actor_issue_degree,0.547,construction_diagnostic,61 human_checked + 4 human_revised edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,""Re",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0036,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,6,"H1R005,all_current_actors,121,reviewed_65,65,registry_source_count,reviewed_actor_issue_degree,0.509,primary_registry_proxy,61 human_checked + 4 human_revised edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-layer sen",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0037,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,7,"H1R006,all_current_actors,121,reviewed_65,65,non_issue_linked_source_count,reviewed_actor_issue_degree,0.265,primary_outcome_excluded_proxy,61 human_checked + 4 human_revised edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0038,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,8,"H1R007,all_current_actors,121,candidate_173,173,linked_source_count,candidate_actor_issue_degree,-0.112,construction_diagnostic,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candida",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0039,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,9,"H1R008,all_current_actors,121,candidate_173,173,registry_source_count,candidate_actor_issue_degree,-0.145,primary_registry_proxy,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,n",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0040,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,10,"H1R009,all_current_actors,121,candidate_173,173,non_issue_linked_source_count,candidate_actor_issue_degree,-0.313,primary_outcome_excluded_proxy,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,researc",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0041,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,11,"H1R010,resolved_reference_actors_only,112,active_238,228,linked_source_count,active_actor_issue_degree,0.313,construction_diagnostic,65 reviewed + 173 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_frontend_ready,",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0042,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_split_phrase,11,"H1R010,resolved_reference_actors_only,112,active_238,228,linked_source_count,active_actor_issue_degree,0.313,construction_diagnostic,65 reviewed + 173 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_frontend_ready,",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0043,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,12,"H1R011,resolved_reference_actors_only,112,active_238,228,registry_source_count,active_actor_issue_degree,0.257,primary_registry_proxy,65 reviewed + 173 candidate edges,identity-layer S-source refs only,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-layer ",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0044,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_split_phrase,12,"H1R011,resolved_reference_actors_only,112,active_238,228,registry_source_count,active_actor_issue_degree,0.257,primary_registry_proxy,65 reviewed + 173 candidate edges,identity-layer S-source refs only,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_frontend_ready,""Review-layer ",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0045,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,13,"H1R012,resolved_reference_actors_only,112,active_238,228,non_issue_linked_source_count,active_actor_issue_degree,-0.138,primary_outcome_excluded_proxy,65 reviewed + 173 candidate edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_se",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0046,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_split_phrase,13,"H1R012,resolved_reference_actors_only,112,active_238,228,non_issue_linked_source_count,active_actor_issue_degree,-0.138,primary_outcome_excluded_proxy,65 reviewed + 173 candidate edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_se",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0047,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,14,"H1R013,resolved_reference_actors_only,112,reviewed_65,65,linked_source_count,reviewed_actor_issue_degree,0.576,construction_diagnostic,61 human_checked + 4 human_revised edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_fronte",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0048,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,15,"H1R014,resolved_reference_actors_only,112,reviewed_65,65,registry_source_count,reviewed_actor_issue_degree,0.525,primary_registry_proxy,61 human_checked + 4 human_revised edges,identity-layer S-source refs only,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_frontend_ready,""Revi",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0049,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,16,"H1R015,resolved_reference_actors_only,112,reviewed_65,65,non_issue_linked_source_count,reviewed_actor_issue_degree,0.282,primary_outcome_excluded_proxy,61 human_checked + 4 human_revised edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors excluded,research_only,research,candida",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0050,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,17,"H1R016,resolved_reference_actors_only,112,candidate_173,163,linked_source_count,candidate_actor_issue_degree,-0.14,construction_diagnostic,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors excluded,research_only,resea",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0051,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,18,"H1R017,resolved_reference_actors_only,112,candidate_173,163,registry_source_count,candidate_actor_issue_degree,-0.169,primary_registry_proxy,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,identity-layer S-source refs only,9 unresolved legacy-token actors excluded,research_only,research,candidate",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0052,outputs/research_wave_h1_documentation_visibility_v2/review_layer_sensitivity_v2.csv,h1_old_layer_id,19,"H1R018,resolved_reference_actors_only,112,candidate_173,163,non_issue_linked_source_count,candidate_actor_issue_degree,-0.33,primary_outcome_excluded_proxy,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors exclu",stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0053,outputs/research_wave_h1_documentation_visibility_v2/validation_report_v2.md,h1_old_split_phrase,5,- PASS: actor-issue review split = 65 reviewed / 173 candidate,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0054,outputs/research_wave_h2_two_ecologies_v1/H2_two_ecologies_brief_v1.md,h2_old_group_phrase,17,- 限制／问责比较组不是按组织名挑选：任何当前有效 civic actor 只要至少有一条具体争议锚点议题边便进入；政府、资助、企业赞助和服务 actor 排除。当前为 65 个候选比较 actor，其中 18 个至少有一条人审锚点边，47 个只由候选锚点边选入。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
SM0055,outputs/research_wave_h2_two_ecologies_v1/H2_two_ecologies_brief_v1.md,h2_old_group_phrase,31,> 按当前 registry 与候选锚点规则得到 9 个服务侧比较 actor 和 65 个问责侧候选 actor（18 个至少有一条人审锚点边、47 个仅有候选边）。14 条已核＋8 条候选 dyadic、4 条 typed-event 与 35 条 R10 目的性记录中，尚未编码出直接跨组组织关系；27 条法律案件角色中没有服务侧 actor。人物重叠未测，recipient 网络不完整。,stale_marker_found,Historical snapshots may retain old values; they must not be presented as current.,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"String occurrence identifies a compatibility risk, not a substantive research error."
