metric,old_value,current_value,compatibility_status,impact,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
service_candidate_issue_edge_count,5,5,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_core_actor_count,9,9,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_core_actor_ids,"[""X001"", ""X004"", ""X005"", ""X006"", ""X007"", ""X008"", ""X009"", ""X016"", ""X017""]","[""X001"", ""X004"", ""X005"", ""X006"", ""X007"", ""X008"", ""X009"", ""X016"", ""X017""]",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_core_case_role_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_human_reviewed_issue_edge_count,6,6,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_issue_source_id_count,12,12,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_non_source_ref_count,3,3,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_non_source_refs,"[""X001"", ""X008"", ""X009""]","[""X001"", ""X008"", ""X009""]",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_unique_place_count,7,7,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
shared_issue_source_id_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
shared_issue_source_ids,[],[],invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
shared_place_node_count,2,2,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
shared_place_node_ids,"[""P001"", ""P005""]","[""P001"", ""P005""]",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
typed_event_observation_count,4,4,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
