receipt_id,publisher,title,source_family,url,retrieved_at,artifact_path,sha256,mime_type,exact_locator,supports_row_ids,archive_status,notes,review_status,package_scope,frontend_status,central_writeback
W2D-SR019,A086,A086 official applicable_990_part_vii_schedule_i,applicable_990_part_vii_schedule_i,https://seaturtles.org/wp-content/uploads/2025/01/TIRN-6.30.2024-Public-Disclosure-Copy-2.pdf,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a086_fy24_990.pdf,13034572e15ce25257b0f3b04278e87a13877d38dcd3fb2f72b4e720bf759fef,application/pdf,FY2024 Form 990 found; Schedule I page-level status unresolved,A086,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR020,A086,A086 official annual_report_or_financial,annual_report_or_financial,https://seaturtles.org/wp-content/uploads/2025/01/TIRN-2024-Audit-FS-Final.pdf,2026-08-22,outputs/us_presence_network_wave2_w2_d_v1/artifacts/a0_official/a086_fy24_audit.pdf,96b12b11e15a891e9da6b4f70122c46d1dd35edbc65aeeb11d75b2ba527c6fcc,application/pdf,FY2024 audited financial statements,A086,archived_local,Official source; no central S-ID assigned.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR021,project_controlled_input,W2-00 selection members,internal_hashed_input,,2026-08-22,outputs/us_presence_network_wave2_w2_00_v1/selection_frame_actor_members_v1.csv,271864174eb32de0ff212e72a1c1508544c1986581e04ddd305cd3240cfe7ed3,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR022,project_controlled_input,W2-A endpoint handoff,internal_hashed_input,,2026-08-22,outputs/us_presence_network_wave2_w2_a_v1/w2d_endpoint_handoff_v1.csv,cc701ff168682d99e466675a205712411f210cd4a22b9d05b42e91d0137b4a94,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR023,project_controlled_input,W2-B endpoint handoff,internal_hashed_input,,2026-08-22,outputs/us_presence_network_wave2_w2_b_v1/w2_d_endpoint_candidates_v1.csv,286a3d4c62f641f3f3eda8572c00d391d123f4034c5222c1edc1a1f27d532dd8,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR024,project_controlled_input,Wave1 accountability people,internal_hashed_input,,2026-08-22,outputs/us_presence_accountability_recon_v1/person_role_observations_v1.csv,0bc05bb1ba08a7421dbea1ff1854119588cb9b31c2f697453e0e7854dc815300,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR025,project_controlled_input,Current typed relations,internal_hashed_input,,2026-08-22,data/interim/15_funding_or_support_edges_sample_v0.csv,3b11795150e7630ccf4cdab371ac135fab019c260609ee1272df518638f3ef23,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR026,project_controlled_input,Current actor-place,internal_hashed_input,,2026-08-22,data/interim/08_actor_place_edges_initial_v0.csv,dc933a89896fffd336a26a9a5d198bb98490dbb2ac9a84610242de714721e082,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR027,project_controlled_input,Current actor-event,internal_hashed_input,,2026-08-22,data/interim/09_actor_event_venue_edges_v0.csv,9e0ed9d80fda91b35f9303c31b78ce7024111ab1c4b255bd4f366af51a6c5dc8,text/csv,whole controlled input,W2-D package,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR028,project_controlled_input,W2-00 anchor ledger,internal_hashed_input,,2026-08-22,outputs/us_presence_network_wave2_w2_00_v1/anchor_ledger_v1.csv,67ea11d3b7ee7bcd725db5982a441cf36966813121c7ea664e297e587b210226,text/csv,rows W2B-A021;W2B-A022;W2B-A024;W2B-A026;W2B-A032,W2D-EG012;W2D-CL007,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
W2D-SR029,project_controlled_input,W2-B federal award audit,internal_hashed_input,,2026-08-22,outputs/us_presence_network_wave2_w2_b_v1/federal_award_allocation_audit_v1.csv,64a25aae81d149093f3e903f8d9d1ac9be02d5f61029585072643c1b89b39bbb,text/csv,row W2B2-FA001,W2D-EG012,internal_hashed_reference,Referenced in place; source package remains immutable.,ai_seeded,research_only,not_frontend_ready,no
