activity_row_id,actor_id,actor_name,analytical_groups,window_start,window_end,activity_status,activity_anchor_refs,activity_anchor_basis,interpretation_limit,review_status,package_scope,frontend_status,central_writeback
W2D-ACT012,A012,宮古島いのちの水を守ろう！,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT013,A013,ミサイル基地いらない宮古島住民連絡会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT014,A014,住民投票を成功させるための実行委員会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT015,A015,与那国自衛隊配備反対意見広告実行委員会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT016,A016,与那国島の明るい未来を願うイソバの会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S068,source_year:2024,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT017,A017,沖縄対話プロジェクト,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S022,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT018,A018,ノーモア沖縄戦 命どぅ宝の会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S024,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT019,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT020,A020,日本環境法律家連盟（JELF）,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT021,A021,国際環境NGO FoE Japan,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT022,A022,NPO法人 ラムサール・ネットワーク日本,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT023,A023,美ら海にもやんばるにも基地はいらない市民の会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT024,A024,辺野古リレー,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT025,A025,辺野古への基地建設を許さない実行委員会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT026,A027,公共事業改革市民会議,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT027,A028,沖縄のための日米市民ネットワーク（JUCON）,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT028,A029,沖縄・生物多様性市民ネットワーク,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT029,A033,Friends of the Earth U.S.,A0,2023-01-01,2025-12-31,observed_in_window_general_org,,2024 annual report,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT030,A042,Pacific Environment,A0,2023-01-01,2025-12-31,observed_in_window_general_org,,2025-05-15 IMO commentary,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT031,A045,Center for Biological Diversity,A0,2023-01-01,2025-12-31,observed_in_window_general_org,,2024-12-26 organization review,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT032,A047,沖縄平和運動センター,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT033,A048,沖縄一坪反戦地主会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT034,A049,基地・軍隊を許さない行動する女たちの会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT035,A050,沖縄弁護士会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT036,A051,「辺野古」県民投票の会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT037,A052,嘉手納基地爆音差止訴訟原告団,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT038,A053,普天間基地爆音訴訟団,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT039,A056,沖縄環境ネットワーク,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT040,A057,沖縄意見広告運動,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT041,A058,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT042,A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT043,A060,高江のヘリパッドいらない住民の会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT044,A063,一坪反戦地主会関東ブロック,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT045,A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT046,A065,南西諸島ピースネット,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT047,A066,新外交イニシアティブ（ND）,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT048,A067,辺野古土砂搬出反対全国連絡協議会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT049,A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT050,A069,沖縄ジュゴン環境アセスメント監視団,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT051,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0;A1C,2023-01-01,2025-12-31,observed_in_window_okinawa_action,S048,2023 and 2025 VFP resolutions,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT052,A071,沖縄から基地をなくし世界の平和を求める市民連絡会,A1C,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT053,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT054,A086,Turtle Island Restoration Network,A0;A1R,2023-01-01,2025-12-31,observed_in_window_general_org,S228,2025 named activity roles,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT055,A087,NPO法人世界版「平和の礎」を提案する会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S230,source_year:2025,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT056,A089,沖縄県教職員組合,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT057,A090,沖縄県高等学校障害児学校教職員組合,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT058,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S234;S235,source_year:2024;source_year:2025,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT059,A092,沖縄県労働組合総連合,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT060,A093,全日本自治団体労働組合沖縄県本部,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT061,A095,止めよう「自衛隊配備」宮古郡民の会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT062,A096,宮古平和運動連絡協議会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT063,A097,宮古島環境クラブ,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT064,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT065,A100,ミサイル配備から命を守るうるま市民の会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S244,source_year:2024,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT066,A101,沖縄・琉球弧の声を届ける会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S245;S246;S247,source_year:2023;source_year:2025,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT067,A102,全国公害弁護団連絡会議,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT068,A103,全国基地爆音訴訟原告団連絡会議,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT069,A104,普天間基地爆音訴訟弁護団,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT070,A105,日本YWCA,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT071,A106,辺野古の海を土砂で埋めるな！首都圏連絡会,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT072,A107,沖縄YWCA,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT073,A108,沖縄を再び戦場にさせない県民の会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,AEV0066;S146;S147;S148,event_year:2023;source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT074,A109,第4次嘉手納基地爆音差止訴訟弁護団,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S150,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT075,A110,辺野古に基地を絶対つくらせない大阪行動,A1R,2023-01-01,2025-12-31,not_observable_in_window_from_bounded_inputs,,No 2023-2025 source-year or event-year anchor in the selected central inputs,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT076,A111,沖縄県女性団体連絡協議会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,AEV0065;S200;S201;S206;S207,event_year:2024;source_year:2024,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT077,A112,宮古島地下水研究会,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S271,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT078,A113,宜野湾ちゅら水会,A1C,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S273;S277,source_year:2023,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT079,A114,全日本港湾労働組合沖縄地方本部,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S287;S288;S289,source_year:2024;source_year:2025,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT080,A115,新日本婦人の会沖縄県本部,A1R,2023-01-01,2025-12-31,observed_in_window_source_or_event_anchor,S281,source_year:2024,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT081,X001,USO Okinawa,S0,2023-01-01,2025-12-31,observed_in_window,,2025 USO Okinawa official stories and staffing snapshot,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT082,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0,2023-01-01,2025-12-31,observed_in_window,S041,FY2023/FY2024 official IRS filings,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT083,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0,2023-01-01,2025-12-31,observed_in_window,,FY2023-FY2025 official IRS filings,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT084,X006,Kadena Officers' Spouses' Club KOSC,S0,2023-01-01,2025-12-31,observed_in_window,,FY2023-FY2025 official IRS filings,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT085,X007,Okinawa Enlisted Spouses' Club (OESC),S0,2023-01-01,2025-12-31,observed_in_window,S041;S053,FY2023-FY2025 filings and 2025 USO gift,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT086,X008,American Red Cross Okinawa,S0,2023-01-01,2025-12-31,observed_in_window,,2023 Typhoon Khanun official response,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT087,X009,Navy-Marine Corps Relief Society Okinawa,S0,2023-01-01,2025-12-31,observed_in_window_or_current_service,,W2B2 official Okinawa location/service records,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT088,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0,2023-01-01,2025-12-31,observed_in_window,S041,FY2023-FY2025 official IRS filings,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
W2D-ACT089,X017,Army Community Group of Okinawa (ACGO),S0,2023-01-01,2025-12-31,not_observable_in_window,S041,Latest filing/activity anchors are historical,"An in-window source publication or event anchor supports observability in the bounded inputs, not uninterrupted real-world activity.",ai_seeded,research_only,not_frontend_ready,no
