coverage_row_id,actor_id,actor_name,analytical_side,source_family,window_start,window_end,coverage_status,source_ref_or_url,exact_locator_or_result,s0_name_hit,completion_semantics,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback
W2D-SC011,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_filing_roles,W2A-SR009:W2A-SR011,Part VII filing roles,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC012,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,W2A-SR009:W2A-SR011,Official IRS XML,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC013,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_found_bounded,W2A package,No separate annual report in bounded corpus,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC014,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,case_or_event_role,2023-01-01,2025-12-31,found_in_window,F036,2025 joint in-kind delivery episode,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC015,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,partial_filing_recipient_coverage,W2A-SR009:W2A-SR011,Filing recipients do not form exhaustive public ledger,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC016,X006,Kadena Officers' Spouses' Club KOSC,S0_service,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_filing_roles,W2A-SR003:W2A-SR005,Part VII filing roles,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC017,X006,Kadena Officers' Spouses' Club KOSC,S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,W2A-SR003:W2A-SR005,Official IRS XML,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC018,X006,Kadena Officers' Spouses' Club KOSC,S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_found_bounded,W2A package,No separate annual report in bounded corpus,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC019,X006,Kadena Officers' Spouses' Club KOSC,S0_service,case_or_event_role,2023-01-01,2025-12-31,not_found_bounded,W2A package,No exhaustive event archive; filing actions only,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC020,X006,Kadena Officers' Spouses' Club KOSC,S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,partial_filing_recipient_coverage,W2A-SR003:W2A-SR005,Schedule I/aggregate recipients are incomplete,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC021,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_filing_roles,W2A-SR012:W2A-SR014,Part VII filing roles,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC022,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,W2A-SR012:W2A-SR014,Official IRS XML,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC023,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_found_bounded,W2A package,No separate annual report in bounded corpus,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC024,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,case_or_event_role,2023-01-01,2025-12-31,found_in_window,F021;W2B2-SR032,2025 donation to USO Okinawa,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC025,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,partial_filing_recipient_coverage,W2A-SR012:W2A-SR014,"Named filing recipients, not exhaustive donor ledger",no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC026,X008,American Red Cross Okinawa,S0_service,official_roster_or_team,2023-01-01,2025-12-31,not_found_bounded,W2B2-SR020;W2B2-SR031,"Local office/function pages, no dated local roster",no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC027,X008,American Red Cross Okinawa,S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,not_examined_parent_filing_gap,,National filing not extracted in W2-B,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC028,X008,American Red Cross Okinawa,S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_examined_parent_report_gap,,National annual report not extracted in W2-B,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC029,X008,American Red Cross Okinawa,S0_service,case_or_event_role,2023-01-01,2025-12-31,found_in_window,W2B2-SR020,2023 Okinawa disaster response,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC030,X008,American Red Cross Okinawa,S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,found_service_interface,W2B2-SR022;W2B2-SR023,NMCRS after-hours liaison interface,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC031,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,official_roster_or_team,2023-01-01,2025-12-31,not_found_bounded,W2B2-SR022;W2B2-SR023,No dated local roster in selected pages,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC032,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,not_examined_parent_filing_gap,,National filing not extracted in W2-B,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC033,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,annual_report_or_financial,2023-01-01,2025-12-31,parent_report_index_only,W2B2-SR024,"Annual reports index, no Okinawa allocation",no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC034,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,case_or_event_role,2023-01-01,2025-12-31,found_service_page,W2B2-SR022,Okinawa office/services,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC035,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,found_service_interface,W2B2-SR022;W2B2-SR023,ARC after-hours liaison using NMCRS funds,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC036,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_filing_roles,W2A-SR006:W2A-SR008,Part VII filing roles,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC037,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,W2A-SR006:W2A-SR008,Official IRS XML,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC038,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_found_bounded,W2A package,No separate annual report in bounded corpus,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC039,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,case_or_event_role,2023-01-01,2025-12-31,not_found_bounded,W2A package,No exhaustive event archive; filing actions only,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC040,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,partial_schedule_o_coverage,W2A-SR006:W2A-SR008,Schedule O commitments are not always paid grants,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC041,X017,Army Community Group of Okinawa (ACGO),S0_service,official_roster_or_team,2023-01-01,2025-12-31,not_found_window,,No 2023-2025 roster,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC042,X017,Army Community Group of Okinawa (ACGO),S0_service,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,historical_outside_window,SR-HR-007,FY2018 filing only,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC043,X017,Army Community Group of Okinawa (ACGO),S0_service,annual_report_or_financial,2023-01-01,2025-12-31,not_found_window,,No 2023-2025 report,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC044,X017,Army Community Group of Okinawa (ACGO),S0_service,case_or_event_role,2023-01-01,2025-12-31,not_found_window,,No 2023-2025 event record,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC045,X017,Army Community Group of Okinawa (ACGO),S0_service,recipient_or_partner_announcement,2023-01-01,2025-12-31,not_found_window,,No 2023-2025 recipient record,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC046,A009,Earthjustice,A0_accountability,official_roster_or_team,2023-01-01,2025-12-31,snapshot_2026_only,https://earthjustice.org/about/staff,Current staff page; Abigail Dillen listed as President; not backdated,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC047,A009,Earthjustice,A0_accountability,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,https://earthjustice.org/document/irs-form-990-fy2024,FY2024 Form 990; Schedule I pp. 46-48,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC048,A009,Earthjustice,A0_accountability,annual_report_or_financial,2023-01-01,2025-12-31,found_in_window,https://earthjustice.org/about/financial-statements,FY2023/FY2024 reports and filings index,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC049,A009,Earthjustice,A0_accountability,case_or_event_role,2023-01-01,2025-12-31,historical_only_no_window_action,https://earthjustice.org/case/okinawa-dugong-proposed-airbase,Dugong case page names CBD and TIRN as clients; no 2023-2025 event date,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC050,A009,Earthjustice,A0_accountability,recipient_or_partner_announcement,2023-01-01,2025-12-31,not_found_bounded,https://earthjustice.org/about/financial-statements,No S0 organization named in reviewed Schedule I or exact official-site probes,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC051,A033,Friends of the Earth U.S.,A0_accountability,official_roster_or_team,2023-01-01,2025-12-31,snapshot_2026_only,https://foe.org/about-us/our-president/,Current president/board pages; not backdated,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC052,A033,Friends of the Earth U.S.,A0_accountability,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,partial_schedule_i_unresolved,https://foe.org/about-us/accountability/,FY2024 filing listed; Schedule I requires page-level extraction,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC053,A033,Friends of the Earth U.S.,A0_accountability,annual_report_or_financial,2023-01-01,2025-12-31,found_in_window,https://foe.org/report/2024-annual-report/,2024 annual report,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC054,A033,Friends of the Earth U.S.,A0_accountability,case_or_event_role,2023-01-01,2025-12-31,not_found_bounded,https://foe.org/about-us/accountability/,No 2023-2025 Okinawa or S0 event role in reviewed official entries,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC055,A033,Friends of the Earth U.S.,A0_accountability,recipient_or_partner_announcement,2023-01-01,2025-12-31,not_found_bounded,https://foe.org/about-us/accountability/,No S0 name in reviewed official financial/report entries,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC056,A042,Pacific Environment,A0_accountability,official_roster_or_team,2023-01-01,2025-12-31,snapshot_2026_only,https://www.pacificenvironment.org/about-us/who-we-are/leadership/,Current leadership entry; not backdated,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC057,A042,Pacific Environment,A0_accountability,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window_schedule_i_not_applicable,https://www.pacificenvironment.org/wp-content/uploads/2026/01/Pacific-Environment_990_23-24.pdf,FY2024 Form 990; Part IV lines 21/22 No,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC058,A042,Pacific Environment,A0_accountability,annual_report_or_financial,2023-01-01,2025-12-31,found_in_window,https://www.pacificenvironment.org/about-us/financials/,FY2024 financial statements and 990,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC059,A042,Pacific Environment,A0_accountability,case_or_event_role,2023-01-01,2025-12-31,not_found_bounded,https://www.pacificenvironment.org/about-us/financials/,No 2023-2025 Okinawa/S0 action in reviewed official materials,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC060,A042,Pacific Environment,A0_accountability,recipient_or_partner_announcement,2023-01-01,2025-12-31,not_found_bounded,https://www.pacificenvironment.org/about-us/financials/,No S0 recipient/funder/partner in reviewed official materials,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC061,A045,Center for Biological Diversity,A0_accountability,official_roster_or_team,2023-01-01,2025-12-31,snapshot_2026_only,https://www.biologicaldiversity.org/about/staff/,Current staff directory; not backdated,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC062,A045,Center for Biological Diversity,A0_accountability,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,found_in_window,https://www.biologicaldiversity.org/support/pdfs/Center-for-Biological-Diversity-form-990-2023.pdf,2023 Form 990; Schedule I pp. 29-30,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC063,A045,Center for Biological Diversity,A0_accountability,annual_report_or_financial,2023-01-01,2025-12-31,found_in_window,https://www.biologicaldiversity.org/support/financials.html,2023/2024 990 and audited financials index,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC064,A045,Center for Biological Diversity,A0_accountability,case_or_event_role,2023-01-01,2025-12-31,historical_page_no_window_action,https://www.biologicaldiversity.org/programs/international/japan.html,Current Japan program page lacks 2023-2025 Okinawa action date,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC065,A045,Center for Biological Diversity,A0_accountability,recipient_or_partner_announcement,2023-01-01,2025-12-31,not_found_bounded,https://www.biologicaldiversity.org/support/financials.html,No S0 name in reviewed Schedule I/official probes,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC066,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0_accountability,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_document_roles,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,"2025 resolution names Makishi Yoshikazu, Pete Shimazaki Doktor and Douglas Lummis",no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC067,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0_accountability,applicable_990_part_vii_schedule_i,2023-01-01,2025-12-31,not_applicable_standalone_chapter,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting,No separate chapter EIN/990 located; national 990 cannot substitute,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC068,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0_accountability,annual_report_or_financial,2023-01-01,2025-12-31,not_found_bounded,https://www.veteransforpeace.org/who-we-are/member-highlights/2024/08/08/2024-vfp-okinawajapan-peace-speaking-tour-report-1,No chapter-specific annual report found,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC069,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0_accountability,case_or_event_role,2023-01-01,2025-12-31,found_in_window,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,2023/2025 official resolution and action records,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC070,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A0_accountability,recipient_or_partner_announcement,2023-01-01,2025-12-31,not_found_bounded,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting,No S0 organization named in reviewed official resolutions/pages,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
W2D-SC071,A086,Turtle Island Restoration Network,A0_accountability,official_roster_or_team,2023-01-01,2025-12-31,found_in_window_document_roles,https://seaturtles.org/category/eastern-tropical-pacific/,2025 release names Todd Steiner and Ken Bouley,no_confirmed_hit,bounded_source_family_result,The declared source family was checked to the stated depth and status.,A not-found or incomplete status is not evidence that the relationship does not exist in reality.,ai_seeded,research_only,not_frontend_ready,no
