matrix_row_id,selection_frame_id,frame_role,service_actor_id,service_actor_name,accountability_actor_id,accountability_actor_name,relation_family,window_start,window_end,service_activity_status,accountability_activity_status,pair_observability,source_coverage_status,observed_endpoint_refs,audit_result,screening_disposition,reason,allowed_claim,prohibited_inference,review_status,package_scope,frontend_status,central_writeback
W2D-BM00012,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A033,Friends of the Earth U.S.,shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00013,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A042,Pacific Environment,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00014,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A042,Pacific Environment,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00015,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A042,Pacific Environment,shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00016,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A042,Pacific Environment,shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00017,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A042,Pacific Environment,same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00018,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A042,Pacific Environment,shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00019,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A045,Center for Biological Diversity,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00020,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A045,Center for Biological Diversity,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00021,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A045,Center for Biological Diversity,shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00022,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A045,Center for Biological Diversity,shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00023,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A045,Center for Biological Diversity,same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00024,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A045,Center for Biological Diversity,shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00025,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_okinawa_action,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00026,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_okinawa_action,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00027,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_okinawa_action,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00028,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_okinawa_action,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00029,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_okinawa_action,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00030,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_okinawa_action,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00031,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A086,Turtle Island Restoration Network,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00032,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A086,Turtle Island Restoration Network,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00033,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A086,Turtle Island Restoration Network,shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00034,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A086,Turtle Island Restoration Network,shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00035,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A086,Turtle Island Restoration Network,same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00036,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X001,USO Okinawa,A086,Turtle Island Restoration Network,shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00037,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A009,Earthjustice,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00038,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A009,Earthjustice,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00039,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A009,Earthjustice,shared_recipient_or_intermediary,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,recipient_endpoint_and_transaction_closure_incomplete,,unresolved,no_confirmed_endpoint_crosswalk,No recipient/intermediary is closed to both sides; W2-A has six candidate recipients and zero exact transaction closure.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00040,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A009,Earthjustice,shared_funder_or_sponsor,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,schedule_b_anonymity_and_funder_extraction_gap,,unresolved,structurally_unobservable_or_incomplete,Donor anonymity and incomplete funder extraction prevent a shared-funder zero.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00041,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A009,Earthjustice,same_public_event,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,event_corpora_bounded_not_exhaustive,,unresolved,no_confirmed_same_event,No same event is confirmed in the bounded records; event archives are not exhaustive.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00042,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A009,Earthjustice,shared_place_background,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,tracer_source_family_audit,,unresolved,no_confirmed_bridge_in_bounded_inputs,No confirmed S0-A0 relation in the declared official-source and endpoint corpus.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00043,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A033,Friends of the Earth U.S.,direct_organization_relation,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,declared_source_corpus_complete_for_direct_relation,,audited_public_record_zero,bounded_symmetric_name_and_relation_search_complete,Both endpoints are observable; A0 official sources and the service-side W2-A/W2-B corpus were searched symmetrically for names and direct relations with no confirmed hit.,"Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
W2D-BM00044,USF-W2D-BRIDGE-TRACER15-2026-08-22,deep_tracer,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),A033,Friends of the Earth U.S.,shared_person,2023-01-01,2025-12-31,observed_in_window,observed_in_window_general_org,both_endpoints_observed_in_window,dated_roles_partial_not_full_roster,,unresolved,no_identity_resolved_cross_side_match,"No exact identity-resolved match appears in extracted roles, but roster coverage is incomplete.","Report only the pair, family, window and source-bound result encoded in this row.",Do not generalize an unresolved or bounded zero row to all real-world relationships; shared place is not a bridge and same-event participation is not an alliance.,ai_seeded,research_only,not_frontend_ready,no
