edge_id,actor_id,issue_label,source_refs,exclusive_S003,exclusive_S004,exclusive_S006,exclusive_big3,review_status
AI095,A036,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI096,A037,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI097,A038,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI098,A039,legal,S004,no,yes,no,yes,ai_seeded
AI099,A039,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI100,A040,international_advocacy,S004;S089;S090,no,no,no,no,human_checked
AI101,A041,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI102,A042,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI103,A042,biodiversity,S004,no,yes,no,yes,ai_seeded
AI104,A043,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI105,A044,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI106,A045,legal,S004,no,yes,no,yes,ai_seeded
AI107,A045,biodiversity,S004,no,yes,no,yes,ai_seeded
AI108,A045,international_advocacy,S004,no,yes,no,yes,ai_seeded
AI109,A046,international_advocacy,S004;S091;S092,no,no,no,no,human_checked
AI110,A046,biodiversity,S004;S091;S092,no,no,no,no,human_checked
AI111,A047,anti_base,S031,no,no,no,no,ai_seeded
AI112,A047,peace,S031,no,no,no,no,ai_seeded
AI113,A047,anti_military,S031,no,no,no,no,ai_seeded
AI114,A047,Henoko,S031,no,no,no,no,ai_seeded
AI115,A048,anti_base,S038,no,no,no,no,ai_seeded
AI116,A048,legal,S038,no,no,no,no,ai_seeded
AI117,A048,peace,S038,no,no,no,no,ai_seeded
AI118,A048,local_autonomy,S038,no,no,no,no,ai_seeded
AI119,A049,life_safety,S039,no,no,no,no,ai_seeded
AI120,A049,anti_base,S039,no,no,no,no,ai_seeded
AI121,A049,anti_military,S039,no,no,no,no,ai_seeded
AI122,A050,legal,S037,no,no,no,no,ai_seeded
AI123,A050,local_autonomy,S037,no,no,no,no,ai_seeded
AI124,A050,anti_base,S037,no,no,no,no,ai_seeded
AI125,A051,referendum,S025,no,no,no,no,ai_seeded
AI126,A051,Henoko,S025,no,no,no,no,ai_seeded
AI127,A051,local_autonomy,S025,no,no,no,no,ai_seeded
AI128,A052,legal,S026,no,no,no,no,ai_seeded
AI129,A052,life_safety,S026,no,no,no,no,ai_seeded
AI130,A052,anti_base,S026,no,no,no,no,ai_seeded
AI131,A053,legal,S027,no,no,no,no,ai_seeded
AI132,A053,life_safety,S027,no,no,no,no,ai_seeded
AI133,A053,anti_base,S027,no,no,no,no,ai_seeded
AI134,A054,life_safety,S033,no,no,no,no,ai_seeded
AI135,A055,biodiversity,S030,no,no,no,no,ai_seeded
AI136,A055,legal,S030,no,no,no,no,ai_seeded
AI137,A056,biodiversity,S033,no,no,no,no,needs_second_source
AI138,A056,anti_base,S033,no,no,no,no,needs_second_source
AI139,A057,anti_base,S034,no,no,no,no,ai_seeded
AI140,A057,peace,S034,no,no,no,no,ai_seeded
AI141,A058,anti_base,S031,no,no,no,no,needs_second_source
AI142,A058,peace,S031,no,no,no,no,needs_second_source
AI143,A059,anti_base,S029,no,no,no,no,ai_seeded
AI144,A059,Henoko,S029,no,no,no,no,ai_seeded
AI145,A059,local_autonomy,S029,no,no,no,no,ai_seeded
AI146,A060,anti_base,S028,no,no,no,no,ai_seeded
AI147,A060,biodiversity,S028,no,no,no,no,ai_seeded
AI148,A061,biodiversity,S003;S004,no,no,no,yes,ai_seeded
AI149,A062,biodiversity,S003,yes,no,no,yes,ai_seeded
AI150,A063,anti_base,S038,no,no,no,no,ai_seeded
AI151,A063,peace,S038,no,no,no,no,ai_seeded
AI152,A064,anti_base,S033,no,no,no,no,needs_second_source
AI153,A064,international_advocacy,S033,no,no,no,no,needs_second_source
AI154,A065,anti_military,S036,no,no,no,no,needs_second_source
AI155,A065,frontline_prevention,S036,no,no,no,no,needs_second_source
AI156,A065,Taiwan_contingency,S036,no,no,no,no,needs_second_source
AI157,A066,legal,S032,no,no,no,no,ai_seeded
AI158,A066,local_autonomy,S032,no,no,no,no,ai_seeded
AI159,A066,anti_base,S032,no,no,no,no,ai_seeded
AI160,A067,anti_base,S040,no,no,no,no,ai_seeded
AI161,A067,Henoko,S040,no,no,no,no,ai_seeded
AI162,A067,biodiversity,S040,no,no,no,no,ai_seeded
AI163,A068,referendum,S042,no,no,no,no,ai_seeded
AI164,A068,anti_base,S042,no,no,no,no,ai_seeded
AI165,A068,Henoko,S042,no,no,no,no,ai_seeded
AI166,A069,dugong,S047,no,no,no,no,needs_second_source
AI167,A069,biodiversity,S047,no,no,no,no,needs_second_source
AI168,A069,Henoko,S047,no,no,no,no,needs_second_source
AI169,A070,peace,S048,no,no,no,no,needs_second_source
AI170,A070,anti_base,S048,no,no,no,no,needs_second_source
AI171,A070,international_advocacy,S048,no,no,no,no,needs_second_source
AI172,A071,peace,S031,no,no,no,no,needs_second_source
AI173,A071,anti_base,S031,no,no,no,no,needs_second_source
AI174,A072,anti_base,S031,no,no,no,no,needs_second_source
AI175,A072,peace,S031,no,no,no,no,needs_second_source
AI176,A074,local_autonomy,S043,no,no,no,no,ai_seeded
AI177,A074,anti_base,S043,no,no,no,no,ai_seeded
AI178,A075,anti_base,S047,no,no,no,no,ai_seeded
AI179,X016,military_family_service,S079;S080;S055,no,no,no,no,human_checked
AI180,X017,military_family_service,S041;S072;S081,no,no,no,no,needs_second_source
AI181,A102,legal,S121,no,no,no,no,human_checked
AI182,A102,environment,S121,no,no,no,no,human_checked
AI183,A102,noise,S121,no,no,no,no,human_checked
AI184,A102,life_safety,S121,no,no,no,no,human_checked
AI185,A103,noise,S122;S123,no,no,no,no,human_checked
AI186,A103,life_safety,S122;S123,no,no,no,no,human_checked
AI187,A103,legal,S122;S123,no,no,no,no,human_checked
AI188,A103,anti_base,S122;S123,no,no,no,no,human_checked
AI189,A104,noise,S124,no,no,no,no,human_checked
AI190,A104,life_safety,S124,no,no,no,no,human_checked
AI191,A104,legal,S124,no,no,no,no,human_checked
AI192,A104,anti_base,S124,no,no,no,no,human_checked
AI193,A105,women,S125,no,no,no,no,human_checked
AI194,A105,human_rights,S125,no,no,no,no,human_checked
AI195,A105,peace,S125,no,no,no,no,human_checked
AI196,A105,Henoko,S125,no,no,no,no,human_checked
AI197,A106,Henoko,S126;S127,no,no,no,no,human_checked
AI198,A106,environment,S126;S127,no,no,no,no,human_checked
AI199,A106,anti_base,S126;S127,no,no,no,no,human_checked
AI200,A106,solidarity,S126;S127,no,no,no,no,human_checked
AI201,A107,women,S144;S295,no,no,no,no,human_checked
AI202,A107,human_rights,S144;S295,no,no,no,no,human_checked
AI203,A107,peace,S144;S295,no,no,no,no,human_checked
AI204,A108,frontline_prevention,S146;S147;S148,no,no,no,no,human_checked
AI205,A108,Taiwan_contingency,S146;S147;S148,no,no,no,no,human_checked
AI206,A108,peace,S146;S147;S148,no,no,no,no,human_checked
AI207,A109,noise,S149;S150;S151;S152,no,no,no,no,human_checked
AI208,A109,life_safety,S149;S150;S151;S152,no,no,no,no,human_checked
AI209,A109,legal,S149;S150;S151;S152,no,no,no,no,human_checked
AI210,A109,anti_base,S149;S150;S151;S152,no,no,no,no,human_checked
AI211,A110,Henoko,S153;S154,no,no,no,no,human_checked
AI212,A110,anti_base,S153;S154,no,no,no,no,human_checked
AI213,A110,solidarity,S153;S154,no,no,no,no,human_checked
AI214,A052,noise,S026;S149;S151;S155,no,no,no,no,human_checked
AI215,A053,noise,S027;S135;S156,no,no,no,no,human_checked
AI216,A107,anti_base,S144;S295,no,no,no,no,human_checked
AI217,A108,anti_war,S146;S147;S148,no,no,no,no,human_checked
AI218,A110,mobilization,S153;S154,no,no,no,no,human_checked
AI219,A111,women,S200;S201,no,no,no,no,human_checked
AI220,A111,peace,S201,no,no,no,no,human_checked
AI221,A111,anti_base,S200;S201,no,no,no,no,human_checked
AI222,A111,human_rights,S200;S201,no,no,no,no,human_checked
AI223,A112,groundwater,S269;S270;S271,no,no,no,no,ai_seeded
AI224,A112,health_risk,S269;S270,no,no,no,no,ai_seeded
AI225,A112,life_safety,S270;S271,no,no,no,no,ai_seeded
AI226,A112,environment,S158;S204;S270,no,no,no,no,ai_seeded
AI227,A113,groundwater,S273;S274;S276;S277,no,no,no,no,ai_seeded
AI228,A113,health_risk,S273;S276,no,no,no,no,ai_seeded
AI229,A113,life_safety,S274;S275;S278,no,no,no,no,ai_seeded
AI230,A113,environment,S273;S274;S277,no,no,no,no,ai_seeded
AI231,A113,legal,S273;S274,no,no,no,no,ai_seeded
AI232,A114,anti_base,S286;S289,no,no,no,no,ai_seeded
AI233,A114,anti_military,S287;S288,no,no,no,no,ai_seeded
AI234,A114,peace,S286;S289,no,no,no,no,ai_seeded
AI235,A114,life_safety,S287;S288,no,no,no,no,ai_seeded
AI236,A114,mobilization,S286;S288;S289,no,no,no,no,ai_seeded
AI237,A115,women,S280;S282;S283,no,no,no,no,ai_seeded
AI238,A115,human_rights,S281;S282,no,no,no,no,ai_seeded
AI239,A115,peace,S281;S282,no,no,no,no,ai_seeded
AI240,A115,anti_base,S254;S281;S283,no,no,no,no,ai_seeded
AI241,A115,referendum,S283,no,no,no,no,ai_seeded
