review_item_id,relation_observation_id,source_record_ids,fiscal_year,source_entity,target_entity,program_name,current_relation_type,current_mechanism,current_financial_semantics,linked_amount_ids,linked_function_ids,linked_source_refs,linked_source_locators,current_evidence_level,current_review_status,precise_review_question,accept,revise,reject,revision_instructions,human_notes,affected_main_table_proposal,affected_figures,affected_brief_sections,decision,human_reviewer,review_date,review_note,approved_formulation,scope_boundary,decision_source_report
HR-018-13,R10R013,R10A015,2024,冲绳县,Team OKIYUA,次世代ウチナーネットワーク继承基础建设（留学生接收）,commission,C1;委託,commission_relation_project_cost_only,R10AM018;R10AM028,R10FN014,S002;R10S12;R10S13,REL=S002 PDF p.60 row 434; R10S12 PDF p.2 | R10AM018=PDF p.60 row 434 | R10FN014=PDF p.60 row 434 | R10AM028=R10S13 PDF No.90 | R10AM028=R10S13 PDF No.90,E4,ai_seeded,请核对 Team OKIYUA 的复合主体与成员、S002 C1、项目期间及 39.739m 项目费；不得将总额分配给任一成员。,,,,,,module_only_pending_actor_crosswalk,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,revise,项目负责人,2026-07-20,"委托关系；实际合同 37,220,999 円 | 边界：39.739m 是事业费；C1 是 S002 分类，proposal 是合同采购程序；不得拆额","委托关系；实际合同 37,220,999 円",39.739m 是事业费；C1 是 S002 分类，proposal 是合同采购程序；不得拆额,docs/human_review_return_HR018_relations_batch20_v1.md
HR-018-14,R10R014,R10A016;R10V014,2024,冲绳县,青年海外协力协会冲绳事务所,Let's Study! Uchina Network,commission,C2;提案型公募委託,commission_relation_project_cost_only,R10AM019,R10FN015,S002;R10S12,REL=S002 PDF p.60 row 435; R10S12 PDF p.2 | R10AM019=PDF p.60 row 435 | R10FN015=PDF p.60 row 435,E4,ai_seeded,请核对青年海外协力协会冲绳事务所的 actor identity、S002 C2、期间及 7.171m 项目费；教育服务只留在功能层。,,,,,,module_only_pending_actor_crosswalk,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,accept,项目负责人,2026-07-20,C2 委托关系、期间和教育功能成立 | 边界：7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032,C2 委托关系、期间和教育功能成立,7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032,docs/human_review_return_HR018_relations_batch20_v1.md
HR-018-15,R10R015,R10A017,2024,冲绳县,Uchina Junior Study 共同企业体,Uchina Junior Study 事业,commission,C2;提案型公募委託,commission_relation_project_cost_only,R10AM020,R10FN016,S002;R10S12,REL=S002 PDF p.60 row 436; R10S12 PDF p.2 | R10AM020=PDF p.60 row 436 | R10FN016=PDF p.60 row 436,E4,ai_seeded,请核对 Uchina Junior Study JV 名称/成员、S002 C2、期间及 15.442m 项目费；决定复合 actor 处理且不得拆额。,,,,,,module_only_pending_actor_crosswalk,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,accept,项目负责人,2026-07-20,C2 委托关系、期间、JV 和成员构成成立 | 边界：15.442m 只是事业费；JV 为项目复合主体；不得拆额,C2 委托关系、期间、JV 和成员构成成立,15.442m 只是事业费；JV 为项目复合主体；不得拆额,docs/human_review_return_HR018_relations_batch20_v1.md
HR-018-16,R10R016,R10A018,2024,冲绳县,冲绳县国际交流·人才育成财团,国际交流·协力推进事业,grant,C4;補助,grant_relation_project_cost_not_award,R10AM021,R10FN017,S002;R10S12,REL=S002 PDF p.60 row 437; R10S12 PDF p.2 | R10AM021=PDF p.60 row 437 | R10FN017=PDF p.60 row 437,E4,ai_seeded,请核对冲绳县国际交流·人才育成财团 actor identity、S002 C4 与补助叙述；确认 17.932m 只是项目费，若要 award amount 必须另取补助决定。,,,,,,module_only_pending_award_record,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,accept,项目负责人,2026-07-20,C4 补助关系成立 | 边界：17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount,C4 补助关系成立,17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount,docs/human_review_return_HR018_relations_batch20_v1.md
HR-018-17,R10R018,F003;F004;F005,,USO Okinawa,美军现役人员、预备役/国民警卫队、配偶及家属,USO Okinawa 基地社区服务,service_presence,服务存在,service_presence_no_funding,,R10FN019;R10FN020;R10FN021;R10FN022;R10FN023;R10FN024;R10FN025;R10FN026,S097,REL=USO Okinawa centers and audience page | R10FN019=USO Okinawa centers page | R10FN020=USO Okinawa centers page | R10FN021=USO Okinawa centers page | R10FN022=USO Okinawa centers page | R10FN023=USO Okinawa centers page | R10FN024=USO Okinawa centers page | R10FN025=USO Okinawa centers page | R10FN026=USO Okinawa centers page,E4,ai_seeded,请核对 S097 所列服务对象与 8 个 USO Okinawa 服务点是否完整、是否应合并为一条服务关系；确认不由对象/据点推定政治立场或资金。,,,,,,module_only_consolidated_service_relation,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,accept,项目负责人,2026-07-20,一条服务关系＋8 个 site/function observations | 边界：不生成资金、政治立场或八条组织关系,一条服务关系＋8 个 site/function observations,不生成资金、政治立场或八条组织关系,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-18,R10R020,F034,,Mediatti Broadband (MBC),USO Okinawa,USO Okinawa sponsor tier,sponsorship,企业赞助,sponsor_tier_no_amount,,R10FN028,S097,REL=USO Okinawa sponsors page | R10FN028=sponsors page,E3,ai_seeded,请核对 S097 截图/归档是否明确 MBC 为 Platinum sponsor、页面时点与主体名称；确认 sponsor tier 不生成金额。,,,,,,already_in_main_F034,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,accept,项目负责人,2026-07-20,MBC 是现行 Platinum Sponsor | 边界：无公开 relation amount；现金与实物支持不估值、不合并,MBC 是现行 Platinum Sponsor,无公开 relation amount；现金与实物支持不估值、不合并,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-19,R10R021,F035,,Matson,USO Okinawa,USO Okinawa sponsor tier,sponsorship,企业赞助,sponsor_tier_no_amount,,R10FN029,S097,REL=USO Okinawa sponsors page | R10FN029=sponsors page,E3,ai_seeded,请核对 S097 截图/归档是否明确 Matson 为 Mission Partner、页面时点与主体名称；确认 sponsor tier 不生成金额。,,,,,,already_in_main_F035,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,revise,项目负责人,2026-07-20,Matson 是 USO Indo-Pacific Mission Partner | 边界：不写成本地定向资助；USO Okinawa 页面只是公开展示入口,Matson 是 USO Indo-Pacific Mission Partner,不写成本地定向资助；USO Okinawa 页面只是公开展示入口,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-20,R10R028,F024,,AWWA,Army Community Group of Okinawa,AWWA umbrella membership,network_membership,成员关系,membership_no_funding,,R10FN036,S041;S072;S081,REL=AWWA/community sources | R10FN036=community sources,E3,needs_second_source,请核对 Army Community Group of Okinawa 的独立身份、现名与 AWWA 成员证据；若身份不足则 revise/reject，且成员关系不得改写为资助。,,,,,,already_in_main_F024,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,revise,项目负责人,2026-07-20,ACGO 在 2012、2015 被列为 AWWA 成员 | 边界：改成历史 membership；当前名单不含 ACGO；不推断精确退出日,ACGO 在 2012、2015 被列为 AWWA 成员,改成历史 membership；当前名单不含 ACGO；不推断精确退出日,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-21,R10R029,F025,,KOSC,scholarships 与 AWWA 混合口径,KOSC prior-year contribution report,aggregate_history,合并口径,aggregate_mixed_recipient_no_allocation,R10AM024,R10FN037,S075,REL=KOSC charity page | R10AM024=KOSC charity page | R10FN037=KOSC charity page,E4,needs_local_retrieval,"请核对 S075 的 102,000 美元是否明确为 scholarships+AWWA 合并口径、报告年度与措辞；确认不能把全额分配给 AWWA，并决定是否继续要求年报。",,,,,,replace_F025_with_aggregate_observation_proposal,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,deferred_local_or_internal_record,项目负责人,2026-07-20,"102,000 美元是 scholarships＋AWWA 混合口径；拆分需要 KOSC 年报／Form 990 或等价内部记录 | 边界：不得把全额给 AWWA；本 overlay 不重复 HR033，合并时保留 HR033 已批准的 amount-empty KOSC→AWWA dyad 与独立 aggregate observation。","102,000 美元是 scholarships＋AWWA 混合口径；拆分需要 KOSC 年报／Form 990 或等价内部记录",不得把全额给 AWWA；本 overlay 不重复 HR033，合并时保留 HR033 已批准的 amount-empty KOSC→AWWA dyad 与独立 aggregate observation。,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-22,R10R030,F027,,AWWA,冲绳福利设施（未逐一列名）,AWWA long-term donation history,aggregate_history,长期累计口径,aggregate_history_no_allocation,R10AM025,R10FN038,S078,REL=Ryukyu Shimpo English long-term aggregate | R10AM025=long-term aggregate report | R10FN038=long-term aggregate report,E3,needs_local_retrieval,请核对 S078 的约 8 亿日元/40 年累计口径、组织名称与 recipient 范围；确认不得拆到具体年度/recipient，并决定 Form 990/年报补查要求。,,,,,,already_in_main_F027,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,deferred_local_or_internal_record,项目负责人,2026-07-20,约 8 亿日元／40 年是跨年度、未逐一列 recipient 的累计报道；年度和 recipient 分解需要年报／Form 990 或当地记录 | 边界：只可保留不可分配 aggregate history,约 8 亿日元／40 年是跨年度、未逐一列 recipient 的累计报道；年度和 recipient 分解需要年报／Form 990 或当地记录,只可保留不可分配 aggregate history,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-23,R10R031,F028,2015,AWWA,Yomitan Quegoen disability facility,轮椅无障碍车辆捐赠,in_kind_donation,实物捐赠,named_in_kind_item_value,R10AM026,R10FN039,S094,"REL=DVIDS, 2015-12-02 | R10AM026=DVIDS 2015-12-02 | R10FN039=DVIDS 2015-12-02",E3,needs_second_source,请核对 Yomitan Quegoen 的正式名称/recipient 身份、2015-12-02 事件与 200 万日元车辆价值；确认是实物价值而非现金，并决定 E3 单源是否接受。,,,,,,already_in_main_F028,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6,revise,项目负责人,2026-07-20,2015-12-02 捐赠一辆价值 2m 円的无障碍车辆 | 边界：校正设施名和运营法人；2m 是实物价值，不是现金,2015-12-02 捐赠一辆价值 2m 円的无障碍车辆,校正设施名和运营法人；2m 是实物价值，不是现金,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-24,R10R032,F029,2012,AWWA,Uruma City Social Welfare Meeting,无障碍车辆捐赠,in_kind_donation,实物捐赠,named_in_kind_no_amount,,R10FN040,S072,REL=DVIDS 40-year AWWA article | R10FN040=DVIDS 40-year article,E3,needs_second_source,请核对 Uruma City Social Welfare Meeting 的正式名称、2012 点名 recipient 与无障碍车辆事实；来源未给金额，不得补写金额。,,,,,,already_in_main_F029,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,revise,项目负责人,2026-07-20,2012 年捐赠无障碍车辆 | 边界：校正法人名；具体下属设施 unresolved；无金额,2012 年捐赠无障碍车辆,校正法人名；具体下属设施 unresolved；无金额,docs/human_review_return_HR018_relations_batch21_v1.md
HR-018-25,R10R033,F030,2012,AWWA,Boy Scouts of America Far East Council,皮划艇捐赠,in_kind_donation,实物捐赠,named_in_kind_no_amount,,R10FN041,S072,REL=DVIDS 40-year AWWA article | R10FN041=DVIDS 40-year article,E3,needs_second_source,请核对 Boy Scouts Far East Council 的正式 recipient 名称、2012 皮划艇事实及美军社区属性；不得归为冲绳本地福利 recipient。,,,,,,already_in_main_F030,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,revise,项目负责人,2026-07-20,AWWA 曾帮助当时的 Boy Scouts of America Far East Council 获得皮划艇 | 边界：事件日期不明；2012 只是报道时点；不补数量、金额、份额或冲绳专属配置,AWWA 曾帮助当时的 Boy Scouts of America Far East Council 获得皮划艇,事件日期不明；2012 只是报道时点；不补数量、金额、份额或冲绳专属配置,docs/human_review_return_HR018_relations_batch22_v1.md
HR-018-26,R10R034,F036,2025,NOSCO,Heshikiya after-school childcare center,三台工业冷风机共同捐赠,joint_in_kind_contribution,共同实物贡献,joint_contribution_no_share_allocation,,R10FN042,S102,REL=DVIDS joint donation report | R10FN042=DVIDS joint donation report,E3,needs_second_source,请核对 S102 所列四个贡献团体、平敷屋课后托育 recipient 的法定名称及三台冷风机事实；只能确认 NOSCO 参与，不得归属全部物品/价值。,,,,,,already_in_main_F036,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6,revise,项目负责人,2026-07-20,NOSCO 是 2025-08-15 三台工业冷风机共同交付事件的四个贡献团体之一 | 边界：recipient 正式名称未确认；不把三台设备或全部价值归给 NOSCO,NOSCO 是 2025-08-15 三台工业冷风机共同交付事件的四个贡献团体之一,recipient 正式名称未确认；不把三台设备或全部价值归给 NOSCO,docs/human_review_return_HR018_relations_batch22_v1.md
