relation_id,fiscal_year,period_start,period_end,public_actor,public_unit,partner_actor_id,partner_name,program_name,function_layer,relation_type,financial_status,amount_jpy,amount_basis,source_refs,evidence_level,review_status,interpretation_limit
R10A011,2024,2024-06-12,2025-03-14,Okinawa Prefecture,知事公室平和祈念資料館,,特定非営利活動法人沖縄平和協力センター,「平和への思い」発信・交流・継承事業,peace_education,non_funding_relation,whole_project_cost_only_no_transfer_inference,25547000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"The table labels joint implementation and project cost; absent a contract/grant record no transfer to the organization is inferred."
R10A012,2024,2024-06-12,2025-03-14,Okinawa Prefecture,知事公室平和祈念資料館,,特定非営利活動法人沖縄平和協力センター,沖縄戦の語り継ぎ手養成事業,peace_education,non_funding_relation,whole_project_cost_only_no_transfer_inference,6496000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Joint public-service implementation; project cost is not coded as recipient funding."
R10A013,2024,2024-05-15,2025-02-28,Okinawa Prefecture,文化観光スポーツ部交流推進課,,令和6年度おきなわ国際協力人材育成事業共同企業体（青年海外協力協会沖縄事務所・JTB沖縄）,おきなわ国際協力人材育成事業委託業務,international_cooperation_training,commission,whole_project_cost_not_payment,21799000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Composite contractor node; amount cannot be allocated between consortium members."
R10A014,2024,2024-04-01,2025-03-31,Okinawa Prefecture,文化観光スポーツ部交流推進課,,一般社団法人世界若者ウチナーンチュ連合会,次世代ウチナーネットワーク継承基盤構築事業（UNC運営業務）,international_exchange_network,service,whole_project_cost_not_payment,10329000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Observed public-service operating role; project cost does not establish a grant or exact payment."
R10A015,2024,2024-04-01,2025-03-31,Okinawa Prefecture,文化観光スポーツ部交流推進課,,Team OKIYUA（沖縄映像センター・世界若者ウチナーンチュ連合会）,次世代ウチナーネットワーク継承基盤構築事業（留学生受入業務）,international_exchange_training,commission,whole_project_cost_not_payment,39739000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Consortium project; do not attribute full amount to the association member."
R10A016,2024,2024-05-24,2025-02-28,Okinawa Prefecture,文化観光スポーツ部交流推進課,,公益社団法人青年海外協力協会沖縄事務所,レッツスタディー！ウチナーネットワーク事業,international_exchange_education,service,whole_project_cost_not_payment,7171000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Service/collaboration role is confirmed; exact transfer instrument is not."
R10A017,2024,2024-04-30,2025-02-28,Okinawa Prefecture,文化観光スポーツ部交流推進課,,ウチナージュニアスタディー事業共同企業体（青年海外協力協会沖縄事務所・東武トップツアーズ沖縄支店）,ウチナージュニアスタディー事業委託,international_exchange_training,commission,whole_project_cost_not_payment,15442000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Composite contractor; amount must not be split among members."
R10A018,2024,2024-04-01,2025-03-31,Okinawa Prefecture,文化観光スポーツ部交流推進課,,公益財団法人沖縄県国際交流・人材育成財団,国際交流・協力推進事業,international_exchange,grant,grant_relation_project_cost_not_award_amount,17932000,prefecture_collaboration_table_project_cost,R10S01,E4,needs_human_review,"Narrative confirms a subsidy/grant relationship but the table column is total project cost; do not call JPY17.932m the award amount without a grant decision."
R10A019,2024,2024-11-27,2024-11-27,Okinawa Prefecture,文化観光スポーツ部交流推進課,X010,特定非営利活動法人沖縄NGOセンター,第3回多文化共生社会の構築に関する万国津梁会議,multicultural_policy,non_funding_relation,role_only_no_financial_inference,,none,R10S08,E4,verified_primary,"Meeting minutes list ONC staff as secretariat; the role is observed but no separate funding inference is made."
R10A020,2025,,,Okinawa City,コザインターナショナルプラザ,X010,特定非営利活動法人沖縄NGOセンター,KIP生活相談・語学講座・国際交流イベント,international_exchange_service,service,observed_service_non_funding_relation,,none,R10S09;R10S10,E4,verified_primary,"Service function and city-commissioned operation are confirmed; this duplicate functional row carries no amount and must not be summed with commission rows."
