observation_id,source_layer,source_row_id,provider_id,provider_name,recipient_label,canonical_endpoint_id,endpoint_display_name,recipient_domain,period_or_date,flow_structure,directness,amount,currency,identity_status,evidence_status,source_receipt_ids,overlap_candidate_group,dedup_class,eligibility_for_independent_provider_count,boundary_note,fact_status
ROI011,central relation sample,F029,X004,American Welfare & Works Association (AWWA),社会福祉法人うるま市社会福祉協議会,EP_URUMA_WELFARE,社会福祉法人うるま市社会福祉協議会,welfare,2012-04-23,in_kind_donation,direct_named_recipient,,,legal_entity_confirmed_specific_facility_unresolved,human_revised,S072,EP_URUMA_WELFARE,single_provider_observation,yes_direct_reviewed,只确认 2012 年报道中的法人 recipient 与实物支持；不补金额或具体下属设施。,lead_only
ROI012,service recon recipient candidates,SR006,X018,Marine Thrift Shop Okinawa,NPO/ARU halfway house for teenage girls,EP_ARU,一般社団法人ある（候选）,youth/welfare,2023 list,grant,multihop_label_not_direct_recipient,,,name requires Japanese identity crosswalk,ai_seeded,RRL-SR001,EP_ARU,english_near_name_candidate,no_indirect_and_identity_unresolved,"SR006 暂缓：直接端更像 Kubasaki High School，NPO/ARU 是多跳下游标签，一般社団法人ある未完成身份和收款链桥接。SR007 规范为 沖縄小児在宅医療基金 てぃんさぐの会，任意団体，Tinsaku no Kai 为来源别名。SR009 规范为 Far East Council, Scouting America，复用 R_BSA_FAR_EAST，属于美国侧。SR010 规范为 一般社団法人Ｏｋｉ Ｈａｎｄｓ Ｏｋｉ Ｈｅａｒｔｓ，法人号 3360005006276；MTS 仅支持候选 outreach support/funding，不写 partnership。",lead_only
ROI013,service recon recipient candidates,SR007,X018,Marine Thrift Shop Okinawa,Tinsaku no Kai,EP_TINSAKU,沖縄小児在宅医療基金 てぃんさぐの会,medical/child,2023 list,medical equipment,organization_page_recipient_label,,,transliterated name requires identity source,ai_seeded,RRL-SR001,EP_TINSAKU,single_provider_observation,yes_direct_candidate,Confirm the official name and legal identity before adding a recipient node.,lead_only
ROI014,service recon recipient candidates,SR010,X018,Marine Thrift Shop Okinawa,Oki Hands Oki Hearts,EP_OKI_HANDS,一般社団法人Ｏｋｉ Ｈａｎｄｓ Ｏｋｉ Ｈｅａｒｔｓ,welfare/community,2025 page,outreach partnership,organization_page_outreach_label,,,identity source required,ai_seeded,https://marinethriftshopokinawa.org/outreach/,EP_OKI_HANDS,single_provider_observation,yes_direct_candidate,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence.",lead_only
ROI015,central relation + archived DVIDS expansion,F036/S102,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),Heshikiya-area after-school childcare center,EP_HESHIKIYA_PROVISIONAL,平敷屋地区の放課後児童クラブ（正式名称未确认）,child/education,2025-08-15,joint_in_kind_contribution_event,same_event_joint_contributor,,,provisional_descriptive_recipient,human_revised_event_boundary,RRL-SR002/S102,EP_HESHIKIYA_PROVISIONAL,same_event_joint_contribution,yes_provider_but_one_joint_event_only,All four contributors and all three fans belong to one event; no contributor share or second event is documented.,lead_only
ROI016,central relation + archived DVIDS expansion,F036/S102,NODE_CFAO,"Commander, Fleet Activities Okinawa",Heshikiya-area after-school childcare center,EP_HESHIKIYA_PROVISIONAL,平敷屋地区の放課後児童クラブ（正式名称未确认）,child/education,2025-08-15,joint_in_kind_contribution_event,same_event_joint_contributor,,,provisional_descriptive_recipient,human_revised_event_boundary,RRL-SR002/S102,EP_HESHIKIYA_PROVISIONAL,same_event_joint_contribution,yes_provider_but_one_joint_event_only,All four contributors and all three fans belong to one event; no contributor share or second event is documented.,lead_only
ROI017,central relation + archived DVIDS expansion,F036/S102,NODE_VP9,Patrol Squadron 9,Heshikiya-area after-school childcare center,EP_HESHIKIYA_PROVISIONAL,平敷屋地区の放課後児童クラブ（正式名称未确认）,child/education,2025-08-15,joint_in_kind_contribution_event,same_event_joint_contributor,,,provisional_descriptive_recipient,human_revised_event_boundary,RRL-SR002/S102,EP_HESHIKIYA_PROVISIONAL,same_event_joint_contribution,yes_provider_but_one_joint_event_only,All four contributors and all three fans belong to one event; no contributor share or second event is documented.,lead_only
ROI018,central relation + archived DVIDS expansion,F036/S102,NODE_CFAO_CPOA,CFAO Chief Petty Officers' Association,Heshikiya-area after-school childcare center,EP_HESHIKIYA_PROVISIONAL,平敷屋地区の放課後児童クラブ（正式名称未确认）,child/education,2025-08-15,joint_in_kind_contribution_event,same_event_joint_contributor,,,provisional_descriptive_recipient,human_revised_event_boundary,RRL-SR002/S102,EP_HESHIKIYA_PROVISIONAL,same_event_joint_contribution,yes_provider_but_one_joint_event_only,All four contributors and all three fans belong to one event; no contributor share or second event is documented.,lead_only
ROI019,MTS grants page,MTS page route label,X018,Marine Thrift Shop Okinawa,AWWA-JP / Miyako Facilities,UNRESOLVED_AWWA_LOCAL_BUCKET,AWWA-JP / Miyako Facilities,welfare unspecified,2023 grants-page display,provider_to_awwa_to_unspecified_facilities,same_chain_via_awwa_generic_only,,,generic_facility_bucket_no_endpoint_crosswalk,organization_self_page,RRL-SR001,AWWA_DOWNSTREAM_FAMILY,same_chain_via_awwa,no_no_named_final_endpoint_or_earmark,The label names AWWA-JP as the channel and a regional facility bucket; it cannot be assigned to any named AWWA recipient.,lead_only
ROI020,MTS grants page,MTS page route label,X018,Marine Thrift Shop Okinawa,AWWA-JP / Ishigaki Facilities,UNRESOLVED_AWWA_LOCAL_BUCKET,AWWA-JP / Ishigaki Facilities,welfare unspecified,2023 grants-page display,provider_to_awwa_to_unspecified_facilities,same_chain_via_awwa_generic_only,,,generic_facility_bucket_no_endpoint_crosswalk,organization_self_page,RRL-SR001,AWWA_DOWNSTREAM_FAMILY,same_chain_via_awwa,no_no_named_final_endpoint_or_earmark,The label names AWWA-JP as the channel and a regional facility bucket; it cannot be assigned to any named AWWA recipient.,lead_only
ROI021,central relation sample,F025,X006,Kadena Officers' Spouses' Club (KOSC),American Welfare & Works Association (AWWA),NODE_AWWA_INTERMEDIARY,American Welfare & Works Association (AWWA),base-side intermediary,period not closed,provider_to_awwa_intermediary,direct_to_intermediary_not_to_local_recipient,,USD,named_intermediary,human_revised,S075,AWWA_DOWNSTREAM_FAMILY,same_chain_via_awwa,no_intermediary_endpoint,An upstream contribution to AWWA is not a direct contribution to every downstream AWWA recipient; no earmark closes the chain.,lead_only
ROI022,W2-A resource_flow_ledger,RF020,X007,Okinawa Enlisted Spouses' Club (OESC),American Welfare & Works Association (AWWA),NODE_AWWA_INTERMEDIARY,American Welfare & Works Association (AWWA),base-side intermediary,2022-07-01/2023-06-30,provider_to_awwa_intermediary,direct_to_intermediary_not_to_local_recipient,16308,USD,named_intermediary,human_checked,W2A-SR012,AWWA_DOWNSTREAM_FAMILY,same_chain_via_awwa,no_intermediary_endpoint,An upstream contribution to AWWA is not a direct contribution to every downstream AWWA recipient; no earmark closes the chain.,lead_only
ROI023,W2-A resource_flow_ledger,RF026,X018,Marine Thrift Shop Okinawa,American Welfare & Works Association (AWWA),NODE_AWWA_INTERMEDIARY,American Welfare & Works Association (AWWA),base-side intermediary,2023-01-01/2023-12-31,provider_to_awwa_intermediary,direct_to_intermediary_not_to_local_recipient,41183,USD,named_intermediary,ai_seeded,W2A2-SR001,AWWA_DOWNSTREAM_FAMILY,same_chain_via_awwa,no_intermediary_endpoint,An upstream contribution to AWWA is not a direct contribution to every downstream AWWA recipient; no earmark closes the chain.,lead_only
ROI024,W2-A resource_flow_ledger,RF041,X016,Marine Officers' Spouses' Club Okinawa (MOSCO),American Welfare & Works Association (AWWA),NODE_AWWA_INTERMEDIARY,American Welfare & Works Association (AWWA),base-side intermediary,2024-06-01/2025-05-31,provider_to_awwa_intermediary,direct_to_intermediary_not_to_local_recipient,7500,USD,named_intermediary,needs_human_semantic_review,W2A-SR008,AWWA_DOWNSTREAM_FAMILY,same_chain_via_awwa,no_intermediary_endpoint,An upstream contribution to AWWA is not a direct contribution to every downstream AWWA recipient; no earmark closes the chain.,lead_only
ROI025,central relation sample,F002,X003,AEC,USO Okinawa / Kinser,NODE_USO_BASE_SERVICE,USO Okinawa,base-side service organization,,provider_to_base_service_node,direct_but_outside_local_recipient_frame,,,named_base_service_node,human_checked,S097;S098,NODE_USO_BASE_SERVICE,excluded_base_side_node,no_not_local_welfare_child_medical_education_recipient,"USO is a base-side service organization, not a local Okinawa welfare/child/medical/education recipient in this audit denominator.",lead_only
ROI026,central relation sample,F021,X007,OESC,USO Okinawa / Kinser,NODE_USO_BASE_SERVICE,USO Okinawa,base-side service organization,2025-12-02,provider_to_base_service_node,direct_but_outside_local_recipient_frame,3250,USD,named_base_service_node,human_revised,S053,NODE_USO_BASE_SERVICE,excluded_base_side_node,no_not_local_welfare_child_medical_education_recipient,"USO is a base-side service organization, not a local Okinawa welfare/child/medical/education recipient in this audit denominator.",lead_only
ROI027,central relation sample,F026,X004,AWWA,USO Okinawa / Kinser,NODE_USO_BASE_SERVICE,USO Okinawa,base-side service organization,,provider_to_base_service_node,direct_but_outside_local_recipient_frame,,,named_base_service_node,human_checked,S077,NODE_USO_BASE_SERVICE,excluded_base_side_node,no_not_local_welfare_child_medical_education_recipient,"USO is a base-side service organization, not a local Okinawa welfare/child/medical/education recipient in this audit denominator.",lead_only
ROI028,service recon recipient candidates,SR004,X018,Marine Thrift Shop Okinawa,USO Okinawa / Kinser,NODE_USO_BASE_SERVICE,USO Okinawa,base-side service organization,2023 list,provider_to_base_service_node,direct_but_outside_local_recipient_frame,,,named_base_service_node,ai_seeded,https://marinethriftshopokinawa.org/grants/,NODE_USO_BASE_SERVICE,excluded_base_side_node,no_not_local_welfare_child_medical_education_recipient,"USO is a base-side service organization, not a local Okinawa welfare/child/medical/education recipient in this audit denominator.",lead_only
ROI029,W2-A resource_flow_ledger,RF053,X018,Marine Thrift Shop Okinawa,Ashibina Child Development Center families,NODE_ASHIBINA_BASE_BENEFICIARIES,Ashibina Child Development Center families,excluded or unclosed,2023-01-01/2023-12-31,in_kind_support,narrative_aggregate_only,350,USD,aggregate_or_program,ai_seeded,W2A2-SR018,NODE_ASHIBINA_BASE_BENEFICIARIES,excluded_base_side_or_intermediary,no_outside_or_unclosed_final_recipient,program beneficiary group at a base-side childcare facility,lead_only
ROI030,W2-A resource_flow_ledger,RF054,X018,Marine Thrift Shop Okinawa,"Lions Clubs International, Okinawa intermediary",NODE_LIONS_INTERMEDIARY,"Lions Clubs International, Okinawa intermediary",excluded or unclosed,2024-02-22,donation_via_intermediary,provider_to_intermediary_only,10000,USD,named_intermediary_final_recipients_aggregate,ai_seeded,W2A2-SR018;W2A2-SR019,NODE_LIONS_INTERMEDIARY,excluded_base_side_or_intermediary,no_outside_or_unclosed_final_recipient,named intermediary; final child-health endpoints unclosed,lead_only
