actor_id,canonical_name_original,name_zh,name_ja,name_en,aliases,actor_class,origin_type,official_url,url_kind,source_id,last_checked,evidence_level,review_status_candidate,archive_status,interpretation_limit
A012,宮古島いのちの水を守ろう！,,宮古島いのちの水を守ろう！,Protect Miyako Island's Life-Giving Water!,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A013,ミサイル基地いらない宮古島住民連絡会,,ミサイル基地いらない宮古島住民連絡会,Miyako Island Residents' Liaison Council Against a Missile Base,,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A014,住民投票を成功させるための実行委員会,,住民投票を成功させるための実行委員会,Executive Committee for a Successful Referendum,,executive_committee,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A015,与那国自衛隊配備反対意見広告実行委員会,,与那国自衛隊配備反対意見広告実行委員会,Yonaguni Opinion Advertisement Committee Opposing SDF Deployment,,executive_committee,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A016,与那国島の明るい未来を願うイソバの会,,与那国島の明るい未来を願うイソバの会,Isoba Association for a Bright Future for Yonaguni Island,,citizen_group,okinawa_local,https://isobanokai.ti-da.net/,official_site,S052,2026-07-11,E3,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A017,沖縄対話プロジェクト,,沖縄対話プロジェクト,Okinawa Dialogue Project,,citizen_network,okinawa_local,https://okinawataiwa.net/,official_site,S022,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A018,ノーモア沖縄戦 命どぅ宝の会,,ノーモア沖縄戦 命どぅ宝の会,No More Battle of Okinawa – Nuchi du Takara Association,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,Council Opposing the Heliport Base,,citizen_network,okinawa_local,https://lovehenoko.org/,official_site,S049,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A020,日本環境法律家連盟（JELF）,,日本環境法律家連盟（JELF）,Japan Environmental Lawyers Federation (JELF),,lawyers_network,japan_domestic,https://www.jelf-justice.org/,official_site,S061,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A021,国際環境NGO FoE Japan,,国際環境NGO FoE Japan,Friends of the Earth Japan,,domestic_japan_ngo,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A022,NPO法人 ラムサール・ネットワーク日本,,NPO法人 ラムサール・ネットワーク日本,Ramsar Network Japan,,domestic_japan_ngo,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A023,美ら海にもやんばるにも基地はいらない市民の会,,美ら海にもやんばるにも基地はいらない市民の会,Citizens Against Bases in Churaumi and Yanbaru,,local_civic_actor,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A024,辺野古リレー,,辺野古リレー,Henoko Relay,,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A025,辺野古への基地建設を許さない実行委員会,,辺野古への基地建設を許さない実行委員会,Executive Committee Against Base Construction in Henoko,,executive_committee,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A026,ピース・ニュース,,ピース・ニュース,Peace News,,citizen_group,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A027,公共事業改革市民会議,,公共事業改革市民会議,Citizens' Council for Public Works Reform,,citizen_network,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A028,沖縄のための日米市民ネットワーク（JUCON）,,沖縄のための日米市民ネットワーク（JUCON）,Japan–U.S. Citizens for Okinawa Network (JUCON),,international_advocacy_actor,mixed_or_network,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A029,沖縄・生物多様性市民ネットワーク,,沖縄・生物多様性市民ネットワーク,Okinawa Biodiversity Citizens' Network,,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A030,市川三番瀬を守る会,,市川三番瀬を守る会,Association to Protect Ichikawa Sanbanze,,domestic_japan_ngo,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A031,三番瀬のラムサール条約登録を実現する会,,三番瀬のラムサール条約登録を実現する会,Association for Ramsar Designation of Sanbanze,,domestic_japan_ngo,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A032,Peace Philosophy Centre,,,Peace Philosophy Centre,,international_advocacy_actor,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A033,Friends of the Earth U.S.,,,Friends of the Earth U.S.,,international_ngo,us_origin,https://foe.org/,official_site,,2026-08-19,E4,ai_seeded,not_in_central_archive,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A034,Korea Federation for Environmental Movements (KFEM),,,Korea Federation for Environmental Movements (KFEM),,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A035,Russian Social Ecological Union,,,Russian Social Ecological Union,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A036,Friends of the Siberian Forests,,,Friends of the Siberian Forests,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A037,Centre for Environmental Justice,,,Centre for Environmental Justice,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A038,Sahabat Alam Malaysia,,,Sahabat Alam Malaysia,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,,,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A040,Forum for Protection of Public Interest (Pro Public),,,Forum for Protection of Public Interest (Pro Public),Friends of the Earth Nepal; Pro Public,international_ngo,international,https://propublic.org/,official_site,S089,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A041,Friends of the Earth Brisbane,,,Friends of the Earth Brisbane,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A042,Pacific Environment,,,Pacific Environment,,international_ngo,us_origin,https://www.pacificenvironment.org/,official_site,,2026-08-19,E4,ai_seeded,not_in_central_archive,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A043,PENGON-FoE Palestine,,,PENGON-FoE Palestine,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,,,Naturvernforbundet / Norwegian Society for the Conservation of Nature,,international_ngo,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A045,Center for Biological Diversity,,,Center for Biological Diversity,,international_ngo,us_origin,https://www.biologicaldiversity.org/,official_site,,2026-08-19,E4,ai_seeded,not_in_central_archive,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A046,Pro Natura,,,Pro Natura,Friends of the Earth Switzerland; Pro Natura / FoE Switzerland; Swiss League for the Protection of Nature,international_ngo,international,https://iucn.org/our-union/members/iucn-members/pro-natura-friends-earth-switzerland,official_registry,S091,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A047,沖縄平和運動センター,,沖縄平和運動センター,Okinawa Peace Movement Center,,citizen_network,okinawa_local,http://www.peace-okinawa.net/,official_site,S031,2026-07-11,E3,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A048,沖縄一坪反戦地主会,,沖縄一坪反戦地主会,Okinawa One-Tsubo Antiwar Landowners Association,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A049,基地・軍隊を許さない行動する女たちの会,,基地・軍隊を許さない行動する女たちの会,Okinawa Women Act Against Military Violence,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A050,沖縄弁護士会,,沖縄弁護士会,Okinawa Bar Association,,lawyers_network,okinawa_local,https://okiben.org/,official_site,S037,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A051,「辺野古」県民投票の会,,「辺野古」県民投票の会,Henoko Prefectural Referendum Association,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A052,嘉手納基地爆音差止訴訟原告団,,嘉手納基地爆音差止訴訟原告団,Kadena Air Base Noise Injunction Plaintiffs Association,嘉手納爆音訴訟原告団; 第4次嘉手納基地爆音差止訴訟原告団,citizen_group,okinawa_local,https://kadena-bakuon.jp/,official_site,S151,2026-07-13,E4,ai_seeded,failed,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A053,普天間基地爆音訴訟団,,普天間基地爆音訴訟団,Futenma Air Base Noise Litigation Association,普天間基地爆音訴訟原告団; 普天間基地第2次爆音訴訟原告団; 普天間爆音訴訟団,citizen_group,okinawa_local,https://futenma-bakuon.jp/,official_site,S156,2026-07-13,E4,ai_seeded,failed,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A054,沖縄人権協会,,沖縄人権協会,Okinawa Human Rights Association,,local_civic_actor,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A055,泡瀬干潟を守る連絡会,,泡瀬干潟を守る連絡会,Liaison Council to Protect the Awase Tidal Flat,,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A056,沖縄環境ネットワーク,,沖縄環境ネットワーク,Okinawa Environmental Network,,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A057,沖縄意見広告運動,,沖縄意見広告運動,Okinawa Opinion Advertisement Movement,,citizen_network,japan_domestic,https://www.okinawaiken.org/,official_site,S034,2026-07-11,E3,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A058,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,Okinawa Unified Action Liaison Council for Abolishing the Security Treaty and Defending Livelihoods and Democracy,安保廃棄沖縄県統一連; 沖縄県統一連,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,All-Okinawa Council to Realize the Kenpakusho and Open the Future,島ぐるみ会議,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A060,高江のヘリパッドいらない住民の会,,高江のヘリパッドいらない住民の会,Residents' Association Against Helipads in Takae,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A061,日本野鳥の会,,日本野鳥の会,Wild Bird Society of Japan,,domestic_japan_ngo,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A062,日本湿地ネットワーク（JAWAN）,,日本湿地ネットワーク（JAWAN）,Japan Wetlands Action Network (JAWAN),,domestic_japan_ngo,japan_domestic,https://www.jawan.jp/,official_site,S127,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A063,一坪反戦地主会関東ブロック,,一坪反戦地主会関東ブロック,Kanto Bloc of the One-Tsubo Antiwar Landowners Association,,citizen_group,japan_domestic,https://www.jca.apc.org/HHK/,official_site,S038,2026-07-11,E2,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,,外国軍事基地撤去国際ネットワーク（No Bases Network）,International Network for the Abolition of Foreign Military Bases (No Bases Network),,international_advocacy_actor,international,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A065,南西諸島ピースネット,,南西諸島ピースネット,Nansei Islands Peace Network,,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A066,新外交イニシアティブ（ND）,,新外交イニシアティブ（ND）,New Diplomacy Initiative (ND),,domestic_japan_ngo,japan_domestic,https://www.nd-initiative.org/,official_site,S032,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A067,辺野古土砂搬出反対全国連絡協議会,,辺野古土砂搬出反対全国連絡協議会,National Liaison Council Against Henoko Soil Extraction,辺野古土砂全協,citizen_network,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,,ヘリポート基地建設の是非を問う名護市民投票推進協議会,Nago Citizens' Referendum Promotion Council on Heliport Base Construction,名護市民投票の会; 名護市民投票推進協議会,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A069,沖縄ジュゴン環境アセスメント監視団,,沖縄ジュゴン環境アセスメント監視団,Okinawa Dugong Environmental Assessment Watch Group,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),,,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),"Chapter 1003 - Ryukyu Okinawa; VFP-ROCK; Veterans for Peace Okinawa; Veterans for Peace, Ryukyu/Okinawa (VFP ROC); 平和を求める元軍人の会・琉球沖縄国際支部",international_advocacy_actor,us_origin,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,parent_org_page,S048,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A071,沖縄から基地をなくし世界の平和を求める市民連絡会,,沖縄から基地をなくし世界の平和を求める市民連絡会,Citizens' Liaison Council for Removing Bases from Okinawa and Seeking World Peace,沖縄平和市民連絡会,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A073,琉球沖縄国際支援プログラム,,琉球沖縄国際支援プログラム,Ryukyu–Okinawa International Support Program,,local_international_cooperation_ngo,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A074,沖縄県知事公室基地対策課,,沖縄県知事公室基地対策課,"Okinawa Prefectural Government, Base Affairs Division",,public_institution_partner,public_institution,https://www.pref.okinawa.jp/heiwakichi/kichi/,official_subunit,S043,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A075,沖縄防衛局,,沖縄防衛局,Okinawa Defense Bureau,,public_institution_partner,public_institution,https://www.mod.go.jp/rdb/okinawa/index.html,official_subunit,S047,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,,ジュゴン保護基金委員会（Save the Dugong Foundation）,Save the Dugong Foundation,,local_civic_actor,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A086,Turtle Island Restoration Network,,,Turtle Island Restoration Network,,international_ngo,us_origin,https://seaturtles.org/,official_site,S228,2026-07-13,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A087,NPO法人世界版「平和の礎」を提案する会,,NPO法人世界版「平和の礎」を提案する会,Association Proposing a Global Cornerstone of Peace,,local_npo,okinawa_local,https://www.ishiji.org/about,official_site,S230,2026-07-13,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A088,特定非営利活動法人沖縄平和協力センター,,特定非営利活動法人沖縄平和協力センター,Okinawa Peace Cooperation Center,,local_npo,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A089,沖縄県教職員組合,,沖縄県教職員組合,Okinawa Teachers Union,,labor_union,okinawa_local,https://www.oki-tu.org/about_us,official_site,S105,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A090,沖縄県高等学校障害児学校教職員組合,,沖縄県高等学校障害児学校教職員組合,Okinawa High School and Special Needs School Teachers Union,,labor_union,okinawa_local,https://www.oki-htu.or.jp/about.php,official_site,S106,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,,日本労働組合総連合会沖縄県連合会（連合沖縄）,"Japanese Trade Union Confederation, Okinawa (RENGO Okinawa)",,labor_union,okinawa_local,https://www.rengo-okinawa.jp/about-us/,official_site,S107,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
