actor_id,canonical_name,candidate_ref,source_id,source_type,source_title,source_url,archive_status,provenance_method,candidate_url,candidate_url_kind,ownership_assessment,selected,exclusion_reason,last_checked
A007,ピースボート,S005,S005,ngo_statement,Peace Boat statement on Henoko emergency NGO declaration,https://peaceboat.org/3620.html,archived,normalized_from_actor_owned_statement_domain,https://peaceboat.org/,official_site,qualifying_candidate,yes,,2026-07-11
A008,NGO非戦ネット,S005,S005,ngo_statement,Peace Boat statement on Henoko emergency NGO declaration,https://peaceboat.org/3620.html,archived,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A008,NGO非戦ネット,S064,S064,ngo_statement,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,https://peaceboat.org/26488.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A008,NGO非戦ネット,S065,S065,organization_site,NGO非戦ネット 公式サイト,http://ngo-nowar.org/,archived,actor_source_ref,http://ngo-nowar.org/,official_site,qualifying_candidate,yes,,2026-07-11
A008,NGO非戦ネット,S066,S066,ngo_report,アーユス NGO非戦ネット 2015 活動紹介,https://ngo-ayus.jp/activity/situation_support/ngonowarnet2015/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A008,NGO非戦ネット,S067,S067,ngo_statement,JVC NGO非戦ネット OSA反対声明 2023,https://www.ngo-jvc.net/news/news/20230606_osaseimei.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A009,Earthjustice,S009,S009,legal_international,Earthjustice dugong litigation explainer,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,archived,normalized_from_actor_source_domain,https://earthjustice.org/,official_site,qualifying_candidate,yes,,2026-07-11
A010,石垣島に軍事基地をつくらせない市民連絡会,S016,S016,local_news,石垣自衛隊配備 初の市民討論会,https://ryukyushimpo.jp/news/entry-385092.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A010,石垣島に軍事基地をつくらせない市民連絡会,S017,S017,local_news,石垣陸自配備 市民が工事中止要請,https://ryukyushimpo.jp/news/entry-1176922.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A010,石垣島に軍事基地をつくらせない市民連絡会,S157,S157,union_research_report,島の未来は市民が決める―石垣島の自衛隊配備問題―,https://www.jichiro.gr.jp/jichiken_kako/report/rep_tosa37/08/0802_yre/index.htm,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-13
A010,石垣島に軍事基地をつくらせない市民連絡会,S159,S159,news_magazine,週刊金曜日 石垣島に軍事基地をつくらせない市民連絡会 2023年行动报道,https://www.kinyobi.co.jp/kinyobinews/2023/04/04/antena-1238/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-13
A010,石垣島に軍事基地をつくらせない市民連絡会,S198,S198,official_legislative_record,令和元年第4回沖縄県議会（定例会）会議録 第7号（2019年7月2日）,https://www2.pref.okinawa.jp/oki/Gikairep1.nsf/bf76642d1ed57158492581ed00348311/6cc4b1801bbb16124925861e00087c7a?OpenDocument,failed,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-19
A010,石垣島に軍事基地をつくらせない市民連絡会,S294,S294,academic_presentation,"Militarizing a Border Island: Local Struggles Supporting and Opposing a Military Base Installation in Ishigaki Island, Okinawa",https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,archived,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-19
A011,石垣市住民投票を求める会,S018,S018,local_news,石垣市 住民投票条例案 市議会で否決,https://www.qab.co.jp/news/20190202110874.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A011,石垣市住民投票を求める会,S019,S019,local_news,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,https://www.yaeyama-nippo.co.jp/archives/4232,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A011,石垣市住民投票を求める会,S051,S051,organization_site,石垣市住民投票を求める会 公式サイト,https://ishigaki-tohyo.com/,archived,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,Rejected archive/domain mismatch; cannot support A011 or an official URL.,2026-07-11
A011,石垣市住民投票を求める会,S137,S137,court_record,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票実施義務付け等請求事件判決,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-19
A011,石垣市住民投票を求める会,S138,S138,local_official,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果について H31.2.4,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A011,石垣市住民投票を求める会,S194,S194,local_news,石垣自衛隊基地建設／住民投票訴訟が敗訴／弁護団「国防の裁判で司法権独立せず」,https://www.qab.co.jp/news/20241007226830.html,archived,exact_actor_id_support_elsewhere_in_log,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-13
A012,宮古島いのちの水を守ろう！,S020,S020,local_news,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,https://ryukyushimpo.jp/news/entry-296563.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A013,ミサイル基地いらない宮古島住民連絡会,S021,S021,party_news,ミサイル基地いらない 宮古島住民連絡会 結成集会,https://www.jcp.or.jp/akahata/aik19/2019-08-28/2019082814_01_1.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A014,住民投票を成功させるための実行委員会,S010,S010,local_news,与那国町住民投票 自衛隊配備 結果は「賛成」多数,https://www.qab.co.jp/news/2015022363334.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A014,住民投票を成功させるための実行委員会,S069,S069,magazine_news,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,http://www.kinyobi.co.jp/kinyobinews/2015/03/11/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A014,住民投票を成功させるための実行委員会,S070,S070,party_news,赤旗 与那国 住民投票へ 条例案可決,https://www.jcp.or.jp/akahata/aik14/2014-11-18/2014111815_03_1.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A014,住民投票を成功させるための実行委員会,S071,S071,legal_database,与那国町住民投票条例（平成26年与那国町条例第25号／平成27年条例第1号改正、失効）,https://greenaccess.law.osaka-u.ac.jp/archives/7214,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A015,与那国自衛隊配備反対意見広告実行委員会,S015,S015,party_news,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A016,与那国島の明るい未来を願うイソバの会,S011,S011,local_news,与那国住民投票 陸自配備を容認　賛成632票、反対445票,https://ryukyushimpo.jp/news/prentry-239307.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A016,与那国島の明るい未来を願うイソバの会,S052,S052,organization_blog,与那国イソバの会 ブログ,https://isobanokai.ti-da.net/,archived,actor_source_ref,https://isobanokai.ti-da.net/,official_site,qualifying_candidate,yes,,2026-07-11
A016,与那国島の明るい未来を願うイソバの会,S068,S068,local_news,沖縄タイムス 日米の合同演習 市民が中止要請 与那国イソバの会,https://www.okinawatimes.co.jp/articles/-/1448767,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A017,沖縄対話プロジェクト,S022,S022,organization_site,沖縄対話プロジェクト 公式ページ,https://okinawataiwa.net/,archived,actor_source_ref,https://okinawataiwa.net/,official_site,qualifying_candidate,yes,,2026-07-11
A018,ノーモア沖縄戦 命どぅ宝の会,S023,S023,local_news,ノーモア沖縄戦 命どぅ宝の会 結成,https://www.qab.co.jp/news/20220321148994.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,S008,S008,local_news,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,https://ryukyushimpo.jp/news/entry-1154960.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,S049,S049,organization_site,ヘリ基地反対協議会 公式サイト,https://lovehenoko.org/,archived,actor_source_ref,https://lovehenoko.org/,official_site,qualifying_candidate,yes,,2026-07-11
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,S050,S050,encyclopedia,ヘリ基地反対協議会 Wikipedia,https://ja.wikipedia.org/wiki/ヘリ基地反対協議会,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A020,日本環境法律家連盟（JELF）,S006,S006,international_advocacy,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A020,日本環境法律家連盟（JELF）,S007,S007,academic_article,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,manual_archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-01
A020,日本環境法律家連盟（JELF）,WEB-A020-20260819,S061,current_official_web_candidate,Current official or formally administered page candidate,https://www.jelf-justice.org/,archived,normalized_from_actor_owned_source_elsewhere_in_log,https://www.jelf-justice.org/,official_site,qualifying_candidate,yes,,2026-08-19
A021,国際環境NGO FoE Japan,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A022,NPO法人 ラムサール・ネットワーク日本,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A023,美ら海にもやんばるにも基地はいらない市民の会,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A024,辺野古リレー,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A025,辺野古への基地建設を許さない実行委員会,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A026,ピース・ニュース,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A027,公共事業改革市民会議,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A028,沖縄のための日米市民ネットワーク（JUCON）,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A029,沖縄・生物多様性市民ネットワーク,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A030,市川三番瀬を守る会,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A031,三番瀬のラムサール条約登録を実現する会,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A032,Peace Philosophy Centre,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A033,Friends of the Earth U.S.,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A033,Friends of the Earth U.S.,WEB-A033-20260819,,current_official_web_candidate,Current official or formally administered page candidate,https://foe.org/,not_in_central_archive,targeted_current_web_check,https://foe.org/,official_site,qualifying_candidate,yes,,2026-08-19
A034,Korea Federation for Environmental Movements (KFEM),S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A035,Russian Social Ecological Union,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A036,Friends of the Siberian Forests,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A037,Centre for Environmental Justice,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A038,Sahabat Alam Malaysia,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A040,Forum for Protection of Public Interest (Pro Public),S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A040,Forum for Protection of Public Interest (Pro Public),S089,S089,organization_site,Pro Public official site,https://propublic.org/,archived,actor_source_ref,https://propublic.org/,official_site,qualifying_candidate,yes,,2026-07-11
A040,Forum for Protection of Public Interest (Pro Public),S090,S090,ngo_directory,FoE International member page Nepal Pro Public,https://www.foei.org/member-groups/nepal/,failed,actor_source_ref,https://www.foei.org/member-groups/nepal/,official_registry,qualifying_candidate,no,,2026-07-11
A041,Friends of the Earth Brisbane,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A042,Pacific Environment,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A042,Pacific Environment,WEB-A042-20260819,,current_official_web_candidate,Current official or formally administered page candidate,https://www.pacificenvironment.org/,not_in_central_archive,targeted_current_web_check,https://www.pacificenvironment.org/,official_site,qualifying_candidate,yes,,2026-08-19
A043,PENGON-FoE Palestine,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A045,Center for Biological Diversity,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A045,Center for Biological Diversity,WEB-A045-20260819,,current_official_web_candidate,Current official or formally administered page candidate,https://www.biologicaldiversity.org/,not_in_central_archive,targeted_current_web_check,https://www.biologicaldiversity.org/,official_site,qualifying_candidate,yes,,2026-08-19
A046,Pro Natura,S004,S004,ngo_statement,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A046,Pro Natura,S091,S091,ngo_directory,IUCN member page Pro Natura / Friends of the Earth Switzerland,https://iucn.org/our-union/members/iucn-members/pro-natura-friends-earth-switzerland,archived,actor_source_ref,https://iucn.org/our-union/members/iucn-members/pro-natura-friends-earth-switzerland,official_registry,qualifying_candidate,yes,,2026-07-11
A046,Pro Natura,S092,S092,ngo_directory,FoE International member page Switzerland Pro Natura,https://www.foei.org/member-groups/switzerland/,failed,actor_source_ref,https://www.foei.org/member-groups/switzerland/,official_registry,qualifying_candidate,no,,2026-07-11
A047,沖縄平和運動センター,S031,S031,organization_site,沖縄平和運動センター 公式,http://www.peace-okinawa.net/,archived,actor_source_ref,http://www.peace-okinawa.net/,official_site,qualifying_candidate,yes,,2026-07-11
A049,基地・軍隊を許さない行動する女たちの会,S039,S039,academic_article,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A050,沖縄弁護士会,S037,S037,ngo_statement,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,https://okiben.org/column/10903/,archived,normalized_from_actor_owned_statement_domain,https://okiben.org/,official_site,qualifying_candidate,yes,,2026-07-11
A051,「辺野古」県民投票の会,S025,S025,official_referendum,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,https://www.city.nago.okinawa.jp/kurashi/2019020300029/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A052,嘉手納基地爆音差止訴訟原告団,S026,S026,local_news,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,https://www.qab.co.jp/news/2017022388152.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A052,嘉手納基地爆音差止訴訟原告団,S149,S149,local_news,嘉手納爆音、第4次訴訟を提起―原告3万5566人,https://ryukyushimpo.jp/news/entry-1461735.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-13
A052,嘉手納基地爆音差止訴訟原告団,S151,S151,organization_site,嘉手納基地爆音差止訴訟原告団 公式サイト,https://kadena-bakuon.jp/,failed,actor_source_ref,https://kadena-bakuon.jp/,official_site,qualifying_candidate,yes,,2026-07-13
A052,嘉手納基地爆音差止訴訟原告団,S155,S155,organization_history,嘉手納基地爆音差止訴訟原告団 訴訟の歴史,https://kadena-bakuon.jp/trial/history/,failed,actor_source_ref,https://kadena-bakuon.jp/trial/history/,official_site,qualifying_candidate,no,,2026-07-13
A053,普天間基地爆音訴訟団,S027,S027,local_news,普天間爆音訴訟 第二次 那覇地裁判決,https://www.qab.co.jp/news/2016111785307.html,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A053,普天間基地爆音訴訟団,S135,S135,court_record,令和4年3月10日 普天間飛行場周辺損害賠償請求事件判決,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-91354.pdf,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
A053,普天間基地爆音訴訟団,S136,S136,formal_counsel_material,「普天間基地爆音訴訟団」のホームページができました,https://okinawagodo.org/blog/1230/,archived,actor_source_ref,,not_found,nonqualifying,no,"Source is evidence, news, a statement, a case record, or another page that is not established as this actor's official page.",2026-07-11
