edge_id,relation_type,event_or_program,source_ref,current_review_status,represented_in_r10,mapped_r10_relation_ids,audit_scope_class,next_action_if_scope_expands,interpretation_limit
F034,sponsorship,Mediatti Broadband (MBC) USO Okinawa Platinum sponsor,S097,ai_seeded,yes,R10R020,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F035,sponsorship,Matson USO Okinawa Mission Partner,S097,ai_seeded,yes,R10R021,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F036,co_in_kind_donation,NOSCO joined delivery of three industrial cooling fans to an after-school childcare center in Heshikiya,S102,needs_second_source,yes,R10R034,represented_or_consolidated_in_R10,No completeness action; preserve the relation's existing human gate.,Crosswalk status does not approve or reject the underlying relation.
F037,network_membership,全国基地爆音訴訟原告団連絡会議 membership — Kadena plaintiffs,S122;S123,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F038,network_membership,全国基地爆音訴訟原告団連絡会議 membership — Futenma plaintiffs,S122;S123,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F039,legal_counsel,Futenma base noise litigation,S124,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F040,event_affiliation,Metropolitan Henoko soil-reclamation opposition actions from 2018,S126,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F041,partner_action,JAWAN-recorded metropolitan Henoko campaign action,S127,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F042,legal_counsel,Fourth Kadena Base Noise Injunction Lawsuit,S149;S151;S152,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
F043,organizational_affiliation,Japan YWCA regional-YWCA structure — Okinawa YWCA,S144;S145,human_checked,no,,excluded_other_module_or_non_R10_scope,No R10 action unless the module boundary is formally expanded.,Crosswalk status does not approve or reject the underlying relation.
