review_item_id,item_type,edge_id,actor_id,source_id,source_title,source_url,source_type,source_year,source_evidence_level,source_review_status,what_it_supports,support_scope,locator,archive_status,local_path
HR035-B02-AI223,edge_fact,AI223,A112,S271,宮古島地下水研究会の見解に対する回答書,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,local_official,2023,E4,human_revised,该文件呈现研究会提案—市长回答—研究会意见—市政府再回答的行政往返；不推断正式合作或污染事实。,该文件呈现研究会提案—市长回答—研究会意见—市政府再回答的行政往返；不推断正式合作或污染事实。,PDF p.1完整标题、宫古岛市署名、2023年2月末日及提案1–5回应结构；pp.2–20附件,archived,source_docs\source_archive\S271\raw.pdf
HR035-B02-AI225,edge_fact,AI225,A112,S270,水道水源保全区域を宮古島市全域に拡大する理由,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,organization_program_document,2021,E3,ai_seeded,A dated ordinance/monitoring proposal explicitly covering SDF-facility wastewater risks,,,archived,source_docs\source_archive\S270\raw.pdf
HR035-B02-AI225,edge_fact,AI225,A112,S271,宮古島地下水研究会の見解に対する回答書,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,local_official,2023,E4,human_revised,该文件呈现研究会提案—市长回答—研究会意见—市政府再回答的行政往返；不推断正式合作或污染事实。,该文件呈现研究会提案—市长回答—研究会意见—市政府再回答的行政往返；不推断正式合作或污染事实。,PDF p.1完整标题、宫古岛市署名、2023年2月末日及提案1–5回应结构；pp.2–20附件,archived,source_docs\source_archive\S271\raw.pdf
HR035-B02-AI226,edge_fact,AI226,A112,S158,宮古島地下水研究会 団体概要,https://miyakojima-tikasui.com/about_us.html,organization_profile,2026,E4,human_checked,HR-011 C015对照组织的独立名称、2018具日期代表、规则和事务局；不解决C015。,HR-011 C015对照组织的独立名称、2018具日期代表、规则和事务局；不解决C015。,設立趣旨；2018-03-31共同代表；規約；事務局,archived,source_docs\source_archive\S158\raw.html
HR035-B02-AI226,edge_fact,AI226,A112,S204,宮古島地下水研究会 公式サイト,https://miyakojima-tikasui.com/,organization_site,2026,E4,human_checked,网站连续可见性和进一步检索入口；具体主张须相应页面及claim review。,网站连续可见性和进一步检索入口；具体主张须相应页面及claim review。,首页活动报告/研究报告/媒体报道/通知索引及可见2024–2025日期条目,archived,source_docs\source_archive\S204\raw.html
HR035-B02-AI226,edge_fact,AI226,A112,S270,水道水源保全区域を宮古島市全域に拡大する理由,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,organization_program_document,2021,E3,ai_seeded,A dated ordinance/monitoring proposal explicitly covering SDF-facility wastewater risks,,,archived,source_docs\source_archive\S270\raw.pdf
HR035-B02-AI232,edge_fact,AI232,A114,S286,全港湾沖縄が安保法案反対訴え抗議集会,https://ryukyushimpo.jp/news/prentry-249100.html,local_news,2015,E3,ai_seeded,Direct anti-Henoko/security-law labor action and port-workplace framing,,,archived,source_docs\source_archive\S286\raw.html
HR035-B02-AI232,edge_fact,AI232,A114,S289,2025 5.15平和行進 全港湾沖縄地方本部報告,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,organization_report,2025,E3,ai_seeded,Current branch-level peace-march and base-issue learning activity,,,archived,source_docs\source_archive\S289\raw.pdf
HR035-B02-AI233,edge_fact,AI233,A114,S287,米海軍ミサイル駆逐艦ラファエル・ペラルタ寄港反対決議,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,official_legislative_record,2024,E4,ai_seeded,Official recipient-side record of the union's Ishigaki/Naha port action plan and stated safety frame,,,archived,source_docs\source_archive\S287\raw.pdf
HR035-B02-AI233,edge_fact,AI233,A114,S288,第213回国会 参議院 政府開発援助等及び沖縄・北方問題に関する特別委員会 第5号 令和6年5月24日,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,official_legislative_record,2024,E4,human_revised,事件发生、组织归属和官方转述的罢工理由；不裁定合法性或效果。,事件发生、组织归属和官方转述的罢工理由；不裁定合法性或效果。,statements 133–134，尤其134中的大臣确认,archived,source_docs\source_archive\S288\raw.html
HR035-B02-AI234,edge_fact,AI234,A114,S286,全港湾沖縄が安保法案反対訴え抗議集会,https://ryukyushimpo.jp/news/prentry-249100.html,local_news,2015,E3,ai_seeded,Direct anti-Henoko/security-law labor action and port-workplace framing,,,archived,source_docs\source_archive\S286\raw.html
HR035-B02-AI234,edge_fact,AI234,A114,S289,2025 5.15平和行進 全港湾沖縄地方本部報告,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,organization_report,2025,E3,ai_seeded,Current branch-level peace-march and base-issue learning activity,,,archived,source_docs\source_archive\S289\raw.pdf
HR035-B02-AI236,edge_fact,AI236,A114,S286,全港湾沖縄が安保法案反対訴え抗議集会,https://ryukyushimpo.jp/news/prentry-249100.html,local_news,2015,E3,ai_seeded,Direct anti-Henoko/security-law labor action and port-workplace framing,,,archived,source_docs\source_archive\S286\raw.html
HR035-B02-AI236,edge_fact,AI236,A114,S288,第213回国会 参議院 政府開発援助等及び沖縄・北方問題に関する特別委員会 第5号 令和6年5月24日,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,official_legislative_record,2024,E4,human_revised,事件发生、组织归属和官方转述的罢工理由；不裁定合法性或效果。,事件发生、组织归属和官方转述的罢工理由；不裁定合法性或效果。,statements 133–134，尤其134中的大臣确认,archived,source_docs\source_archive\S288\raw.html
HR035-B02-AI236,edge_fact,AI236,A114,S289,2025 5.15平和行進 全港湾沖縄地方本部報告,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,organization_report,2025,E3,ai_seeded,Current branch-level peace-march and base-issue learning activity,,,archived,source_docs\source_archive\S289\raw.pdf
HR035-B02-AI237,edge_fact,AI237,A115,S280,新婦人の紹介,https://www.shinfujin.gr.jp/about/organization,organization_website,2026,E4,human_revised,国家协会身份和都道府县本部结构；不转移中央本部每次行动，也不推断党派隶属。,国家协会身份和都道府县本部结构；不转移中央本部每次行动，也不推断党派隶属。,会の名称/目的/創立/中央本部/全国各栏及全国组织结构图,archived,source_docs\source_archive\S280\raw.html
HR035-B02-AI237,edge_fact,AI237,A115,S282,沖縄県行政記録 平成20年,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,prefectural_official,2008,E4,human_revised,A115在该日期提出请求；行政日志不提供请求全文、回应或结果。,A115在该日期提出请求；行政日志不提供请求全文、回应或结果。,2008-02-14条目，印刷p.4/PDF p.5,archived,source_docs\source_archive\S282\raw.pdf
HR035-B02-AI237,edge_fact,AI237,A115,S283,沖縄県民投票条例へ 新婦人が署名開始,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,party_news,2018,E3,ai_seeded,Okinawa-headquarters organization identity and Henoko referendum-signature campaign role,,,archived,source_docs\source_archive\S283\raw.html
HR035-B02-AI240,edge_fact,AI240,A115,S254,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,https://www.shinfujin.gr.jp/2943,organization_statement,2014,E4,human_revised,中央本部公开选后解释及其对县本部会员行动的具名自报；不证明规模或选票作用。,中央本部公开选后解释及其对县本部会员行动的具名自报；不证明规模或选票作用。,2014-11-21网页；正文落款2014-11-19；第二段明确归因沖縄県本部の会員行动,archived,source_docs\source_archive\S254\raw.html
HR035-B02-AI240,edge_fact,AI240,A115,S281,沖縄米兵少女暴行事件とその隠蔽につよく抗議し根本的対策を求める要請,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,organization_statement,2024,E4,ai_seeded,"Exact local-unit name, chair and direct military-violence/human-rights request role",,,archived,source_docs\source_archive\S281\raw.pdf
HR035-B02-AI240,edge_fact,AI240,A115,S283,沖縄県民投票条例へ 新婦人が署名開始,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,party_news,2018,E3,ai_seeded,Okinawa-headquarters organization identity and Henoko referendum-signature campaign role,,,archived,source_docs\source_archive\S283\raw.html
HR035-B02-ID-A007,actor_identity,,A007,S005,Peace Boat statement on Henoko emergency NGO declaration,https://peaceboat.org/3620.html,ngo_statement,2015,E4,human_revised,peace/environment/base issue bridge,,,archived,source_docs\source_archive\S005\raw.html
HR035-B02-ID-A017,actor_identity,,A017,S022,沖縄対話プロジェクト 公式ページ,https://okinawataiwa.net/,organization_site,2023,E4,ai_seeded,Okinawa Dialogue Project frontline/Taiwan context,,,archived,source_docs\source_archive\S022\raw.html
HR035-B02-ID-A018,actor_identity,,A018,S023,ノーモア沖縄戦 命どぅ宝の会 結成,https://www.qab.co.jp/news/20220321148994.html,local_news,2022,E4,ai_seeded,No More Okinawa War organization formation,,,archived,source_docs\source_archive\S023\raw.html
HR035-B02-ID-A018,actor_identity,,A018,S024,台湾有事に備え 南西諸島の軍事化に懸念,https://okinawataiwa.net/,organization_site,2023,E2,ai_seeded,Taiwan contingency / Sakishima militarization concern (framing),,,archived,source_docs\source_archive\S024\raw.html
HR035-B02-ID-A049,actor_identity,,A049,S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,academic_article,1995,E3,ai_seeded,Women Against Military Bases formation after 1995 incident,,,archived,source_docs\source_archive\S039\raw.pdf
HR035-B02-ID-A066,actor_identity,,A066,S032,新外交イニシアティブ（ND）公式サイト,https://www.nd-initiative.org/,organization_site,2026,E4,ai_seeded,ND think tank / policy advocacy,,,archived,source_docs\source_archive\S032\raw.html
