review_item_id,edge_id,source_id,source_title,source_url,source_type,source_year,source_evidence_level,source_review_status,what_it_supports,support_scope,locator,archive_status,local_path
HR035-B01-AI050,AI050,S006,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,international_advocacy,2020,E4,ai_seeded,transnational advocacy; dugong; MMC,,,archived,source_docs\source_archive\S006\raw.html
HR035-B01-AI050,AI050,S007,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,academic_article,2020,E3,ai_seeded,OEJP; 71 groups; civil society report,,,manual_archived,source_docs/source_archive/S007/raw.pdf
HR035-B01-AI106,AI106,S128,Center for Biological Diversity v. Mattis No. 15-15695 opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/21/15-15695.pdf,court_record,2017,E4,ai_seeded,R8-01 R8C01: party list NHPA posture and 2017 remand,,,archived,source_docs\source_archive\S128\raw.pdf
HR035-B01-AI106,AI106,S129,Center for Biological Diversity v. Esper No. 18-16836 opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/06/18-16836.pdf,court_record,2020,E4,ai_seeded,R8-01 R8C01: final appellate outcome and Section 402 standard,,,archived,source_docs\source_archive\S129\raw.pdf
HR035-B01-AI126,AI126,S185,米軍基地関係特別委員会記録＜第1号＞（平成30年第4回沖縄県議会定例会閉会中）,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,official_legislative_record,2018,E4,human_revised,2018-10-02听证、乙第1号议案、三名请求代表者身份和会内职务；发言归属于发言者。,2018-10-02听证、乙第1号议案、三名请求代表者身份和会内职务；发言归属于发言者。,PDF pp.1–3会议日期、审查议案、参考人姓名及当次身份；后续页按发言者定位,archived,source_docs\source_archive\S185\raw.pdf
HR035-B01-AI126,AI126,S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,https://www.city.nago.okinawa.jp/kurashi/2019020300029/,official_referendum,2019,E4,verified,2019 prefectural referendum: 反対434273票(71.7%) 投票率52.48%,,,archived,source_docs\source_archive\S025\raw.html
HR035-B01-AI127,AI127,S185,米軍基地関係特別委員会記録＜第1号＞（平成30年第4回沖縄県議会定例会閉会中）,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,official_legislative_record,2018,E4,human_revised,2018-10-02听证、乙第1号议案、三名请求代表者身份和会内职务；发言归属于发言者。,2018-10-02听证、乙第1号议案、三名请求代表者身份和会内职务；发言归属于发言者。,PDF pp.1–3会议日期、审查议案、参考人姓名及当次身份；后续页按发言者定位,archived,source_docs\source_archive\S185\raw.pdf
HR035-B01-AI127,AI127,S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,https://www.city.nago.okinawa.jp/kurashi/2019020300029/,official_referendum,2019,E4,verified,2019 prefectural referendum: 反対434273票(71.7%) 投票率52.48%,,,archived,source_docs\source_archive\S025\raw.html
HR035-B01-AI129,AI129,S026,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,https://www.qab.co.jp/news/2017022388152.html,local_news,2017,E3,ai_seeded,Kadena noise litigation third-round ruling,,,archived,source_docs\source_archive\S026\raw.html
HR035-B01-AI132,AI132,S027,普天間爆音訴訟 第二次 那覇地裁判決,https://www.qab.co.jp/news/2016111785307.html,local_news,2016,E3,ai_seeded,Futenma noise litigation second-round ruling,,,archived,source_docs\source_archive\S027\raw.html
HR035-B01-AI164,AI164,S192,沖縄の米軍基地（平成15年3月）第13章「基地問題の沿革」,https://www.pref.okinawa.jp/kititaisaku/DP-08-13.pdf,prefectural_official,2003,E4,human_revised,年表逐项明示的组织名称、代表、证明、署名、有效数、直接请求、议会修正、条例和投票日。,年表逐项明示的组织名称、代表、证明、署名、有效数、直接请求、议会修正、条例和投票日。,PDF pp.44–47/报告印刷pp.671–674，平成9年6月6日至12月名护市民投票程序,archived,source_docs\source_archive\S192\raw.pdf
HR035-B01-AI164,AI164,S042,名護市民投票 基地建設反対が多数,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,local_official,1997,E4,ai_seeded,1997 Nago city referendum on Henoko base,,,archived,source_docs\source_archive\S042\raw.html
HR035-B01-AI178,AI178,S047,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,https://www.mod.go.jp/rdb/okinawa/effort/base/evaluation/hyoukasyo.html,official_data,2012,E4,ai_seeded,Henoko base EIA official document,,,archived,source_docs\source_archive\S047\raw.html
HR035-B01-AI231,AI231,S273,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,official_legislative_record,2023,E4,human_revised,组织身份、当时共同代表、PFAS活动自述和健康调查请求；2016不是精确成立日。,组织身份、当时共同代表、PFAS活动自述和健康调查请求；2016不是精确成立日。,PDF p.1（2023-08-31报告）；pp.5–7（2022-12-09听证），尤其p.7共同代表与活动史证言,archived,source_docs\source_archive\S273\raw.pdf
HR035-B01-AI231,AI231,S274,有機フッ素化合物PFOS及びPFOA汚染の対策を求める意見書,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,official_legislative_record,2022,E4,ai_seeded,Official recognition of the group's sampling and its consequence for a municipal opinion,,,archived,source_docs\source_archive\S274\raw.pdf
HR035-B01-AI241,AI241,S283,沖縄県民投票条例へ 新婦人が署名開始,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,party_news,2018,E3,ai_seeded,Okinawa-headquarters organization identity and Henoko referendum-signature campaign role,,,archived,source_docs\source_archive\S283\raw.html
