source_key,actor_id,actor_name,source_url,source_title,source_date,source_type,evidence_level,identity_support,direct_issue_support,locator,explanation_limit,accessed_on
EA-S011,A088,特定非営利活動法人沖縄平和協力センター,https://www.jica.go.jp/domestic/okinawa/information/topics/2023/1525168_14644.html,沖縄県の平和希求の心をカンボジアの地雷対策に活かす草の根技術協力,2023-11-15,official_jica_project_record,E4,yes_designated_organization,yes_project_specific,OPAC named as designated organization for Cambodia peace-museum/human-security training,"Confirms a project role, not a payment amount or movement relation.",2026-07-13
EA-S012,A089,沖縄県教職員組合,https://www.oki-tu.org/about_us,沖教組とは,n.d.,organization_site,E4,yes,yes_positioning,history and peace-education sections: peace/democratic education and ‘never again send our students to the battlefield’,Mission/history supports peace and anti-war positioning; inter-organizational cooperation mentioned there is not an alliance edge.,2026-07-13
EA-S013,A089,沖縄県教職員組合,https://www.oki-tu.org/branch,各支部｜沖縄県教職員組合,n.d.,organization_site_subunit_page,E4,yes_parent_site,yes_with_attribution_caveat,Kunigami branch states it engages in peace education and opposition to the Henoko new-base construction,A branch statement cannot automatically be generalized to every prefectural-union unit; HR-010 must decide attribution.,2026-07-13
EA-S014,A090,沖縄県高等学校障害児学校教職員組合,https://www.oki-htu.or.jp/about.php,組合について｜沖縄県高等学校障害児学校教職員組合,n.d.,organization_site,E4,yes,yes_positioning_and_repertoire,peace/human-rights/environment learning; annual 5.15 peace march seeking a base-free peaceful Okinawa,Annual march is a public repertoire; it does not itself establish alliances with other participants.,2026-07-13
EA-S015,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,https://www.rengo-okinawa.jp/about-us/,連合沖縄とは,n.d.,organization_site,E4,yes,no,"formal name, federation status and territorial structure",Identity only.,2026-07-13
EA-S016,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,https://www.rengo-okinawa.jp/cat-news/post-2485/,在日米軍関係者によって繰り返される性的暴行事件に関する抗議・要請,2025-03-11,organization_action_record,E4,yes,yes_event_specific,"request of 2025-01-20; explicit safety, women/children and human-rights language",Event-specific request; do not treat it as the federation’s entire mission.,2026-07-13
EA-S017,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,https://www.rengo-okinawa.jp/cat-news/post-2174/,連合2024平和行動in沖縄を開催,2024-07-05,organization_action_record,E4,yes,yes_repeated_program,"peace action, base-burden/life-safety statements and Henoko/base route",Participation and hosting are not proof of stable alliance with every attendee.,2026-07-13
EA-S018,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,https://www.rengo-okinawa.jp/cat-news/post-2414/,連合沖縄2025新春の集いを開催,2025-01-14,organization_action_record,E4,yes,yes_declared_direction,"chair calls for base consolidation/reduction, status-of-forces revision and stopping Henoko construction","A leadership statement is source-backed positioning for this period, not timeless consensus.",2026-07-13
EA-S019,A092,沖縄県労働組合総連合,https://okinawakenroren.org/kenrorenshokai.html,沖縄県労連の紹介,n.d.,organization_site,E4,yes,yes_charter,"organizational principles oppose militarism and seek base removal, nuclear abolition, peace and democracy","Supports positioning, not a relation to other organizations.",2026-07-13
EA-S020,A093,全日本自治団体労働組合沖縄県本部,https://www.jichiro.okinawa/about.php,自治労とは？｜自治労沖縄県本部,n.d.,organization_site,E4,yes,no,prefectural headquarters structure and membership,Identity only.,2026-07-13
EA-S021,A093,全日本自治団体労働組合沖縄県本部,https://www.jichiro.okinawa/,自治労沖縄県本部,2021–2024 records,organization_site_action_index,E4,yes,yes_repeated_actions,"dated activity index: Henoko petitions/rallies, ‘local autonomy’ framing, 5.15 marches and Okinawa peace travel",Index entries support visible actions; members-only detail may still require locator review.,2026-07-13
EA-S022,A094,一般社団法人沖縄県女性連合会,https://www.okifuren.com/,一般社団法人 沖縄県女性連合会,n.d.,organization_site,E4,yes,yes_statutory_purpose,"purpose and activities: gender equality, environmental conservation, world peace and international exchange",Organizational purpose does not by itself show base-related action.,2026-07-13
EA-S023,A094,一般社団法人沖縄県女性連合会,https://www.okifuren.com/about.php,女性連合会とは｜沖縄県女性連合会,1948–2024 chronology,organization_site_history,E4,yes_continuity,yes_historical_actions,"history includes peace rallies, US-base return/removal requests and protests after base-related incidents",Historical event records must retain dates; do not flatten them into a continuous alliance or identical stance across all periods.,2026-07-13
EA-S024,A095,止めよう「自衛隊配備」宮古郡民の会,https://www.miyakomainichi.com/news/post-76312/,止めよう「自衛隊配備」―70人の市民結集し結成会,2015-05-31,local_newspaper,E2,yes_secondary,yes_foundation_event,"founding purpose, peaceful-life/target and planned-site water-source statements, intended signature activity",Statements are reported at the founding meeting; claims about risk and water impacts remain attributed to the group/speakers.,2026-07-13
EA-S025,A095,止めよう「自衛隊配備」宮古郡民の会,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/017/050/inkaihou.compressed.pdf,沖縄県議会委員会報：陸自ミサイル部隊の配備に関する陳情,2017–2020,official_legislative_record,E4,yes_named_petitioner,yes_procedural_action,petition index names A095/A096 and representatives for a missile-deployment petition,"Proves formal petitioning and issue connection, not acceptance of every substantive claim.",2026-07-13
EA-S026,A095,止めよう「自衛隊配備」宮古郡民の会,https://www.miyakomainichi.com/news/post-81162/,反対派市民が署名提出／陸自配備,2015-10-06,local_newspaper,E2,yes_secondary,yes_event_specific,"16,439 signatures submitted and continued mobilization announced","Signature count is an event record, not membership size or alliance strength.",2026-07-13
EA-S027,A096,宮古平和運動連絡協議会,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/h27.6.dai4kaikaigiroku.pdf,宮古島市議会 平成27年6月定例会会議録,2015,official_legislative_record,E4,yes_named_petitioner,yes_procedural_action,"petition No. 9: request opposing JSDF deployment, submitted by co-representative Sayoko Shimizu",Proves a formal anti-deployment request; it does not prove all registry tags.,2026-07-13
EA-S028,A096,宮古平和運動連絡協議会,https://www.miyakomainichi.com/2011/06/20401/,下地島への自衛隊配備に反対／平和運動連絡協,2011-06-25,local_newspaper,E2,yes_secondary,yes_event_specific,A096-hosted meeting reached shared opposition to JSDF use of Shimojishima as a disaster-support base,Reported event and speaker claims; do not infer a stable coalition from attendance.,2026-07-13
EA-S029,A097,宮古島環境クラブ,https://www.npo-mec.net/,ホーム｜宮古島環境クラブ,n.d.,organization_site,E4,yes,yes_positioning,"purpose and sustained work on Miyako nature, waterside protection/restoration and environmental education",General environmental actor; no deployment stance is inferred.,2026-07-13
EA-S030,A097,宮古島環境クラブ,https://www.npo-mec.net/services,宮古島環境クラブ（MEC）の活動とは？,n.d.,organization_site,E4,yes,yes_program_specific,explicit ‘地下水保全活動’ and waterside-nature programs,Groundwater conservation is confirmed; no automatic military-facility linkage.,2026-07-13
EA-S031,A098,特定非営利活動法人宮古島海の環境ネットワーク,https://econet.jpn.org/,特定非営利活動法人 宮古島 海の環境ネットワーク,n.d.,organization_site,E4,yes,yes_positioning,"marine-environment protection through beach cleaning, marine surveys and environmental education",General marine/environment work; no anti-base stance inferred.,2026-07-13
EA-S032,A098,特定非営利活動法人宮古島海の環境ネットワーク,https://econet.jpn.org/outline,法人概要｜宮古島 海の環境ネットワーク,n.d.,organization_site,E4,yes,yes_statutory_purpose,purpose includes preserving Miyako marine nature and biological ecosystems,Supports environment/biodiversity positioning only.,2026-07-13
EA-S033,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,https://darkwater.okinawa/about/,連絡会について｜PFAS汚染から市民の生命を守る連絡会,n.d.,organization_site,E4,yes,yes_positioning,"2019 formation; drinking-water contamination, health concern, safe-water demand and environmental persistence",Base-source and health-effect statements are the organization’s attributed claims; actor–issue coding does not certify causation.,2026-07-13
EA-S034,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,https://darkwater.okinawa/pfas%E8%A1%80%E4%B8%AD%E6%BF%83%E5%BA%A6%E8%AA%BF%E6%9F%BB%E3%81%B8%E3%80%80%E5%B8%82%E6%B0%91%E9%80%A3%E7%B5%A1%E4%BC%9A%E3%81%8C%E6%8B%A1%E5%A4%A7%E5%B9%B9%E4%BA%8B%E4%BC%9A%EF%BC%885%E6%9C%8825/,PFAS血中濃度調査へ 市民連絡会が拡大幹事会,2022,organization_action_record,E4,yes,yes_event_specific,group plan for blood testing and public epidemiological investigation,Evidence of the group’s health-risk action; not independent validation of causal claims.,2026-07-13
EA-S035,A100,ミサイル配備から命を守るうるま市民の会,https://www.city.uruma.lg.jp/documents/2778/163164165kaigiroku_2.pdf,うるま市議会会議録：ミサイル配備から命を守るうるま市民の会,2022,official_legislative_record,E4,yes_named_group,yes_issue_context,council record notes the group formed in opposition to missile deployment and to protect residents’ life/property/safety,"Government minutes confirm public existence/context, not every movement claim.",2026-07-13
EA-S036,A100,ミサイル配備から命を守るうるま市民の会,https://ryukyushimpo.jp/news/entry-1623776.html,陸自勝連分屯地へのミサイル配備阻止へ「市民の会」発足,2022-11-29,main_local_newspaper,E2,yes_secondary,yes_foundation_event,"group formation, prior photo exhibitions, target-risk and ‘do not make our islands a battlefield’ statements",Reported statements remain attributed; fear of targeting is not coded as a proven future event.,2026-07-13
EA-S037,A100,ミサイル配備から命を守るうるま市民の会,https://ryukyushimpo.jp/news/national/entry-2869997.html,陸自ミサイル配備計画「反対を」―知事や県議会に要請,2024-03-05,main_local_newspaper,E2,yes_secondary,yes_event_specific,"formal request, frontline/target reasoning and about 10,500 signatures",Signature count and request are event-specific; no stable alliance inference.,2026-07-13
EA-S038,A101,沖縄・琉球弧の声を届ける会,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,organization_site,E4,yes,yes_positioning,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",Organization-authored positioning; does not establish the truth of projected contingency scenarios.,2026-07-13
EA-S039,A101,沖縄・琉球弧の声を届ける会,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E7%AC%AC1%E5%9B%9E-2023-11-12/,第1回連続講座（2023.11.12）,2023-11-12,organization_event_record,E4,yes,yes_event_specific,first lecture features Yonaguni/Yambaru/Mageshima militarization and natural-environment protection; online/international dissemination,One event does not prove stable alliance among speakers or supporting groups.,2026-07-13
EA-S040,A101,沖縄・琉球弧の声を届ける会,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E5%A3%B0%E6%98%8E-%E6%8F%90%E8%A8%80/,声明・提言｜沖縄・琉球弧の声を届ける会,2025-10-27,organization_statement,E4,yes_continuity,yes_event_specific,prefectural proposal after its environmental-assessment lecture seeks protection of Urasoe’s sea,Event-specific environmental/procedural advocacy; not a general anti-development position.,2026-07-13
