activation_id,actor_id,actor_name,issue_id,issue_label,claim,primary_source_key,corroborating_source_keys,source_url,source_title,source_date,locator,evidence_level,scope,online_conclusion,identity_source_distinct,explanation_boundary,review_status,needs_local_retrieval,prior_human_anchor
EA011,A088,特定非営利活動法人沖縄平和協力センター,I019,peace,JICA官方组织介绍将OPAC界定为以和平为轴、开展和平学习与人才培养的机构。,EA-S010,EA-S011,https://www.jica.go.jp/domestic/okinawa/activities/kaihatsu/festival/2022/organization_02/08.html,特定非営利活動法人 沖縄平和協力センター（OPAC）,2022,"organization profile: peace/security think tank, international peace cooperation, training, overseas technical support",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,机构兼具安全保障研究功能，不应自动编码为反基地。,ai_seeded,no,
EA012,A088,特定非営利活動法人沖縄平和協力センター,I015,international_cooperation,OPAC持续开展国际和平合作，并作为指定团体参与柬埔寨和平博物馆人才培养项目。,EA-S011,EA-S010,https://www.jica.go.jp/domestic/okinawa/information/topics/2023/1525168_14644.html,沖縄県の平和希求の心をカンボジアの地雷対策に活かす草の根技術協力,2023-11-15,OPAC named as designated organization for Cambodia peace-museum/human-security training,E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,项目角色不等于资金金额或运动关系。,ai_seeded,no,
EA013,A089,沖縄県教職員組合,I019,peace,沖教組把和平与民主教育作为持续组织目标。,EA-S012,,https://www.oki-tu.org/about_us,沖教組とは,n.d.,history and peace-education sections: peace/democratic education and ‘never again send our students to the battlefield’,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,教育工会的和平定位不等于每个分会采取相同具体行动。,ai_seeded,no,
EA014,A089,沖縄県教職員組合,I025,anti_war,沖教組以“不再把学生送上战场”为基本理念。,EA-S012,,https://www.oki-tu.org/about_us,沖教組とは,n.d.,history and peace-education sections: peace/democratic education and ‘never again send our students to the battlefield’,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,属于反战教育定位，不自动等于反对每一项军事政策。,ai_seeded,no,
EA015,A090,沖縄県高等学校障害児学校教職員組合,I019,peace,高教組官网把和平、人权与环境学习列为活动，并持续参加5·15和平行进。,EA-S014,,https://www.oki-htu.or.jp/about.php,組合について｜沖縄県高等学校障害児学校教職員組合,n.d.,peace/human-rights/environment learning; annual 5.15 peace march seeking a base-free peaceful Okinawa,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,共同参加行进不构成稳定联盟。,ai_seeded,no,
EA016,A090,沖縄県高等学校障害児学校教職員組合,I001,anti_base,高教組官网将5·15和平行进表述为追求‘没有基地的和平冲绳’的年度活动。,EA-S014,,https://www.oki-htu.or.jp/about.php,組合について｜沖縄県高等学校障害児学校教職員組合,n.d.,peace/human-rights/environment learning; annual 5.15 peace march seeking a base-free peaceful Okinawa,E4,event,candidate_ready_for_human_review,same_source_but_separate_claim,活动层连接，不外推为全部工会工作的单一定位。,ai_seeded,no,
EA017,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I023,human_rights,连合沖縄在针对驻日美军人员性暴力的正式抗议中明确要求保障县民人权。,EA-S016,,https://www.rengo-okinawa.jp/cat-news/post-2485/,在日米軍関係者によって繰り返される性的暴行事件に関する抗議・要請,2025-03-11,"request of 2025-01-20; explicit safety, women/children and human-rights language",E4,event,candidate_ready_for_human_review,same_source_but_separate_claim,事件特定；不把受害者信息或全部基地议题泛化。,ai_seeded,no,
EA018,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I007,life_safety,同一抗议要求让县民安心生活，并把反复发生的事件事故表述为生活安全问题。,EA-S016,EA-S017,https://www.rengo-okinawa.jp/cat-news/post-2485/,在日米軍関係者によって繰り返される性的暴行事件に関する抗議・要請,2025-03-11,"request of 2025-01-20; explicit safety, women/children and human-rights language",E4,event,candidate_ready_for_human_review,same_source_but_separate_claim,组织的公开诉求不等于对事件因果作司法认定。,ai_seeded,no,
EA019,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I001,anti_base,连合沖縄会长公开提出推动米军基地整理缩小和地位协定修改。,EA-S018,EA-S017,https://www.rengo-okinawa.jp/cat-news/post-2414/,連合沖縄2025新春の集いを開催,2025-01-14,"chair calls for base consolidation/reduction, status-of-forces revision and stopping Henoko construction",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,按2025年领导层公开方向编码，不写成跨期恒定立场。,ai_seeded,no,
EA020,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I003,Henoko,连合沖縄会长在2025年公开提出阻止边野古新基地建设。,EA-S018,EA-S017,https://www.rengo-okinawa.jp/cat-news/post-2414/,連合沖縄2025新春の集いを開催,2025-01-14,"chair calls for base consolidation/reduction, status-of-forces revision and stopping Henoko construction",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,领导层声明需保持年份，不推断成员组织逐一同意。,ai_seeded,no,
EA021,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I019,peace,连合沖縄持续主办/参与‘平和行动in沖縄’并开展和平教育路线。,EA-S017,,https://www.rengo-okinawa.jp/cat-news/post-2174/,連合2024平和行動in沖縄を開催,2024-07-05,"peace action, base-burden/life-safety statements and Henoko/base route",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,项目参与不建立与每个参加团体的联盟边。,ai_seeded,no,
EA022,A092,沖縄県労働組合総連合,I001,anti_base,沖縄県労連的组织原则明确提出撤除基地。,EA-S019,,https://okinawakenroren.org/kenrorenshokai.html,沖縄県労連の紹介,n.d.,"organizational principles oppose militarism and seek base removal, nuclear abolition, peace and democracy",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,章程定位不等于具体地点行动。,ai_seeded,no,
EA023,A092,沖縄県労働組合総連合,I019,peace,沖縄県労連的组织原则明确提出维护和平与民主。,EA-S019,,https://okinawakenroren.org/kenrorenshokai.html,沖縄県労連の紹介,n.d.,"organizational principles oppose militarism and seek base removal, nuclear abolition, peace and democracy",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,仅为组织定位。,ai_seeded,no,
EA024,A092,沖縄県労働組合総連合,I025,anti_war,沖縄県労連明确反对军国主义复活并主张核武器废除。,EA-S019,,https://okinawakenroren.org/kenrorenshokai.html,沖縄県労連の紹介,n.d.,"organizational principles oppose militarism and seek base removal, nuclear abolition, peace and democracy",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,不自动等同于所有反部署组织的立场。,ai_seeded,no,
EA025,A093,全日本自治団体労働組合沖縄県本部,I003,Henoko,自治労沖縄県本部官网连续记录边野古新基地断念请愿与阻止建设集会。,EA-S021,,https://www.jichiro.okinawa/,自治労沖縄県本部,2021–2024 records,"dated activity index: Henoko petitions/rallies, ‘local autonomy’ framing, 5.15 marches and Okinawa peace travel",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,部分详细内容在会员区；正式采用前应复核具体条目定位。,ai_seeded,no,
EA026,A093,全日本自治団体労働組合沖縄県本部,I009,local_autonomy,自治労沖縄県本部官网以‘边野古问题关乎地方自治权’进行公开框架化。,EA-S021,,https://www.jichiro.okinawa/,自治労沖縄県本部,2021–2024 records,"dated activity index: Henoko petitions/rallies, ‘local autonomy’ framing, 5.15 marches and Okinawa peace travel",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,标题级材料需人工确认上下文后进入正式结论。,ai_seeded,no,
EA027,A093,全日本自治団体労働組合沖縄県本部,I019,peace,自治労沖縄県本部持续记录5·15和平行进与青年女性冲绳和平之旅。,EA-S021,,https://www.jichiro.okinawa/,自治労沖縄県本部,2021–2024 records,"dated activity index: Henoko petitions/rallies, ‘local autonomy’ framing, 5.15 marches and Okinawa peace travel",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,参与记录不等于稳定跨组织联盟。,ai_seeded,no,
EA032,A095,止めよう「自衛隊配備」宮古郡民の会,I002,anti_military,A095以反对宫古岛自卫队/导弹部队部署为成立目的并正式提交陈情。,EA-S025,EA-S024,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/017/050/inkaihou.compressed.pdf,沖縄県議会委員会報：陸自ミサイル部隊の配備に関する陳情,2017–2020,petition index names A095/A096 and representatives for a missile-deployment petition,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,陈情存在不证明其所有事实主张。,ai_seeded,no,
EA033,A095,止めよう「自衛隊配備」宮古郡民の会,I007,life_safety,成立会上共同代表把部署与岛民和平生活、成为攻击目标的风险相连。,EA-S024,,https://www.miyakomainichi.com/news/post-76312/,止めよう「自衛隊配備」―70人の市民結集し結成会,2015-05-31,"founding purpose, peaceful-life/target and planned-site water-source statements, intended signature activity",E2,event,candidate_ready_for_human_review,same_source_but_separate_claim,风险判断必须归属于组织/发言人，不作为已发生事实。,ai_seeded,no,
EA034,A095,止めよう「自衛隊配備」宮古郡民の会,I006,groundwater,成立会上共同代表指出拟建基地地点涉及重要水源。,EA-S024,,https://www.miyakomainichi.com/news/post-76312/,止めよう「自衛隊配備」―70人の市民結集し結成会,2015-05-31,"founding purpose, peaceful-life/target and planned-site water-source statements, intended signature activity",E2,event,candidate_ready_for_human_review,same_source_but_separate_claim,这是组织公开提出的水源担忧；未由该报道独立验证环境影响。,ai_seeded,no,
EA035,A095,止めよう「自衛隊配備」宮古郡民の会,I026,mobilization,"A095与另一团体提交16,439人反部署署名并宣布继续动员。",EA-S026,,https://www.miyakomainichi.com/news/post-81162/,反対派市民が署名提出／陸自配備,2015-10-06,"16,439 signatures submitted and continued mobilization announced",E2,event,candidate_ready_for_human_review,same_source_but_separate_claim,署名数量不是成员规模；共同提交不等于稳定联盟。,ai_seeded,no,
EA036,A096,宮古平和運動連絡協議会,I002,anti_military,A096以具名请愿者身份正式反对宫古/下地岛自卫队部署。,EA-S027,EA-S025;EA-S028,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/h27.6.dai4kaikaigiroku.pdf,宮古島市議会 平成27年6月定例会会議録,2015,"petition No. 9: request opposing JSDF deployment, submitted by co-representative Sayoko Shimizu",E4,case,candidate_ready_for_human_review,same_source_but_separate_claim,正式请愿角色不证明全部长期议题标签。,ai_seeded,no,
EA037,A096,宮古平和運動連絡協議会,I019,peace,A096主办集会并以和平运动框架形成反部署共识。,EA-S028,,https://www.miyakomainichi.com/2011/06/20401/,下地島への自衛隊配備に反対／平和運動連絡協,2011-06-25,A096-hosted meeting reached shared opposition to JSDF use of Shimojishima as a disaster-support base,E2,event,candidate_ready_for_human_review,same_source_but_separate_claim,地方新闻事件记录；参加者共识不是稳定联盟。,ai_seeded,no,
EA038,A097,宮古島環境クラブ,I020,environment,宮古島環境クラブ持续从事自然与环境保全、恢复和环境教育。,EA-S029,,https://www.npo-mec.net/,ホーム｜宮古島環境クラブ,n.d.,"purpose and sustained work on Miyako nature, waterside protection/restoration and environmental education",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,一般环境定位，不推断军事部署立场。,ai_seeded,no,
EA039,A097,宮古島環境クラブ,I006,groundwater,宮古島環境クラブ官网明确列出地下水保全活动。,EA-S030,,https://www.npo-mec.net/services,宮古島環境クラブ（MEC）の活動とは？,n.d.,explicit ‘地下水保全活動’ and waterside-nature programs,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,只证明地下水保全，不自动连接自卫队设施。,ai_seeded,no,
EA040,A097,宮古島環境クラブ,I005,biodiversity,宮古島環境クラブ持续保护水边自然并开展物种/生态教育。,EA-S029,,https://www.npo-mec.net/,ホーム｜宮古島環境クラブ,n.d.,"purpose and sustained work on Miyako nature, waterside protection/restoration and environmental education",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,按一般生物多样性定位编码。,ai_seeded,no,
EA041,A098,特定非営利活動法人宮古島海の環境ネットワーク,I020,environment,宮古島海の環境ネットワーク以海岸清扫、海洋调查和环境教育保护海洋环境。,EA-S031,,https://econet.jpn.org/,特定非営利活動法人 宮古島 海の環境ネットワーク,n.d.,"marine-environment protection through beach cleaning, marine surveys and environmental education",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,不推断反基地立场。,ai_seeded,no,
EA042,A098,特定非営利活動法人宮古島海の環境ネットワーク,I005,biodiversity,该NPO的法定目的明确包括维护宫古海域自然环境与生物生态系统。,EA-S032,,https://econet.jpn.org/outline,法人概要｜宮古島 海の環境ネットワーク,n.d.,purpose includes preserving Miyako marine nature and biological ecosystems,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,一般生物多样性定位。,ai_seeded,no,
EA043,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I006,groundwater,A099因北谷净水场水源与自来水PFAS污染担忧而成立，并要求安全饮水。,EA-S033,,https://darkwater.okinawa/about/,連絡会について｜PFAS汚染から市民の生命を守る連絡会,n.d.,"2019 formation; drinking-water contamination, health concern, safe-water demand and environmental persistence",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,污染来源与健康影响均保持为组织主张；edge不认证因果。,ai_seeded,no,
EA044,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I008,health_risk,A099围绕PFAS潜在健康影响开展血液检测与公共健康调查倡议。,EA-S034,EA-S033,https://darkwater.okinawa/pfas%E8%A1%80%E4%B8%AD%E6%BF%83%E5%BA%A6%E8%AA%BF%E6%9F%BB%E3%81%B8%E3%80%80%E5%B8%82%E6%B0%91%E9%80%A3%E7%B5%A1%E4%BC%9A%E3%81%8C%E6%8B%A1%E5%A4%A7%E5%B9%B9%E4%BA%8B%E4%BC%9A%EF%BC%885%E6%9C%8825/,PFAS血中濃度調査へ 市民連絡会が拡大幹事会,2022,group plan for blood testing and public epidemiological investigation,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,证明组织行动，不作为医学因果结论。,ai_seeded,no,
EA045,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I007,life_safety,A099以保障市民生命与可安心饮用的水为持续公开目标。,EA-S033,,https://darkwater.okinawa/about/,連絡会について｜PFAS汚染から市民の生命を守る連絡会,n.d.,"2019 formation; drinking-water contamination, health concern, safe-water demand and environmental persistence",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,生活安全框架不等于已证明个体健康损害。,ai_seeded,no,
EA046,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I020,environment,A099把PFAS界定为持续存在的环境污染问题并开展调查/倡议。,EA-S033,EA-S034,https://darkwater.okinawa/about/,連絡会について｜PFAS汚染から市民の生命を守る連絡会,n.d.,"2019 formation; drinking-water contamination, health concern, safe-water demand and environmental persistence",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,组织表述需与政府科学评估分开。,ai_seeded,no,
EA047,A100,ミサイル配備から命を守るうるま市民の会,I002,anti_military,A100为反对胜连分屯地导弹部队部署而成立并持续请求撤回。,EA-S035,EA-S036;EA-S037,https://www.city.uruma.lg.jp/documents/2778/163164165kaigiroku_2.pdf,うるま市議会会議録：ミサイル配備から命を守るうるま市民の会,2022,council record notes the group formed in opposition to missile deployment and to protect residents’ life/property/safety,E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,官方会议录确认组织与议题；具体风险判断另行归属。,ai_seeded,no,
EA048,A100,ミサイル配備から命を守るうるま市民の会,I007,life_safety,A100公开将导弹部署与居民生命、安全及学校周边风险相连。,EA-S036,EA-S037,https://ryukyushimpo.jp/news/entry-1623776.html,陸自勝連分屯地へのミサイル配備阻止へ「市民の会」発足,2022-11-29,"group formation, prior photo exhibitions, target-risk and ‘do not make our islands a battlefield’ statements",E2,event,candidate_ready_for_human_review,same_source_but_separate_claim,风险陈述属于组织/报道中的发言，不作预测事实。,ai_seeded,no,
EA049,A100,ミサイル配備から命を守るうるま市民の会,I017,frontline_prevention,A100在成立与后续行动中提出不让岛屿成为战场、避免基地成为攻击目标。,EA-S036,EA-S037,https://ryukyushimpo.jp/news/entry-1623776.html,陸自勝連分屯地へのミサイル配備阻止へ「市民の会」発足,2022-11-29,"group formation, prior photo exhibitions, target-risk and ‘do not make our islands a battlefield’ statements",E2,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,前线化判断是组织框架，不是已发生事实。,ai_seeded,no,
EA050,A100,ミサイル配備から命を守るうるま市民の会,I018,Taiwan_contingency,A100把‘台湾有事’情境下的目标化风险作为反部署说明的一部分。,EA-S036,,https://ryukyushimpo.jp/news/entry-1623776.html,陸自勝連分屯地へのミサイル配備阻止へ「市民の会」発足,2022-11-29,"group formation, prior photo exhibitions, target-risk and ‘do not make our islands a battlefield’ statements",E2,event,candidate_ready_for_human_review,same_source_but_separate_claim,仅记录公开议题框架，不对情境概率作判断。,ai_seeded,no,
EA051,A100,ミサイル配備から命を守るうるま市民の会,I026,mobilization,"A100开展照片展、约10,500人署名、要请与搬入抗议等持续动员。",EA-S037,EA-S036,https://ryukyushimpo.jp/news/national/entry-2869997.html,陸自ミサイル配備計画「反対を」―知事や県議会に要請,2024-03-05,"formal request, frontline/target reasoning and about 10,500 signatures",E2,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,署名与行动不建立与其他团体的稳定联盟。,ai_seeded,no,
EA052,A101,沖縄・琉球弧の声を届ける会,I002,anti_military,A101的趣意书以反对琉球弧自卫队基地、导弹与弹药部署为核心议题。,EA-S038,,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,组织自身框架，不等于军事政策事实的独立判定。,ai_seeded,no,
EA053,A101,沖縄・琉球弧の声を届ける会,I017,frontline_prevention,A101把冲绳/琉球弧被置于最前线和再度战场化的风险作为持续框架。,EA-S038,,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,前线化为分析/倡议框架，不写成已发生结果。,ai_seeded,no,
EA054,A101,沖縄・琉球弧の声を届ける会,I018,Taiwan_contingency,A101明确围绕台湾有事叙事、岛屿部署与居民风险开展系列讲座。,EA-S038,,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,不判断台湾有事发生概率。,ai_seeded,no,
EA055,A101,沖縄・琉球弧の声を届ける会,I025,anti_war,A101以反对军事化和战争、避免重演冲绳战为组织目标。,EA-S038,,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,反战定位不等于与所有反战团体结盟。,ai_seeded,no,
EA056,A101,沖縄・琉球弧の声を届ける会,I023,human_rights,A101把表达/报道自由与保障人权列为连续讲座的核心论点。,EA-S038,,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,属于组织公开定位。,ai_seeded,no,
EA057,A101,沖縄・琉球弧の声を届ける会,I012,international_advocacy,A101明确以向日本本土与海外媒体、组织和市民传播琉球弧市民声音为目的。,EA-S038,EA-S039,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E6%B2%96%E7%B8%84-%E7%90%89%E7%90%83%E5%BC%A7%E3%81%AE%E5%A3%B0%E3%81%A8%E3%81%AF/,沖縄・琉球弧の声とは,2023-11-03,"purpose: publicize Okinawa/Ryukyu-arc voices in Japan and worldwide; explicit militarization, Taiwan-contingency, frontline, anti-war, human-rights and safe-life framing",E4,positioning,candidate_ready_for_human_review,same_source_but_separate_claim,传播意图与线上输出不等于已建立稳定国际组织关系。,ai_seeded,no,
EA058,A101,沖縄・琉球弧の声を届ける会,I020,environment,A101主办环境影响评价讲座并向县知事提交保护浦添海域的具体提言。,EA-S040,EA-S039,https://ryukyukohp.jimdofree.com/%E3%83%9B%E3%83%BC%E3%83%A0/%E5%A3%B0%E6%98%8E-%E6%8F%90%E8%A8%80/,声明・提言｜沖縄・琉球弧の声を届ける会,2025-10-27,prefectural proposal after its environmental-assessment lecture seeks protection of Urasoe’s sea,E4,event,candidate_ready_for_human_review,same_source_but_separate_claim,事件特定环境/程序倡议，不推断一般反开发立场。,ai_seeded,no,
