task_id,review_object,actor_id,actor_name,issue_id,issue_label,claim,source_keys,evidence_level,scope,explanation_boundary,decision,reviewer,review_date,review_note
HR010-B6-011,edge_evidence_addendum,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I007,life_safety,同一抗议要求让县民安心生活，并把反复发生的事件事故表述为生活安全问题。,EA-S016;EA-S017,E4,event,组织的公开诉求不等于对事件因果作司法认定。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-012,edge_evidence_addendum,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I001,anti_base,连合沖縄会长公开提出推动米军基地整理缩小和地位协定修改。,EA-S018;EA-S017,E4,positioning,按2025年领导层公开方向编码，不写成跨期恒定立场。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-013,edge_evidence_addendum,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I003,Henoko,连合沖縄会长在2025年公开提出阻止边野古新基地建设。,EA-S018;EA-S017,E4,positioning,领导层声明需保持年份，不推断成员组织逐一同意。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-014,edge_evidence_addendum,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I019,peace,连合沖縄持续主办/参与‘平和行动in沖縄’并开展和平教育路线。,EA-S017,E4,positioning,项目参与不建立与每个参加团体的联盟边。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-015,edge_evidence_addendum,A092,沖縄県労働組合総連合,I001,anti_base,沖縄県労連的组织原则明确提出撤除基地。,EA-S019,E4,positioning,章程定位不等于具体地点行动。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-016,edge_evidence_addendum,A092,沖縄県労働組合総連合,I019,peace,沖縄県労連的组织原则明确提出维护和平与民主。,EA-S019,E4,positioning,仅为组织定位。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-017,edge_evidence_addendum,A092,沖縄県労働組合総連合,I025,anti_war,沖縄県労連明确反对军国主义复活并主张核武器废除。,EA-S019,E4,positioning,不自动等同于所有反部署组织的立场。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-018,edge_evidence_addendum,A093,全日本自治団体労働組合沖縄県本部,I003,Henoko,自治労沖縄県本部官网连续记录边野古新基地断念请愿与阻止建设集会。,EA-S021,E4,positioning,部分详细内容在会员区；正式采用前应复核具体条目定位。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-019,edge_evidence_addendum,A093,全日本自治団体労働組合沖縄県本部,I009,local_autonomy,自治労沖縄県本部官网以‘边野古问题关乎地方自治权’进行公开框架化。,EA-S021,E4,positioning,标题级材料需人工确认上下文后进入正式结论。,defer,project_principal_user,2026-07-20,项目负责人确认：公开主页可分别确认边野古行动与一般地方自治议题，但未找到把“边野古问题”与“地方自治权”直接连接起来的同一条公开材料；详细内容在会员区，暂 defer。
HR010-B6-020,edge_evidence_addendum,A093,全日本自治団体労働組合沖縄県本部,I019,peace,自治労沖縄県本部持续记录5·15和平行进与青年女性冲绳和平之旅。,EA-S021,E4,positioning,参与记录不等于稳定跨组织联盟。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-025,edge_evidence_addendum,A095,止めよう「自衛隊配備」宮古郡民の会,I002,anti_military,A095以反对宫古岛自卫队/导弹部队部署为成立目的并正式提交陈情。,EA-S025;EA-S024,E4,positioning,陈情存在不证明其所有事实主张。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-026,edge_evidence_addendum,A095,止めよう「自衛隊配備」宮古郡民の会,I007,life_safety,成立会上共同代表把部署与岛民和平生活、成为攻击目标的风险相连。,EA-S024,E2,event,风险判断必须归属于组织/发言人，不作为已发生事实。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-027,edge_evidence_addendum,A095,止めよう「自衛隊配備」宮古郡民の会,I006,groundwater,成立会上共同代表指出拟建基地地点涉及重要水源。,EA-S024,E2,event,这是组织公开提出的水源担忧；未由该报道独立验证环境影响。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-028,edge_evidence_addendum,A095,止めよう「自衛隊配備」宮古郡民の会,I026,mobilization,"A095与另一团体提交16,439人反部署署名并宣布继续动员。",EA-S026,E2,event,署名数量不是成员规模；共同提交不等于稳定联盟。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-029,edge_evidence_addendum,A096,宮古平和運動連絡協議会,I002,anti_military,A096以具名请愿者身份正式反对宫古/下地岛自卫队部署。,EA-S027;EA-S025;EA-S028,E4,case,正式请愿角色不证明全部长期议题标签。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-030,edge_evidence_addendum,A096,宮古平和運動連絡協議会,I019,peace,A096主办集会并以和平运动框架形成反部署共识。,EA-S028,E2,event,地方新闻事件记录；参加者共识不是稳定联盟。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-031,edge_evidence_addendum,A097,宮古島環境クラブ,I020,environment,宮古島環境クラブ持续从事自然与环境保全、恢复和环境教育。,EA-S029,E4,positioning,一般环境定位，不推断军事部署立场。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-032,edge_evidence_addendum,A097,宮古島環境クラブ,I006,groundwater,宮古島環境クラブ官网明确列出地下水保全活动。,EA-S030,E4,positioning,只证明地下水保全，不自动连接自卫队设施。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-033,edge_evidence_addendum,A097,宮古島環境クラブ,I005,biodiversity,宮古島環境クラブ持续保护水边自然并开展物种/生态教育。,EA-S029,E4,positioning,按一般生物多样性定位编码。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-034,edge_evidence_addendum,A098,特定非営利活動法人宮古島海の環境ネットワーク,I020,environment,宮古島海の環境ネットワーク以海岸清扫、海洋调查和环境教育保护海洋环境。,EA-S031,E4,positioning,不推断反基地立场。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-035,edge_evidence_addendum,A098,特定非営利活動法人宮古島海の環境ネットワーク,I005,biodiversity,该NPO的法定目的明确包括维护宫古海域自然环境与生物生态系统。,EA-S032,E4,positioning,一般生物多样性定位。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-036,edge_evidence_addendum,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I006,groundwater,A099因北谷净水场水源与自来水PFAS污染担忧而成立，并要求安全饮水。,EA-S033,E4,positioning,污染来源与健康影响均保持为组织主张；edge不认证因果。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-037,edge_evidence_addendum,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I008,health_risk,A099围绕PFAS潜在健康影响开展血液检测与公共健康调查倡议。,EA-S034;EA-S033,E4,positioning,证明组织行动，不作为医学因果结论。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-038,edge_evidence_addendum,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I007,life_safety,A099以保障市民生命与可安心饮用的水为持续公开目标。,EA-S033,E4,positioning,生活安全框架不等于已证明个体健康损害。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-039,edge_evidence_addendum,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,I020,environment,A099把PFAS界定为持续存在的环境污染问题并开展调查/倡议。,EA-S033;EA-S034,E4,positioning,组织表述需与政府科学评估分开。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-040,edge_evidence_addendum,A100,ミサイル配備から命を守るうるま市民の会,I002,anti_military,A100为反对胜连分屯地导弹部队部署而成立并持续请求撤回。,EA-S035;EA-S036;EA-S037,E4,positioning,官方会议录确认组织与议题；具体风险判断另行归属。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-041,edge_evidence_addendum,A100,ミサイル配備から命を守るうるま市民の会,I007,life_safety,A100公开将导弹部署与居民生命、安全及学校周边风险相连。,EA-S036;EA-S037,E2,event,风险陈述属于组织/报道中的发言，不作预测事实。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-042,edge_evidence_addendum,A100,ミサイル配備から命を守るうるま市民の会,I017,frontline_prevention,A100在成立与后续行动中提出不让岛屿成为战场、避免基地成为攻击目标。,EA-S036;EA-S037,E2,positioning,前线化判断是组织框架，不是已发生事实。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-043,edge_evidence_addendum,A100,ミサイル配備から命を守るうるま市民の会,I018,Taiwan_contingency,A100把‘台湾有事’情境下的目标化风险作为反部署说明的一部分。,EA-S036,E2,event,仅记录公开议题框架，不对情境概率作判断。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-044,edge_evidence_addendum,A100,ミサイル配備から命を守るうるま市民の会,I026,mobilization,"A100开展照片展、约10,500人署名、要请与搬入抗议等持续动员。",EA-S037;EA-S036,E2,positioning,署名与行动不建立与其他团体的稳定联盟。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-045,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I002,anti_military,A101的趣意书以反对琉球弧自卫队基地、导弹与弹药部署为核心议题。,EA-S038,E4,positioning,组织自身框架，不等于军事政策事实的独立判定。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-046,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I017,frontline_prevention,A101把冲绳/琉球弧被置于最前线和再度战场化的风险作为持续框架。,EA-S038,E4,positioning,前线化为分析/倡议框架，不写成已发生结果。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-047,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I018,Taiwan_contingency,A101明确围绕台湾有事叙事、岛屿部署与居民风险开展系列讲座。,EA-S038,E4,positioning,不判断台湾有事发生概率。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-048,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I025,anti_war,A101以反对军事化和战争、避免重演冲绳战为组织目标。,EA-S038,E4,positioning,反战定位不等于与所有反战团体结盟。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-049,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I023,human_rights,A101把表达/报道自由与保障人权列为连续讲座的核心论点。,EA-S038,E4,positioning,属于组织公开定位。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-050,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I012,international_advocacy,A101明确以向日本本土与海外媒体、组织和市民传播琉球弧市民声音为目的。,EA-S038;EA-S039,E4,positioning,传播意图与线上输出不等于已建立稳定国际组织关系。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-051,edge_evidence_addendum,A101,沖縄・琉球弧の声を届ける会,I020,environment,A101主办环境影响评价讲座并向县知事提交保护浦添海域的具体提言。,EA-S040;EA-S039,E4,event,事件特定环境/程序倡议，不推断一般反开发立场。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
