event_endorser_claim_id,event_id,event_date,publication_date,place_or_scope,organization_name_as_listed,actor_id,registry_crosswalk_status,analyst_issue_family_candidate,issue_family_classification_status,event_role,source_id,external_confirmation_source_id,first_joint_action_claim_status,stable_alliance_claim,independent_adoption_claim,interpretation_limit,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
H3Q011,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa/international,ＶＦＰ（平和を求める退役軍人の会）琉球・沖縄支部,A070,likely_alias_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q012,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,監視社会ならん！市民ネット沖縄,,no_current_registry_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q013,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Henoko,あつまれ辺野古,,no_current_registry_match,Henoko_local_anti_base,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q014,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa/international,日中友好協会沖縄県支部,,no_current_registry_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q015,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa/Ryukyu Arc,沖縄・琉球弧の声を届ける会,A101,exact_name,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q016,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa/transnational,琉球・パレスチナの平和を求める会,,no_current_registry_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q017,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄県統一連,A058,likely_alias_match,constitutional_political,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q018,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,NPO法人沖縄恨之碑の会,,no_current_registry_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q019,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,フェミブリッジ沖縄,,no_current_registry_match,women_gender,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q020,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Futenma,第３次普天間米軍基地爆音訴訟団,A053,round_specific_match,legal_noise,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q021,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Kadena,嘉手納ピースアクション,,no_current_registry_match,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q022,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,反基地ネット,,no_current_registry_match,Henoko_local_anti_base,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q023,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Northern Okinawa,八重岳を守る会,,no_current_registry_match,Henoko_local_anti_base,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q024,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Motobu,本部町島ぐるみ会議,,no_current_registry_match,Henoko_local_anti_base,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q025,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄環境ネットワーク,A056,exact_name,environment_health,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q026,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,新日本婦人の会沖縄県本部,A115,exact_name,women_gender,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q027,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Urasoe,浦添西海岸の未来を考える会,,no_current_registry_match,environment_health,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q028,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,LandBack.Okinawa,,no_current_registry_match,environment_health,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q029,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄県憲法普及協議会,,no_current_registry_match,constitutional_political,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q030,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Haebaru,南風原戦争させない有志の会,,no_current_registry_match,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q031,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,PFAS汚染から市民の命を守る連絡会,A099,likely_alias_match,environment_health,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q032,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,沖縄YWCA,A107,exact_name,peace_antiwar_civic,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q033,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Futenma,普天間基地ゲート前でゴスペルを歌う会,,no_current_registry_match,Henoko_local_anti_base,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q034,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa,夜回りチーム結,,no_current_registry_match,transnational_human_rights,analyst_candidate_not_source_label,listed_endorser,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
H3Q035,H3EV2026_THREE_ISLAND_REQUEST_FOUR_PLACE_ACTION,2026-05-07,2026-05-16,Okinawa/West Japan,戦争止めよう！沖縄・西日本ネットワーク,,network_actor_candidate_not_in_registry,cross_regional_carrier,analyst_candidate_not_source_label,listed_endorser;cross_regional_network,H3V2S023,H3V2S024,publisher_and_party_press_attribution_not_independently_established,no,unconfirmed_unless_separately_documented,"Listed endorser only. The document has three island-specific request sections; four-place speaking/action, first-action attribution, text ownership and independent adoption remain separately gated.",research_only,candidate,ai_seeded,not_frontend_ready,no
