edge_id,selection_frame_id,mapping_rule_id,source_actor_id,target_actor_id,original_relation_type,original_review_status,original_claim_status,original_graph_eligibility,proposed_usn_table_id,proposed_table_name,proposed_record_family,mapping_review_status,mapping_decision,fact_status_carry_rule,amount_gate,endpoint_gate,network_gate,source_refs,interpretation_limit
F011,USF-EXISTING43-2026-08-19,USN-RT-R04,X010,X011,event_collaboration,human_checked,,,USN06,action_institution,event_participation_or_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S095;X011,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F012,USF-EXISTING43-2026-08-19,USN-RT-R05,X013,unknown_recipient,grant_opportunity,needs_local_retrieval,,,LEAD,research_lead,opportunity_not_award,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,off_graph_until_named_award_or_recipient_fact,S056;S082;S083;S084,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F013,USF-EXISTING43-2026-08-19,USN-RT-R04,A047,A019,co_presence_observation,needs_second_source,,,USN06,action_institution,co_presence_observation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S031,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F014,USF-EXISTING43-2026-08-19,USN-RT-R04,A047,A048,coordination,ai_seeded,,,USN06,action_institution,coordination_observation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S031,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F015,USF-EXISTING43-2026-08-19,USN-RT-R04,A059,A047,coordination,ai_seeded,,,USN06,action_institution,coordination_observation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S029;S031,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F016,USF-EXISTING43-2026-08-19,USN-RT-R04,A066,A050,partnership,ai_seeded,,,USN06,action_institution,program_partnership_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S032,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F017,USF-EXISTING43-2026-08-19,USN-RT-R03,A063,A048,organizational_affiliation,ai_seeded,,,USN05,affiliation_control,organizational_affiliation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S038,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F018,USF-EXISTING43-2026-08-19,USN-RT-R04,A067,A025,coordination,ai_seeded,,,USN06,action_institution,coordination_observation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S040,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F019,USF-EXISTING43-2026-08-19,USN-RT-R04,X010,A074,administrative_collaboration,needs_second_source,,,USN06,action_institution,administrative_collaboration,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S043;X010,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F020,USF-EXISTING43-2026-08-19,USN-RT-R04,A051,A050,legal_support,ai_seeded,,,USN06,action_institution,legal_support_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S025;S037,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F021,USF-EXISTING43-2026-08-19,USN-RT-R01,X007,X001,donation,human_revised,supported,dyadic_relation,USN02,money_flows,direct_resource_transfer,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,retain_amount_currency_and_amount_semantics;human_review_direction,registry_actor_endpoint_or_existing_label;identity_status_unchanged,money_layer_only_after_direction_and_semantics_review,S053,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F022,USF-EXISTING43-2026-08-19,USN-RT-R03,X004,X007,network_membership,human_checked,supported,dyadic_relation,USN05,affiliation_control,umbrella_membership,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S041;S055,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F023,USF-EXISTING43-2026-08-19,USN-RT-R03,X004,X016,network_membership,human_checked,supported,dyadic_relation,USN05,affiliation_control,umbrella_membership,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S041;S055;S079,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F024,USF-EXISTING43-2026-08-19,USN-RT-R03,X004,X017,network_membership,human_revised,supported_bounded,dyadic_relation,USN05,affiliation_control,umbrella_membership,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S041;S072;S081,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F025,USF-EXISTING43-2026-08-19,USN-RT-R01,X006,X004,donation,human_revised,supported_bounded,dyadic_relation,USN02,money_flows,direct_resource_transfer,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,relation_may_stand;amount_remains_unknown;do_not_impute_from_notes,registry_actor_endpoint_or_existing_label;identity_status_unchanged,money_layer_only_after_direction_and_semantics_review,S075,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F026,USF-EXISTING43-2026-08-19,USN-RT-R01,X004,X001,grant,human_checked,,,USN02,money_flows,grant_resource_flow,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,relation_may_stand;amount_remains_unknown;do_not_impute_from_notes,registry_actor_endpoint_or_existing_label;identity_status_unchanged,money_layer_only_after_direction_and_semantics_review,S077,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F027,USF-EXISTING43-2026-08-19,USN-RT-R01,X004,unknown_okinawa_welfare_facilities,aggregate_financial_history_observation,needs_local_retrieval,supported_bounded,aggregate_observation,USN02,money_flows,aggregate_multi_recipient_observation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,retain_aggregate_semantics;do_not_attach_to_named_recipient,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,money_layer_only_after_direction_and_semantics_review,S078,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F028,USF-EXISTING43-2026-08-19,USN-RT-R02,X004,R_yomitan_quegoen,in_kind_donation,human_revised,supported_bounded,administrative_record,USN04,service_recipient,in_kind_transfer,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,service_recipient_layer;no_alliance_projection,S094,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F029,USF-EXISTING43-2026-08-19,USN-RT-R02,X004,R_uruma_social_welfare,in_kind_donation,human_revised,supported_bounded,administrative_record,USN04,service_recipient,in_kind_transfer,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,service_recipient_layer;no_alliance_projection,S072,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F030,USF-EXISTING43-2026-08-19,USN-RT-R02,X004,R_boy_scouts_far_east,in_kind_acquisition_assistance,human_revised,supported_bounded,administrative_record,USN04,service_recipient,acquisition_assistance,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,service_recipient_layer;no_alliance_projection,S072,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F031,USF-EXISTING43-2026-08-19,USN-RT-R04,X010,MOFA_ngo_consultant_program,commission,human_checked,supported_bounded,administrative_record,USN06,action_institution,public_commission_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,S095;S096;S099;S101,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F032,USF-EXISTING43-2026-08-19,USN-RT-R04,X010,Okinawa_Pref_multicultural_project,commission,human_checked,supported_bounded,administrative_record,USN06,action_institution,public_commission_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,S095;S099,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F033,USF-EXISTING43-2026-08-19,USN-RT-R04,X010,Okinawa_City,commission,human_checked,supported_bounded,administrative_record,USN06,action_institution,public_commission_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,typed_non_actor_endpoint;never_promote_for_graph_convenience,retain_case_event_program_or_place_node;no_co_participant_dyad,S095;S099,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F034,USF-EXISTING43-2026-08-19,USN-RT-R01,Mediatti_Broadband_MBC,X001,sponsorship,human_checked,supported_bounded,research_lead,USN02,money_flows,sponsorship_resource_flow,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,relation_may_stand;amount_remains_unknown;do_not_impute_from_notes,registry_actor_endpoint_or_existing_label;identity_status_unchanged,money_layer_only_after_direction_and_semantics_review,S097,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F035,USF-EXISTING43-2026-08-19,USN-RT-R01,Matson,P_R10_USO_INDO_PACIFIC,sponsorship,human_revised,supported_bounded,research_lead,USN02,money_flows,sponsorship_resource_flow,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,relation_may_stand;amount_remains_unknown;do_not_impute_from_notes,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,money_layer_only_after_direction_and_semantics_review,S097,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F036,USF-EXISTING43-2026-08-19,USN-RT-R02,X005,R_heshikiya_after_school_childcare,joint_in_kind_contribution,human_revised,supported_bounded,event_participation,USN04,service_recipient,joint_in_kind_transfer,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,retain_raw_endpoint;resolve_via_USN08_before_dyadic_graph,service_recipient_layer;no_alliance_projection,S102,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F037,USF-EXISTING43-2026-08-19,USN-RT-R03,A103,A052,network_membership,human_checked,,,USN05,affiliation_control,umbrella_membership,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S122;S123,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F038,USF-EXISTING43-2026-08-19,USN-RT-R03,A103,A053,network_membership,human_checked,,,USN05,affiliation_control,umbrella_membership,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S122;S123,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F039,USF-EXISTING43-2026-08-19,USN-RT-R04,A104,A053,legal_counsel,human_checked,,,USN06,action_institution,case_specific_counsel,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S124,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F040,USF-EXISTING43-2026-08-19,USN-RT-R04,A106,A025,event_affiliation,human_checked,,,USN06,action_institution,event_participation_or_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S126,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F041,USF-EXISTING43-2026-08-19,USN-RT-R04,A106,A062,partner_action,human_checked,,,USN06,action_institution,event_participation_or_role,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S127,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F042,USF-EXISTING43-2026-08-19,USN-RT-R04,A109,A052,legal_counsel,human_checked,,,USN06,action_institution,case_specific_counsel,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,retain_case_event_program_or_place_node;no_co_participant_dyad,S149;S151;S152,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
F043,USF-EXISTING43-2026-08-19,USN-RT-R03,A105,A107,organizational_affiliation,human_checked,,,USN05,affiliation_control,organizational_affiliation,ai_seeded,,preserve_original_fact_review_and_claim_axes;mapping_approval_does_not_upgrade_fact,not_applicable,registry_actor_endpoint_or_existing_label;identity_status_unchanged,affiliation_layer;membership_not_control_or_funding,S144;S145,"This row only proposes a semantic destination for an existing observation. It adds no fact, relation, amount, endpoint identity, continuity, or function finding."
