episode_id,field,zh,ja,en,review_note
TE04,local_problem,噪音与睡眠／健康负担,騒音と睡眠・健康の負担,Noise and sleep/health burden,
TE04,translation_frame,特定期间损害,特定期間の損害,Harm for a specified period,
TE04,venue_label,日本损害赔偿诉讼,日本の損害賠償訴訟,Japanese damages lawsuit,
TE04,observable_output,列名原告获指定期间赔偿,列名原告が指定期間の賠償を獲得,Named plaintiffs awarded damages for the designated period,
TE04,substantive_result,部分原告／期间获赔；无运营禁令,一部原告・期間で賠償；運航の禁止なし,Damages for some plaintiffs/periods; no operational injunction,
TE04,interpretation_limit,案件特定 plaintiff group；不跨轮次泛化。,事件は特定の原告団に限定；ラウンドを超えた一般化はしない。,The case is specific to its plaintiff group; do not generalize across rounds.,
TE05,display_label,石垣部署公投诉讼,石垣配備・住民投票訴訟,Ishigaki deployment referendum lawsuit,
TE05,local_problem,陆自部署与居民决定权,陸自配備と住民の決定権,SDF deployment and residents' decision-making rights,
TE05,translation_frame,公投实施义务／地方自治,住民投票実施義務／地方自治,Obligation to hold a referendum / local autonomy,
TE05,venue_label,条例直接请求、议会与义务付诉讼,条例の直接請求、議会と義務付け訴訟,"Direct ordinance request, assembly, and mandatory-order litigation",
TE05,observable_output,签名门槛达成；议会两度否决；法院认定举行公投不属于义务付诉讼对象,署名要件を充足；議会は二度否決；裁判所は住民投票の実施が義務付け訴訟の対象となる行政処分ではないと判断,Signature threshold met; the assembly rejected the proposal twice; the court held that holding the referendum was not an administrative disposition subject to a mandatory-order action.,
TE05,substantive_result,未举行投票；义务付请求被程序性驳回,投票は実施されず；義務付け請求は手続き上却下,No vote held; mandatory-order claim dismissed on procedural grounds,
TE05,interpretation_limit,A011 是 requester／运动体，不是具名组织原告。,A011は請求者・運動体であり、指名の組織原告ではない。,"A011 is a requester/campaign body, not a named organizational plaintiff.",
TE06,display_label,泡濑公金诉讼,泡瀬公金訴訟,Awase public-funds lawsuit,
TE06,local_problem,填海生态、经济与灾害风险,埋立による生態・経済・災害リスク,"Reclamation-related ecological, economic and disaster risks",
TE06,translation_frame,公共支出合法性／合理性,公共支出の適法性・合理性,Legality and propriety of public spending,
TE06,venue_label,住民监查请求与公金支出差止诉讼,住民監査請求と公金支出差止訴訟,Residents’ audit request and litigation to enjoin public spending,
TE06,observable_output,生态争议转成支出与行政裁量审查,生態の争点が支出と行政裁量の審査に転換,The ecological dispute was reframed as review of spending and administrative discretion,
TE06,substantive_result,第一波限制未来支出；第二波居民败诉，结果相反,第一波は将来の支出を制限；第二波は住民敗訴で結果が逆転,First wave restricted future spending; second wave ruled against residents — opposite outcomes,
TE06,interpretation_limit,两波结果必须分列；A055/A020 是 supporter，不是组织原告。,二つの波の結果は分けて記す；A055/A020はサポーターであり、組織原告ではない。,"The two waves' outcomes must be reported separately; A055/A020 are supporters, not organizational plaintiffs.",
TE07,display_label,名护 1997 公投,名護1997住民投票,Nago 1997 referendum,
TE07,local_problem,海上直升机场／基地建设,海上ヘリポート／基地建設,Offshore heliport / base construction,
TE07,translation_frame,地方自治法第74条直接请求,地方自治法第74条の直接請求,Direct request under Article 74 of the Local Autonomy Act,
TE07,venue_label,签名、议会条例与咨询型住民投票,署名、議会条例と諮問型住民投票,"Signatures, assembly ordinance, and consultative referendum",
TE07,observable_output,"17,539 有效签名；四选项条例；实际投票","有効署名17,539；四択条例；実際に投票実施","17,539 valid signatures; four-option ordinance; vote actually held",
TE07,substantive_result,反对多数；三日后市长接受基地并辞职,反対が多数；三日後に市長は基地受け入れを表明し辞職,Majority opposed; the mayor accepted the base and resigned three days later,
TE07,interpretation_limit,咨询型反对多数不是法律否决；A068 已人审正名，并记录为 1997 年发展性改组至 A019；这不等于两者为同一 actor，也不证明 A068 此后持续。,諮問型の反対多数は法的拒否ではない。A068 の正式名称は人手審査済みで、1997年にA019へ発展的に再編されたと記録するが、両者を同一アクターとはせず、A068のその後の継続も推定しない。,"A consultative majority against was not a legal veto. A068’s canonical name is human-reviewed and its 1997 developmental reorganization into A019 is recorded, but the two are not treated as one actor and no later continuity of A068 is inferred.",
TE08,display_label,与那国 2015 公投,与那国2015住民投票,Yonaguni 2015 referendum,
TE08,local_problem,陆自部署、前线化与岛内决定,陸自配備・最前線化と島内の自己決定,"SDF deployment, conversion into a frontline, and island-level self-determination",
TE08,translation_frame,自治体个别条例与公众动员,自治体個別条例と公衆動員,Municipality-specific ordinance and public mobilization,
TE08,venue_label,町条例、选管投票与行政解释,町条例、選管投票と行政の解釈,"Town ordinance, election-administered vote, and administrative interpretation",
TE08,observable_output,投票举行；地方报道 632 赞成、445 反对,投票実施；地方報道で賛成632、反対445,"Vote held; local reports 632 for, 445 against",
TE08,substantive_result,町长将结果解释为推进依据；组织级身份仍需当地材料,町長は結果を推進の根拠と解釈；組織の身分はなお現地資料が必要,The mayor read the result as grounds to proceed; organizational identity still requires local materials,
TE08,interpretation_limit,A014/A015 为 E2 组织线索；不能写成投票发起／实施者或长期组织。,A014/A015はE2の組織手がかり；投票の発起・実施者や長期組織とは書けない。,A014/A015 are E2 organizational leads; they cannot be written as the vote's initiators/implementers or as long-standing organizations.,
TE09,display_label,2019 边野古县民投票,2019辺野古県民投票,2019 Henoko prefectural referendum,
TE09,local_problem,边野古填海与县民意,辺野古の埋立と県民の意思,Henoko reclamation and Okinawa residents’ preferences,
TE09,translation_frame,全县直接请求／条例化,全県の直接請求／条例化,Prefecture-wide direct request / ordinance enactment,
TE09,venue_label,"92,848 有效签名、县议会条例、全41市町村投票","有効署名92,848、県議会条例、全41市町村の投票","92,848 valid signatures, prefectural assembly ordinance, votes in all 41 municipalities",
TE09,observable_output,"反对 434,273（71.7%）；知事通知日美政府","反対434,273（71.7%）；知事が日米政府に通知","434,273 (71.7%) against; governor notified the Japanese and U.S. governments",
TE09,substantive_result,民意转化为条例与通知资源；工程未因此自动停止,民意は条例と通知の資源に転換；工事はそれにより自動停止せず,Public will converted into ordinance and notification resources; construction did not automatically stop as a result,
TE09,interpretation_limit,签名者／请求代表不自动等于 A051 成员；投票不直接停止工程。,署名者・請求代表は自動的にA051の構成員ではない；投票は工事を直接停止しない。,Signers and request representatives are not automatically A051 members; the vote did not directly stop construction.,
TE10,display_label,宫古地下水行政往来,宮古地下水の行政往来,Miyako groundwater administrative exchange,
TE10,local_problem,饮用地下水与设施排水风险,飲用地下水と施設排水のリスク,Drinking groundwater and facility drainage risks,
TE10,translation_frame,监测、条例与水源保护,モニタリング、条例と水源保護,"Monitoring, ordinances, and water-source protection",
TE10,venue_label,研究会意见／宫古岛市正式书面回答,研究会の意見／宮古島市の正式な文書回答,Study group's opinions / City of Miyakojima's formal written replies,
TE10,observable_output,2023 市政府逐条回答形成行政记录,2023年に市側が逐条回答し行政記録を形成,"In 2023 the city answered item by item, forming an administrative record",
TE10,substantive_result,可证行政接口；不证明市方接受风险解释或政策改变,行政の接点は証明できる；市がリスク説明や政策変更を受け入れたことは証明されない,The administrative interface is documented; city acceptance of the risk framing or policy change is not demonstrated,
TE10,interpretation_limit,HR027 只批准 actor；事件仍待逐条 HR，且不得写实际污染／健康损害。,HR027はアクターのみ承認；イベントは個別HR待ちで、実際の汚染・健康被害は書かない。,"HR-027 approved only the actor; the event still awaits item-by-item HR, and actual pollution/health harm must not be asserted.",
TE11,display_label,宜野湾 PFAS 土壤采样→议会,宜野湾PFAS土壌サンプリング→市議会,Ginowan PFAS soil sampling → assembly,
TE11,local_problem,学校／社区 PFAS 风险,学校・コミュニティのPFASリスク,PFAS risk around schools/community,
TE11,translation_frame,居民筹资土壤采样与健康调查请求,住民負担による土壌サンプリングと健康調査要請,Resident-funded soil sampling and health-survey requests,
TE11,venue_label,土壤采样、请愿与市议会意见书,土壌サンプリング、請願と市議会意見書,"Soil sampling, petitions, and a city-assembly opinion statement",
TE11,observable_output,市议会正式记录土壤采样，并形成污染对策意见,市議会が土壌サンプリングを正式に記録し、汚染対策に関する意見を形成,The assembly formally recorded the soil sampling and formed a pollution-response opinion,
TE11,substantive_result,程序和记录可证；污染源、健康因果与后续实施不确定,手続きと記録は証明できる；汚染源、健康の因果、以後の実施は未確定,"Procedure and records are documented; source, health causation, and subsequent implementation remain undetermined",
TE11,interpretation_limit,HR027 只批准 actor；事件待审，不强化污染源盖然性为确定因果。,HR027はアクターのみ承認；イベントは審査中で、汚染源の蓋然性を確定因果に強めない。,HR-027 approved only the actor; the event is pending — do not upgrade source likelihood to established causation.,
TE12,display_label,石垣港罢工,石垣港ストライキ,Ishigaki port strike,
TE12,local_problem,民用港军事使用与港湾劳动安全,民用港の軍事利用と港湾労働の安全,Military use of a civilian port and dockworker safety,
TE12,translation_frame,职业安全／劳动行动,職業安全／労働行動,Occupational safety / labor action,
TE12,venue_label,港口工作场域与罢工,港湾の職場とストライキ,Port workplace and strike,
TE12,observable_output,2024-03-11–13 石垣港罢工实际执行,2024-03-11〜13に石垣港ストが実際に実行,"The Ishigaki port strike actually took place March 11–13, 2024",
TE12,substantive_result,行动发生可证；合法性、实际效果与政治影响未判定,行動の発生は資料で確認できるが、適法性、実際の効果、政治的影響は未確定。,"The action's occurrence is documented; its legality, effectiveness, and political impact are undetermined",
TE12,interpretation_limit,HR027 只批准 actor；不得从行动发生推断政策效果或稳定联盟。,HR027はアクターのみ承認；行動の発生から政策効果や安定した同盟を推定しない。,HR-027 approved only the actor; do not infer policy effect or stable alliance from the action's occurrence.,
TE13,display_label,新妇人县本部公投动员,新婦人県本部の住民投票動員,Shinfujin prefectural HQ referendum mobilization,
TE13,local_problem,边野古与县民决定,辺野古と県民の決定,Henoko and the prefecture's decision,
TE13,translation_frame,会员制群众组织的签名动员,会員制大衆組織の署名動員,Signature mobilization by a membership-based mass organization,
TE13,venue_label,2018 县民投票条例签名运动,2018県民投票条例の署名運動,2018 prefectural-referendum ordinance signature campaign,
TE13,observable_output,县本部有日期的签名启动行动可见,県本部の日付のある署名開始行動が確認できる,The prefectural HQ's dated signature-launch action is documented,
TE13,substantive_result,"只证参与渠道；不能把全县 92,848 份签名或条例结果归因于 A115","参加経路のみを確認でき、全県の92,848筆の署名や条例の結果をA115に帰することはできない。","Only the participation channel is documented; neither the prefecture-wide 92,848 signatures nor the ordinance outcome can be attributed to A115",
TE13,interpretation_limit,HR027 只批准 actor；不转嫁全国本部行动，不作组织贡献因果估计。,HR027はアクターのみ承認した。全国本部の行動を県本部に帰属させず、組織の寄与について因果推定しない。,"HR-027 approved only the actor; do not attribute actions by the national headquarters to the prefectural headquarters, and do not estimate its causal contribution.",
