role_id,actor_id_or_candidate,actor_name,person_name,role_title,valid_from,valid_to,date_basis,url,locator,excerpt,source_date,evidence_level,claim_status,identity_confidence,observed_at,review_status,package_scope,frontend_eligibility,interpretation_limit
PR011,X006,KOSC,Brooke Epp,Outgoing President,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980214323,FY2025 officers,Brooke Epp is listed as Outgoing President.,FY ending 2025-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR012,X006,KOSC,Olivia Coleman,First Vice President / Chair of Welfare,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980214323,FY2025 officers,Olivia Coleman is listed with the welfare portfolio.,FY ending 2025-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR013,X006,KOSC,Brittaney Kinne,Financial Officer,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980214323,FY2025 officers,Brittaney Kinne is listed as Financial Officer.,FY ending 2025-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR014,X007,OESC,Kayla Sprinkel,President,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980346507,FY2025 officers,Kayla Sprinkel is listed as President.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR015,X007,OESC,Leah Chambers,Vice President,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980346507,FY2025 officers,Leah Chambers is listed as Vice President.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR016,X007,OESC,Erika Hales,Secretary,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980346507,FY2025 officers,Erika Hales is listed as Secretary.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR017,X016,MOSCO,Marion Strelke,Treasurer,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/460598583,FY2025 officers,Marion Strelke is listed as Treasurer.,FY ending 2025-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR018,X004,AWWA,Debi Panke,President,2012,2012,dated military public-affairs story,https://www.dvidshub.net/news/87854/awwa-celebrates-40-years-giving,AWWA anniversary story; president identification,Debi Panke is identified as AWWA president in the 2012 anniversary account.,2012-04-23,E4,candidate_historical_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,The story confirms an AWWA leadership role in 2012; it does not establish an ACGO office or later continuity.
PR019,CAND_MTS,Marine Thrift Shop Okinawa,Anna Cabosky,President,2026 observation,,current board page,https://marinethriftshopokinawa.org/board-members/,Board Members,Anna Cabosky is listed as President.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR020,CAND_MTS,Marine Thrift Shop Okinawa,Allan Chua,Secretary,2026 observation,,current board page,https://marinethriftshopokinawa.org/board-members/,Board Members,Allan Chua is listed as Secretary.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR021,CAND_MTS,Marine Thrift Shop Okinawa,Kara Smith,Treasurer,2026 observation,,current board page,https://marinethriftshopokinawa.org/board-members/,Board Members,Kara Smith is listed as Treasurer.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR022,CAND_MTS,Marine Thrift Shop Okinawa,Susan Garrett Collins,Advisor,2026 observation,,current board page,https://marinethriftshopokinawa.org/board-members/,Board Members,Susan Garrett Collins is listed as Advisor.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR023,CAND_MTS,Marine Thrift Shop Okinawa,Valerie Robles,Operations Manager,2026 observation,,current board page,https://marinethriftshopokinawa.org/board-members/,Board Members,Valerie Robles is listed as Operations Manager.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR024,CAND_MGS,Marine Gift Shop,Jennifer Butler,President,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980016061,FY2025 officers,Jennifer Butler is listed as President.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR025,CAND_MGS,Marine Gift Shop,Alicia Bowman,Human Resources Coordinator,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980016061,FY2025 officers,Alicia Bowman is listed as Human Resources Coordinator.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR026,CAND_MGS,Marine Gift Shop,Maria Russell,Community Coordinator,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980016061,FY2025 officers,Maria Russell is listed as Community Coordinator.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR027,CAND_NPC,Neighborhood Pantry – Camp Butler,Kim Allison,Director,2024,,dated MCIPAC public-affairs material,https://www.dvidshub.net/video/933952/neighborhood-pantry-camp-butler-expands-camp-kinser,Video description / interview identification,Kim Allison is identified as director during the Kinser expansion.,2024-08,E4,candidate_dated_role,medium,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR028,CAND_NPC,Neighborhood Pantry – Camp Butler,Jennifer Hall,Assistant Director / co-founder,2024,,MCIPAC story; secondary association profile for co-founder label,https://www.mcipac.marines.mil/Media-Room/News/Article/3871746/neighborhood-pantry-expands-to-camp-kinser/,Kinser expansion story,Jennifer Hall is identified as assistant director in the 2024 expansion account.,2024-08-14,E4,candidate_dated_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR029,CAND_NIOSC,North Island Okinawa Spouses Club,Vincent Toth,President,2025,,dated event biography,https://tedxumgcokinawa.com/,Organizer biography,Vincent Toth is identified as NIOSC president in the 2025 event biography.,2025,E3,candidate_secondary_role,medium,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
