source_row_uid,source_row_number,review_item_id,source_partner_name,source_partner_kind_code,source_partner_kind_label,approved_display_name,canonical_identity_key,entity_scope,registry_actor_id,registry_crosswalk_decision,approved_english_name,approved_acronym,partner_kind_review,role_review,review_status,human_reviewer,review_date,decision_source_report,actor_relation_edge_approved,amount_allocation_approved,scope_boundary
S002-R0067,67,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0068,68,HR032-01,沖縄県社会福祉協議 会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0069,69,HR032-01,沖縄県社会福祉協議 会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0070,70,HR032-01,沖縄県社会福祉協議 会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0071,71,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0073,73,HR032-01,沖縄県社会福祉協議 会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0079,79,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0080,80,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0081,81,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0082,82,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0083,83,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0163,163,HR032-01,社会福祉法人 沖縄 県社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0191,191,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0197,197,HR032-03,公益財団法人おきな わ女性財団,2,公益社団又は公益財団法人,公益財団法人おきなわ女性財団,HRE032-03,legal_entity_no_registry,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Do not conflate with A111 or retired A094; composite role is separate.
S002-R0204,204,HR032-08,NPO法人レインボー ハートokinawa,1,特定非営利活動法人（NPO法人）,特定非営利活動法人レインボーハートokinawa,HRE032-08,legal_entity_role_unresolved,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,"Row 466 is only a source-table fact; no contractor, payment or cross-department bridge inference."
S002-R0205,205,HR032-03,公益財団法人おきな わ女性財団,2,公益社団又は公益財団法人,公益財団法人おきなわ女性財団,HRE032-03,legal_entity_no_registry,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Do not conflate with A111 or retired A094; composite role is separate.
S002-R0206,206,HR032-03,公益財団法人おきな わ女性財団,2,公益社団又は公益財団法人,公益財団法人おきなわ女性財団,HRE032-03,legal_entity_no_registry,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Do not conflate with A111 or retired A094; composite role is separate.
S002-R0207,207,HR032-03,公益財団法人おきな わ女性財団（沖縄県 男女共同参画セン ター管理運営団体）,7,JV（複数の異なる団体等が共同で事業を行う組織）,沖縄県男女共同参画センター管理運営団体,HRC032-01,composite_source_entity,,preserve_composite_no_registry_entry,,,preserve_source_kind_on_composite,composite_membership_recorded_separately,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Preserve the management composite; member costs are not separable.
S002-R0292,292,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0314,314,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0317,317,HR032-01,社会福祉法人沖縄県 社会福祉協議会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0432,432,HR032-05,令和６年度おきなわ 国際協力人材育成事 業共同企業体 （公 社）青年海外協力協 会沖縄事務所、（株） ＪＴＢ沖縄,7,JV（複数の異なる団体等が共同で事業を行う組織）,令和６年度おきなわ国際協力人材育成事業共同企業体,HRC032-02,composite_source_entity,,preserve_composite_no_registry_entry,,,preserve_source_kind_on_composite,composite_membership_recorded_separately,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Distinct project JV; JOCA appears only as a member.
S002-R0433,433,HR032-06,一般社団法人世界若 者ウチナーンチュ連 合会,3,営利を目的としない一般社団又は一般財団法人,一般社団法人世界若者ウチナーンチュ連合会,HRE032-06,legal_entity_no_registry,,same_legal_entity_no_registry_entry,World Youth Uchinanchu Association,WYUA,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Team OKIYUA remains a separate composite.
S002-R0434,434,HR032-06,Team OKIYUA （株）沖縄映像セン ター、（一社）世界若 者ウチナーンチュ連 合会,7,JV（複数の異なる団体等が共同で事業を行う組織）,Team OKIYUA,HRC032-05,composite_source_entity,,preserve_composite_no_registry_entry,,,preserve_source_kind_on_composite,composite_membership_recorded_separately,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,WYUA is a member; composite costs are not allocated.
S002-R0435,435,HR032-05,公益社団法人青年海 外協力協会 沖縄事 務所,2,公益社団又は公益財団法人,公益社団法人青年海外協力協会沖縄事務所（JOCA沖縄）,HRE032-05,office_of_legal_entity,,parent_legal_entity_office_no_registry_entry,Japan Overseas Cooperative Association,JOCA,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Okinawa office is not a separate legal person; no cost allocation.
S002-R0436,436,HR032-05,令和６年度ウチナー ジュニアスタディー事 業に係る共同企業体 (公社)青年海外協力 協会沖縄事務所、東 武トップツアーズ(株) 沖縄支店,7,JV（複数の異なる団体等が共同で事業を行う組織）,令和６年度ウチナージュニアスタディー事業に係る共同企業体,HRC032-03,composite_source_entity,,preserve_composite_no_registry_entry,,,preserve_source_kind_on_composite,composite_membership_recorded_separately,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Distinct project JV; JOCA appears only as a member.
S002-R0438,438,HR032-05,令和６年度長野県へ の生徒派遣交流事業 共同企業体 (公社) 青年海外協力協会沖 縄事務所、東武トップ ツアーズ(株)沖縄支 店,7,JV（複数の異なる団体等が共同で事業を行う組織）,令和６年度長野県への生徒派遣交流事業共同企業体,HRC032-04,composite_source_entity,,preserve_composite_no_registry_entry,,,preserve_source_kind_on_composite,composite_membership_recorded_separately,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Distinct project JV; JOCA appears only as a member.
S002-R0466,466,HR032-08,NPO法人 レインボー ハートokinawa,1,特定非営利活動法人（NPO法人）,特定非営利活動法人レインボーハートokinawa,HRE032-08,legal_entity_role_unresolved,,same_legal_entity_no_registry_entry,,,preserve_source_kind,unexplained_other_or_advisory_candidate,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,"Row 466 is only a source-table fact; no contractor, payment or cross-department bridge inference."
S002-R0496,496,HR032-02,公益財団法人沖縄県 平和祈念財団,3,営利を目的としない一般社団又は一般財団法人,公益財団法人沖縄県平和祈念財団,HRE032-02,legal_entity_no_registry,,same_legal_entity_no_registry_entry,,,source_partner_kind_conflict,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Distinct from the Himeyuri foundation; project cost is not a payment.
S002-R0499,499,HR032-08,NPO法人レインボー ハートokinawa,1,特定非営利活動法人（NPO法人）,特定非営利活動法人レインボーハートokinawa,HRE032-08,legal_entity_role_unresolved,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,"Row 466 is only a source-table fact; no contractor, payment or cross-department bridge inference."
S002-R0501,501,HR032-04,特定非営利活動法人 沖縄平和協力セン ター,1,特定非営利活動法人（NPO法人）,特定非営利活動法人沖縄平和協力センター,A088,registry_actor,A088,A088_same_legal_entity,Okinawa Peace Assistance Center,OPAC,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Actor identity crosswalk only; the three administrative relations remain gated separately.
S002-R0521,521,HR032-01,社会福祉法人 沖縄県社会福祉協議 会,4,社会福祉法人,社会福祉法人沖縄県社会福祉協議会,HRE032-01,legal_entity_no_registry,,display_alias_only_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_checked,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Legal-prefix alias only; no registry entry or relation edge.
S002-R0529,529,HR032-07,沖縄県ユネスコ協会,8,その他、法人格を持たない任意団体等,沖縄県ユネスコ協会,HRE032-07,unincorporated_association,,same_continuing_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Keep mechanisms separate; row 545 retains its conflicting raw kind.
S002-R0545,545,HR032-07,沖縄県ユネスコ協会,1,特定非営利活動法人（NPO法人）,沖縄県ユネスコ協会,HRE032-07,unincorporated_association,,same_continuing_entity_no_registry_entry,,,source_kind_conflict_probable_miscoding,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Keep mechanisms separate; row 545 retains its conflicting raw kind.
S002-R0548,548,HR032-07,沖縄県ユネスコ協会,8,その他、法人格を持たない任意団体等,沖縄県ユネスコ協会,HRE032-07,unincorporated_association,,same_continuing_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Keep mechanisms separate; row 545 retains its conflicting raw kind.
S002-R0551,551,HR032-07,沖縄県ユネスコ協会,8,その他、法人格を持たない任意団体等,沖縄県ユネスコ協会,HRE032-07,unincorporated_association,,same_continuing_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Keep mechanisms separate; row 545 retains its conflicting raw kind.
S002-R0571,571,HR032-06,世界若者ウチナーン チュ連合会,3,営利を目的としない一般社団又は一般財団法人,一般社団法人世界若者ウチナーンチュ連合会,HRE032-06,legal_entity_no_registry,,same_legal_entity_no_registry_entry,World Youth Uchinanchu Association,WYUA,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,Team OKIYUA remains a separate composite.
S002-R0591,591,HR032-08,NPO法人レインボー ハートokinawa,1,特定非営利活動法人（NPO法人）,特定非営利活動法人レインボーハートokinawa,HRE032-08,legal_entity_role_unresolved,,same_legal_entity_no_registry_entry,,,preserve_source_kind,identity_crosswalk_only,human_revised,project_principal_user,2026-07-20,docs/human_review_return_HR032_partner_crosswalk_batch37_v1.md,no,no,"Row 466 is only a source-table fact; no contractor, payment or cross-department bridge inference."
