partner_name_display_alias_machine,source_row_count,raw_source_literal_variant_count,raw_source_literal_variants,source_row_numbers,appears_in_top_partner_figure,normalization_scope,identity_merge_status,interpretation_limit
社会福祉法人みやこ福祉会,4,2,社会福祉法人 みや こ福祉会 | 社会福祉法人みやこ 福祉会,14;135;486;489,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
社会福祉法人沖縄県身体障害者福祉協会,4,2,社会福祉法人 沖縄 県身体障害者福祉協 会 | 社会福祉法人沖縄県 身体障害者福祉協会,93;99;112;128,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
NPO法人沖縄県学童・保育支援センター,3,2,NPO法人沖縄県学 童・保育支援センター | ＮＰＯ法人沖縄県学 童・保育支援センター,187;188;189,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
一般社団法人沖縄県中小企業診断士協会,3,2,一般社団法人 沖縄 県中小企業診断士協 会 | 一般社団法人沖縄県 中小企業診断士協会,328;354;449,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
一般財団法人沖縄県公衆衛生協会,3,2,一般財団法人 沖縄 県公衆衛生協会 | 一般財団法人沖縄県 公衆衛生協会,36;40;41,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
公益社団法人うるま市シルバー人材センター,2,2,公益社団法人 うるま 市シルバー人材セン ター | 公益社団法人うるま 市シルバー人材セン ター,475;566,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
公益社団法人名護市シルバー人材センター,2,2,公益社団法人 名護 市シルバー人材セン ター | 公益社団法人名護市 シルバー人材セン ター,334;469,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
沖縄県高等学校PTA連合会,2,2,沖縄県高等学校PTA 連合会 | 沖縄県高等学校ＰＴＡ 連合会,539;552,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
特定非営利活動法人おきなわCAPセンター,2,2,特定非営利活動法人 おきなわCAPセンター | 特定非営利活動法人 おきなわＣＡＰセン ター,165;168,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
社会福祉法人若竹福祉会,2,2,社会福祉法人 若竹 福祉会 | 社会福祉法人若竹福 祉会,95;133,no,NFKC_plus_PDF_wrap_whitespace_only,not_performed,Collision reflects display cleanup only; it does not establish that legally distinct names are the same actor.
