partner_display_label_id,partner_name_display_alias_machine,official_mechanism_code,official_mechanism_label,source_row_count,raw_source_literal_variant_count,department_count,department_names,issue_field_codes,source_row_numbers,edge_semantics,identity_status,human_gate,interpretation_limit
S002PL041,日本野鳥の会やんばる支部、宮古野鳥の会、カンムリワシリサーチ,1,委託,1,1,1,環境部,7,55,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL044,NPO法人おきにゃあわんネットワーク,1,委託,1,1,1,環境部,7,58,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL046,社会福祉法人沖縄県社会福祉協議会,1,委託,10,2,3,こども未来部;保健医療介護部;生活福祉部,1;8;13,60;64;65;71;82;163;191;292;314;317,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL047,沖縄県社会福祉協議会,1,委託,1,1,1,生活福祉部,1,68,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL048,一般社団法人ADI災害研究所,1,委託,1,1,1,生活福祉部,8,72,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL049,特定非営利活動法人介護と福祉の調査機関おきなわ,1,委託,2,1,1,保健医療介護部,1,325;327,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL050,一般社団法人沖縄県社会福祉士会,1,委託,4,1,2,こども未来部;保健医療介護部,1,186;269;291;321,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL051,一般社団法人Kukuru,1,委託,1,1,1,生活福祉部,1,76,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL052,公益社団法人沖縄県看護協会,1,委託,15,1,3,こども未来部;保健医療介護部;生活福祉部,1,77;192;268;288;295;303;304;305;306;307;308;309;310;322;323,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL057,特定非営利活動法人沖縄県障がい者スポーツ協会,1,委託,3,1,1,生活福祉部,1,90;91;92,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL058,社会福祉法人沖縄県身体障害者福祉協会,1,委託,3,2,1,生活福祉部,1,93;99;128,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL059,公益社団法人沖縄県手をつなぐ育成会・一般社団法人沖縄県知的障害者福祉協会共同企業体,1,委託,1,1,1,生活福祉部,1,94,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL060,社会福祉法人若竹福祉会,1,委託,2,2,1,生活福祉部,1;17,95;133,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL062,公益財団法人沖縄県手をつなぐ育成会,1,委託,1,1,1,生活福祉部,1,97,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL063,特定非営利活動法人わくわくの会,1,委託,1,1,1,生活福祉部,1,98,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL064,公益社団法人沖縄県手をつなぐ育成会,1,委託,1,1,1,生活福祉部,1,100,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL065,特定非営利活動法人沖縄県脊髄損傷者協会,1,委託,1,1,1,生活福祉部,1,101,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL066,特定非営利活動法人名護市障がい者関係団体協議会,1,委託,3,1,1,生活福祉部,1,102;106;125,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL067,一般社団法人人文福祉会,1,委託,2,1,1,生活福祉部,1,103;107,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL068,特定非営利活動法人おきなわ障がい者相談支援ネットワーク,1,委託,4,1,1,生活福祉部,1,104;105;108;116,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL071,社会福祉法人沖縄県視覚障害者福祉協会,1,委託,1,1,1,生活福祉部,1,118,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL075,一般社団法人沖縄県聴覚障害者協会,1,委託,1,1,1,生活福祉部,1,117,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL076,一般社団法人沖縄県言語聴覚士会,1,委託,1,1,1,生活福祉部,1,119,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL077,国立大学法人琉球大学,1,委託,1,1,1,生活福祉部,1,120,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL078,社会福祉法人聴力障害者情報文化センター,1,委託,1,1,1,生活福祉部,1,121,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL079,一般社団法人沖縄県精神保健福祉士協会,1,委託,3,1,1,生活福祉部,1,122;129;130,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL080,公益財団法人沖縄県精神保健福祉会連合会,1,委託,1,1,1,生活福祉部,1,123,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL081,一般社団法人沖縄県作業療法士協会,1,委託,2,1,1,生活福祉部,1,124;127,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL082,社会福祉法人残波かりゆし会,1,委託,1,1,1,生活福祉部,1,126,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL083,社会福祉法人名護学院,1,委託,1,1,1,生活福祉部,17,131,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL084,医療法人一灯の会,1,委託,1,1,1,生活福祉部,17,132,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL085,医療法人陽和会,1,委託,1,1,1,生活福祉部,17,134,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL086,社会福祉法人わしの里,1,委託,1,1,1,生活福祉部,17,136,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL087,特定非営利活動法人消費者センター沖縄,1,委託,1,1,1,生活福祉部,18,137,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL088,特定非営利活動法人まちなか研究所わくわく,1,委託,1,1,1,生活福祉部,19,139,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL089,公益社団法人沖縄被害者支援ゆいセンター,1,委託,2,1,2,生活福祉部;警察本部,9,141;600,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL092,特定非営利活動法人侍学園スクオーラ・今人,1,委託,1,1,1,こども未来部,13,145,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL093,特定非営利活動法人サポートセンターゆめさき,1,委託,7,1,2,こども未来部;商工労働部,13;17,146;149;150;360;361;362;363,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL094,労働者協同組合ワーカーズコープ・センター事業団,1,委託,4,1,2,こども未来部;商工労働部,13;17,147;148;358;359,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL103,社会福祉法人袋中園,1,委託,1,1,1,こども未来部,1,164,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL104,特定非営利活動法人おきなわCAPセンター,1,委託,2,2,1,こども未来部,1;13,165;168,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL105,社会福祉法人友興会ノアーズガーデン,1,委託,1,1,1,こども未来部,1,166,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL106,一般社団法人日本児童相談業務評価機関,1,委託,1,1,1,こども未来部,1,167,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL107,認定特定非営利活動法人エンパワメントかながわ,1,委託,1,1,1,こども未来部,13,169,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL111,公立大学法人大阪,1,委託,1,1,1,こども未来部,13,173,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL112,一般社団法人大学コンソーシアム沖縄,1,委託,1,1,1,こども未来部,13,174,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL114,一般社団法人ある,1,委託,1,1,1,こども未来部,1,176,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL116,一般社団法人沖縄県里親会,1,委託,1,1,1,こども未来部,1,179,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL119,一般社団法人沖縄いのちにエールを贈る会,1,委託,1,1,1,こども未来部,2,185,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL121,社会福祉法人日本保育協会,1,委託,1,1,1,こども未来部,1,190,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL122,一般社団法人沖縄県助産師会,1,委託,1,1,1,こども未来部,1,193,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL123,公益社団法人沖縄県小児保健協会,1,委託,1,1,1,保健医療介護部,1,265,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL126,公益財団法人おきなわ女性財団,1,委託,3,1,1,こども未来部,1;12,197;205;206,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL127,公益社団法人沖縄県母子寡婦福祉連合会,1,委託,2,1,1,こども未来部,1,198;201,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL129,NPO法人レインボーハートokinawa,1,委託,1,1,1,こども未来部,10,204,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL131,公益社団法人沖縄看護協会,1,委託,3,1,1,こども未来部,1,208;209;211,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL132,女性を元気にする会,1,委託,1,1,1,こども未来部,12,210,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL133,一般社団法人沖縄県医師会,1,委託,6,2,2,こども未来部;保健医療介護部,1,212;217;222;224;255;272,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL134,更生保護法人がじゅまる沖縄,1,委託,1,1,1,こども未来部,1,213,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL135,NPO法人アンビシャス,1,委託,1,1,1,保健医療介護部,1,252,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL136,一般社団法人おきなわASK,1,委託,1,1,1,保健医療介護部,1,254,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL137,一般社団法人沖縄県医師会ほか7地区医師会,1,委託,1,1,1,保健医療介護部,1,218,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL138,特定非営利活動法人災害医療ACT研究所,1,委託,1,1,1,保健医療介護部,8,219,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL139,公益社団法人地域医療振興協会,1,委託,1,1,1,保健医療介護部,1,221,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL140,一般社団法人沖縄県薬剤師会,1,委託,2,2,1,保健医療介護部,1,225;289,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL141,公益財団法人沖縄県生活衛生営業指導センター,1,委託,1,1,1,保健医療介護部,19,230,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL142,沖縄県薬物乱用防止協会,1,委託,1,1,1,保健医療介護部,9,231,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL143,一般財団法人沖縄県薬剤師会,1,委託,1,1,1,保健医療介護部,1,232,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL144,NPO法人すこやかネット,1,委託,1,1,1,保健医療介護部,7,234,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL145,一般財団法人沖縄美ら島財団,1,委託,1,1,1,土木建築部,4,494,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL147,一般社団法人沖縄県公認心理師協会,1,委託,3,1,2,保健医療介護部;教育庁,1,238;511;512,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL148,一般社団法人日本産業カウンセラー協会沖縄支部,1,委託,1,1,1,保健医療介護部,1,239,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
