repertoire_unit_id,canonical_case_or_event_id,event_or_case_name,action_family,action_family_zh,action_scope,venue_group,venue_group_zh,place,observation_row_count,distinct_entity_count,entity_ids,source_modules,source_refs,review_layers,counting_status,interpretation_limit
RU_43036061BE,R8C05,Ishigaki GSDF-deployment referendum implementation litigation,legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,Ishigaki; Hirae-Omata,4,4,A011;P8E008;P8E009;P8E010,R8_HR014,S137;S138;S139,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_4AFAC859F2,EV2023_PREFECTURAL_PEACE_RALLY,2023 Okinawa prefectural peace mass rally,public_rally,公共集会／动员,event_or_process_action,civic_policy_forum,公共政策论坛,Okinawa,1,1,A108,AEV_HR015,S147,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_4EC12A64CA,R8C01,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,Henoko; Oura Bay;Henoko; Oura Bay; U.S. federal court,18,8,A002;A009;A019;A020;A045;A076;A086;DoD_US,AEV_HR015;R8_HR014,S009;S060;S061;S062;S093;S128;S129,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_5143C6E799,R10R024,AWWA umbrella membership,service_network_membership,服务网络成员关系,function_or_resource_relation,service_charity,服务／慈善场域,Okinawa base-community service field,1,1,X004,R10_HUMAN_RELATION,S041;S055;S072,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_53CCCFF43F,R10R026,AWWA umbrella membership,service_network_membership,服务网络成员关系,function_or_resource_relation,service_charity,服务／慈善场域,Okinawa base-community service field,1,1,X004,R10_HUMAN_RELATION,S041;S055,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_5983C04B25,EV2024_WOMEN_ANTI_VIOLENCE_RALLY,2024 prefectural rally against U.S. military sexual violence,public_rally,公共集会／动员,event_or_process_action,civic_policy_forum,公共政策论坛,Okinawa,1,1,A111,AEV_HR015,S200,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_5E48D9963E,R9C_ISHIGAKI_2018_2024,Ishigaki referendum drive (2018-2019),referendum_process,公投动员／参与,event_or_process_action,electoral_referendum,公投／选举程序,Ishigaki,1,1,A011,AEV_HR015,S018,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_6C6D2501A9,R8C06,Awase tidal-flat landfill public-funds resident litigation (first and second waves),legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,Awase tidal flat; Okinawa City,5,5,A020;A055;P8E011;P8E012;P8E013,R8_HR014,S140;S142;S143,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_736E060EF6,R8C04,Futenma Airfield neighborhood noise damages litigation (2018/2020 joined actions),legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,Futenma; Ginowan,4,4,A053;P8E005;P8E006;P8E007,R8_HR014,S135;S136,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_753228943A,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,council_or_ordinance_gate,议会／条例门槛,event_or_process_action,electoral_referendum,公投／选举程序,Yonaguni,3,1,R9E006,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S005,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_761489D45F,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,signature_direct_request,签名／直接请求,event_or_process_action,electoral_referendum,公投／选举程序,Okinawa Prefecture,9,6,A051;R9E009;R9E010;R9E011;R9E012;R9E015,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S009;R9S012;R9S013;R9S021;R9S030;R9S031,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_855F54F1E0,EV2012_YONAGUNI_OPINION_AD,2012 Yonaguni anti-deployment opinion ad,opinion_ad,意见广告,event_or_process_action,media_public_opinion,媒体／公共意见,Yonaguni,1,1,A015,AEV_HR015,S015,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_9A9D6A44CC,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,Ishigaki,8,4,R9E020;R9E021;R9E022;R9E023,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S015;R9S016;R9S026;R9S027,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_9B777FF547,R9C_NAGO_1997,1997 Nago heliport referendum,signature_direct_request,签名／直接请求,event_or_process_action,electoral_referendum,公投／选举程序,Nago,4,2,R9E001;R9E002,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S001;R9S022,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_A0A5FCEDAD,R10R023,USO Kinser kitchen refresh,service_charity_support,服务／慈善支持,function_or_resource_relation,service_charity,服务／慈善场域,Okinawa base-community service field,1,1,X004,R10_HUMAN_RELATION,S077,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_A1380BBC61,R10R035,Okinawa Youth Council Program NOFO,public_diplomacy_opportunity,公共外交机会公告,function_or_resource_relation,public_diplomacy_program,公共外交项目,Okinawa public-diplomacy field,1,1,X013,R10_HUMAN_RELATION,S056;S082;S083;S084,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_AB98ACA775,R10R017,国际协力 festival 协作,administrative_collaboration,行政／公共活动协作,function_or_resource_relation,civic_policy_forum,公共政策论坛,Okinawa international-cooperation field,1,1,X010,R10_HUMAN_RELATION,S095,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_AD98C6D95A,R8C02,Futenma Replacement Facility Henoko environmental impact assessment procedure,administrative_comment,环评／行政意见,event_or_process_action,legal_administrative_procedure,法律／行政程序,Henoko; Oura Bay,3,3,A004;P8E001;P8E002,R8_HR014,S130;S131;S132,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_ADEE13FC6A,R9C_NAGO_1997,1997 Nago heliport referendum,council_or_ordinance_gate,议会／条例门槛,event_or_process_action,electoral_referendum,公投／选举程序,Nago,2,1,R9E003,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S001,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_B342AC1B7A,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,executive_interpretation,行政解释／后续决定,event_or_process_action,electoral_referendum,公投／选举程序,Yonaguni,2,1,R9E008,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S006,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_B4A88E8601,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,signature_direct_request,签名／直接请求,event_or_process_action,electoral_referendum,公投／选举程序,Ishigaki,4,2,R9E016;R9E017,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S015;R9S023,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_C01F86E7B0,R10R022,OESC 向 USO Okinawa 捐赠,service_charity_support,服务／慈善支持,function_or_resource_relation,service_charity,服务／慈善场域,Okinawa base-community service field,1,1,X007,R10_HUMAN_RELATION,S053,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_D49DAAF555,R9C_NAGO_1997,1997 Nago heliport referendum,referendum_vote_result,投票／结果程序,event_or_process_action,electoral_referendum,公投／选举程序,Nago,2,0,,R9_FORMAL_STAGE,R9S003;R9S022,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_D4D464E6E6,R9C_YONAGUNI_2015,2015 Yonaguni SDF-deployment referendum,referendum_process,公投动员／参与,event_or_process_action,electoral_referendum,公投／选举程序,Yonaguni,1,1,A014,AEV_HR015,S069,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_E0276D4F6C,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,joint_statement,共同声明／署名,event_or_process_action,civic_public_communication,公民公开传播,Henoko; Oura Bay,5,5,A003;A005;A006;A061;A062,AEV_HR015,S003,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_F1505A5635,R8C03,Third Kadena Air Base noise injunction litigation,legal_action,司法／诉讼行动,event_or_process_action,legal_judicial,法院／司法,Kadena; Chatan; Okinawa City,4,4,A052;P8E003;P8E004;P8E005,R8_HR014,S133;S134,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_F3F7754AB3,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,council_or_ordinance_gate,议会／条例门槛,event_or_process_action,electoral_referendum,公投／选举程序,Ishigaki,5,2,R9E018;R9E019,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S014;R9S018;R9S023;R9S024;R9S025,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_FCD38B68C6,R9C_NAGO_1997,1997 Nago heliport referendum,executive_interpretation,行政解释／后续决定,event_or_process_action,electoral_referendum,公投／选举程序,Nago,2,1,R9E004,R9_FORMAL_ROLE;R9_FORMAL_STAGE,R9S002,formal_accepted,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
RU_FF61124D80,R10R027,AWWA umbrella membership,service_network_membership,服务网络成员关系,function_or_resource_relation,service_charity,服务／慈善场域,Okinawa base-community service field,1,1,X004,R10_HUMAN_RELATION,S041;S055;S079,human_reviewed,one_unit_for_figure,"One deduplicated event/case-action-venue unit; not an estimate of real-world frequency, scale, alliance, or causal effect."
