canonical_case_or_event_id,event_or_case_names,source_modules,formal_observation_rows,deduplicated_repertoire_units,action_families,venue_groups,parallel_formal_layers,counting_rule,interpretation_limit
R10R023,USO Kinser kitchen refresh,R10_HUMAN_RELATION,1,1,service_charity_support,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R024,AWWA umbrella membership,R10_HUMAN_RELATION,1,1,service_network_membership,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R025,AWWA umbrella membership,R10_HUMAN_RELATION,1,1,service_network_membership,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R026,AWWA umbrella membership,R10_HUMAN_RELATION,1,1,service_network_membership,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R027,AWWA umbrella membership,R10_HUMAN_RELATION,1,1,service_network_membership,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R035,Okinawa Youth Council Program NOFO,R10_HUMAN_RELATION,1,1,public_diplomacy_opportunity,public_diplomacy_program,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R8C01,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper;Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),AEV_HR015;R8_HR014,18,1,legal_action,legal_judicial,yes,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R8C02,Futenma Replacement Facility Henoko environmental impact assessment procedure,R8_HR014,3,1,administrative_comment,legal_administrative_procedure,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R8C03,Third Kadena Air Base noise injunction litigation,R8_HR014,4,1,legal_action,legal_judicial,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R8C04,Futenma Airfield neighborhood noise damages litigation (2018/2020 joined actions),R8_HR014,4,1,legal_action,legal_judicial,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R8C05,Ishigaki GSDF-deployment referendum implementation litigation,R8_HR014,4,1,legal_action,legal_judicial,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R8C06,Awase tidal-flat landfill public-funds resident litigation (first and second waves),R8_HR014,5,1,legal_action,legal_judicial,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains;Ishigaki referendum drive (2018-2019),AEV_HR015;R9_FORMAL_ROLE;R9_FORMAL_STAGE,18,4,council_or_ordinance_gate;legal_action;referendum_process;signature_direct_request,electoral_referendum;legal_judicial,yes,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R9C_NAGO_1997,1997 Nago city referendum;1997 Nago heliport referendum,AEV_HR015;R9_FORMAL_ROLE;R9_FORMAL_STAGE,11,5,council_or_ordinance_gate;executive_interpretation;referendum_process;referendum_vote_result;signature_direct_request,electoral_referendum,yes,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R9C_PREF_2019,2019 Henoko prefectural referendum;2019 Okinawa Henoko prefectural referendum,AEV_HR015;R9_FORMAL_ROLE;R9_FORMAL_STAGE,16,4,council_or_ordinance_gate;referendum_process;referendum_vote_result;signature_direct_request,electoral_referendum,yes,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum;2015 Yonaguni SDF-deployment referendum,AEV_HR015;R9_FORMAL_ROLE;R9_FORMAL_STAGE,8,4,council_or_ordinance_gate;executive_interpretation;referendum_process;referendum_vote_result,electoral_referendum,yes,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
