actor_id,canonical_name,issue_ids_all,issue_count_all,bridge_classification_v1,review_decision,narrative_eligibility,claim_status,approved_formulation,scope_boundary,review_status,human_reviewer,review_date,decision_source_report,interpretation_limit
A017,沖縄対話プロジェクト,I017;I018;I019,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,以对话活动连接台湾有事、冲绳前线化预防与和平；三个标签主要属于同一预防性框架,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch09_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A018,ノーモア沖縄戦 命どぅ宝の会,I017;I018;I019,3,positioning_bridge,include_with_scope,narrative_with_scope,supported_bounded,持续反战定位连接台湾有事、冲绳／先岛前线化与和平动员；不得推出所有共同参与者关系,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch09_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A020,日本環境法律家連盟（JELF）,I004;I005;I011,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,严格区分案件角色：儒艮案具名原告；泡濑案仅为支持者／正式材料发布者,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch09_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A045,Center for Biological Diversity,I005;I011;I012,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,冲绳儒艮案具名组织原告，把生物多样性争议带入美国司法／国际倡议渠道,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch09_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A049,基地・軍隊を許さない行動する女たちの会,I001;I002;I007,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,以女性人权与军事性暴力／生活安全框架连接反基地和反军事行动；不能压缩成一般反军事 actor,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch09_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A050,沖縄弁護士会,I001;I009;I011,3,event_only_bridge,include_with_scope,narrative_with_scope,supported_bounded,以律师会决议／会长声明连接基地人权、地方自治和法律论证；不是单次事件 actor,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A051,「辺野古」県民投票の会,I003;I009;I010,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,2018–2019 年严格程序桥梁：边野古填海争议→直接请求与县民投票；2019-03-26 已决议解散,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A059,島ぐるみ会議,I001;I003;I009,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,全县 umbrella 把《建白书》、边野古反对、地方组织和自治／自决表达连接；须补全正式名称并与市町村分会分开,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A065,南西諸島ピースネット,I002;I017;I018,3,positioning_bridge,include_with_scope,narrative_with_scope,supported_bounded,2016–2018 可证的先岛／琉球弧反军事化—前线化预防定位；当前持续性不外推,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A066,新外交イニシアティブ（ND）,I001;I009;I011,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,通过政策研究、法律／自治论证和对美／外交传播连接冲绳基地替代方案；不代表冲绳整体,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A067,辺野古土砂搬入反対全国協議会（辺野古土砂全協）,I001;I003;I005,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,土砂搬出地网络把边野古新基地、外来物种／生物多样性和跨县行动连接；正式名称需纠正,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A068,名護市民投票の会,I001;I003;I010,3,mixed_candidate_bridge,candidate_only,research_candidate_only,candidate,1997 公投机制成立，但 registry 名称未获史料支持；须改为正式推進協議会并处理其发展性解散／后继关系,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A069,沖縄ジュゴン環境アセスメント監視団,I003;I004;I005,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,2003–2012 至少可证的项目型环境评估监督：边野古工程程序→儒艮／生物多样性意见与监测,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A070,Veterans for Peace Okinawa,I001;I012;I019,3,mixed_candidate_bridge,include_with_scope,narrative_with_scope,supported_bounded,VFP Ryukyu/Okinawa 国际分会把美国退伍军人和平行动与冲绳反基地诉求连接；规范名称待统一,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
A003,ジュゴンネットワーク沖縄,I004;I005,2,event_only_bridge,exclude_from_narrative,excluded_from_narrative,unsupported,组织身份和持续性得到补强，但当前两边均属同一儒艮／生物多样性生态簇，不构成有解释价值的跨议题 bridge,bridge 只表示有界议题／场域／制度转换；不表示影响力、中心性、稳定联盟或政策效果。,human_checked,project_principal_user,2026-07-19,docs/human_review_return_HR019_bridge_batch10_v1.md,"Bridge means a bounded issue, venue or institutional translation only; it does not measure influence, centrality, stable alliance or policy effect."
