participant_no,candidate_name,origin_guess,actor_class_guess,tier,proposed_decision,review_priority,rationale
45,Budounokihoikuen,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,ぶどうの木保育园，福祉/保育设施声援，非civicactor。
46,East Asian Community Institute,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,东亚共同体研究所本部（东京），与#14冲绳中心区分；本部作声援层，暂不入。
47,Family Home Suzuran,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,照护设施声援署名，非civicactor。
48,Family Home Sansouen,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,照护设施声援署名，非civicactor。
49,Family Home Yamayuri,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,照护设施声援署名，非civicactor。
51,Henoko ni kichi wo Zettai Tsukurasenai Osaka Kodo,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,大阪反边野古行动，本土声援行动组；如后续建本土声援层可升B。
52,Henoko no Umi ni Kichi wo Tsukurasenai Kobe Kodo,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,神户反边野古行动，本土声援行动组；同上可升B。
53,Kyoto Shimin Center,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,京都市民中心声援署名，仅留共同行动表。
54,Myougasan Tennpoji,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,寺院/宗教设施声援署名，非civicactor。
55,Nonoyurihoikuen,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,野々ゆり保育园，福祉/保育设施声援。
56,NPO Active Center Uda,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,本土NPO声援署名，仅留共同行动表。
57,NPO Myogamura,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,茗荷村相关福祉网络声援，非civicactor。
58,NPO Sansouen Kazoku,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,山荘园家族相关福祉设施声援。
59,NPO Warabemura,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,わらべ村相关福祉设施声援。
60,Ohagi Myogamura,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,茗荷村相关设施声援，与#57同一福祉网络。
61,Ohisama Firm Ryudo Shizen Noen,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,自然农园/农场声援署名，非civicactor。
62,Peaceforum-Yamaguchi,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,山口和平论坛声援署名，本土地方组。
63,Social Democratic Party Miyazaki,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,社民党宫崎，政党地方组织声援，非civicactor。
64,Social Welfare Organization SHUKO-GAKUEN,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,福祉法人声援署名，非civicactor。
65,Stop! Henoko Reclamation Campaign,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,本土反边野古填海行动，声援行动组；如建本土声援层可升B。
66,STOP! Henoko Shinkichikensetsu Osaka Action,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,大阪反边野古新基地行动，本土声援行动组；同上可升B。
67,Straight Inc.,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,企业署名者，功能存疑，仅留共同行动表。
69,Yokaichi Megumi Nursery School,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,八日市めぐみ保育园，福祉/保育设施声援。
70,Yuntaku Takae,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,ゆんたく高江相关声援，若确认为冲绳高江本地组可复评升A。
71,"ZENKO, National Assembly for Peace and Democracy",japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,全国和平民主大会，全国性运动网络；作背景声援节点，如R5需可升B。
