source_id,existing_source_id,case_id,source_tier,source_type,title,year,url,evidence_level,review_status,disposition,supports,interpretation_limit,notes
R9S019,,R9C_ISHIGAKI_2018_2024,secondary_local,local_tv_news,石垣市住民投票を求める会が解散,2024,https://www.otv.co.jp/okitive/news/post/00012171/index.html,E2,needs_human_review,usable_with_limit,最高裁后终局与组织解散报道,最高裁程序措辞与QAB冲突；组织沿革需历史材料。,
R9S020,S019,R9C_ISHIGAKI_2018_2024,secondary_local,local_news,石垣市住民投票 署名活動で法定数超え,2018,https://www.yaeyama-nippo.co.jp/archives/4232,E2,qa_verified,usable_with_limit,签名与A011公开组织活动,地方新闻只支持公开活动，不闭合成员与诉讼当事人。,
R9S021,,R9C_PREF_2019,structured_secondary,foundation_lecture_record,辺野古県民投票の民意とこれから・元山仁士郎講座記録,2021,https://www.ichikawa-fusae.or.jp/20210313-1/,E3,qa_verified,usable_with_limit,2018-04-16组织成立日期,后续讲座记录；组织与请求代表角色优先使用官方R9S030/R9S031。,
R9S022,,R9C_NAGO_1997,primary_official,municipal_result_xls,1997年12月21日名護市民投票結果,1997,https://www.city.nago.okinawa.jp/kurashi/2018071901216/file_contents/19971221simintouhyou.xls,E4,qa_verified,accepted,完整票数、选举人、投票者、有效无效票和投票率,核心总计一致；不引用有90票差异的当日投票小计。,
R9S023,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_council_result,令和元年第1回石垣市議会臨時会提出議案と議決結果,2019,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1310.html,E4,qa_verified,accepted,第一次条例案于2019-02-01否决,,
R9S024,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_council_result,令和元年第4回石垣市議会定例会提出議案と議決結果,2019,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1314.html,E4,qa_verified,accepted,2019-06-17議員提出議案第2号及否决,,
R9S025,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_council_agenda,令和3年第5回石垣市議会定例会議事日程,2021,https://www.city.ishigaki.okinawa.jp/material/files/group/33/r3-6-28gijinittei.pdf,E4,qa_verified,accepted,2021-06-28自治基本条例修正议案与议决,,
R9S026,,R9C_ISHIGAKI_2018_2024,primary_official,court_preservation_list,福岡高等裁判所特別保存事件一覧,2025,https://www.courts.go.jp/fukuoka-h/vc-files/fukuoka-h/reiwa7.pdf,E4,qa_verified,accepted,令和2年行コ3号与令和5年行コ6号案号,保存表确认案号，不能替代判决主文。,
R9S027,,R9C_ISHIGAKI_2018_2024,primary_litigation_archive,court_judgment_copy,令和5年行コ第6号判決,2024,https://www.call4.jp/file/pdf/202407/5f499d29696072751d0d60cc3a9077f5.pdf,E3,human_checked,usable_with_limit,第二诉讼链高裁判决与前审信息,CALL4托管而非法院官网；需官方裁判书。,
R9S028,,R9C_ISHIGAKI_2018_2024,secondary_local,local_tv_news,石垣住民投票訴訟 最高裁で敗訴確定,2024,https://www.qab.co.jp/news/20241007226830.html,E2,human_checked,usable_with_limit,2024-09-26最高裁决定后败诉确定,不据此确定棄却或不受理。,
R9S029,,R9C_ISHIGAKI_2018_2024,primary_positioned,organization_case_profile,石垣市住民投票を求める裁判 CALL4案件页,2024,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=action,E3,human_checked,usable_with_limit,组织自述成立、诉讼支持与最高裁通知日期,组织侧材料不等于法院确认组织原告身份。,
R9S030,,R9C_PREF_2019,primary_official,prefectural_assembly_committee_record,沖縄県議会軍特委員会記録 県民投票条例請求代表者参考人,2018,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/021/212/h301002gun-1.pdf,E4,qa_verified,accepted,A051、元山、安里、中村的组织身份与请求代表角色,,
R9S031,,R9C_PREF_2019,primary_official,official_gazette,沖縄県公報号外第17号 条例制定請求代表者証明書,2018,https://www.pref.okinawa.jp/kenkouhou/H30/5gatsu/180523gogai17.pdf,E4,qa_verified,accepted,33名条例制定请求代表者名单,名单不是组织成员名册。,
R9S032,,R9C_YONAGUNI_2015,secondary_local,local_tv_news,与那国住民投票 配備賛成が過半数,2015,https://www.qab.co.jp/news/2015022363334.html,E2,qa_verified,usable_with_limit,A014事件期名称与上地国生委员长,只支持事件期公开身份，不支持成立、法人性和持续性。,
R9S033,S139,R9C_ISHIGAKI_2018_2024,unavailable_historical_file,organization_pdf,旧ishigaki-tohyo.com诉讼意见PDF,2020,https://ishigaki-tohyo.com/wp-content/uploads/2022/07/%E5%9C%A8%E5%A4%96%E6%97%A5%E6%9C%AC%E4%BA%BA%E5%9B%BD%E6%B0%91%E5%AF%A9%E6%9F%BB%E6%A8%A9%E7%A2%BA%E8%AA%8D%E7%AD%89%E8%AB%8B%E6%B1%82%E4%BA%8B%E4%BB%B6%E6%9C%80%E9%AB%98%E8%A3%81%E5%88%A4%E6%89%80%E5%A4%A7%E6%B3%95%E5%BB%B7%E5%88%A4%E6%B1%BA%E3%82%92%E8%B8%8F%E3%81%BE%E3%81%88%E3%81%9F-1.pdf,E0,qa_rejected,rejected,恢复历史副本前不支持正式R9事实,当前404／归档失败。,
R9S034,S015,R9C_YONAGUNI_2015,secondary_positioned,party_news,与那国に自衛隊いらない 配備反対の意見広告呼びかけ,2012,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,E2,needs_human_review,usable_with_limit,A015意见广告动员、名称与共同代表线索,单一政党媒体；需八重山报纸、广告实物或组织材料。,
R9S035,,R9C_ISHIGAKI_2018_2024,primary_litigation_archive,court_judgment_copy,那覇地方裁判所令和3年（行ウ）第5号判決,2023,https://www.call4.jp/file/pdf/202407/654c30e79b09c673e0855664f9069578.pdf,E3,human_checked,usable_with_limit,2023-05-23一审判决、三名自然人原告、全部却下及诉讼费用,CALL4托管的裁判书影印，不升为法院官网E4。,"HR-017 online review, 2026-07-20."
R9S036,,R9C_ISHIGAKI_2018_2024,primary_litigation_archive,case_material_index,石垣市住民投票を求める裁判 CALL4訴訟資料一覧,2021-2024,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=material,E3,human_checked,usable_with_limit,诉状材料所载2021-04-26第二诉讼起诉日,案件材料索引不是法院官网；不据此把A011写成组织原告。,"HR-017 online review, 2026-07-20."
R9S037,,R9C_ISHIGAKI_2018_2024,secondary_academic,research_article,自治総研 47巻515号 pp.40–（J-STAGE PDF）,2021,https://www.jstage.jst.go.jp/article/jichisoken/47/515/47_40/_pdf,E3,human_checked,usable_with_limit,2021-04-26第二诉讼起诉日与程序背景交叉确认,研究文献用于日期交叉确认，不替代法院裁判书。,"HR-017 online review, 2026-07-20."
