r9_source_id,existing_source_id,case_id,source_tier,source_type,title,year,url,supports,source_locator,evidence_level,review_status,archive_status,notes
R9S012,,R9C_PREF_2019,primary_official,prefectural_chronology,辺野古新基地建設問題の経緯,2026,https://www.pref.okinawa.jp/heiwakichi/futenma/1017409/1017427.html,2019投票结果与结果通知,2019年2–3月 entries,E4,ai_seeded,online_only_not_in_main_archive,県官方现行年表。
R9S013,,R9C_PREF_2019,primary_official,assembly_record,沖縄県議会会議录・县民投票条例直接请求,2018,https://www2.pref.okinawa.jp/oki/Gikairep1.nsf/GoZentai/20180703000000,法定23171、有效92848签名与直接请求性质,県民投票答弁 paragraph,E4,ai_seeded,online_only_not_in_main_archive,官方议会记录。
R9S014,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_notice,陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議結果,2019,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,2019年2月议会审议结果与官方PDF入口,page title and attached PDF,E4,ai_seeded,online_only_not_in_main_archive,页面只概括，PDF需人工记录票数。
R9S015,,R9C_ISHIGAKI_2018_2024,primary_official,court_judgment,石垣市住民投票実施義務付け等請求事件判決,2020,https://www.courts.go.jp/app/files/hanrei_jp/731/089731_hanrei.pdf,14263有效签名、两次条例否决、义务付け诉讼与驳回理由,PDF pp.1–4 and 16,E4,ai_seeded,online_only_not_in_main_archive,那霸地裁；主文为诉均却下。
R9S016,,R9C_ISHIGAKI_2018_2024,primary_official,court_admin_record,那覇地裁 特別保存事件一覧（令和3年度完結分）,2024,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/R3kanketubunitiranhyou.pdf,令和1年行ウ14/15、案件名、2020-08-27终局,PDF p.1 row 2,E4,ai_seeded,online_only_not_in_main_archive,补判决日期与案号。
R9S017,S051,R9C_ISHIGAKI_2018_2024,invalid_current_capture,organization_site,石垣市住民投票を求める会 旧官网URL,2024,https://ishigaki-tohyo.com/,原计划支持组织历程与解散,current live page and archived raw.html,E0,needs_human_review,archive_mismatch,域名现为无关旅游站；2026-07-11归档亦为无关内容，不能作为当前E4证据。需Web Archive/原始页面。
R9S018,,R9C_ISHIGAKI_2018_2024,primary_official,municipal_review_material,石垣市自治基本条例 これまでの見直し・改正,2025,https://www.city.ishigaki.okinawa.jp/material/files/group/9/r71zitikihon_siryou1-3.pdf,2021年删除第27/28条住民投票规定,PDF p.2,E4,ai_seeded,online_only_not_in_main_archive,石垣市官方回顾资料。
R9S019,,R9C_ISHIGAKI_2018_2024,secondary_local,local_tv_news,石垣市住民投票を求める会が解散,2024,https://www.otv.co.jp/okitive/news/post/00012171/index.html,最高裁2024年9月终局与组织解散,article body,E3,needs_human_review,online_only_not_in_main_archive,最高裁决定书未在线取得，终局日期/案号需人工核对。
R9S020,S019,R9C_ISHIGAKI_2018_2024,secondary_local,local_news,石垣市住民投票 署名活動で法定数超え,2018,https://www.yaeyama-nippo.co.jp/archives/4232,签名与直接请求过程,article body,E3,ai_seeded,existing_archive,由法院判决R9S015交叉支持。
R9S021,,R9C_PREF_2019,structured_secondary,foundation_lecture_record,「辺野古」県民投票の民意とこれから・元山仁士郎讲座记录,2021,https://www.ichikawa-fusae.or.jp/20210313-1/,2018-04-16组织成立及元山代表角色,lecture summary,E3,needs_human_review,online_only_not_in_main_archive,非当时组织一手页面；用于发起组织角色线索。
