change_note_id,work_package,case_id,topic,changed_on,original_assumption,failure_reason,revised_approach,affected_anchor_ids,source_receipt_ids,effect_on_numbers,effect_on_claims,principal_decision_requirement,status,review_status,package_scope
W2B-CN003,W2-B,USO,center_location_terminology,,Use every listed USO location as a homogeneous center.,"The impact report alternates between centers and locations, while the Okinawa directory lists administrative and specialized presences alongside operating centers.",Use center counts only where the source says center; use location/presence for directory entries.,W2B-A010;W2B-A015;W2B-A016;W2B-A020,W2B-SR004;W2B-SR008;W2B-SR009;W2B-SR010,,Makes denominator choice explicit and blocks equal-site budget allocation.,,applied_in_research_ledger,ai_seeded,research_only
W2B-CN004,W2-B,USO,okinawa_six_vs_eight,,The official pages conflict between six and eight Okinawa centers.,The April 2025 official story names six centers; the current homepage lists those six plus Kadena AMC Terminal and the Okinawa Area Office.,Resolve as six named operating centers and eight listed presences. Keep the terminal and area office as different site types.,W2B-A016;W2B-A020,W2B-SR008;W2B-SR009,,The apparent conflict becomes a typed hierarchy instead of an unresolved count error.,,applied_in_research_ledger,ai_seeded,research_only
W2B-CN005,W2-B,USO_DOD_AWARD,federal_amount_layers,,Treat the award page's visible money fields as one amount.,The overview reports USD 72m total obligation/total funding and USD 41.21246329m total_account_obligation/transaction_obligated_amount; the transaction history contains three USD 24m award actions.,Retain both field families with exact names. Use USD 72m for the award-level cumulative obligation and flag the account-linked field for semantic follow-up.,W2B-A024;W2B-A025;W2B-A029;W2B-A030,W2B-SR005;W2B-SR006,,Supports a precise award-level statement without calling either field cash spent or Okinawa funding.,,applied_with_followup,ai_seeded,research_only
W2B-CN006,W2-B,USO_DOD_AWARD,national_to_okinawa_allocation,,Use the national award amount to estimate a USO Okinawa budget.,"The award overview, transaction history and public subaward records expose no Japan/Okinawa allocation field; official USO pages confirm the operating hierarchy but not a financial distribution.",End the monetary chain at the national prime award and display the regional/site allocation layer as missing.,W2B-A024;W2B-A025;W2B-A027;W2B-A028;W2B-A031;W2B-A032,W2B-SR005;W2B-SR006;W2B-SR007;W2B-SR008;W2B-SR010,,Turns the missing middle into a documented visibility result and prohibits a synthetic local budget.,,applied_in_research_ledger,ai_seeded,research_only
W2B-CN007,W2-B,USO_DOD_AWARD,subaward_zero_boundary,,Interpret zero public subawards as zero downstream distribution.,"USAspending reports no subaward, but internal regional allocation, interoffice transfer, procurement or reimbursement need not appear as a subaward.",Write 'no reported subaward in the bounded public records inspected' and keep internal allocation unobserved.,W2B-A028;W2B-A032,W2B-SR005;W2B-SR007,,Preserves the negative-search result without turning it into an organizational-flow conclusion.,,applied_in_research_ledger,ai_seeded,research_only
W2B-CN008,W2-B,USO,Japan_Okinawa_area_distinction,,Collapse USO Japan and USO Okinawa into a single Japan-level operating unit.,Official USO maintains separate Japan and Okinawa sites/area offices under the Indo-Pacific regional structure.,Represent USO Japan and USO Okinawa as sibling operating areas for hierarchy analysis; neither is asserted to be a separate legal entity.,W2B-A014;W2B-A015;W2B-A016;W2B-A020,W2B-SR004;W2B-SR008;W2B-SR010;W2B-SR011,,Supports the regional hierarchy while avoiding actor proliferation or a false legal-entity claim.,,applied_in_research_ledger,ai_seeded,research_only
W2C-CN001,W2-C,,population denominator,2026-08-22,Use roughly 45k-57k as a narrow current sensitivity range.,"The band combines different years and category systems: prefectural totals vary historically, post-2011 combined counts were not provided, and the undated Marine Corps component subtotal is not a closed total.","Retain historical and scope-specific population rows separately; do not publish a current per-capita result until one same-year, same-definition denominator is closed.",,,PD002 is ineligible; PD009 records the missing current denominator; W2C-A017 is an explicit null anchor.,,yes; only if the principal later approves a new denominator source and definition,applied_research_only,ai_seeded,research_only
W2C-CN002,W2-C,,broad U.S. population statement,2026-08-22,"Treat the official 'approaches 80,000' statement as the broad upper value of a population interval.","The same undated page names rounded components totaling about 57,100 and does not identify the residual to 80,000.","Store 80,000 and each named component separately; keep the 57,100 arithmetic subtotal as a diagnostic, not a population estimate.",,,"W2C-A002-A007 and PD003-PD004 separate broad text, components and arithmetic.",,no,applied_research_only,ai_seeded,research_only
W2C-CN003,W2-C,,service-population comparators,2026-08-22,Use installation and service-provider counts to fill the missing islandwide denominator.,"USNH beneficiaries, Camp Butler population served, Team Kadena and dispersed USAG Okinawa use different categories, have no common observation date and can overlap.",Treat each as a scope-specific service or installation scale marker; never sum across them without an explicit crosswalk.,,,W2C-A008-A016 and PD005-PD008 remain case-specific and overlap-flagged.,,no,applied_research_only,ai_seeded,research_only
W2C-CN004,W2-C,,Dugong case monetary records,2026-08-22,"Merge Earthjustice USD 276,345.50 and Treasury USD 280,000 as one rounded case payment.","They are different official record types with a USD 3,654.50 difference and no source explaining the accounting relationship.",Preserve both facts and a derived unreconciled-difference row; make no fees/costs/interest/timing explanation.,,,W2C-A020-A022 remain separate and cannot generate a simple funding edge.,,yes if later evidence proposes a reconciliation,applied_research_only,ai_seeded,research_only
W2C-CN005,W2-C,,FRF cumulative spending,2026-08-22,Use JPY 648.3bn as a Ministry-confirmed cumulative expenditure anchor.,In the official transcript the figure appears in the reporter's question; the minister's answer confirms only the December 2019 JPY 930bn rough estimate.,Classify JPY 648.3bn as a reporter premise pending closure against an official spending table.,,,W2C-A041 is not eligible as confirmed expenditure and cannot support a spent/estimate ratio.,,yes if an official cumulative table is later found,applied_research_only,ai_seeded,research_only
W2C-CN006,W2-C,,FRF system scale,2026-08-22,Treat JPY 930bn as budget or expenditure and compare it directly with NGO or litigation amounts.,The official language is a December 2019 rough total estimate that may change; annual budget basis and contract basis are separate accounting views.,"Keep rough estimate, component estimates, annual budget lines and contract-basis lines distinct; use them only as system-scale context.",,,W2C-A030-A045 carry separate amount semantics and explicit prohibited inferences.,,no,applied_research_only,ai_seeded,research_only
W2C-CN007,W2-C,,accountability sampling,2026-08-22,Interpret the 13 positive-entry episodes and underlying_change=yes 0 as the distribution of all accountability action outcomes.,ENTRY and RECORD were selection conditions; four episodes remain event-fact candidates; no matched non-entry cases or systematic project-change counterexample search has been completed.,"Freeze three frames: 13 positive entries, matched non-entry search, and project-change counterexample search; recode results on parallel axes before inference.",,,accountability_selection_frame_v1.csv contains three research-only USN00-style frames; no success-rate or universal result-ceiling claim is eligible.,,yes after W2-C populates the two search frames,applied_research_only,ai_seeded,research_only
W2C-CN008,W2-C,,source archiving,2026-08-22,Require every official webpage to download locally before it can be recorded.,The USMC and USNH official pages were readable and locatable through the web reader but returned HTTP 403 to direct archive requests.,"Record exact URL, text locator, retrieval date and blocked archive status; do not fabricate a local artifact or downgrade the text to an unofficial source.",,,W2C-SR004 and W2C-SR008 have blank artifact/hash fields and explicit blocked_403_web_observed status.,,no,applied_research_only,ai_seeded,research_only
