selection_frame_id,actor_id,actor_name,analytical_group,selection_basis,membership_status,package_scope,frontend_eligibility,central_writeback
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A011,石垣市住民投票を求める会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A016,与那国島の明るい未来を願うイソバの会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A017,沖縄対話プロジェクト,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A018,ノーモア沖縄戦 命どぅ宝の会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A020,日本環境法律家連盟（JELF）,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A049,基地・軍隊を許さない行動する女たちの会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A051,「辺野古」県民投票の会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A052,嘉手納基地爆音差止訴訟原告団,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A053,普天間基地爆音訴訟団,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A066,新外交イニシアティブ（ND）,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A086,Turtle Island Restoration Network,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A087,NPO法人世界版「平和の礎」を提案する会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A089,沖縄県教職員組合,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A090,沖縄県高等学校障害児学校教職員組合,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A092,沖縄県労働組合総連合,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A093,全日本自治団体労働組合沖縄県本部,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A095,止めよう「自衛隊配備」宮古郡民の会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A096,宮古平和運動連絡協議会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A097,宮古島環境クラブ,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A100,ミサイル配備から命を守るうるま市民の会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A101,沖縄・琉球弧の声を届ける会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A102,全国公害弁護団連絡会議,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A103,全国基地爆音訴訟原告団連絡会議,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A104,普天間基地爆音訴訟弁護団,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A105,日本YWCA,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A106,辺野古の海を土砂で埋めるな！首都圏連絡会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A107,沖縄YWCA,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A108,沖縄を再び戦場にさせない県民の会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A109,第4次嘉手納基地爆音差止訴訟弁護団,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A110,辺野古に基地を絶対つくらせない大阪行動,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A111,沖縄県女性団体連絡協議会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A112,宮古島地下水研究会,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A114,全日本港湾労働組合沖縄地方本部,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-ECOLOGY-S0-A1R-2026-08-22,A115,新日本婦人の会沖縄県本部,A1R_accountability_reviewed_anchor,post-freeze H2 actor with at least one human-reviewed accountability anchor,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X001,USO Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X006,Kadena Officers' Spouses' Club KOSC,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X007,Okinawa Enlisted Spouses' Club (OESC),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X008,American Red Cross Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X009,Navy-Marine Corps Relief Society Okinawa,S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X016,Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,X017,Army Community Group of Okinawa (ACGO),S0_service,frozen service comparison group,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A001,Okinawa Environmental Justice Project,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A003,ジュゴンネットワーク沖縄,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A004,日本自然保護協会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A005,WWFジャパン,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A006,グリーンピース・ジャパン,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A007,ピースボート,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A009,Earthjustice,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A010,石垣島に軍事基地をつくらせない市民連絡会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A012,宮古島いのちの水を守ろう！,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A013,ミサイル基地いらない宮古島住民連絡会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A014,住民投票を成功させるための実行委員会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A015,与那国自衛隊配備反対意見広告実行委員会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A021,国際環境NGO FoE Japan,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A022,NPO法人 ラムサール・ネットワーク日本,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A023,美ら海にもやんばるにも基地はいらない市民の会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A024,辺野古リレー,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A025,辺野古への基地建設を許さない実行委員会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A027,公共事業改革市民会議,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A028,沖縄のための日米市民ネットワーク（JUCON）,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A029,沖縄・生物多様性市民ネットワーク,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A047,沖縄平和運動センター,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A048,沖縄一坪反戦地主会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A050,沖縄弁護士会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A056,沖縄環境ネットワーク,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A057,沖縄意見広告運動,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A058,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A060,高江のヘリパッドいらない住民の会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A063,一坪反戦地主会関東ブロック,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A065,南西諸島ピースネット,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A067,辺野古土砂搬出反対全国連絡協議会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A069,沖縄ジュゴン環境アセスメント監視団,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A071,沖縄から基地をなくし世界の平和を求める市民連絡会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
USF-W2D-SENSITIVITY-S0-A1C-2026-08-22,A113,宜野湾ちゅら水会,A1C_accountability_candidate_anchor,post-freeze H2 actor with candidate-only accountability anchors,frozen_member,research_only,not_frontend_ready,no
