candidate_source_id,case_id,title,source_owner,source_type,url,primary_or_secondary,evidence_level,used_for,review_status,notes
R8S11,R8C04,「普天間基地爆音訴訟団」のホームページができました,沖縄合同法律事務所,formal_counsel_material,https://okinawagodo.org/blog/1230/,primary_organization,E4,A053 formal name plaintiff-group identity filing date and counsel-secretariat role,new_candidate,"Does not fully crosswalk both official joined case numbers."
R8S12,R8C05,石垣市住民投票実施義務付け等請求事件判決,日本裁判所,court_opinion,https://www.courts.go.jp/app/files/hanrei_jp/731/089731_hanrei.pdf,primary,E4,claims plaintiff category ordinance text and dismissal,new_candidate,"Naha District Court judgment dated 2020-08-27; official PDF anonymizes plaintiffs."
R8S13,R8C05,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果,石垣市,official_municipal_record,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,primary,E4,ordinance request and council result,new_candidate,"Official city page links the deliberation result."
R8S14,R8C05,在外日本人国民審査権確認等請求事件最高裁判決を踏まえた原告ら代理人の意見,石垣市住民投票を求める会 / plaintiffs counsel,formal_litigation_material,https://ishigaki-tohyo.com/wp-content/uploads/2022/07/%E5%9C%A8%E5%A4%96%E6%97%A5%E6%9C%AC%E4%BA%BA%E5%9B%BD%E6%B0%91%E5%AF%A9%E6%9F%BB%E6%A8%A9%E7%A2%BA%E8%AA%8D%E7%AD%89%E8%AB%8B%E6%B1%82%E4%BA%8B%E4%BB%B6%E6%9C%80%E9%AB%98%E8%A3%81%E5%88%A4%E6%89%80%E5%A4%A7%E6%B3%95%E5%BB%B7%E5%88%A4%E6%B1%BA%E3%82%92%E8%B8%8F%E3%81%BE%E3%81%88%E3%81%9F-1.pdf,primary_organization,E4,counsel role and later status-confirmation claims,new_candidate,"Related later litigation phase; do not substitute for official 2020 judgment."
R8S15,R8C06,泡瀬干潟埋立公金支出差止等請求事件判決,日本裁判所,court_opinion,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37115.pdf,primary,E4,first-wave parties procedure public-finance and environmental claims outcome,new_candidate,"Official 200-page judgment."
R8S16,R8C06,特別保存に付した事件 平成29年度完結分,日本裁判所那覇地方裁判所,official_case_register,https://www.courts.go.jp/naha/vc-files/naha/2024/chisai/minji/tokubetuhozon/H29kanketubunitiranhyou.pdf,primary,E4,second-wave case numbers title and completion date,new_candidate,"Lists Heisei 23 (gyo-u) 17/18 as second Awase public-expenditure injunction case."
R8S17,R8C06,第2次泡瀬干潟埋立住民訴訟の上告棄却に関する原告と弁護団の声明,JELF hosting formal plaintiffs/counsel statement,formal_litigation_material,https://www.jelf-justice.org/?p=1114,primary_organization,E4,second-wave claimant and counsel roles appellate and Supreme Court outcomes,new_candidate,"Use as litigant-side formal record; outcome dates can be checked against court register."
R8S18,R8C06,平成19年度沖縄県訟務年報,沖縄県,official_litigation_report,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/016/473/syoumu_nenpou_h19.pdf,primary,E4,first-wave case numbers defendants and pending status,new_candidate,"Official prefectural litigation annual report."
R8L01,R8C03,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,QAB,local_news,https://www.qab.co.jp/news/2017022388152.html,secondary,E2,discovery and date cross-check,existing_main_source_S026,"Not used to raise evidence above E2 in this package."
R8L02,R8C04,普天間爆音訴訟 第二次 那覇地裁判決,QAB,local_news,https://www.qab.co.jp/news/2016111785307.html,secondary,E2,discovery and chronology,existing_main_source_S027,"Not used as primary proof."
R8L03,R8C06,第2次泡瀬干潟埋め立て訴訟 那覇地裁判決,琉球新報,local_news,https://ryukyushimpo.jp/news/prentry-239394.html,secondary,E2,discovery and chronology,existing_main_source_S030,"Not used as primary proof."
