claim_id,report_locator,metric_group,reported_value,verified_value,numeric_check_status,source_of_truth
RCA046,L130;P057,election,"{""endorsement"":4,""issue"":4,""meeting"":2,""observation"":5,""request"":4,""rows"":19}","{""endorsement"":4,""issue"":4,""meeting"":2,""observation"":5,""request"":4,""rows"":19}",match,data/interim/33_r09_election_civic_events_v1.csv;outputs/R09_election_civic_interface_v1/
RCA047,L132;P058,pathways,"{""facts"":71,""seeds"":4}","{""facts"":71,""seeds"":4}",match,data/interim/26_actor_event_venue_target_entry_modes_v0.csv;outputs/R06_R07_R11_pathways_v1/analytical_seeds_v0.csv;outputs/R05_R07_heterogeneous_repertoire_v1/cross_case_sequence_v1.csv
RCA048,L134;P059,legal,"{""cases"":6,""provisional_roles"":14,""registry_roles"":13,""roles"":27}","{""cases"":6,""provisional_roles"":14,""registry_roles"":13,""roles"":27}",match,data/interim/17_legal_policy_procedure_cases_v0.csv;data/interim/18_legal_policy_actor_roles_v0.csv
RCA050,L140;P062,r10_universe,"{""departments"":15,""issue_fields"":19,""machine_display_aliases"":365,""mechanism_c1_c4_rows"":469,""mechanism_c1_c4_share_tenths"":761,""mechanisms"":10,""partner_literals"":390,""pdf_pages"":86,""phase1_adjacent_fields_10_11_rows"":19,""phase1_adjacent_fields_10_11_share_tenths"":31,""source_rows"":616,""top_five_department_rows"":443,""top_five_department_share_tenths"":719}","{""departments"":15,""issue_fields"":19,""machine_display_aliases"":365,""mechanism_c1_c4_rows"":469,""mechanism_c1_c4_share_tenths"":761,""mechanisms"":10,""partner_literals"":390,""pdf_pages"":86,""phase1_adjacent_fields_10_11_rows"":19,""phase1_adjacent_fields_10_11_share_tenths"":31,""source_rows"":616,""top_five_department_rows"":443,""top_five_department_share_tenths"":719}",match,outputs/R10_official_collaboration_universe_v1/official_collaboration_source_universe_v1.csv;outputs/R10_official_collaboration_universe_v1/descriptive_statistics_v1.csv;outputs/R10_official_collaboration_universe_v1/official_resource_type_summary_v1.csv;outputs/R10_official_collaboration_universe_v1/department_resource_summary_v1.csv
RCA052,L144;P064,r10,"{""amount_observations"":26,""function_observations"":43,""human_checked_or_revised_relations"":9,""mechanism_figure_admin_layer"":16,""mechanism_figure_lower_layer"":19,""project_cost_observations"":14,""relation_observations"":35,""s002_pdf_pages"":86,""s002_selected_rows"":10,""s002_universe_rows"":616,""s099_explicit_public_commission_rows"":3,""s099_represented_public_commission_rows"":3}","{""amount_observations"":26,""function_observations"":43,""human_checked_or_revised_relations"":9,""mechanism_figure_admin_layer"":16,""mechanism_figure_lower_layer"":19,""project_cost_observations"":14,""relation_observations"":35,""s002_pdf_pages"":86,""s002_selected_rows"":10,""s002_universe_rows"":616,""s099_explicit_public_commission_rows"":3,""s099_represented_public_commission_rows"":3}",match,outputs/R10_administrative_collaboration_v0/figure_metrics_v1.csv;outputs/R10_administrative_collaboration_v0/HR018_relation_review_v0.csv;outputs/R10_administrative_collaboration_v0/HR018_source_prerequisites_v0.csv;outputs/R10_completeness_audit_v1/source_universe_coverage_v1.csv;outputs/R10_completeness_audit_v1/s002_universe_index_v1.csv;outputs/R10_completeness_audit_v1/s099_program_cost_crosswalk_v1.csv
RCA065,L166;P075,r11,"{""administrative"":1,""advocacy"":30,""charity"":2,""legal"":5,""public_diplomacy"":1,""rows"":44,""service"":5}","{""administrative"":1,""advocacy"":30,""charity"":2,""legal"":5,""public_diplomacy"":1,""rows"":44,""service"":5}",match,outputs/R06_R07_R11_pathways_v1/r11_external_entry_matrix_v0.csv
RCA066,L170;P077,source_types,"{""court_record"":12,""local_news"":39,""local_official"":16,""official_legislative_record"":15,""organization_site"":45,""prefectural_official"":11,""sources"":295}","{""court_record"":12,""local_news"":39,""local_official"":16,""official_legislative_record"":15,""organization_site"":45,""prefectural_official"":11,""sources"":295}",match,data/interim/05_source_log_initial_v0.csv
RCA067,L172;P078,place_counts,"{""P001_Okinawa"":42,""P002_Henoko"":45,""P003_Oura"":6,""P011_Yonaguni"":6,""relations"":129}","{""P001_Okinawa"":42,""P002_Henoko"":45,""P003_Oura"":6,""P011_Yonaguni"":6,""relations"":129}",match,data/interim/08_actor_place_edges_initial_v0.csv
RCA068,L174;P079,source_time,"{""1972_1997"":4,""since_2020"":185,""sources"":295}","{""1972_1997"":4,""since_2020"":185,""sources"":295}",match,data/interim/05_source_log_initial_v0.csv
RCA069,L174;P079,review_counts,"{""actor_human"":26,""actors"":118,""edge_human"":59,""edges"":222}","{""actor_human"":26,""actors"":118,""edge_human"":59,""edges"":222}",match,data/interim/01_actor_registry_initial_v0.csv;data/interim/07_actor_issue_edges_initial_v0.csv
RCA071,L178;P081,archive,"{""archived_or_manual"":267,""failed"":26,""not_in_manifest"":0,""skipped"":2,""sources"":295}","{""archived_or_manual"":267,""failed"":26,""not_in_manifest"":0,""skipped"":2,""sources"":295}",match,source_docs/source_archive/source_archive_manifest.csv;data/interim/05_source_log_initial_v0.csv
RCA077,L212;P095,heterogeneous,"{""actions"":15,""input_rows"":148,""units"":39,""venues"":9}","{""actions"":15,""input_rows"":148,""units"":39,""venues"":9}",match,outputs/R05_R07_heterogeneous_repertoire_v1/input_layer_audit_v1.csv;outputs/R05_R07_heterogeneous_repertoire_v1/repertoire_event_action_venue_units_v1.csv
