receipt_id,upstream_source_ref,title,publisher,source_type,url,publication_date,document_coverage_period,exact_locator,supports,source_relationship,evidence_level,source_review_status,archive_status,local_path,sha256,retrieval_date,source_limit,package_scope,frontend_eligibility,central_writeback
W2E-NR05S001,NR05S001,政策科学・国際関係論専攻における社会学的フィールドワークの可能性,琉球大学法文学部,academic_course_fieldwork_article,https://u-ryukyu.repo.nii.ac.jp/record/2002381/files/No1p109.pdf,1998,1996 fieldwork; 1998 publication,"printed pp.132-133 / PDF pp.24-25, section 3「沖縄のNGO」",Contemporaneous interpretive baseline on perceived NGO capacity and intermediary gap.,secondary,E2,ai_seeded,online_pdf_read,,,2026-07-20,Instructor-edited student/course fieldwork; not a prefecture-wide census or neutral prevalence estimate.,research_only,not_frontend_ready,no
W2E-NR05S002,NR05S002,NPO法人の累計認証団体数の推移（全体／地域別）,RIETI,policy_research_data_table,https://www.rieti.go.jp/jp/projects/npo/2004/4_1.pdf,2005-12-31,1999-2005,"PDF p.1, Okinawa row: 1999-2004 values 6,20,37,84,127,163",Prefecture-wide cumulative certified-NPO-corporation counts compiled from Cabinet Office.,secondary,E3,ai_seeded,online_pdf_read,,,2026-07-20,"All fields/issues; not project registry, base actors, activity, survival or causal effect.",research_only,not_frontend_ready,no
W2E-NR05S003,NR05S003,沖縄県NPOプラザ ばなな通信 第45号,沖縄県NPOプラザ,prefectural_official_newsletter,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/004/891/45gou.pdf,2012-10-31,2012-10-31 status,"PDF p.1 header: 県内のNPO法人数 550; 15 applications pending; p.5 on annual reports, registration/tax burdens, dissolution and return-to-voluntary-group options",Exact official Okinawa-wide legal-NPO count plus contemporaneous maintenance/exit-rule context.,contemporaneous_primary,E4,ai_seeded,online_pdf_read,,,2026-07-20,"The count does not indicate issue, political stance, activity or relation to bases; the maintenance/exit discussion gives mechanisms, not their prefecture-wide prevalence.",research_only,not_frontend_ready,no
W2E-NR05S004,NR05S004,NPO法改正関連資料（所轄庁別認証法人数表）,内閣府NPOホームページ,national_official_report,https://www.npo-homepage.go.jp/uploads/20111011-hou.pdf,2012,through 2012-09,table of certified NPO corporations by competent authority; Okinawa=550 through 2012-09,Independent official cross-check for the 2012 Okinawa endpoint.,contemporaneous_primary,E4,ai_seeded,online_pdf_read,,,2026-07-20,Aggregate legal count only.,research_only,not_frontend_ready,no
W2E-NR05S005,NR05S005;S095,団体概要 / 役員,NPO法人 沖縄NGOセンター,organization_profile,https://www.oki-ngo.org/about/directors,,1999-06 formation claim; current profile,団体概要: 設立年月日 1999年6月; activities items 1 and 6-7,Organization self-description of formation month and intermediary/support functions.,retrospective,E3,ai_seeded,archived,source_docs\source_archive\S095\raw.html,6a6fa92183d4173a4ff51e02b9ad111337f31c1440c5d5025b077b87a72f598e,2026-07-20,Current self-description; no direct proof of original legal form or uninterrupted activity.,research_only,not_frontend_ready,no
W2E-NR05S006,NR05S006,特定非営利活動法人沖縄NGOセンター インタビュー,市民国際プラザ（自治体国際化協会/JANIC）,institutional_interview,https://www.plaza-clair.jp/interview/contents/00115921.html,2022,1999-2022 retrospective,opening profile paragraph: 1999 former name; 2008 NPO status/current-name transition,Later institutional interview on ONC's claimed lineage and legal transition.,retrospective,E3,ai_seeded,online_html_read,,,2026-07-20,Not the 1999 charter or a 2008 internal application/resolution record; the official portal's legal-certification date is 2009-05-14. No causal link to the 1998 fieldwork article.,research_only,not_frontend_ready,no
W2E-NR05S007,NR05S007,沖縄におけるNGO-JICA連携ワークショップ関連報告,JICA,official_program_report,https://openjicareport.jica.go.jp/pdf/11712098.pdf,2006,1999-2006,sections describing NGO-JICA joint workshops beginning in 1999,Near-period institutional corroboration of an intermediary/international-cooperation path.,retrospective,E3,ai_seeded,online_pdf_locator_read,,,2026-07-20,"Program participation does not prove organizational formation, funding or base-related positioning.",research_only,not_frontend_ready,no
W2E-NR05S008,NR05S008;S156,普天間基地爆音訴訟について,普天間基地爆音訴訟団,organization_history,https://futenma-bakuon.jp/introduction/,,2002-present retrospective,chronology paragraph listing first 2002 and second 2012 rounds,Current plaintiff-group self-history.,retrospective,E4 for self-identity; E3 for compressed chronology,ai_seeded,failed,,,2026-07-20,Round year labels do not resolve separate filings/groups or identical membership.,research_only,not_frontend_ready,no
W2E-NR05S009,NR05S009;S135,令和4年3月10日 普天間飛行場周辺損害賠償請求事件判決,那覇地方裁判所沖縄支部,court_record,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-91354.pdf,2022-03-10,2002-2022 case history,"printed pp.13-14 / PDF pp.13-14, section 8「普天間飛行場の騒音に関する訴訟の経緯」",Formal case chronology distinguishing 2002-2003 and 2012-2013 filings/groups.,retrospective,E4,ai_seeded,archived,source_docs\source_archive\S135\raw.pdf,469a4429e5f66289bc75784097dd7c948e030b8bb9a7cd7c94fbbd4385b75beb,2026-07-20,Case chronology does not itself establish stable organization identity across rounds.,research_only,not_frontend_ready,no
W2E-NR05S010,NR05S010;S060,"U.S., Japanese conservation groups join legal effort to save Okinawa dugong",Earthjustice,same_day_legal_press_release,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,2003-09-25,2003-09-25 filing,"dated release; paragraphs naming case number, plaintiffs and counsel",Same-day case entry and attributed roles.,contemporaneous_primary,E4,ai_seeded,archived,source_docs\source_archive\S060\raw.html,4e29618f019ce52d7a76eb744a745c448ca02c6e68f5b033575d0f92a6ebfd9a,2026-07-20,Advocacy release; use complaint/caption for formal party identities.,research_only,not_frontend_ready,no
W2E-NR05S011,NR05S011,"Complaint, Okinawa Dugong v. Rumsfeld","U.S. District Court, Northern District of California (party filing)",filed_complaint,https://www.biologicaldiversity.org/species/mammals/Okinawa_dugong/pdfs/complaint9-25-03.pdf,2003-09-25,2003 filing; party background allegations,caption and complaint p.4 ¶13 (Save the Dugong Foundation formation/self-description),Filed party identities and contemporaneous self-description.,contemporaneous_primary,E4 for filing/party caption; E3 for formation allegation,ai_seeded,online_pdf_read,,,2026-07-20,A complaint allegation is not adjudication of formation date/legal status.,research_only,not_frontend_ready,no
W2E-NR05S012,NR05S012,終結事件一覧：米軍代替飛行場施設建設差止等請求事件（調停）,沖縄県公害審査会,prefectural_official_case_record,https://www.pref.okinawa.lg.jp/kensei/shingikai/1014397/1014517/1004600/1004603.html,,2004-02-03 to 2004-03-30,"2004 case row: 913 applicants, acceptance, three sessions and 2004-03-30 dismissal reason",Official procedural intake/nonentry chronology.,retrospective,E4,ai_seeded,online_html_read,,,2026-07-20,"Applicants are an anonymous person collective, not an organization.",research_only,not_frontend_ready,no
W2E-NR05S013,NR05S013;S049,ヘリ基地反対協議会 闘いの主な経緯,ヘリ基地反対協議会,organization_history,https://lovehenoko.org/%E9%97%98%E3%81%84%E3%81%AE%E4%B8%BB%E3%81%AA%E7%B5%8C%E7%B7%AF/,,1997-present retrospective,2004 chronology entry for April obstruction/sit-in,Organization's current account of onsite action.,retrospective,E3,ai_seeded,archived,source_docs\source_archive\S049\raw.html,be8930719f9c4b1f62faf307b30110f0087d2706c0427f2fd96490f396852860,2026-07-20,Current retrospective attribution; not a roster or sole-organizer proof.,research_only,not_frontend_ready,no
W2E-NR05S014,NR05S014,辺野古沖海上基地建設反対運動の経過と特質,専修大学社会科学研究所『社会科学年報』41号,academic_participant_observation_reconstruction,https://www.senshu-u.ac.jp/~off1009/PDF/n41_103-124.pdf,2007-03-10,1997-2006,printed pp.104-105 / PDF pp.2-3: 2003 group formation and 2004-04-19 action,Near-period academic reconstruction with participant observation.,secondary,E3,ai_seeded,online_pdf_read,,,2026-07-20,Secondary chronology; not a charter or official roster.,research_only,not_frontend_ready,no
W2E-NR05S015,NR05S015;S132,普天間飛行場代替施設建設事業に係る環境影響評価方法書に対する意見,日本自然保護協会,dated_organization_submission,https://www.nacsj.or.jp/statement/51098/,2004-06-10,2004 method-statement stage,page date and addressees; full opinion text,Formal dated EIA commenter role.,contemporaneous_primary,E4,ai_seeded,archived,source_docs\source_archive\S132\raw.html,2741cabfdb7e8abc18a00235ae8b28ec39cf699d51b1a556ad0ab16bcc812406,2026-07-20,Submission does not prove procedural effect or stable coalition.,research_only,not_frontend_ready,no
W2E-NR05S016,NR05S016;S140,泡瀬干潟埋立公金支出差止等請求事件判決,那覇地方裁判所,court_record,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-37115.pdf,,2005 filing through first-wave judgment,"printed/PDF p.20, subsection（7）本訴提起: 2005-05-20",Formal first-wave filing date and resident-plaintiff case structure.,retrospective,E4,ai_seeded,archived,source_docs\source_archive\S140\raw.pdf,bcb210b5ed111ae1dbd0e0ce02021a20fdf9d31894c93211b8174e520d2eb4f3,2026-07-20,Does not make A055 a named organizational plaintiff; first/second waves remain separate.,research_only,not_frontend_ready,no
W2E-NR05S017,NR05S017,泡瀬干潟埋め立て公金差止訴訟 第一回口頭弁論報道,しんぶん赤旗,party_news,https://www.jcp.or.jp/akahata/aik4/2005-07-21/2005072104_03_2.html,2005-07-21,2005 hearing,article body on first oral argument and A055 co-representatives' public role,Near-period lead for movement/public-hearing role.,lead,E2,ai_seeded,online_html_locator_read,,,2026-07-20,Party media and spokesperson presence do not prove plaintiff status.,research_only,not_frontend_ready,no
W2E-NR05S018,NR05S018;S282,沖縄県行政記録 平成20年,沖縄県,prefectural_official_diary,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,2008,2008,"printed p.4 / PDF p.5, 2008-02-14 entry",Dated occurrence of prefectural-branch request.,contemporaneous_primary,E4,ai_seeded,archived,source_docs\source_archive\S282\raw.pdf,1ea02aaa3a8d09405e670cd6f85dea97110f2d231593abe548558ebdfff9894d,2026-07-20,"No request text, response, result, scale, party affiliation or national-branch transfer.",research_only,not_frontend_ready,no
W2E-NR05S019,NR05S019;S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,WWFジャパン,same_day_organization_statement,https://www.wwf.or.jp/activities/statement/3436.html,2010-05-14,2010-05-14 event,dated statement body and domestic 67-organization participant list,Dated co-signing/submission event.,contemporaneous_primary,E4 for event participation,ai_seeded,archived,source_docs\source_archive\S003\raw.html,d1b7fbe1d950591928a3dd52dccac096a53852c7cac938c0a8416d692189c228,2026-07-20,"No stable alliance, membership, coordination or continuity.",research_only,not_frontend_ready,no
W2E-NR05S020,NR05S020;S155,嘉手納基地爆音差止訴訟原告団 訴訟の歴史,嘉手納基地爆音差止訴訟原告団,organization_history,https://kadena-bakuon.jp/trial/history/,,1982-present retrospective,「第3次訴訟」 section: 2011-04-28 filing,Current plaintiff-group case chronology.,retrospective,E4 for self-history/date,ai_seeded,failed,,,2026-07-20,Does not establish identical membership across rounds.,research_only,not_frontend_ready,no
W2E-NR05S021,NR05S021;S240,下地島への自衛隊配備に反対／平和運動連絡協,宮古毎日新聞,local_news,https://www.miyakomainichi.com/2011/06/20401/,2011-06-25,2011-06-23 meeting,article lead/body: meeting held 2011-06-23 and hosted by A096,"Near-contemporaneous event date, host attribution and issue.",secondary,E3 event; E2/E3 organization identity,ai_seeded,archived,source_docs\source_archive\S240\raw.html,5cecbe7718d2daaa7733f36995265ab370b194a8b818694ed4181acfe8ca3c30,2026-07-20,"No formation, roster, continuity or alliance proof.",research_only,not_frontend_ready,no
W2E-NR05S022,NR05S022;S015,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,しんぶん赤旗,party_news,https://www.jcp.or.jp/akahata/aik12/2012-08-31/2012083115_02_1.html,2012-08-31,2012-08-25 founding press conference,"article body: 2012-08-25 founding press conference, reported co-representatives and planned ad",Single-source lead for committee formation/opinion-ad plan.,lead,E2,ai_seeded,archived,source_docs\source_archive\S015\raw.html,84600c4c70dec62ad48cc4d9640a01a1a9df6bc97d7cc8fcab63cb62b2a6587a,2026-07-20,"Not independent; original ad, local coverage, exact identity and survival missing.",research_only,not_frontend_ready,no
W2E-NR05S023,NR05S023;S063,ジュゴン保護基金委員会（用語辞典）,琉球新報,newspaper_dictionary,https://ryukyushimpo.jp/okinawa-dic/prentry-41677.html,,1999 formation retrospective,entry background line reporting 1999-10 formation,Secondary month-level formation lead.,lead,E2/E3,ai_seeded,archived,source_docs\source_archive\S063\raw.html,2c4ecaae6f563f6b5051d3ba0696d792c244b6ca5f201625f111237b4a949774,2026-07-20,Needs charter/contemporaneous corroboration; no legal-status or continuity inference.,research_only,not_frontend_ready,no
W2E-NR05S024,NR05S024,泡瀬干潟を守る連絡会 団体情報,沖縄県地域環境センター,institutional_directory_profile,https://kankyo-center.okinawa/environmental-organization-facility/%E6%B3%A1%E7%80%AC%E5%B9%B2%E6%BD%9F%E3%82%92%E5%AE%88%E3%82%8B%E9%80%A3%E7%B5%A1%E4%BC%9A,,2001-01 formation retrospective,profile fields: organization type and 設立時期 2001年1月,Institutional directory formation-month claim.,retrospective,E3,ai_seeded,online_html_read,,,2026-07-20,Not a contemporaneous charter; does not establish litigation party status.,research_only,not_frontend_ready,no
W2E-NR05S025,NR05S025;S104,NPO法人情報検索：沖縄平和協力センター,内閣府NPOホームページ,official_npo_portal,https://www.npo-homepage.go.jp/npoportal/,,2002-10-17 certification; current record,entity record/certification field: 2002-10-17,Official legal-certification date.,retrospective,E4,ai_seeded,failed,,,2026-07-20,"Certification is not formation, activity continuity, issue position or influence.",research_only,not_frontend_ready,no
W2E-NR05S026,NR05S026,法政大学大原社会問題研究所 環境アーカイブズ資料目録（沖縄関連）,法政大学大原社会問題研究所,archive_catalog,https://k-archives.ws.hosei.ac.jp/wp-content/uploads/2024/09/0007_20240828.pdf,2024,catalogued 2003 material,catalog p.66 area listing 2003-07-31 preparatory-committee item,Locator for contemporaneous A069 preparatory material.,lead,E2 locator,ai_seeded,online_catalog_read_underlying_item_not_retrieved,,,2026-07-20,"Catalog metadata is not the underlying document, formation record, roster or alliance evidence.",research_only,not_frontend_ready,no
W2E-NR05S027,NR05S027,沖縄県サンゴ礁保全推進協議会 設立趣意書／経緯,沖縄県サンゴ礁保全推進協議会,organization_history_and_charter,https://ocrcc.sakura.ne.jp/about/keii.html,,2007 preparation; 2008 formation,history paragraph: preparations from FY2007; 2008-06-28 establishment meeting,Formation-process milestones.,retrospective,E4 for organization self-history,ai_seeded,online_html_read,,,2026-07-20,Multi-stakeholder platform; no anti-base stance inferred.,research_only,not_frontend_ready,no
W2E-NR05S028,NR05S028,平成20年度 民間参加型サンゴ礁生態系保全活動推進事業 報告書,沖縄県,prefectural_official_report,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/527/h20houkokusyo_1.pdf,2009,FY2007-FY2008 formation process,"chapter 2, section 2-1 establishment meeting; attached charter dates",Official report on the platform's preparation/establishment process.,retrospective,E4,ai_seeded,online_pdf_read,,,2026-07-20,"Charter date, meeting date and first general meeting are distinct milestones.",research_only,not_frontend_ready,no
W2E-NR05S029,NR05S029,Meeting of the dugongs and the cooking pots: Anti-military base citizens' groups on Okinawa,Japanese Studies,academic_article,https://www.tandfonline.com/doi/abs/10.1080/1037139032000129676,2003,1995-2003 movement framing,"abstract/article scope: six anti-base citizens' groups; environmentalism, feminism and anti-militarism",Prior scholarship establishing that multi-issue framing is not a novel project finding.,secondary,literature_context,ai_seeded,abstract_metadata_only_full_text_not_retrieved,,,2026-07-20,"Use for literature positioning, not as a registry, relation or event source without full-text review.",research_only,not_frontend_ready,no
W2E-NR05S030,NR05S030,沖縄地域における参加型環境保全活動の実態と支援方策上の課題,日本造園学会『ランドスケープ研究』,academic_survey_article,https://www.jstage.jst.go.jp/article/jila1994/64/5/64_5_849/_article/-char/ja,2001-03-30,1996 survey; 2001 publication,abstract and full PDF methods/results; 45 mailed groups/29 valid responses require full-table check,Competing pre-NPO-law baseline for heterogeneous environmental civic activity/support needs.,secondary,E3 contextual,ai_seeded,article_metadata_and_abstract_read_full_pdf_locator,,,2026-07-20,Not a base-movement census; administrative-collaboration counts require table-level human verification.,research_only,not_frontend_ready,no
W2E-NR05S031,NR05S031,特定非営利活動法人沖縄NGOセンター 行政入力情報,内閣府NPO法人ポータルサイト（所轄庁：沖縄県）,official_npo_portal_entity_record,https://www.npo-homepage.go.jp/npoportal/detail/047021403,,legal certification event 2009-05-14; current entity record,"行政入力情報, lines/fields「設立認証年月日 2009年05月14日」「設立年月日 －」",Official competent-authority legal-certification date.,retrospective,E4,ai_seeded,online_html_read,,,2026-07-20,"Certification date is not the 1999 voluntary-body formation date; it does not by itself resolve whether a 2008 internal resolution, application or name-change stage occurred.",research_only,not_frontend_ready,no
W2E-NR05S032,NR05S032,沖縄県 NPO法人一覧／解散・取消・移管一覧 公開ハブ,沖縄県,prefectural_official_data_hub,https://www.pref.okinawa.jp/kurashikankyo/katsudo/1004889/1004890.html,2026-04-13,current surviving corporations plus historical exit events,page links 157/161: current法人 list with certification date/20 fields; dissolution/cancellation/transfer list with exit dates,Online material-rich follow-up for surviving cohorts and exit-event lower bounds.,retrospective,E4 data opportunity,ai_seeded,hub_read_linked_tables_not_extracted_in_NR05,,,2026-07-20,Current survivors plus exit events do not by themselves reconstruct complete annual historical stock; certification dates for exited corporations still need portal/entity recovery.,research_only,not_frontend_ready,no
