flow_observation_id,provider_case,source_actor_id,source_actor_name,target_id,target_name,target_kind,period_start,period_end,event_date,amount,currency,amount_semantics,resource_type,purpose,reporting_layer,reconciliation_component,dedupe_group_id,dedupe_status,included_as_relation_candidate,endpoint_identity_status,transaction_closure,source_receipt_ids,source_anchor_ids,exact_locator,evidence_level,review_status,fact_status,leg_layer,allowed_claim,prohibited_inference
RF011,KOSC,X006,Kadena Officers' Spouses' Club (KOSC),AGG_INDIVIDUAL_RECIPIENTS,Fall 2023 Scholarships,individual_assistance_group_or_misplaced_name,2023-06-01,2024-05-31,,6515,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Fall 2023 Scholarships,aggregate_individual_assistance,yes,KOSC-2024-05-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR004,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF012,KOSC,X006,Kadena Officers' Spouses' Club (KOSC),AGG_INDIVIDUAL_RECIPIENTS,Fall 2024 Scholarships,individual_assistance_group_or_misplaced_name,2023-06-01,2024-05-31,,33750,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Fall 2024 Scholarships,aggregate_individual_assistance,yes,KOSC-2024-05-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR004,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[2],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF013,KOSC,X006,Kadena Officers' Spouses' Club (KOSC),AGG_INDIVIDUAL_RECIPIENTS,Fall 2024 Scholarships,individual_assistance_group_or_misplaced_name,2024-06-01,2025-05-31,,33750,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Fall 2024 Scholarships,aggregate_individual_assistance,yes,KOSC-2025-05-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR005,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF014,KOSC,X006,Kadena Officers' Spouses' Club (KOSC),AGG_INDIVIDUAL_RECIPIENTS,Fall 2025 Scholarships,individual_assistance_group_or_misplaced_name,2024-06-01,2025-05-31,,3500,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Fall 2025 Scholarships,aggregate_individual_assistance,yes,KOSC-2025-05-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR005,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[2],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF015,KOSC,X006,Kadena Officers' Spouses' Club (KOSC),HELD_KOSC_2580,American Womens Welfare Association,individual_assistance_group_or_misplaced_name,2024-06-01,2025-05-31,,2580,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,American Womens Welfare Association,aggregate_individual_assistance,yes,KOSC-2025-05-31-GRANTS,component_of_grant_line_total,no_defer,misplaced_name_semantics_deferred,defer_not_flow,W2A-SR005,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[3],official_irs_xml,needs_human_semantic_review,research_only_held_not_relation,LEG0,The amount appears in the filing's individual-assistance group; it is not an organization grant edge.,Do not create individual actors or an AWWA organization flow from this group.
RF016,KOSC,X006,Kadena Officers' Spouses' Club (KOSC),AGG_INDIVIDUAL_RECIPIENTS,Kadena Airbase Airforce Members,individual_assistance_group_or_misplaced_name,2024-06-01,2025-05-31,,6700,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Kadena Airbase Airforce Members,aggregate_individual_assistance,yes,KOSC-2025-05-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR005,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[4],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF017,NOSCO,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),AGG_INDIVIDUAL_RECIPIENTS,Scholarsip Pledges,individual_assistance_group_or_misplaced_name,2022-07-01,2023-06-30,,11000,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Scholarsip Pledges,aggregate_individual_assistance,yes,NOSCO-2023-06-30-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR009,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF018,NOSCO,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),AGG_INDIVIDUAL_RECIPIENTS,Scholarsip Pledges,individual_assistance_group_or_misplaced_name,2023-07-01,2024-06-30,,12055,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Scholarsip Pledges,aggregate_individual_assistance,yes,NOSCO-2024-06-30-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR010,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF019,NOSCO,X005,Naval Officers' Spouses' Club of Okinawa (NOSCO),AGG_INDIVIDUAL_RECIPIENTS,Scholarsip Pledges,individual_assistance_group_or_misplaced_name,2024-07-01,2025-06-30,,20000,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,Scholarsip Pledges,aggregate_individual_assistance,yes,NOSCO-2025-06-30-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR011,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF020,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),X004,AMERICAN WELFARE AND WORKS ASSOCIATION,organization_recipient,2022-07-01,2023-06-30,,16308,USD,schedule_i_cash_grant,cash_grant,"TO PROVIDE GRANTS TO TAX EXEMPT ORGANIZATIONS AFFILIATED TO THE U.S. MILITARY COMMUNITY BASED IN OKINAWA, JAPAN AS WELL AS FUND LOCAL JAPANESE NOT-FOR-PROFITS",named_schedule_i,yes,OESC-2023-06-30-GRANTS,component_of_grant_line_total,yes,registered_actor,provider_filing_named_recipient,W2A-SR012,W2A-A076,official XML Schedule I RecipientTable[1],official_irs_xml,human_checked,research_only_principal_confirmed_anchor,LEG0,The filing reports a USD 16308 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF021,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),AGG_INDIVIDUAL_RECIPIENTS,FUNDS ARE AWARDED TO NOMINATED AND QUALIFIED U.S. MILITARY-AFFILIATED INDIVIDUALS TO PAY FOR HIGHER EDUCATION.,individual_assistance_group_or_misplaced_name,2022-07-01,2023-06-30,,28500,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,FUNDS ARE AWARDED TO NOMINATED AND QUALIFIED U.S. MILITARY-AFFILIATED INDIVIDUALS TO PAY FOR HIGHER EDUCATION.,aggregate_individual_assistance,yes,OESC-2023-06-30-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR012,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF022,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),X004,AMERICAN WELFARE AND WORKS ASSOCIATION,organization_recipient,2023-07-01,2024-06-30,,14371,USD,schedule_i_cash_grant,cash_grant,"TO PROVIDE GRANTS TO TAX EXEMPT ORGANIZATIONS AFFILIATED TO THE U.S. MILITARY COMMUNITY BASED IN OKINAWA, JAPAN",named_schedule_i,yes,OESC-2024-06-30-GRANTS,component_of_grant_line_total,yes,registered_actor,provider_filing_named_recipient,W2A-SR013,W2A-A077,official XML Schedule I RecipientTable[1],official_irs_xml,human_checked,research_only_principal_confirmed_anchor,LEG0,The filing reports a USD 14371 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF023,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),AGG_INDIVIDUAL_RECIPIENTS,FUNDS ARE AWARDED TO NOMINATED AND QUALIFIED U.S. MILITARY-AFFILIATED INDIVIDUALS TO PAY FOR HIGHER EDUCATION.,individual_assistance_group_or_misplaced_name,2023-07-01,2024-06-30,,26000,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,FUNDS ARE AWARDED TO NOMINATED AND QUALIFIED U.S. MILITARY-AFFILIATED INDIVIDUALS TO PAY FOR HIGHER EDUCATION.,aggregate_individual_assistance,yes,OESC-2024-06-30-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR013,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF024,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),X004,AMERICAN WELFARE AND WORKS ASSOCIATION,organization_recipient,2024-07-01,2025-06-30,,8479,USD,schedule_i_cash_grant,cash_grant,"TO PROVIDE GRANTS TO TAX-EXEMPT ORGANIZATIONS AFFILIATED TO THE U.S. MILITARY COMMUNITY BASED IN OKINAWA, JAPAN.",named_schedule_i,yes,OESC-2025-06-30-GRANTS,component_of_grant_line_total,yes,registered_actor,provider_filing_named_recipient,W2A-SR014,W2A-A078,official XML Schedule I RecipientTable[1],official_irs_xml,human_checked,research_only_principal_confirmed_anchor,LEG0,The filing reports a USD 8479 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF025,OESC,X007,Okinawa Enlisted Spouses' Club (OESC),AGG_INDIVIDUAL_RECIPIENTS,FUNDS ARE AWARDED TO NOMINATED AND QUALIFIED U.S. MILITARY-AFFILIATED INDIVIDUALS TO PAY FOR HIGHER EDUCATION.,individual_assistance_group_or_misplaced_name,2024-07-01,2025-06-30,,35000,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,FUNDS ARE AWARDED TO NOMINATED AND QUALIFIED U.S. MILITARY-AFFILIATED INDIVIDUALS TO PAY FOR HIGHER EDUCATION.,aggregate_individual_assistance,yes,OESC-2025-06-30-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A-SR014,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF026,MTS,X018,Marine Thrift Shop Okinawa,X004,AMERICAN WELFARE AND WORKS ASSOCIATION,organization_recipient,2023-01-01,2023-12-31,,41183,USD,schedule_i_cash_grant,cash_grant,COMMUNITY OUTREACH,named_schedule_i,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,yes,registered_actor,provider_filing_named_recipient,W2A2-SR001,,official XML Schedule I RecipientTable[1],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 41183 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF027,MTS,X018,Marine Thrift Shop Okinawa,RECIP_UNREGISTERED,CAMP COURTNEY RUGBY CLUB,organization_recipient,2023-01-01,2023-12-31,,6150,USD,schedule_i_cash_grant,cash_grant,RUGBY EQUIPMENT,named_schedule_i,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,yes,ein_or_name_observed_not_registry_crosswalked,provider_filing_named_recipient,W2A2-SR001,,official XML Schedule I RecipientTable[2],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 6150 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF028,MTS,X018,Marine Thrift Shop Okinawa,EIN_311575142,DFAS-CO HQCWHN,organization_recipient,2023-01-01,2023-12-31,,7500,USD,schedule_i_cash_grant,cash_grant,GROCERY GIFTCARDS,named_schedule_i,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,yes,ein_or_name_observed_not_registry_crosswalked,provider_filing_named_recipient,W2A2-SR001,,official XML Schedule I RecipientTable[3],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 7500 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF029,MTS,X018,Marine Thrift Shop Okinawa,EIN_833120209,KUBASAKI HIGH SCHOOL PTSO,organization_recipient,2023-01-01,2023-12-31,,15558,USD,schedule_i_cash_grant,cash_grant,"SPONSORSHIP OF SCHOOL EVENTS, EQUIPMENT, AND FIELD TRIPS",named_schedule_i,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,yes,ein_or_name_observed_not_registry_crosswalked,provider_filing_named_recipient,W2A2-SR001,,official XML Schedule I RecipientTable[4],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 15558 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF030,MTS,X018,Marine Thrift Shop Okinawa,EIN_530204618,NAVY MARINE CORPS RELIEF SOCIETY,organization_recipient,2023-01-01,2023-12-31,,5031,USD,schedule_i_cash_grant,cash_grant,CONTRIBUTION,named_schedule_i,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,yes,ein_or_name_observed_not_registry_crosswalked,provider_filing_named_recipient,W2A2-SR001,,official XML Schedule I RecipientTable[5],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 5031 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF031,MTS,X018,Marine Thrift Shop Okinawa,AGG_INDIVIDUAL_RECIPIENTS,SCHOLARSHIPS FOR HIGHER EDUCATION,individual_assistance_group_or_misplaced_name,2023-01-01,2023-12-31,,12000,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,SCHOLARSHIPS FOR HIGHER EDUCATION,aggregate_individual_assistance,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A2-SR001,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
RF032,MTS,X018,Marine Thrift Shop Okinawa,AGG_OUTSIDE_US_ORG,Donation to support a cancer house,outside_us_aggregate_no_name,2023-01-01,2023-12-31,,10000,USD,schedule_f_aggregate_cash_grant,cash_grant,Donation to support a cancer house,region_aggregate,yes,MTS-2023-12-31-GRANTS,component_of_grant_line_total,no_unnamed_endpoint,unnamed_aggregate,aggregate_only,W2A2-SR001,,official XML Schedule F GrantsToOrgOutsideUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an outside-U.S. aggregate grant purpose and amount.,Do not infer the final organization identity from the purpose phrase.
RF033,MTS,X018,Marine Thrift Shop Okinawa,EIN_833120209,Kubasaki High School PTSO,organization_recipient,2024-01-01,2024-12-31,,8819,USD,schedule_i_cash_grant,cash_grant,"Purpose of grant SPONSORSHIP OF SCHOOL EVENTS, EQUIPMENT, AND FIELD TRIPS",named_schedule_i,yes,MTS-2024-12-31-GRANTS,component_of_grant_line_total,yes,ein_or_name_observed_not_registry_crosswalked,provider_filing_named_recipient,W2A2-SR002,,official XML Schedule I RecipientTable[1],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 8819 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF034,MTS,X018,Marine Thrift Shop Okinawa,X004,AMERICAN WELFARE AND WORKS ASSOCIATION,organization_recipient,2024-01-01,2024-12-31,,19669,USD,schedule_i_cash_grant,cash_grant,Purpose of grant COMMUNITY OUTREACH,named_schedule_i,yes,MTS-2024-12-31-GRANTS,component_of_grant_line_total,yes,registered_actor,provider_filing_named_recipient,W2A2-SR002,,official XML Schedule I RecipientTable[2],official_irs_xml,ai_seeded,research_only_official_filing_candidate,LEG0,The filing reports a USD 19669 cash grant to the named recipient for this tax period.,"This does not identify original donors, downstream recipients, political stance or legitimation effect."
RF035,MTS,X018,Marine Thrift Shop Okinawa,AGG_INDIVIDUAL_RECIPIENTS,"SCHOLARSHIP GRANT RECIPIENTS MUST PROVIDE A DETAILED EXPLANATION OF THE PURPOSE OF THE REQUESTED FUNDING PRIOR TO BEING APPROVED BY THE ORGANIZATION'S BOARD OF DIRECTORS. RECIPIENTS MUST PROVIDE RECEIPTS THAT SUPPORT THE CORRELATED FUNDING, AND RETURN ANY MONEY NOT SPENT TOWARDS THE SPECIFIED GRANT PURPOSE",individual_assistance_group_or_misplaced_name,2024-01-01,2024-12-31,,30000,USD,schedule_i_individual_assistance_group,scholarship_or_individual_assistance,"SCHOLARSHIP GRANT RECIPIENTS MUST PROVIDE A DETAILED EXPLANATION OF THE PURPOSE OF THE REQUESTED FUNDING PRIOR TO BEING APPROVED BY THE ORGANIZATION'S BOARD OF DIRECTORS. RECIPIENTS MUST PROVIDE RECEIPTS THAT SUPPORT THE CORRELATED FUNDING, AND RETURN ANY MONEY NOT SPENT TOWARDS THE SPECIFIED GRANT PURPOSE",aggregate_individual_assistance,yes,MTS-2024-12-31-GRANTS,component_of_grant_line_total,no_aggregate_individuals,aggregate_not_actor,aggregate_only,W2A2-SR002,,official XML Schedule I GrantsOtherAsstToIndivInUSGrp[1],official_irs_xml,ai_seeded,research_only_official_filing_aggregate,LEG0,The filing reports an aggregate individual-assistance category.,Do not create individual actors or an AWWA organization flow from this group.
