matrix_row_id,fact_observation_id,entry_domain,entry_mode,entry_actor_id,entry_actor_name,origin_type,local_object,event_or_project,venue_or_entry_point,target,place,role,evidence_level,source_refs,review_status,directionality,political_stance_boundary,interpretation_limit
R11M035,OBS_R8R006,legal,international_legal,A002,ジュゴン保護キャンペーンセンター（SDCC）,japan_domestic,Henoko/Oura Bay base-construction and dugong issue,Okinawa Dugong v. Rumsfeld / Center for Biological Diversity v. Esper,us_federal_court,U.S. Department of Defense,Henoko; Oura Bay,non_party,E4,S128;S062,human_checked,observed role/relation only; no causal direction beyond source,case_specific_legal_role_only,HR-014: A002 remains a non-party here. The negative role prevents a false plaintiff label and does not deny advocacy outside the case.
R11M036,OBS_R10R017,administrative,administrative_event_collaboration,X011,JICA沖縄,public_institution,Okinawa NGO Center (ONC),国际协力 festival 协作,JICA/international-cooperation event,JICA沖縄,Okinawa international-cooperation field,event_collaboration,E4,S095,human_checked,observed role/relation only; no causal direction beyond source,co-participation_only; no funding direction or base-policy stance,共同参与活动不是资金关系或稳定联盟。
R11M037,OBS_R10R019,service,service_sponsorship,X003,American Engineering Corporation (AEC),corporate,USO Okinawa,USO Okinawa 长期企业伙伴,USO/base-community service venue,USO Okinawa,Camp Schwab / USO Okinawa,sponsorship,E4,S097;S098,human_checked,observed role/relation only; no causal direction beyond source,service sponsorship does not establish a base-policy stance,赞助与捐赠可确认；不据此推断企业或 USO 的基地政策立场。
R11M038,OBS_R10R022,charity,charitable_donation,X007,Okinawa Enlisted Spouses' Club (OESC),us_origin,USO Okinawa,OESC 向 USO Okinawa 捐赠,USO/base-community service venue,USO Okinawa,Okinawa base-community service field,donation,E4,S053,human_checked,observed role/relation only; no causal direction beyond source,charitable donation does not establish a political stance,直接慈善捐赠，不代表政治立场或运动关系。
R11M039,OBS_R10R023,charity,charitable_grant,X004,American Welfare & Works Association (AWWA),us_origin,USO Okinawa,USO Kinser kitchen refresh,USO/base-community service venue,USO Okinawa,Okinawa base-community service field,grant,E3,S077,human_checked,observed role/relation only; no causal direction beyond source,named grant only; no wider recipient network or political stance,只确认这项 grant，不外推完整年度 recipient 网络。
R11M040,OBS_R10R024,service,service_network_coordination,X004,AWWA,us_origin,NOSCO,AWWA umbrella membership,military-spouse umbrella network,NOSCO,Okinawa base-community service field,network_membership,E4,S041;S055;S072,human_revised,observed role/relation only; no causal direction beyond source,membership/coordination only; no funding or political stance,成员关系不构成资助。
R11M041,OBS_R10R025,service,service_network_coordination,X004,AWWA,us_origin,KOSC,AWWA umbrella membership,military-spouse umbrella network,KOSC,Okinawa base-community service field,network_membership,E4,S041;S055;S072;S075,human_revised,observed role/relation only; no causal direction beyond source,membership/coordination only; no funding or political stance,成员关系不构成资助。
R11M042,OBS_R10R026,service,service_network_coordination,X004,AWWA,us_origin,OESC,AWWA umbrella membership,military-spouse umbrella network,OESC,Okinawa base-community service field,network_membership,E4,S041;S055,human_revised,observed role/relation only; no causal direction beyond source,membership/coordination only; no funding or political stance,成员关系不构成资助。
R11M043,OBS_R10R027,service,service_network_coordination,X004,AWWA,us_origin,MOSCO,AWWA umbrella membership,military-spouse umbrella network,MOSCO,Okinawa base-community service field,network_membership,E4,S041;S055;S079,human_revised,observed role/relation only; no causal direction beyond source,membership/coordination only; no funding or political stance,成员关系不构成资助。
R11M044,OBS_R10R035,public_diplomacy,public_diplomacy_opportunity,X013,U.S. Consulate General Naha Okinawa Youth Council Program,us_origin,unknown Okinawa Youth Council recipient/applicant field,Okinawa Youth Council Program NOFO,U.S. public-diplomacy opportunity,未公开 recipient,Okinawa public-diplomacy field,grant_opportunity,E4,S056;S082;S083;S084,human_checked,observed role/relation only; no causal direction beyond source,"opportunity only; no award, recipient, or political alignment",不得写成已拨款、已有 recipient 或与 TOFU 项目相同。
