field_name,current_value,proposed_controlled_value,affected_actor_count,affected_actor_ids,mapping_disposition,human_assignment_count,human_assignment_actor_ids,interpretation_limit
legal_status_guess,association_or_unclear,legal_form_unresolved_association,1,A054,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,chapter,organizational_chapter,1,A070,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,citizen_group,legal_form_unresolved_citizen_group,2,A030;A031,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,club/private_org,private_membership_organization_status_unresolved,1,X005,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,company,for_profit_company,2,X002;X003,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,foundation,foundation_status_unspecified,1,X014,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,government_office,government_office,2,A074;A075,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,grant_program,grant_program,1,X013,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal,informal_association,21,A010;A011;A012;A013;A015;A016;A018;A023;A024;A025;A049;A051;A055;A057;A060;A063;A068;A069;A071;A072;A113,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal_association,informal_association,7,A048;A095;A097;A100;A110;A112;A115,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal_network,informal_network,12,A056;A058;A059;A065;A067;A096;A099;A101;A103;A106;A108;A111,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal_network（任意ネットワーク・国際協力NGO）,informal_network,1,A008,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal_or_npo,legal_form_unresolved,1,A027,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal_or_project,legal_form_unresolved,2,A001;A017,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,informal（任意の実行委員会）,informal_executive_committee,1,A014,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,labor_union,labor_union,4,A089;A090;A093;A114,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,labor_union_federation,labor_union_federation,2,A091;A092,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,lawyers_network,legal_form_unresolved_professional_network,1,A102,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,litigation_group,litigation_group,2,A052;A053,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,litigation_team,litigation_team,2,A104;A109,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,network,legal_form_unresolved_network,3,A028;A029;A064,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,ngo,nongovernmental_nonprofit,21,A006;A007;A009;A021;A033;A034;A035;A036;A037;A038;A039;A040;A041;A042;A043;A044;A045;A046;A062;A086;X015,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,ngo_or_association,nonprofit_form_unresolved,1,A020,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,nonprofit_or_base_office,nonprofit_or_branch_office_unresolved,2,X008;X009,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,not_for_profit,not_for_profit_organization,1,X001,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,npo,specified_nonprofit_corporation,2,A022;A066,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,npo_or_ngo,nonprofit_form_unresolved,1,X010,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,npo_or_project,legal_form_unresolved,1,A073,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,professional_association,professional_association,1,A050,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,project_or_network,legal_form_unresolved,1,A032,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,public_institution,public_institution,1,X011,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,public_interest_foundation,public_interest_incorporated_foundation,3,A005;A061;A105,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,public_interest_foundation_or_association,public_interest_incorporated_body_unspecified,1,A004,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,public_private_partnership,public_private_partnership,1,X012,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,registered_nonprofit（EIN 98-0214323）,registered_nonprofit,1,X006,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,registered_nonprofit（EIN 98-0227149 pending Form 990 check）,registered_nonprofit_pending_document_check,1,X004,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,social_movement_center,legal_form_unresolved_social_movement_center,1,A047,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,unclear,legal_form_unresolved,3,A003;A026;X017,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,任意団体,informal_association,2,A002;A019,mechanical_normalize,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
legal_status_guess,任意団体（法人格待核实）,informal_association_pending_legal_check,1,A076,freeze_as_unresolved,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,corporate,corporate,2,X002;X003,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,international,international,13,A032;A034;A035;A036;A037;A038;A039;A040;A041;A043;A044;A046;A064,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,japan_domestic,japan_domestic,26,A002;A004;A005;A006;A007;A008;A020;A021;A022;A023;A026;A027;A030;A031;A057;A061;A062;A063;A066;A067;A102;A103;A105;A106;A110;X015,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,mixed_or_network,mixed_or_network,3,A001;A028;X012,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,okinawa_local,okinawa_local,58,A003;A010;A011;A012;A013;A014;A015;A016;A017;A018;A019;A024;A025;A029;A047;A048;A049;A050;A051;A052;A053;A054;A055;A056;A058;A059;A060;A065;A068;A069;A071;A072;A073;A076;A087;A088;A089;A090;A091;A092;A093;A095;A096;A097;A098;A099;A100;A101;A104;A107;A108;A109;A111;A112;A113;A114;A115;X010,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,public_institution,public_institution,3,A074;A075;X011,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
origin_type,us_origin,us_origin,17,A009;A033;A042;A045;A070;A086;X001;X004;X005;X006;X007;X008;X009;X013;X014;X016;X017,freeze_as_is,0,,A vocabulary mapping does not approve every actor's assignment when human_assignment_count is nonzero.
