"row_id","cycle","recipient_label_source","recipient_research_key","observed_item_or_function","amount_jpy","amount_semantics","duplicate_group","s002_crosswalk_status","source_key","claim_limit","review_status","package_scope","frontend_eligibility"
"H2OIWC035","2018-2019","Tampopo-Dan","tampopo_dan","Four taiko drums","","not_itemized","","no_exact_label_match","H2P-S04","Parent-group identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC036","2018-2019","Friends House","friends_house","Refrigerator","","not_itemized","","no_exact_label_match","H2P-S04","Repeated label does not establish continuity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC037","2018-2019","Special Olympics Okinawa","special_olympics_okinawa","Two boccia sets","","not_itemized","","no_exact_label_match","H2P-S04","Named in-kind support; legal endpoint not crosswalked.","ai_seeded","research_only","excluded_research_only"
"H2OIWC038","2018-2019","Sakura Shelter","sakura_shelter","Tatami mats","","not_itemized","OIWC_DUP_2018_SAKURA","no_exact_label_match","H2P-S04","Source page appears to repeat the same recipient and item later in the same cycle; preserve but do not double-count.","ai_seeded","research_only","excluded_research_only"
"H2OIWC039","2018-2019","Parents Group of Hearing Impaired Children","parents_hearing_impaired_children","Laptop with speech-to-text software","","not_itemized","","no_exact_label_match","H2P-S04","Group identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC040","2018-2019","Kagayaki","kagayaki","Table; tent; two benches","","not_itemized","","no_exact_label_match","H2P-S04","Generic name needs operator identification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC041","2018-2019","Okinawa Association of Spinal Cord Injured","okinawa_spinal_cord_injured_association","Printer","","not_itemized","","candidate_exact_name_family_S002_R0101_R0113","H2P-S04","Crosswalk requires legal-name review; S002 program cost is not OIWC funding.","ai_seeded","research_only","excluded_research_only"
"H2OIWC042","2018-2019","Putti-Time","putti_time","Trampoline; swing","","not_itemized","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC043","2018-2019","Momoyama Kodomo Shokudo","momoyama_kodomo_shokudo","Oven; projector; locker","","not_itemized","","no_exact_label_match","H2P-S04","Project and operating-organization boundary unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC044","2018-2019","Shimasoe-no-oka","shimasoe_no_oka","Twenty-five chairs","","not_itemized","","no_exact_label_match","H2P-S04","Facility/operator identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC045","2018-2019","Sakura","sakura_shelter","Tatami mats","","not_itemized","OIWC_DUP_2018_SAKURA","suspected_duplicate_same_cycle","H2P-S04","Source-page duplicate is preserved; never count as a second unique recipient without clarification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC046","2018-2019","Mesh Support","mesh_support","Laptop","","not_itemized","","no_exact_label_match","H2P-S04","Identity and legal name unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC047","2017-2018","Kagayaki","kagayaki","Locker; tent","","not_itemized","","no_exact_label_match","H2P-S04","Generic name needs operator identification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC048","2017-2018","Friend's House","friends_house","Uniforms; sleeping bags","","not_itemized","","no_exact_label_match","H2P-S04","Research normalization to Friends House is provisional.","ai_seeded","research_only","excluded_research_only"
"H2OIWC049","2017-2018","Shie's Happy Tails","shies_happy_tails","Lights; two air conditioners","","not_itemized","","no_exact_label_match","H2P-S04","Do not merge automatically with Okinawa Happy Tails.","ai_seeded","research_only","excluded_research_only"
"H2OIWC050","2017-2018","Hanins Kids Mashiki / Hanins Kids Aichi","hanins_kids_combined_source_label","Two air conditioners","","not_itemized","","no_exact_label_match","H2P-S04","Source row combines two sites or entities; do not split or actorize automatically.","ai_seeded","research_only","excluded_research_only"
"H2OIWC051","2017-2018","Kokofuwa Making / Kokofuwa","kokofuwa","Two air conditioners","","not_itemized","","no_exact_label_match","H2P-S04","Alias/operator relation unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC052","2017-2018","Sakura Shelter","sakura_shelter","Tent; mist generator","","not_itemized","","no_exact_label_match","H2P-S04","Generic shelter name needs operator identification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC053","2017-2018","Parents of Hearing Impaired Children","parents_hearing_impaired_children","Tablet with speech-to-text software","","not_itemized","","no_exact_label_match","H2P-S04","Research normalization across years needs identity review.","ai_seeded","research_only","excluded_research_only"
"H2OIWC054","2017-2018","JRPS Okinawa","jrps_okinawa","Computer with specialized software; printer with fax","","not_itemized","","no_exact_label_match","H2P-S04","Local chapter identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC055","2017-2018","Kujira Terakoya","kujira_terakoya","Freezer; shaved-ice machine; locker; tatami mat","","not_itemized","","no_exact_label_match","H2P-S04","Project and operating-organization boundary unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC056","2017-2018","Suou no Ki","suou_no_ki","Eisa drum","","not_itemized","","no_exact_label_match","H2P-S04","Generic name needs operator identification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC057","2017-2018","Stella's Girls","stellas_girls","Four laptops; renewable-energy sets; microscopes; robotics kit","","not_itemized","","no_exact_label_match","H2P-S04","The page describes it as an on-base STEM organization; do not infer local-welfare or political stance.","ai_seeded","research_only","excluded_research_only"
"H2OIWC058","2016-2017","Misato Jido-en","misato_jidoen","Desk and chair","96552","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Amount is the source-line item value, not evidence of cash transfer.","ai_seeded","research_only","excluded_research_only"
"H2OIWC059","2016-2017","Tampopo","tampopo","Storehouse; laptop; cleaner; whiteboard; pressure washer; CD player; unicycle; RipStik","207044","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic name needs identity review; amount is source-line item value.","ai_seeded","research_only","excluded_research_only"
"H2OIWC060","2016-2017","Futenma Yama Gakko","futenma_yama_gakko","Bed; LED lights","132360","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Location name does not imply a base-policy role.","ai_seeded","research_only","excluded_research_only"
"H2OIWC061","2016-2017","Furatto Koen-mae","furatto_koen_mae","Air conditioner","183600","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Facility/operator identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC062","2016-2017","Children Shelter Okinawa","children_shelter_okinawa","Rice cooker; hot plate; mixer; dehumidifier; futon drier; camera; CD player; light; training goods","83854","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Legal identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC063","2016-2017","Warabi","warabi","Laptop","86184","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Do not merge automatically with Warabin / 笑びん.","ai_seeded","research_only","excluded_research_only"
"H2OIWC064","2016-2017","Mesh Support","mesh_support","Laptop","129168","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC065","2016-2017","Pink Panther","pink_panther","Cabinets; desks; chairs","113829","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic name needs identity review.","ai_seeded","research_only","excluded_research_only"
"H2OIWC066","2016-2017","Natural","natural","Soft building blocks; dominos","100000","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic name needs identity review.","ai_seeded","research_only","excluded_research_only"
"H2OIWC067","2016-2017","Kukurubana","kukurubana","Large oven","176410","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC068","2016-2017","Kagari","kagari","Large fryer","265680","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic name needs identity review.","ai_seeded","research_only","excluded_research_only"
"H2OIWC069","2016-2017","Friends House","friends_house","Disaster supplies; sewing machine","115981","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Repeated label does not establish continuity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC070","2016-2017","Kagayaki","kagayaki","Table","78000","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic name needs identity review.","ai_seeded","research_only","excluded_research_only"
"H2OIWC071","2016-2017","Okinawa New Sports","okinawa_new_sports","Skirt ball; target game","123600","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC072","2016-2017","Sharks Rugby Football Club","sharks_rugby_football_club","League registration fees; rugby balls","76500","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC073","2015-2016","Irish Dance Okinawa","irish_dance_okinawa","Operation and maintenance expense","50000","source_line_amount_unclear_cash_or_item","","no_exact_label_match","H2P-S04","Source describes an expense category; transfer form is not explicit.","ai_seeded","research_only","excluded_research_only"
"H2OIWC074","2015-2016","Kadana Special Olympic","kadena_special_olympic","Operation and maintenance expense","30000","source_line_amount_unclear_cash_or_item","","no_exact_label_match","H2P-S04","Spelling and legal identity require review; do not equate with all Special Olympics Okinawa activity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC075","2015-2016","AmerAsian School","amerasian_school","Textbooks 125000 JPY; summer electricity 135360 JPY","260360","sum_of_two_amounts_on_one_source_recipient_line","","no_exact_label_match","H2P-S04","The sum is mechanical within one source line; it does not create two awards or prove payment form.","ai_seeded","research_only","excluded_research_only"
"H2OIWC076","2015-2016","Tsuwabuki Private Circle","tsuwabuki_private_circle","Air conditioner unit","85131","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC077","2015-2016","Yui Center","yui_center","Laptop computer","116640","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic name needs operator identification.","ai_seeded","research_only","excluded_research_only"
"H2OIWC078","2015-2016","Jump NPO","jump_npo","Tent","125000","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Legal name unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC079","2015-2016","Local Children's Circle","local_childrens_circle","Drum stand","65000","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Generic translated label needs original name.","ai_seeded","research_only","excluded_research_only"
"H2OIWC080","2015-2016","Tida Kitchen for Kids","tida_kitchen_for_kids","Violin","21998","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Project/operator identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC081","2015-2016","Down Syndrome Dandelion","down_syndrome_dandelion","Uniform","63936","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Translated label needs original legal identity.","ai_seeded","research_only","excluded_research_only"
"H2OIWC082","2015-2016","Okinawa Telephone Support Service","okinawa_telephone_support_service","Paper shredder","91800","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC083","2015-2016","NPO Churayui Young People Independence Support Center","churayui_youth_independence_support","Laptop computer","135176","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Legal-name normalization requires an independent source.","ai_seeded","research_only","excluded_research_only"
"H2OIWC084","2015-2016","Yugafu Children's Kitchen","yugafu_childrens_kitchen","Air conditioner unit","123814","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Project/operator identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC085","2015-2016","Ratna Park","ratna_park","Laser cutting machine","483840","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Identity unresolved.","ai_seeded","research_only","excluded_research_only"
"H2OIWC086","2015-2016","NPO Friends House","friends_house","Walker; cooler; Bluetooth device","57909","named_item_total_on_source_line","","no_exact_label_match","H2P-S04","Research normalization across years requires identity review.","ai_seeded","research_only","excluded_research_only"

