"row_id","page_order","route_or_source_label","ultimate_recipient_or_unit_label","project_or_item_label","path_semantics","duplicate_group","identity_status","source_key","claim_limit","review_status","package_scope","frontend_eligibility"
"H2MTSR029","29","Tinsaku no Kai","Tinsaku no Kai","Medical Equipment","self_page_recipient_or_project_label","","local_group_identity_unresolved","H2P-S01","Romanized name needs independent Japanese identity source.","ai_seeded","research_only","excluded_research_only"
"H2MTSR030","30","Bechtel ES","Bechtel ES","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR031","31","Bob Hope ES","Bob Hope ES","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR032","32","Kadena ES","Kadena ES","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR033","33","Kadena HS","Kadena HS","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR034","34","Killin ES","Killin ES","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR035","35","Kinser ES","Kinser ES","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR036","36","Kubasaki HS","Kubasaki HS","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR037","37","Lester MS","Lester MS","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR038","38","Ryukyu MS","Ryukyu MS","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR039","39","Zukeran ES","Zukeran ES","PTO Starter","self_page_recipient_or_project_label","","school_pto","H2P-S01","No row date or amount.","ai_seeded","research_only","excluded_research_only"
"H2MTSR040","40","Bob Hope ES","Bob Hope ES","PTO","self_page_recipient_or_project_label","","school_pto","H2P-S01","May be adjacent to the PTO-starter row but is preserved as a distinct source label.","ai_seeded","research_only","excluded_research_only"
"H2MTSR041","41","AWWA-JP","Ishigaki Facilities","","AWWA_labeled_route_to_aggregate_facilities","","aggregate_unknown_recipients","H2P-S01","Do not infer facility count, identity, direct MTS recipients or a Sakishima political role.","ai_seeded","research_only","excluded_research_only"
