sequence_rank,suggested_source_id_if_merged,numbering_status,machine_provisional_status,claim_approval_requirement,snapshot_state,provisional_merged_source_id,audit_row_id,proposal_refs,normalized_url,proposed_title,suggested_source_type,suggested_year,archive_prerequisite,relation_or_claim_approved
26,S273,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S273,NW2FS028,NW2-C_registry_gate:RV2SP007,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,official_legislative_record,2023,archive_and_metadata_review_before_formal_claim_use,no
27,S274,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S274,NW2FS029,NW2-C_registry_gate:RV2SP008,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,有機フッ素化合物PFOS及びPFOA汚染の対策を求める意見書,official_legislative_record,2022,archive_and_metadata_review_before_formal_claim_use,no
28,S275,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S275,NW2FS030,NW2-C_registry_gate:RV2SP009,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,学校敷地から化学物質PFOS 沖縄米軍基地に隣接,news,2022,archive_and_metadata_review_before_formal_claim_use,no
29,S276,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S276,NW2FS031,NW2-C_registry_gate:RV2SP010,https://ryukyushimpo.jp/news/entry-1421139.html,米軍PFAS汚染で血液検査を要請 宜野湾ちゅら水会,local_news,2021,archive_and_metadata_review_before_formal_claim_use,no
30,S277,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S277,NW2FS032,NW2-C_registry_gate:RV2SP011,https://ryukyushimpo.jp/news/entry-1730706.html,PFAS汚染 米軍との意見交換に市民の参加を,local_news,2023,archive_and_metadata_review_before_formal_claim_use,no
31,S278,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S278,NW2FS033,NW2-C_registry_gate:RV2SP012,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,泡が消えた後に残った白い粉からPFAS検出,news,2026,archive_and_metadata_review_before_formal_claim_use,no
32,S279,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S279,NW2FS034,NW2-C_registry_gate:RV2SP013,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,沖縄の米軍基地PFAS汚染 全国交流集会,party_news,2026,archive_and_metadata_review_before_formal_claim_use,no
33,S280,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S280,NW2FS035,NW2-C_registry_gate:RV2SP014,https://www.shinfujin.gr.jp/about/organization,新婦人の紹介,organization_website,2026,archive_and_metadata_review_before_formal_claim_use,no
34,S281,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S281,NW2FS036,NW2-C_registry_gate:RV2SP016,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,沖縄米兵少女暴行事件とその隠蔽につよく抗議し根本的対策を求める要請,organization_statement,2024,archive_and_metadata_review_before_formal_claim_use,no
35,S282,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S282,NW2FS037,NW2-C_registry_gate:RV2SP017,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,沖縄県行政記録 平成20年,prefectural_official,2008,archive_and_metadata_review_before_formal_claim_use,no
36,S283,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S283,NW2FS038,NW2-C_registry_gate:RV2SP018,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,沖縄県民投票条例へ 新婦人が署名開始,party_news,2018,archive_and_metadata_review_before_formal_claim_use,no
37,S284,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S284,NW2FS039,NW2-C_registry_gate:RV2SP019,https://www.mhlw.go.jp/churoi/meirei_db/mei/pdf/m11367.pdf,中央労働委員会命令書 沖縄セメント工業事件,legal_source,2014,archive_and_metadata_review_before_formal_claim_use,no
38,S285,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S285,NW2FS040,NW2-C_registry_gate:RV2SP020,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,争議行為の届出と予告,prefectural_official,2026,archive_and_metadata_review_before_formal_claim_use,no
39,S286,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S286,NW2FS041,NW2-C_registry_gate:RV2SP021,https://ryukyushimpo.jp/news/prentry-249100.html,全港湾沖縄が安保法案反対訴え抗議集会,local_news,2015,archive_and_metadata_review_before_formal_claim_use,no
40,S287,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S287,NW2FS042,NW2-C_registry_gate:RV2SP022,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,米海軍ミサイル駆逐艦ラファエル・ペラルタ寄港反対決議,official_legislative_record,2024,archive_and_metadata_review_before_formal_claim_use,no
41,S288,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S288,NW2FS043,NW2-C_registry_gate:RV2SP023,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,第213回国会参議院特別委員会 第5号,official_legislative_record,2024,archive_and_metadata_review_before_formal_claim_use,no
42,S289,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S289,NW2FS044,NW2-C_registry_gate:RV2SP024,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,2025 5.15平和行進 全港湾沖縄地方本部報告,organization_report,2025,archive_and_metadata_review_before_formal_claim_use,no
43,S290,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S290,NW2FS045,NW2-C_registry_gate:RV2SP025,https://yaimatime.com/schedule/archive/2302/12/23,やいまタイム地域年表 2015年12月23日,community_site,2015,archive_and_metadata_review_before_formal_claim_use,no
44,S291,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S291,NW2FS046,NW2-C_registry_gate:RV2SP026,https://ryukyushimpo.jp/news/entry-209354.html,陸自配備反対を決議 石垣、住民180人が緊急集会,local_news,2016,archive_and_metadata_review_before_formal_claim_use,no
45,S292,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S292,NW2FS047,NW2-C_registry_gate:RV2SP027,https://www.kinyobi.co.jp/kinyobinews/2017/01/25/%E9%99%B8%E8%87%AA%E9%85%8D%E5%82%99%E3%81%A7%E3%80%8C%E5%8F%97%E3%81%91%E5%85%A5%E3%82%8C%E3%80%8D%E8%A1%A8%E6%98%8E%E2%80%95%E2%80%95%E4%BD%8F%E6%B0%91%E8%A3%8F%E5%88%87%E3%82%8A%E3%81%AE%E7%9F%B3,陸自配備で受け入れ表明 住民裏切りの石垣市長,magazine_news,2017,archive_and_metadata_review_before_formal_claim_use,no
46,S293,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S293,NW2FS048,NW2-C_registry_gate:RV2SP028,https://iwj.co.jp/wj/open/archives/374937,石垣島市政と陸自ミサイル部隊配備を語るバガケーラの集い,event_report,2017,archive_and_metadata_review_before_formal_claim_use,no
47,S294,historical_proposal_sequence,provisionally_indexed_in_source_log,no_human_claim_approval_required_for_provisional_indexing;claims_remain_unapproved,postmerge_provisional_batch_match,S294,NW2FS049,NW2-C_registry_gate:RV2SP029,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,石垣島への陸上自衛隊配備をめぐる組織関係図,academic_article,2026,archive_and_metadata_review_before_formal_claim_use,no
