audit_row_id,proposal_refs,normalized_url,sensitive_boundary_tags,caveats,boundary_status,relation_or_claim_approved,safe_use_instruction
NW2FS034,NW2-C_registry_gate:RV2SP013,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,Use only for identity separation and attributed participation; co-participation is not an alliance.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS035,NW2-C_registry_gate:RV2SP014,https://www.shinfujin.gr.jp/about/organization,branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,National identity alone does not transfer every national action to the Okinawa headquarters.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS036,NW2-C_registry_gate:RV2SP016,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,"Joint signature with the central body proves a bounded request, not all-purpose identity equivalence.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS037,NW2-C_registry_gate:RV2SP017,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,"An administrative diary entry confirms a request, not the full content or outcome.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS038,NW2-C_registry_gate:RV2SP018,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,branch_parent_action_not_automatically_transferred;party_affiliation_not_inferred,Use for the dated public role only; do not code party affiliation or a stable alliance.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS039,NW2-C_registry_gate:RV2SP019,https://www.mhlw.go.jp/churoi/meirei_db/mei/pdf/m11367.pdf,strike_legality_or_effect_not_adjudicated;common_event_not_stable_alliance,Use for identity and legal procedure only; the merits are unrelated to Phase-1 issue coding.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS040,NW2-C_registry_gate:RV2SP020,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,strike_legality_or_effect_not_adjudicated;common_event_not_stable_alliance,"Generic strike notices establish continuity, not Phase-1 political positions.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS041,NW2-C_registry_gate:RV2SP021,https://ryukyushimpo.jp/news/prentry-249100.html,strike_legality_or_effect_not_adjudicated;common_event_not_stable_alliance,Participant count is organizer-reported; the event does not establish alliance ties.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS042,NW2-C_registry_gate:RV2SP022,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,strike_legality_or_effect_not_adjudicated;common_event_not_stable_alliance,The resolution recounts the plan; it is not a union membership record or legal judgment.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS043,NW2-C_registry_gate:RV2SP023,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,strike_legality_or_effect_not_adjudicated;common_event_not_stable_alliance,The record contains contested characterizations of legality; this gate records occurrence and attributed rationale only.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS044,NW2-C_registry_gate:RV2SP024,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,strike_legality_or_effect_not_adjudicated;common_event_not_stable_alliance,"A participant report supports a bounded activity observation, not the position of every union member.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS045,NW2-C_registry_gate:RV2SP025,https://yaimatime.com/schedule/archive/2302/12/23,component_or_coorganization_not_stable_alliance;historical_continuity_not_inferred,Archive URL metadata is unusual; verify the original local-newspaper record before freezing the formation date.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS046,NW2-C_registry_gate:RV2SP026,https://ryukyushimpo.jp/news/entry-209354.html,component_or_coorganization_not_stable_alliance;historical_continuity_not_inferred,The wider meeting had multiple organizers; do not infer a stable alliance.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS047,NW2-C_registry_gate:RV2SP027,https://www.kinyobi.co.jp/kinyobinews/2017/01/25/%E9%99%B8%E8%87%AA%E9%85%8D%E5%82%99%E3%81%A7%E3%80%8C%E5%8F%97%E3%81%91%E5%85%A5%E3%82%8C%E3%80%8D%E8%A1%A8%E6%98%8E%E2%80%95%E2%80%95%E4%BD%8F%E6%B0%91%E8%A3%8F%E5%88%87%E3%82%8A%E3%81%AE%E7%9F%B3,component_or_coorganization_not_stable_alliance;historical_continuity_not_inferred,Attributed statement only; publisher has an advocacy position.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS048,NW2-C_registry_gate:RV2SP028,https://iwj.co.jp/wj/open/archives/374937,component_or_coorganization_not_stable_alliance;historical_continuity_not_inferred,Co-organization is event-level and does not establish a permanent alliance.,pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
NW2FS049,NW2-C_registry_gate:RV2SP029,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,component_or_coorganization_not_stable_alliance;historical_continuity_not_inferred,"Analytical diagram, not an official membership roster; the component relation needs human or primary confirmation.",pass_no_approval_and_caveat_present,no,"Source inclusion may support only the bounded metadata/observation after claim-level review; it does not approve an actor, relation, alliance, funding flow, causal effect, legal conclusion, or electoral effect."
